Chill City Nights ♫ Lyrical Chillhop Music,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
52,True to Your Art (feat. Kalhex),7Gw7CUnCKVGAEh6ep9AjYK,Pete Flux,55CtBuTFO5CLRzicc7RP7l,Traveling Thought,49OVpdYYYgbhv52eJYWCgW,18,https://p.scdn.co/mp3-preview/e19b720d837c8312c3b0a1489c6f0f49d564950e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Better Days,0nWCeWRww4Lz6QNXgrcnnD,Stan Forebee,2cg9jlWp1QRc0Sk6kTp9Ez,Better Days,6vpPIwIPs75f3TJCx1nKkl,29,https://p.scdn.co/mp3-preview/ef7838a8deeb4a08ef2f133862905306ed973a1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,neighboring villages,7ajucsNr6BHyJEJU1trJjF,Obijuan,5ajMNymelIspkqnQ8ZRxvh,neighboring villages / seven swords / uzumaki,26XJgebsSDih87Q9HjpDXf,0,not available
55,seven swords,5K8NeOSdl0JmPhcH7oN5JR,Obijuan,5ajMNymelIspkqnQ8ZRxvh,neighboring villages / seven swords / uzumaki,26XJgebsSDih87Q9HjpDXf,0,not available
56,Astronomy (8th Light),1mIpDPCehnf3EPk6J4ZCUF,Black Star,67ei8ib6PLT1w3OkhIb4fB,Mos Def & Talib Kweli Are Black Star,6GRzmk9UGL7odxprOPop1Q,47,not available
57,Crime Pays,3YQ3gz0squO7NpTnQhCrst,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,Crime Pays,6sJRlXexe9MPNwiISsnTTZ,49,https://p.scdn.co/mp3-preview/3b19f23048fe1dc795f0b6333785a9ca49cedd51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Warming Up,6Bne7OwRoCwJkKETZ8aYZQ,Pete Flux,55CtBuTFO5CLRzicc7RP7l,Traveling Thought,49OVpdYYYgbhv52eJYWCgW,23,https://p.scdn.co/mp3-preview/9a39bd3eb3a12cbb58365319609681b489724634?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Lyrical Fluctuation,1aum3ek9xIMItcgMyIDbzy,Jigmastas,7z52HB2osIQNcgAni23TdH,Grassroots - The Prologue - Deluxe Edition,1ucXfmZmic2YHYMlhnIhxb,16,https://p.scdn.co/mp3-preview/922452528aaecf034fbf4c1e7562cdd62dc49044?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Lost In Thoughts,4uD4bGPjI6AM5INLZGX879,Kenji,0gTS8sJlDKbTy0QMrUGPa1,Settling In,2aATYkU5L7hmihbGhGC3Dx,28,https://p.scdn.co/mp3-preview/d16e8e83a2f9818cd57b691f6f3f2301bca4f2ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Sweet Love,1xupYUrkIF6SqtpOfC18j4,Method Man,4VmEWwd8y9MCLwexFMdpwt,Tical 2000: Judgement Day,5EGi6pUMlx1UfSCrfYUisa,33,not available
62,2000 Seasons,0uCIPyaPjArUBR1dyGiRfs,Talib Kweli,0lEssBAxQl2In4RpaB1C2Y,"Train of Thought: Lost Lyrics, Rare Releases & Beautiful B-Sides, Vol. 1",4JE1y26eNEp6mRX2J9nq3q,52,https://p.scdn.co/mp3-preview/3e2182151ab2841671184c399f74617e4f7f0c21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,A.V.E.R.A.G.E.,6jJhQNUKqVXaJsmVhcg7bH,Kazi,4aa19qiSVSUMk5c7zkmvca,Blackmarket Seminar,5kZBLdGCV0aZzERCGwS9hI,42,https://p.scdn.co/mp3-preview/f3345c017e512c39399b804428d975e83c677def?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,1 Round,4ROcscAEaTrGshQ54nHWiN,Sraw,3DQt38FyIDLmlxC4AwlMpl,On & On,3llUIpgJvbAjAR76ownK6q,14,https://p.scdn.co/mp3-preview/15852c290241984a93cd67dd5f7cd17a415b0070?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Earth Sciences,0TLzbbMwyzeYjUISsfX9V0,MindsOne,2dcR9flQrOV8SKge4zU5FT,Self Reliance,6tPevU4Gbnnctwc8GgMck9,18,https://p.scdn.co/mp3-preview/bb83d43f587413ea6f7c0f9dcd2382c7358c6ea6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Fly by Nite,5jIiO3VJCi2WILfDjyhmX6,Magestik Legend,3CByGtJcf5rs4nztXSw1YS,The Great Escape,3G8VdjnuKn0BEEpQ5CjulX,13,https://p.scdn.co/mp3-preview/7e146f6e6471253ab1f3447a8f14a6eedfb89fcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Illy Filly Funk,4uSp44hkmVcvsfoePqkWYp,Da Youngsta's,2Y7amh9m52OEj67M3gNDCX,No Mercy,3IQn3GlPoFHuOPho4sftI1,35,https://p.scdn.co/mp3-preview/ca6bfb16faf1b66e8e309ded3d9042845c226d72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,The Ultimate (You Know the Time),0mmjsFj4KUS9OqtfIJotlk,Artifacts,4hz8ohK9ESaFbJBAXvWJGL,That's Them,4YopL54p0NX2oftB5GF8bo,35,https://p.scdn.co/mp3-preview/130d450c9db9c16c17aa62be10233fba6038bf8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Can I,4zog6WTDsh93UPnwLBJvTq,Devin The Dude,0OMJR0LjjKv21qNvICTgbi,Acoustic Levitation,2stT414iRHEKFBOwGHLyKe,37,https://p.scdn.co/mp3-preview/c8fd22e84d3b577c1ef4d305ad03d8ab3d134d13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Cali Agents: The Anthem,7vKp5fto7JfyQyhbX8GW9L,Cali Agents,5lUJxGxTTkeRC5xAouxIe4,How The West Was One,317lVPzxQwlBb744XATUXS,29,https://p.scdn.co/mp3-preview/f842bfb369a99d019933e2212294f6e472166488?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Self I Am,2lEqEvcuiBxK31im92tSkD,Bhonstro,21yZBLP8XiKRUDLNFazcnj,Self I Am,0fddRcSnh8oLzhn8bTttPb,14,https://p.scdn.co/mp3-preview/9158ab74e4de034b510184c538ec415aa4a1fb1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Different Life,7CA7jUtCnPih2sOWy7u4bk,Omaure,7jzNtnTGzuVQ8yVDTfHa4G,Omauretania - EP,1lQbWehDpJYrTscS3HXBas,18,https://p.scdn.co/mp3-preview/aed7af01af6387859092297391ddf07e8d15accb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Emeralds,5SULinmTkMKY3gmykkLXd7,Roc Marciano,5X0V59ipZnbvnubW0rQVri,Reloaded,5dWG4BWASBxXMypy9b5veG,27,not available
74,All Good,6EaNEcInL9XVCBNSdrlmDI,Illa J,72zigmOdJbIsz0iIRhCBvp,Yancey Boys,6VlkhAo4FIgT7FKBFbhCHm,50,https://p.scdn.co/mp3-preview/ef1edb283511cd190947436753c04dc8cf221859?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Trident,5yKLMpfzek46RNHURFB3mb,Chester Watson,1vmLIa1VRY38hZoar8AyYS,Past Cloaks,6lKrCQ7gXfj7f3pTKOGExM,27,https://p.scdn.co/mp3-preview/f5d7c74172cf1d83d3c315381f910818a8caa105?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Night Life,3LloLtFPx0Bvq2sJyrW65G,Dilated Peoples,56OMwqr8qaLIRH4ZrvvdXq,Expansion Team,5l8eNNfdgghJbhPtOf0aw2,23,not available
77,Shine Thru,7ip0rJavHfZVwJ99xLkKHH,FloFilz,39ZQx0618UYVBgGTDOJ2ds,Speakthru,3jVHR9FP4GdQnvWiZ4LFsD,3,not available
78,On the Road Again,5VO2iIa56sp3EvDZ7YT2XU,The Nonce,6All8Pwid512Vdrwfu38Ol,World Ultimate Deluxe Edition,02mV6nZP0aqkRFMWCH9k2j,18,https://p.scdn.co/mp3-preview/e93a44fdbff1b951505b23caab455019b1d1ad6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,homebody (feat. olukara),6IJyVdbhxA3dqeVc01vhfS,jamvvis,52FnK9izQFuAZi3qURGbqF,celebration,4M4zHhok4a0u943sXw0A1e,15,https://p.scdn.co/mp3-preview/fb4fb14d6414dcd4c41105edd3313641f56a832b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Pussy Cat,4yjWZt9BiLbuxVOfcteOjW,Strangers of Necessity,6nucIQfqlpcEg3BamEDvHW,The Layover,3l46q77BEWKbGfbgmy0aIz,13,https://p.scdn.co/mp3-preview/331c500203e90808779534a2d7fc3b7dda8d855c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Who Makes It Hot,00Rwrd7AbzwmjyUbFvW6W8,Juggaknots,0kU2Phi8xn8Sd6pC2qXxs5,Re:Release,5Xm5v4DQ9d9y02eK0jO6zG,17,https://p.scdn.co/mp3-preview/243d8d5b95ffcef23717200fc237df6018bf4424?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Roses (feat. 4 Rax),0FSbXRE2kOaJg1nj0qzNmx,Apollo Brown,151BUVKmiB9rHDjIkgbeVE,Blasphemy,6PE70pAgp4DeMmv1SdI5Aa,31,https://p.scdn.co/mp3-preview/63509bac4961a2713ca15f733846c377fd833af4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Potato Salad,1jzIJcHCXneHw7ojC6LXiF,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Potato Salad,02KFVEA5tnY0YnypmWY1tz,75,https://p.scdn.co/mp3-preview/61025f362dfa3c7aa0a7b222bf57a02232cb4026?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Colours,1N6KUq34UqB9gLMmmApWJJ,Summers Sons,6dX4na3KWr3yMTLU4l1W7z,Undertones,71O4nK9AGYgkPqcwTBOv46,30,https://p.scdn.co/mp3-preview/e47b0db0523e8d86028e44f1efbdb89d248ae77e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Mind Keep Stepping,78RSLHiKEivcyl7NwUOhao,Sraw,3DQt38FyIDLmlxC4AwlMpl,In the Smog,1VBqCn4sDvwxaD6jdvpItG,14,https://p.scdn.co/mp3-preview/b2fc77d0233d5028431bbfc6ffd24c9a34768777?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Steps,5qIVY33Yl6KscVxbt3TzGf,Kenji,0gTS8sJlDKbTy0QMrUGPa1,Settling In,2aATYkU5L7hmihbGhGC3Dx,29,https://p.scdn.co/mp3-preview/a73137d2f08b20f9fa3ba9d09ed1e29f70647d69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Slowly,4kyowB76IWcxKhKMjLHzCn,falcxne,5pHwJakVgh9gOqUEoT9ZYz,Slowly,6JpkEXCkXaqNekfYGPG1G6,27,https://p.scdn.co/mp3-preview/c72166ee4f2900a9b9556509f44aeeeb2c19cfe8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Take A Look Around,64kaGFA6jQ48MnZTmr7f4V,The B.U.M.S,4H023DcOaSenRWVJF63FJw,Lyfe 'N' Tyme,4VTel1y9oCmqeJ9uUGHicU,19,not available
89,The Props,0PlDTU7NG7ZGawMHqjpxsu,The Doppelgangaz,4J8pjytuR06BizCeBKBIDk,2012: The New Beginning,1j6BhEKTVua0gfS8iuJYtv,17,https://p.scdn.co/mp3-preview/f9856cc1d4a9d3aebb2a1c56682cbb24a320c882?cid=fa83a2fec7c440b7a2795d600d6b2c7e
