Sub Pop: The Grunge Years,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Flea Circus,752npL4O7M1DuSWNzFofwA,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/f3238885a6aaa63d12595ffd46fd143fa909f50b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Too Good to Be Food,5fmBx6YpJnd8C8cOiX9a8y,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/004ea89bea08b3dae8d19f2b86395643f48d372c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Willie Dong Hurts Dogs,1n4lcULzwG5J88nAwqUwTT,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/3bdc904bef2d1ad91dc7cba0276fc5f038460ce6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Papa Doesn't Love His Children Anymore,5duhVSvpCgaiwZnPEaIkOO,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/a5a52828eed5c889b77fd464c18d44d30d9b4afe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Pay the Bubba,37ntEYyaQ50xD769gOvxnn,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/556b532f4624503051d4407a41cfce792a23dee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Freezebomb,2fjgxaiLsX81aM3awyJL8m,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/2db98b309cea9a135618123c5a96589e5fa171f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,That's Wild About Jack,0IMKj56FDVSn1glecOTEHG,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/2d8b21fc6ee231c8110c251c3c51a1009073a648?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Bad Little Woman,3ShLtMDF88OWiN3MyJzDCZ,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/6e5404ae4f9d04a27c784157360fbcffb8a9dddc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Selfish,1UdL8Z4MyElWOWkBh2bz4c,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/58c19ad772c472ff21ae333249ecdbad06c9eb4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Start Together,16c3rGS7WN7qanzgyKCO5g,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,28,https://p.scdn.co/mp3-preview/09a22f1902ed060490e2a5b06d95cdb49a60315a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Hot Rock,7of7IbiR9w7lDxsXmqXqoe,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,26,https://p.scdn.co/mp3-preview/717d4a083fe1b4db18b6e25fa1614d86d316d0d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The End of You,63I5KqZSsyN2vSa5ZGhl0J,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,26,https://p.scdn.co/mp3-preview/b1de500200ad16dd83641120ff803e8b71eec9ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,"Burn, Don't Freeze!",3d6JMPHqt9QXGEG8fzQv1O,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,26,https://p.scdn.co/mp3-preview/01748f13670a937be8c4c06a7efe1f816d765da5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,God Is a Number,4IeUdMdxaW4m1tJWwaz58E,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,21,https://p.scdn.co/mp3-preview/861b663bcbcf9b507de8319011f87672c88d7d4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Banned from the End of the World,2wNcifQ8dLME0Ib331ShpW,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,22,https://p.scdn.co/mp3-preview/69c74b509882c3e45bbf6a09eaa2d62974f8c2e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Don't Talk Like,0EOCrMjRo6zXxDNkcDcQDT,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,21,https://p.scdn.co/mp3-preview/9d14f35e88547bee76caebda737d3a9cbb3e3368?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Get Up,6OlC7PV73ZAFVOW2J0Xp9O,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,32,https://p.scdn.co/mp3-preview/b1aecb2069da8eb2a10bc90f2875f62f7d7c8e15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,One Song for You,1gFcA8xJnTxNqFUecwd9QL,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,20,https://p.scdn.co/mp3-preview/6dd2e485382e7f482b794de28676d55789c1f526?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,The Size of Our Love,0hP7QUUwQafDQEfltQUVJu,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,22,https://p.scdn.co/mp3-preview/10a4c8f8bcde2f6cbe3a84cd8fc7af21c28293f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Living in Exile,1wZVSuRGdkgjeWW8UohumB,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,19,https://p.scdn.co/mp3-preview/e1078806dcded14283f5ae9ae8ea7633b79255b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Memorize Your Lines,2EpPeEZgNg33C5a1uyZJAm,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,20,https://p.scdn.co/mp3-preview/51abb32f683940044f64875bff15a2ec2afc8dcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,A Quarter to Three,351A7qskQfpTvSiQaDrS4J,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,The Hot Rock (Remastered),4QdZOhC6uw0Gy1WY3Hj9mh,25,https://p.scdn.co/mp3-preview/79d107c1f13d937186db0e4ef2a70a5ddde1f4ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Dig Me Out,1TvXbNhFRbrp1SIenQ2NHM,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,44,https://p.scdn.co/mp3-preview/9404ca73cd641ecd13ccafdfe4e0bae566965ba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,One More Hour,3ccsKRKg0NEfiDaeYnIauK,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,45,https://p.scdn.co/mp3-preview/d92483bbb09641b190ae9346ecddaf79518ac61e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Turn It On,3mBVMYkG2tM6bEA1hjuEnx,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,33,https://p.scdn.co/mp3-preview/f5e0d7254f54384b80c697fc38c5dc7a3fcb177d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,The Drama You've Been Craving,56bHSd3bfDpMSTHY8QBMOS,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,29,https://p.scdn.co/mp3-preview/5cecd1d166d40be2a5abba50e57a744620dc5f91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Heart Factory,0LbpiJNHkRtbLs76Ogp7dL,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,28,https://p.scdn.co/mp3-preview/1318b39b991ce8fb6a4b43d85086ce33326f3646?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Words and Guitar,4GYTByLqMtjvXQUIQkujhU,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,32,https://p.scdn.co/mp3-preview/e99213180c735a199a0fe680bb09452808e1a53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,It's Enough,4TGVx5XgDRQfN2wqqdwPdZ,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,26,https://p.scdn.co/mp3-preview/fc5b72589d5cba319c51b0cd2ee412637c280d13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Little Babies,6d6qBvX5WwRxU1S7GGKCuI,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,30,https://p.scdn.co/mp3-preview/176c55962a77f8d852d3ee791ef6f52df3f50d0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Not What You Want,20Heid5XuZjB3AuqkL5JY5,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,26,https://p.scdn.co/mp3-preview/1410dc5513804d3d0576691af4d561248044268c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Buy Her Candy,5PUQQ64TiRFsg5gnaeZtTK,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,26,https://p.scdn.co/mp3-preview/4129e21f143cdf205a91d41a4cdb6995c4c5838d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Things You Say,4jKqlaOJe1paaws2qogpqg,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,24,https://p.scdn.co/mp3-preview/22ea6cb09d844a001af272c9a6887cc0e4d4e6ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Dance Song '97,3jMcVhawDrtvgl15KUOokp,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,30,https://p.scdn.co/mp3-preview/144ad1d5eaf5a64bb89d4d1f6b27bc8e51e017b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Jenny,4JFQgeODDOsYtFiDEzPiEe,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,25,https://p.scdn.co/mp3-preview/afb51a6390ce38e55f20df1db156ddd14bfa7b67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Call the Doctor,1YunSJbsMBcbO0JZxhJ5ma,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,29,https://p.scdn.co/mp3-preview/eb354185b9abf0f5783d5fe43c46f92d1bd660d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Hubcap,63BGaJpt6F50HCLrCPXEgj,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,21,https://p.scdn.co/mp3-preview/870e7900df8c80c826fffef7afc8ffe29755f6e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Little Mouth,1BB9JglAACKLMswORHl4Wz,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,25,https://p.scdn.co/mp3-preview/017c86c83f33cf92298198e6620582c96e216664?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Anonymous,1LMvElICse01bRkKOZEMcF,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,22,https://p.scdn.co/mp3-preview/f4ea5aab38bc7ab2959d4ae8c8a3b919f0a5424c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Stay Where You Are,1KigFtVig0xvcqn0aZ03C4,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,22,https://p.scdn.co/mp3-preview/f1f58366febb9a033dd4d3cb8f89135eb7cbdd8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Good Things,4clrNaqfFYuGnyjDfik1Pk,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,36,https://p.scdn.co/mp3-preview/5fe9dd46a7e0ca10b8eca99f76f98f432e9a18ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,I Wanna Be Your Joey Ramone,1NVq4MTXJVqJ1Dw7LJ6KD4,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,37,https://p.scdn.co/mp3-preview/d6a46aebaa8e9876f5a4cfcefb87f8717f42b82c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Taking Me Home,6Xb7nvu0A9EnSg0pHrPg9m,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,20,https://p.scdn.co/mp3-preview/cc75fec803136a77d97490486ad534e8b998b244?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Taste Test,2cP0NYpBxkbYAiLPIzTzA5,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,20,https://p.scdn.co/mp3-preview/78e898ffe6c4672cee6e6ef4041ef1017979b314?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,My Stuff,78Ref2E5Q511Bl1kyv7PZZ,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,19,https://p.scdn.co/mp3-preview/c8359a66efbf51dbdea7218b6276c1470966c054?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,I'm Not Waiting,77WarW9xq4wbEhuhr5VmK1,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,20,https://p.scdn.co/mp3-preview/141a16c4171a881f074ee6c7d4e687770e6c5919?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Heart Attack,6KfNin907Mgyb4eAeiR5Ge,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Call the Doctor (Remastered),4ePXtN94M7iBkUUpuGQEHN,20,https://p.scdn.co/mp3-preview/67072f6db58d2c0fffa2b0e93ebb008fbd0cb090?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Don't Think You Wanna,7t3EmGG9XttoP3aFibbOMU,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,26,https://p.scdn.co/mp3-preview/9494b9560b624dff219d91f3b0ef31b567c996cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,The Day I Went Away,5Bd9gcrmVCTveULogqt5OI,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,26,https://p.scdn.co/mp3-preview/a7d530cee732d0364f18b878c5d5ec57deb7f6b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,A Real Man,3zstGVoZ4xR1eg3X3Zec4a,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,27,https://p.scdn.co/mp3-preview/bff733f3606bc189a86f4ee6326e6c2cd437cef4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Her Again,1QFR6HMERXTnTA3en7kE0v,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,22,https://p.scdn.co/mp3-preview/bbd26ed65962e1cad0d5bd6b55f900ccca12423c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,How to Play Dead,0CoD0LELDA5CVwBuPiNjn3,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,21,https://p.scdn.co/mp3-preview/c1f9ee3ac12434840eb20704211b4f3b26ea6395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Be Yr Mama,4zVWgMpKtdZ2PjUiAwmBJ1,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,29,https://p.scdn.co/mp3-preview/87c7e183be95e4e028a9dc3446603fb83ffb8177?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Sold Out,2CxXrnr08SCxWFXzMHBcdk,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,19,https://p.scdn.co/mp3-preview/ca1aaed8177cfd498d8a193b6b30fd50b31bc8b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Slow Song,2vFKBl1LKg1oa81SYzAdlB,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,22,https://p.scdn.co/mp3-preview/3b0cb8521efcbdd8392f5ffeb291a5ee25056fcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Lora's Song,1PNI5dgsN945Q8p6vslhoU,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,20,https://p.scdn.co/mp3-preview/fff31738ac84b839be396202b58dae2ac6e9f9e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,The Last Song,0APp0v05v4iWrfpgKJ7UPH,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Sleater-Kinney (Remastered),3lQ9hhX2B7DPtEDZznyRtT,23,https://p.scdn.co/mp3-preview/76a9f47a250d1878f0c62f6d3c32117fe28ef543?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Hunted Down - Remastered,4nnDr2vyxvKudkOH4CQv3K,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,32,https://p.scdn.co/mp3-preview/1d2915a21383c902c3170b55e00b647127f1ae68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Entering - Remastered,2LSbWMUH9skrVnFsp2zj5O,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,32,https://p.scdn.co/mp3-preview/6797b849dd773419e253d31fedf88b36acbc0a6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Tears to Forget - Remastered,46uGsjtjFctZ4tvTaMDa4U,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,23,https://p.scdn.co/mp3-preview/15cabc6f99ce93168b38d53d374e87ea7198e79d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Nothing to Say - Remastered,0R2xy4cVDKxCs8DNSFrqJu,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,34,https://p.scdn.co/mp3-preview/84b3f63089ad9f5992f72ebef74c3f9efc66320d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
