Lovebox Festival 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Buster Cannon,7J3uoCwlblGinRiA6t8tH6,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Lil Tracey - EP,39NEuln6TmK8zGylwLpXKT,35,https://p.scdn.co/mp3-preview/557421ac940eb903a11dc99e062765529b611537?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Copper Kiss,4nFUpQNBbUIKFrEMqj3LHB,Sälen,0NJemRHD1ainpKuFewwkLz,Copper Kiss,3zn6IsNMeUA7AcwfHkvly9,0,not available
37,White Ferrari,2LMkwUfqC6S6s6qDVlEuzV,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Blonde,3mH6qwIy9crq0I9YQbOuDf,71,https://p.scdn.co/mp3-preview/83113c9aeb6c26cc53fa07cd2a1c6782afed3a2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Cranes in the Sky,48EjSdYh8wz2gBxxqzrsLe,Solange,2auiVi8sUZo17dLy1HwrTU,A Seat at the Table,3Yko2SxDk4hc6fncIBQlcM,65,https://p.scdn.co/mp3-preview/a0d13ea0e7dcd0ccae5f6bf96ce2daede4d2841e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,This Moment,6DNc2jNYR2WqJr8XddQLUu,Chase & Status And Blossoms,39VUG2Djg3iXA2MpkVPHv2,This Moment,4Bp5QIOT9PkD5DeMspj82H,0,not available
40,Far Nearer,2TbQOKDTGrg3ppGkO3gltX,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ,Far Nearer,1J4YJeVwqJQH3OmeeRBbkg,53,https://p.scdn.co/mp3-preview/7167d30b70818da73e7472b4a1f012f6b859b679?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Plastic 100°C,0P5bg4JX1fUplClPC0nkUS,Sampha,2WoVwexZuODvclzULjPQtm,Process,2gUSWVHCOerKhJHZRwhVtN,58,https://p.scdn.co/mp3-preview/ab47bc2ed584c5aefcabb8ebe4b83e0dbb4bfae3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Tempura,7tsX9Orv7aKjhUgnGXfJgh,Ricardo Villalobos,0s2YIpNnjdf0FY4tNrF8Y4,Salvador,6yaGP4bQqS3OowkQNs9NiL,17,https://p.scdn.co/mp3-preview/c9025ba02ab4678c9e68e7e8c53606847328e6bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Hurt,7iKZVnH5FbT1T54uR10KBE,Seth Troxler,3JkLFcTej6tdwZoQT6Nx4B,Hurt,5Qp32nHTZvhanP86HdkWvb,15,https://p.scdn.co/mp3-preview/facbbb876615525f0056dc38be1cd49ef53e1f72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Somewhere - Original Mix,4xejimnxmmExxTkpsXrmD7,Jamie Jones,4admDxmnri5Zco0xYrJ0ji,Tracks From The Crypt,19luoXNGzxiLPZGedy9RFN,25,https://p.scdn.co/mp3-preview/6e8bfeb579d6dbab12bf09270b3d2a99e7ee2f00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Just,2WuzAwiZzest2eONspeXMA,Bicep,73A3bLnfnz5BoQjb4gNCga,Just EP,07cuUo0ZpLPyxrN0sSzeWT,54,https://p.scdn.co/mp3-preview/aea3b556b24020cf7aa5652ba9698f311fc9fdf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
