30 Sleep-Inducing Songs for Insomniacs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Gone Clear,0U00mgaUXkkDDBwYN1JE3q,William Tyler,3iexGtoBAyCUbxOKeru5py,Gone Clear,00sBY7got64jgS2UQrNf8u,35,https://p.scdn.co/mp3-preview/449739489e81437e4076483116c9dab2e5e0b35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Devotion,5huAmsYWJiJ1q24lb4eqzZ,Jessie Ware,5Mq7iqCWBzofK39FBqblNc,Devotion - The Gold Edition,7nxjemFXgk7MH9ZeTulRNb,31,not available
12,Somebody Else,4m0q0xQ2BNl9SCAGKyfiGZ,The 1975,3mIj9lX2MWuHmhNCA7LSCW,"I like it when you sleep, for you are so beautiful yet so unaware of it",12zl1WmHPFCSyKYbL4vBZn,73,not available
13,Saw You in a Dream,3dcu0TMrxtPUMrCFxCNPbD,The Japanese House,3IunaFjvNKj98JW89JYv9u,Saw You in a Dream,05KjlexKWdOcMZBR7tpkcn,58,https://p.scdn.co/mp3-preview/4f4adfdedd7b7d627839c209e9d58ed8108dc4a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Nude,5k7VKj1Xwy5DjO4B0PdAOb,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,In Rainbows,7eyQXxuf2nGj9d2367Gi5f,62,https://p.scdn.co/mp3-preview/1dc4b14526bd2ba20cf5d3e5d804ef61b767c5f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,In Words,3EcNcEqUS6jJYhxCWDgc0r,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,We Slept at Last,7bGKJT7GMChX7lM3txM9Iz,26,https://p.scdn.co/mp3-preview/f49b05536bc28010a961c3271eea513925f386e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Glimmer,4Suxj26aEwjVGyVpm1Wk81,The Maccabees,0vW8z9pZMGCcRtGPGtyqiB,Given To The Wild,2Z19PSCz8Yf2OsT3ZKRobn,0,not available
17,On the Level,36rqjSUBaArtMBLWrzwInc,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,This Old Dog,6XzoFb3hP14jVQeCMRdVJR,60,https://p.scdn.co/mp3-preview/22bb0bd317f5ec415aee59934c276545919b363b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,At the River,1r1TplBm6N6ZQ1Ftt2qelG,Groove Armada,67tgMwUfnmqzYsNAtnP6YJ,Vertigo,0h6tPnAiO6Rp4aCAlA87jo,6,not available
19,Weightless,6kkwzB6hXLIONkEk9JciA6,Marconi Union,3nZ3ed6p4CKc1McTLypr6H,The Ambient Zone Just Music Cafe Vol 4,0JsrUHqVkWkXt0vQeNiVkW,66,https://p.scdn.co/mp3-preview/661c708e8ab08454d78d6fb3763466cca26548fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,And Dream Of Sheep,15FBisvPECCYwyG4l8FJQ9,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,50,https://p.scdn.co/mp3-preview/ccfc2ace8826bd565d2c509eedc5018e2ba52a34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Still Life,6hDjYcGWihB1FxwzXgeCWr,The Horrors,7EFB09NxZrMi9pGlOnuBpd,Skying,18cFNLZWL59L9P0dtZw8xY,52,https://p.scdn.co/mp3-preview/f90127af0866d79da5b74b2ec9da44cbfd7a3cbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,On Melancholy Hill,0q6LuUqGLUiCPP1cbdwFs3,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Plastic Beach,2dIGnmEIy1WZIcZCFSj6i8,75,https://p.scdn.co/mp3-preview/cd7991e7076d0410677032dd9093a9cd712b69fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,A&E,0XVlp2oAeLlu2RWi4A2oqL,Goldfrapp,5BKsn7SCN2XmbF7apdCpRS,Seventh Tree,4YGQn2C71NbOEgSQM9fxRt,43,https://p.scdn.co/mp3-preview/05bffb86677528cdc7113b75fd8560c1d358d13e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Pala,2920WdqKA77jdJVJCNcx3R,Friendly Fires,3mZqziCJj4pq3P2VBpmK6p,Pala,6tdnM75IB2ZcSI1dZc0rJK,31,https://p.scdn.co/mp3-preview/7830752758bb6341171b55b62a84ccb75a462fe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Cascades,2U175WQ59CVtQXUZSxz3UI,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Helplessness Blues,6SUzec8cWCUMhvdW3KbMYZ,38,https://p.scdn.co/mp3-preview/e424c4bc88b6591d4f0a10c1debb598b1f05830e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Healthy Moon,65O6zPSisPj2AvAjaY4Bfg,DIIV,4OrizGCKhOrW6iDDJHN9xd,Is the Is Are,5PPPABn2aZ0jRuHPMONwSR,48,https://p.scdn.co/mp3-preview/7f94fe622dfc9905ec7fcb484d7146d6d7e1b855?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,8 (circle),47IklCMgkgWvI4jpkdrop0,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"22, A Million",1PgfRdl3lPyACfUGH4pquG,62,https://p.scdn.co/mp3-preview/081447adc23dad4f79ba4f1082615d1c56edf5e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,In Reverse,5fKFrVV6CzOzPd725CFEfh,The War On Drugs,6g0mn3tzAds6aVeUYRsryU,Lost In The Dream,14xxjLlbGy8ACm4MorBjD5,46,https://p.scdn.co/mp3-preview/08e3fe41a21c7d7e842b861844489a547c0186aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Goodbye Divine,7nwxUMA0jubglnnOXuzj4R,Rachel Zeffira,3TuBaktMhpP8ecPGukVtoA,The Deserters,3T127xfkVHRoYrEKGMyMLi,3,https://p.scdn.co/mp3-preview/0bef89d85dc0fabfdd8a5125fae1f3095e4c5bc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Immunity,1WOxGNutRwrbik8BA5f2AY,Jon Hopkins,7yxi31szvlbwvKq9dYOmFI,Immunity,1rxWlYQcH945S3jpIMYR35,55,https://p.scdn.co/mp3-preview/5e4f7ff69aed0065c12a7d50e656bc7f2876dbd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
