Matador Picks: Car Seat Headrest,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Stop Smoking (We Love You),3haQelksGnGgSy0b1KUaVS,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Twin Fantasy,20U1UWeGcGq7JVW0tf8yfH,45,https://p.scdn.co/mp3-preview/97f12008f7690f5ffccfb02013b4280e87d33d3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Fill in the Blank,1EALzILzmIPtRIvYyo6Lwm,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Teens of Denial,26DseQO366JfXwIP7dIgQj,56,https://p.scdn.co/mp3-preview/6205e3706cb2859ae208f87dae3e3c4d12ee87c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Gun Song - No Trigger Version,522svnMqgG4TjWsmDw4ykC,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Nervous Young Man,4cARAECW98cS10AGV2CH8Z,25,https://p.scdn.co/mp3-preview/6325e95b7c3ce9b9768f007eba0378f7bda58ccf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,High to Death,2doQ4LEtEDbL3cIPEeHP1E,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Twin Fantasy,20U1UWeGcGq7JVW0tf8yfH,44,https://p.scdn.co/mp3-preview/50bbb3496292a8a51b29cf51c431083a34006fec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Reuse The Cels,3OGwfFsshg4HbWgfSNSxv5,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Living While Starving,3egPQUSqrInRvbXxPqXQYm,32,https://p.scdn.co/mp3-preview/de0aabcf2b40033d336e5d5191c1840faaa30049?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,America (Never Been),33w2ojk2xsewWhEbsKPNNQ,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,How to Leave Town,0lq70zJB8BylaX5tgkNnOA,33,https://p.scdn.co/mp3-preview/a12922282d9fdac9f58aaa1d409899895951fccf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,The Ending of Dramamine,4ycrmRBOy8lha7EmopUOP2,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,How to Leave Town,0lq70zJB8BylaX5tgkNnOA,36,https://p.scdn.co/mp3-preview/46e02d93697dc747ce440793583fec4f6d49fc34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Ballad of the Costa Concordia,4rgFtOuRNrwE7jG6CP7AZW,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Teens of Denial,26DseQO366JfXwIP7dIgQj,41,https://p.scdn.co/mp3-preview/dbfe3b3913ad9e64b661c8f258352fa083130d79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Joe Goes to School,13OMNRBIILDZCjo3l56AZd,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Teens of Denial,26DseQO366JfXwIP7dIgQj,37,https://p.scdn.co/mp3-preview/70ed21a70753eaefc1ed6b5e1749db384d8f2850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Sleeping With Strangers,6zFnCMMKNZUDdJSxuHLnN3,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Monomania,5PRS4JgeX1vv4YHyENFKw0,29,https://p.scdn.co/mp3-preview/cce19affbddae2636fd62c9eda6293bd2b9518db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,I Want You to Know That I'm Awake/i Hope That You're Asleep,445cTpgiejdFXArzPyQbCe,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,How to Leave Town,0lq70zJB8BylaX5tgkNnOA,36,https://p.scdn.co/mp3-preview/715c2856db68ec5eb10d239584704b2740108e4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
