Matador Picks: The New Pornographers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,We End Up Together,1IsuFdAER1bwNo2nQjUjwY,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Together,2c4mwBI6iRg3QIAvFs4gek,26,https://p.scdn.co/mp3-preview/f847354603d535ba26c63f7016c5fa7caa29bf12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The Bleeding Heart Show,11kbwseFEr80bUfVX6CHYI,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Twin Cinema,6XB9AS3mCR2JIYbXQoKT3w,46,https://p.scdn.co/mp3-preview/1e7fbaf92d065bbf042072a4dda64ae6f30fd6bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Execution Day,5N9qCmJgVq4bScUtW59c5C,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Mass Romantic (Remastered),2IISeN6dGv4BPMmz4ArMnK,21,https://p.scdn.co/mp3-preview/e907256699241fbff920b03ac7193fdb218f4572?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Born With a Sound,21MX75LynfszIzrwSK70Ad,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Brill Bruisers,2sNidN9oZULfH7gZfoPZ9a,28,https://p.scdn.co/mp3-preview/de6d409b8b144707747fdb5f0d2a98bd4f2b7046?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,"Jackie, Dressed In Cobras",1XUWNzqmhHuZcOVP1Y2YIV,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Twin Cinema,6XB9AS3mCR2JIYbXQoKT3w,30,https://p.scdn.co/mp3-preview/1febbb37b12ce5edfe09b68f76f188c8c5522cad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Challengers,732uqsu5j3zGRDCTXfZJI2,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Challengers,4HRoFjJgjVzyp4I2KhdVNC,46,https://p.scdn.co/mp3-preview/27abfa3fb35f0cda269de7bbcda67f28c0fa5b68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,"Sweet Talk, Sweet Talk",3ExmkTE3eldMCyNq8WAUp6,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Together,2c4mwBI6iRg3QIAvFs4gek,31,https://p.scdn.co/mp3-preview/0e7ccc59de66948a2a2fdd7fef84399835bac30c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Streets Of Fire,657HoCuVaIEE9y2LcEyF7u,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Twin Cinema,6XB9AS3mCR2JIYbXQoKT3w,24,https://p.scdn.co/mp3-preview/f91609c1cb457f7ca18a73524e2525860515ddab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Testament To Youth In Verse,3ENd7M3DQqBMoMnSKCty8d,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Electric Version,6zscRhrMGap0asgSu69lKJ,26,https://p.scdn.co/mp3-preview/8d5a24fb16633e48c47c949ed1d9969778980b94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Letter From An Occupant,01dzGqoWcX0i0OxxqtuOL9,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Mass Romantic (Remastered),2IISeN6dGv4BPMmz4ArMnK,33,https://p.scdn.co/mp3-preview/57f22723498d5ff22d31452e099b8889560a93a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,A Bite Out Of My Bed,3ZFxwzBBczHv0A8fsch4wl,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Together,2c4mwBI6iRg3QIAvFs4gek,22,https://p.scdn.co/mp3-preview/0d484be634a78788a6a96c3f00ac909699908dd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Fantasy Fools,5FyvX8YGj3BYROAzKtjpOq,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Brill Bruisers,2sNidN9oZULfH7gZfoPZ9a,28,https://p.scdn.co/mp3-preview/df601fed3c8916582988edcd92967c85a69c4f03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Broken Beads,0QJUCrE2eEFPvIaFvRmnzD,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Twin Cinema,6XB9AS3mCR2JIYbXQoKT3w,23,https://p.scdn.co/mp3-preview/6db4fa988ee33db042052467ddf5aeea37491e89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,This Is The World Of The Theater,3IERstN0pZIFYNlcJzhc6p,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Whiteout Conditions,7gSLfnSUAxJRMXhWsz9MYS,32,not available
24,The Spirit Of Giving,3dn88IMd6bXxnVGr9Q3Men,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Challengers,4HRoFjJgjVzyp4I2KhdVNC,24,https://p.scdn.co/mp3-preview/74ea4efb4b49788ebd3bdf5e3bf456f3ba58c12b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
