Alternating Currents,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
28,All Your'n,0fCwTrRNfoNk962ati8n2K,Tyler Childers,13ZEDW6vyBF12HYcZRr4EV,Country Squire,2T9P5dSm786uuxA5tkI1Xb,68,https://p.scdn.co/mp3-preview/248f91f6ec7b81f9281c66cb3d0e7c667837fc48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Bad Woman Blues,0JSotxr4YFcp5e8c5yaMKv,Beth Hart,30TrHDLNCKQVTYWOn9QqOC,Bad Woman Blues,7GuWk4lYaF0r6i1cjepZlp,50,https://p.scdn.co/mp3-preview/84cc14df677b69e7cda1e65a03c8b7f664944bfc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Dance Monkey,421leiR6jKlH5KDdwLYrOs,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5i6CS5XcLZGLgaNCKlJvc2,69,not available
31,Supply & Demand - Jean Tonique Remix,5epRhlM8suoMOXbRDEqxbE,Wilder Woods,26DytDdxKgr9N0tdrBSLs2,Supply & Demand (Jean Tonique Remix),0lcXlNUXoIKGjzfgrzhl2W,33,https://p.scdn.co/mp3-preview/d2c15611622e4171f9053f33bae822361fc8aea5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,"The Chain - From the Motion Picture Soundtrack ""The Kitchen""",47yfbuX2JXVg0STjXEGAps,The Highwomen,3iyG1duuxWpcuWa57VSeZ0,"The Chain (From the Motion Picture Soundtrack ""The Kitchen"")",2RFcxjuCLxKYfnOVyucot5,59,https://p.scdn.co/mp3-preview/9270fe0b316f2fe6c7aecc5206114c657c8dab4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Drugs Don't Work - Live on The Chris Evans Breakfast Show,2HwRuv2FfdJnLSuRF5uzgc,Richard Ashcroft,1HGTHrRQkw0BtevSo1jucU,The Drugs Don't Work (Live on The Chris Evans Breakfast Show),6O4pt28649jI3wrCmYFnI9,34,https://p.scdn.co/mp3-preview/3b09c844199f1df1887ca2f58dd655d44c5a85a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Water Me Down,79ap7oTftmfgDUBUsUcYqt,Vagabon,17mwzDXKn4ra9cuxXaptwp,Water Me Down,4kcsdigEl9ascAJ6a2b2g9,58,https://p.scdn.co/mp3-preview/f232486d26b43c1bd1d9845f131e922044d3b3e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Downtown Life,0HMVOZNVf9Fq4iXN2PO2PZ,Grandma,2eYwIt8heUiqcnd0Tmkizk,Downtown Life,2Cjbipgdnr2DxqnaWJxs5a,35,https://p.scdn.co/mp3-preview/b6e868e4ba4879cc01cc3bc78363260fb39eee70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Calling Out,5zSwKmxSYEf7Ah3Gs7mtdz,Andreas Moe,5kW2ng5av985BfqrOMRpk0,"Love Fast, Heal Slow",6gPXTaKvMwSV03pCUDbj4I,21,https://p.scdn.co/mp3-preview/561c48bb94a0b3c986b800ba6475b4d083b433be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Playing Games,5WGgVeqKNZ70ynPooQjCQc,Anna of the North,1mSJCvDX0W7Dn7S9C6vmvI,Playing Games,5Cq4adPbTsSlDessVaWwNj,57,https://p.scdn.co/mp3-preview/d3df757e04e8a7334b2222772c963b0a97ce5f38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
