NME's Best New Tracks,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
54,Buss Down (feat. ZieZie),0kfp6rRddGkoyAhosSeZLS,Aitch,2PJEagPIxaBugeMjIyKVXF,Buss Down (feat. ZieZie),3GXahpmgm1UzAxyeL9CDdc,69,https://p.scdn.co/mp3-preview/1bb18698f8304f6a2ad120d2b50a65b09254aedc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Gone,1bRoUsfLiWWLGZ03rih6yQ,Romare,6d1HqiWNEKV9zFqQM9WeYo,Gone,0TDeX7IUSTHyUpnkWMNTC1,50,https://p.scdn.co/mp3-preview/572b4e932f6cd47aa4d64bce11586d8aab21162e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,The Next Best American Record,7vRfxLcDDwgYW2WTrtEgUV,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Norman Fucking Rockwell!,5XpEKORZ4y6OrCZSKsi46A,75,not available
57,Match Bet,5EdXE7FknapGSFzfqWYb73,Squid,685XjGzGztyivfR3fAjoxo,Match Bet,5r93p5X2wWr6RbnKy9VMXI,44,https://p.scdn.co/mp3-preview/a13b511426299660f31a66b609d8d37e51a61aed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,70,not available
59,I Don’t Think I Can Do This Again (with Clairo),3udJxehBCZ27wRO9gSum4B,Mura Masa,5Q81rlcTFh3k6DQJXPdsot,I Don’t Think I Can Do This Again,2PMTYwJd3ui0erw8OJMvC4,68,not available
60,Can't Hold We Down (feat. Popcaan),78aWIBZMTcqg4mvPpUdhss,Kano,50nN8IFD4xA67fI4jYbLV4,Hoodies All Summer,0N6HQ1sWJTf4QJxipeEazS,59,https://p.scdn.co/mp3-preview/7ad7f464fca0a221e7bb814fa8fd737b2f3544ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Going Norway,1QNtbQSNUomgpdH59Fi4Wa,Girl Band,7IdPmzvB3PugXieZE9vS4S,Going Norway,5QCdMl20GRVC2IbV2X0hY8,38,https://p.scdn.co/mp3-preview/e0b58275425b83608e77ac8bc2e6409e98e0e5bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Stuff,7gx3Aj8s7iToPbbclnyVyw,Sløtface,5sCDleuvB5bBwbSGsp9Bwh,Stuff,6U2ZIxEGjfGkdOJuD6l9Fd,36,https://p.scdn.co/mp3-preview/7eac5dcf603798ddde07173950a356ac0e0f1ce9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Heavenly,0M6TLjxixptslrmQpWbRoR,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Heavenly,3cgFq282Yi9czapuam0DwB,70,https://p.scdn.co/mp3-preview/8baa84e848e637d9a4326e2a43f978af7e430a77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Circles,4VginDwYTP2eaHJzO0QMjG,Post Malone,246dkjvS1zLTtiykXe5h60,Circles,75n7rjlC1fxezRtoMQmtL5,82,not available
65,She Plays Bass,52zzYSu7RUsSFn8cZlVjWp,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,She Plays Bass,6aSy1zAuCiFQxUFITf3ymw,60,https://p.scdn.co/mp3-preview/d248a101bdc51b9dcad2209c7e167b38c8dbe135?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Easy Peeler,4Ye6Wy3vHdUicAjfoReFkN,Phoebe Green,5qt7yk11uFzsBUC3CgbyNP,Easy Peeler,02L1gwIjuIYaZYWFQmuhLn,45,https://p.scdn.co/mp3-preview/68a9c0eb50afb1ae4a962b1f0e822d645547366c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,People,39sJbSgJmIrB9J1pkRbpaX,The 1975,3mIj9lX2MWuHmhNCA7LSCW,People,4CqlHgip2WIdvtqJ8BXMhW,69,not available
68,Warm (feat. HAIM),6iW5pbOAevzr1h2JfdJYpn,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Warm (feat. HAIM),508n1on6AP7aJADtdndtpW,66,https://p.scdn.co/mp3-preview/09e6d9d504e151668e42a3b8251677550dab8d3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
