Fresh Variety,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,C'était mieux avant,52ZKOr9ddG7C6iAkXplq9F,Mikael Vigneau,7etM46AS8HLTharyt6Xrvc,C'était mieux avant,37F6mn1mg6lRseQlsumNVr,41,not available
13,Il est où le SAV ?,5ixvb6gROIBE3BtqP9WtEC,Suzane,00CTomLgA78xvwEwL0woWx,Il est où le SAV ?,0jbPbbw9f6txppGbD5niHV,35,https://p.scdn.co/mp3-preview/48559d57b1589b9304d5381a2f666039946c8213?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Les gens,2RgPLOszO0KYOIeA8LxrE6,Christophe Maé,7jgnJBnpZTiGnCF2Wvka2Z,Les gens,6aoPSt2NivHfTrBmF4F0Ch,57,https://p.scdn.co/mp3-preview/0cde0bd7a0b5613463b8e5614b3d0e5031a5e1ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Accroché à ma terre,7e7nrHmEL2wwe5qb3oVLG8,Les Frangines,2sYOUJa6fNc4ke4Zo6EkZ4,Accroché à ma terre,1cRLAHnL6LlApbzJNd5sAh,48,https://p.scdn.co/mp3-preview/b8bad13017ebda2fb10fcba4a3f32f8113feee72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,L'hymne de la vie,03JIJMS3xCvi6Z8mTICOMq,Kids United Nouvelle Generation,3GjGdUg7HGaoqwMzFBbdqt,L'hymne de la vie,5zi8FmXgjmC42cCCRsAbzp,37,https://p.scdn.co/mp3-preview/b3c0e1fe42ac18aa6f7df5ae9e3b3d8b489aaa34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Devant,4I55xBtAfR3NOhALMExxJB,Erza Muqoli,2LaNU9yZUvApYGMs7lw9bt,Devant,6xScSMyFtH9S0A8xtditoO,39,https://p.scdn.co/mp3-preview/bbae36366516460845f646725f89cf07e7a7be65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Je danse encore,3rofoJXMrBs7CC0u2DnJd4,Bilal Hassani,1eoyu9uAivE7Jwak40J1MW,Je danse encore,72PuhpCYnozD0eQPR8sE8j,43,https://p.scdn.co/mp3-preview/3439fc970cb7a11aef4eccc202aa54347ba0085f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,La fête,5U1AsaskYI09rgYx0MO4Q8,Amel Bent,15jZ8OLtnGATWHlQkltG7f,Demain,2bGhNhs2tNNEPTQkFksRbu,44,not available
20,La mélo,0cL50rqAT6gnhqs2N96Zbq,Yannick Noah,0BCkVcs4QEgfHlvZ7rjSNv,Bonheur indigo,36xACzPzOHOvwVGbCUClPF,43,https://p.scdn.co/mp3-preview/74e02f89b9098462ce6e1324302149ff519becda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,T'es beau comme t'es,1KhlOTzXlfRKhxymhosyqj,Alice on the roof,4M07FSqpxgqLfCOaX1WUei,MADAME,74FHhSeHS8Epvqa2OUAloj,22,https://p.scdn.co/mp3-preview/8ab60c24ea88468045db48eff6e022768829e7e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,A l'envers à l'endroit,28CPM8YSs2ExyGwAm84G2P,Delta,3D7ENEgB9uIGox2uZTSL2R,A l'envers à l'endroit,3WuFYCtcSEaneZB573DSpw,37,https://p.scdn.co/mp3-preview/ba7f5c2d2535e0ff1c9b1df90c1aa467fa242274?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Mon héroïne,3W38mligydw24RmWQlqTGP,Joyce Jonathan,25eQCECJH4VTpBYV9jhpyE,Mon héroïne,5CUh80VlOh5NopAlFfyT9R,48,https://p.scdn.co/mp3-preview/785c772a85c812d4f49b57f18b87ef70fc4c062d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Ainsi valse la vie,1WWliyTPKrrtyvEkB1kHN2,Black M,7lMgpN1tEBQKpRoUMKB8iw,Il était une fois...,1BH6jMwEcgBBGQasjtJ2n9,46,https://p.scdn.co/mp3-preview/6cb3225d9e1e989eb6d3d60ace057c6c4cc02a43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Cause toujours,6EHLB5dwUSppb973UKJ9VI,Gabriella,1WA3tuuJI10x4j7SB1XXf7,Cause toujours - Single,5jlU9gKzNzrm9wPQdM7r86,26,https://p.scdn.co/mp3-preview/c4b560718798a7c55355614cbf638eddf08fed8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Ils me demandent,1EU3KDtcev2vLZqPBM08Gw,Silvàn Areg,4qniyusDz0bXAwut1gisoY,Sur le fil,2KjOvauaKZeWd0nkoOXiZ1,28,https://p.scdn.co/mp3-preview/b53562e8d4a32bfabb52d5a35f1ce17e0916733f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Carrousel,2XJIhWia7PAnGSIScf6rTg,Eli Rose,6RBs2gBQlEgSAITbC9wB6h,Carrousel,4mVeizjCI2mwMDDvsDxn77,44,not available
28,Quand tu es là,2YpyHHOOROp36FxtKwXbs0,Eko Eko,3cxkXrcBFcbFgTmrvG6rOY,Quand tu es là,2sibxnIMnT95V8WSSS7GXf,27,https://p.scdn.co/mp3-preview/5453d1c034efba8ad7c7efdd77e19427b32cf0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Âme seule,7wcskNulK2ebwNwgE4YgvT,Florina,36A47jBnn8HIAks5zKr5Wy,Âme seule,6N7WVz7zna86r7oFrgAgdq,42,not available
30,Reste un peu,4Ais6oNUThXKcNVRPrYlZz,Tom Frager,1N9Xy6x2jTaxMU75aFshoq,Reste un peu,7iBX95L4myf7XxRhSfFuE8,39,https://p.scdn.co/mp3-preview/95592610d79a24c3ebae926125ca339b3c63bbb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Seul à seul,4c9wvZVMi9EMFt74d1HX6B,Aöme,2ylIlV0oukLVNOjsqv6HI8,Seul à seul,6rtBa84tIPrC9TXo8BnsAn,44,https://p.scdn.co/mp3-preview/ffd7438e9c812d1dac701b99935e4d2d75092efc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,ENTRE NOUS,3l7PJfcoz50JeaC2Qgr1Ye,Maxime Seclin,1kB5eqBVho1AHOBfpxGmms,ENTRE NOUS,03KH9zJSTi8S10FNy5OS5A,31,https://p.scdn.co/mp3-preview/adfd741f4b4e2b6396e9364cb45e5420423fb027?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Le pianiste des gares,5o88iVbNVJCHpRfpf0jYad,Maëlle,5Ha8JdCWeJ8vdqEhzgiSU5,Le pianiste des gares,4UQUBAhsyDZglozeNA5Bgi,42,not available
34,Nos belles heures,0dFfq10zNnDbrkMzP5h1Pp,La Deryves,2Xy5B4VG3Q1w10EODepWUk,Nos belles heures,1Jll8I6aQPYhO4rQuaPPyj,37,not available
35,Pour y croire,6pH8AqDkoTMS6oJskD36tI,Emma Vander,3mRmeXEm2js0XTfHFVahuD,Pour y croire,3qt5rhXczvtnq4G376FfZk,32,https://p.scdn.co/mp3-preview/e139958e5a7faeb95d2a5d5fb59cecef446be07f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Si tu dis oui,3nRcYaDWq2n3A1D5NGueTT,Hugo Nogam,3A08xhQd902eJmnI5U0bJe,Si tu dis oui,1oWyYnXd6nEEOxDPuxtH6U,26,https://p.scdn.co/mp3-preview/a6e79440c96143bbed0f0a591c6e082fbf9688b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Les fous,49ZSxyXGpZgN5Xbgg5ais4,YUN,3ubqH7KHuudR4dSQ8P2nmE,Yunatic,6IWgy73BAJbNlXP6TCS9gj,38,https://p.scdn.co/mp3-preview/ceea9f436ee1aba1f6aa27e230046bc218c86678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,100 pas,70dgebZERfohrg8uFG5FjZ,Dixon,44ga4npdjaqD4WGUt8oXXV,100 pas,5reDRFM4PJ0VhiEOB0i6MB,44,not available
39,Le cœur en mille,1ylGNIWYNCSwKurWlGNzBO,Anne Sila,0GejADUuCXsh3pOsfTqHv5,Fruit défendu,6f62ETVFse6Q7waMUno5UB,33,not available
40,Todo Esta Bien,5L7PVxJvF5TzOKhQpZMonD,Yannick Noah,0BCkVcs4QEgfHlvZ7rjSNv,Todo Esta Bien,15wzYJV6GdxykdNKqnLytG,32,not available
41,Cool,7opHjZLox9Hu5mQsmM7NzU,Ehla,5KXt8UHaa6JBSYltw052Cp,Cool,7uK1mW7KPUrFYN9EgmsXyg,37,https://p.scdn.co/mp3-preview/ef0a752cf611847f629813e8884deca1d9266c26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ainsi font,39qCwW9YXVgHdWJBGXlo72,Naestro,3UP5WnnFrMhewKp7cGeqQx,Ainsi font,5rp92eNZZuSa3HU9IVOipR,41,https://p.scdn.co/mp3-preview/a0aae93265c7ef333db7c9d291a46f22f3cc531e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,"Aïe, aïe, aïe",0mZmj0tyrQxkWU5n3Car5d,Dante,2yQRRlgeqpxxZvRXt1ahSV,"Aïe, aïe, aïe",1g1RvGEXP9V7aww4KSbd6L,37,not available
44,"Panthère, lionne et jaguar",51F9XgWC0Zy87mHykh1XLF,Noémie,6I4Y1OpnBcs0srZPVBGAxO,Fragile,1zRABEOC97nk4w6TqDUud5,32,https://p.scdn.co/mp3-preview/7d2880be783564292aff6da7b4c0b8b2027de6df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sans amour on n'est rien,5E2hyZhNZiuljQ8azLruN9,New Gypsies,5n36QCKo80IWOm6EDB6OBo,Sans amour on n'est rien,7zWNcCfGGHWlI1YINA5BiS,44,https://p.scdn.co/mp3-preview/2cb10991640b4aada277ffffa4cde18afa827f16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Y'a plus de saisons,3Ue3LFw5y6xNRW3b9Jt63Q,Gauvain Sers,3lx6C79jX79Qzo6yoC5Pyk,Y'a plus de saisons,0Fh7cMnO4NvCcZ5DA7pVfC,40,not available
47,Jaimalé,6Oun8ZZ4HVEr78Xksp9W4M,Andriamad,48TEPWuSU7KRr5sFpafo5q,Jaimalé,7cqZhfd431XSZwk91fcbtz,38,https://p.scdn.co/mp3-preview/2e60bee344954268f38931d41581b2d8276138b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Essayer,1BJEH25iCCTgTXkod9k6c7,Arcadian,6AsX53NZ0rVrVnlKLy1KvR,Marche ou rêve,7e563NodwxSoe4CF2PWVX6,33,not available
49,Origami,4hOZoo0MPTryIYAGzBNdKI,Amoure,5q8R9nh6p2UmgIo45lZnCk,Origami,4Q4H2eYKmBEFwHG8ernWiW,33,not available
50,T'emballer,0ltuxIy8b0Ps8nCLSxEUca,Lenni-Kim,1PVmM2c79UdIymMzxYlywJ,18,7GRnziu3TYW0IowgUIMcve,42,https://p.scdn.co/mp3-preview/ee339bdc1c85306a025c149a76b1ef5c39509455?cid=fa83a2fec7c440b7a2795d600d6b2c7e
