Rap Diggers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
38,Première Salass,3zDQDeq68XHcEXLbnRTg66,CG6,3i3yb6Daaf3z6OLKvMFqlK,Première Salass,2UNTdkftjiuP5YGDkaf0v8,53,https://p.scdn.co/mp3-preview/61cb88efcfad1da5ba1124b01d5f615289e8907b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Freestyle Grigny Wood,7qPitZ1jCqV6C2MAtEkmee,DENZO,1pQtc9O0CKJYhvaICw39z9,Freestyle Grigny Wood,4mLgNBKJi1Jp00BYI8u1ai,49,https://p.scdn.co/mp3-preview/c4d867bdc5fa1150c48bbab0a6de1b0b5dc0d150?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Benef (feat. Leto),2o7ExoqLuR89DoBhli5zTZ,Dinor rdt,3RJNCnIkqvVwEicgGo2nqJ,Benef (feat. Leto),0N5elCdys39dgyA5gJMSVp,49,https://p.scdn.co/mp3-preview/232397ce1b2e1469198e887cb49193246ed67d8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,GTA#3,0mghwnWJcqCrrzPLonD1KY,DINOR,5XlYnxW59BCChXAYPZ5IaH,GTA#3,0QvTJwtqjnkGBEYMcuWsNh,40,https://p.scdn.co/mp3-preview/d012313aa9a03d777a8aab649de7848ba84d1188?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Bikini Botoom,7ck3Zp1I5j7Aw7ppz6oTuc,Chily,0mnNM5o7vtxo3ivC7Tmoah,En attendant...,72LJ9w3gICvghgBYf2i9px,48,https://p.scdn.co/mp3-preview/c38dc90c2d0f6e412605938d6a813cd3c33efca5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Marabout,1hXVJHCfjccdW1WXwf9ueE,Key Largo,4LuLF5H9fe5ViyDQb9Zxmt,Marabout,4NPl3EqhFZOAqogxF5tV51,57,not available
44,Pinocchio (feat. Leto),0PiC0aj0SGkvvUcXJPu5L8,Ismo Z17,2flTkRWXExICi9z6DFL2nf,Pinocchio (feat. Leto),1YYOaSYXZnup32y3ecL8C5,39,https://p.scdn.co/mp3-preview/bc87bc7528f4cebda027f96687be98c78fb5564e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Cru #3,1tI4F1ofB1ixivaNYRxkFI,Key Largo,4LuLF5H9fe5ViyDQb9Zxmt,Cru #3,1sPYD5FSbP9klRTN4noR9W,47,not available
46,Trois (Freestyle Rapelite),42Oe6GX3cXRthdoLIDapSk,Mous-K,3Gcn7eKPiTv6jwqoyIhVMO,Trois (Freestyle Rapelite),6JqDJqbf1aZPtCaij3dnqF,29,https://p.scdn.co/mp3-preview/adda16e21ba1f9d7f73419ce0f233a9a2d7f3b5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Champion - Freestyle,3RntEjM4vnrRDQO77OZxni,Zkr,2yJ6lsLqG06r9bckSTQRt4,Champion (Freestyle),0aoCdaG0pakY5105XmNkmD,47,https://p.scdn.co/mp3-preview/68d0e16aae893666927980a3767501100bf7c379?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Millions,23qtkKdtDdTtc8uBVTSpgE,Midox,2BhXYx50TSuapWPVN9sYH0,Millions,3vGkCDBfrfwkXSWz04Z4sJ,34,https://p.scdn.co/mp3-preview/e3f9ca5e860d151e0ccd4669c3f8d6f06c1a8bc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,FAKE,5V9NHFEwOdrz5ghcprWOiz,Pin'l,3Ytp23V62rxahMJBIxkytt,FAKE,2NWhEIswfafkFfcjCUKYER,27,https://p.scdn.co/mp3-preview/0145c86408f247fac5cc66e62de8bc3eb422815c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Bébédamour,6239r4WLLS6ybRikf4i3UQ,Cœur,0Rw13w5C5V7lxvBaJiDhFd,Bébédamour,0wsacEiwOGUXBNVNotEqj1,26,https://p.scdn.co/mp3-preview/3872a50a64cb03df280b48a64b87b335291167ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
