Dancefloor Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Another Chance - Radio Edit,0EvphKjVl4hVGvvAFYoJt1,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Dance Floor Anthems,7yhnBLWv6EZ5BRY8oYLdYC,59,https://p.scdn.co/mp3-preview/e4fe82db9241ef04a792bd58e20f853d9403df01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Born Slippy (Nuxx) - Radio Edit,3bUNyRrTFJDd4mqvUcb1Aa,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Born Slippy (Nuxx) [Radio Edit],6p7gQ5S39dLxMvyqqnP9Qd,54,not available
26,Gym tonic - Original,4DgPcCPpxVN28ZOQBZBhu4,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Paradise,2ZHeCVucwVH7H3qC4abtTd,44,https://p.scdn.co/mp3-preview/b514742ae528a78e5fc4f0b678a87640baca3f57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,The Rhythm of the Night,0ofMkI3jzmGCElAOgOLeo3,Corona,26T6b8maqEVltcmE4kSDUl,The Rhythm of the Night,6rrPmmb2lQd5pNRL6HKBZx,69,https://p.scdn.co/mp3-preview/7b4d293b8e25bd860a4c12017647a900a75d8611?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,One More Time,0DiWol3AO6WpXZgp0goxAV,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Discovery,2noRn2Aes5aoNVsU6iWThc,75,https://p.scdn.co/mp3-preview/c27897e8eb4c0910e052c9beb6711432f3630879?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Lady - Hear Me Tonight,49X0LAl6faAusYq02PRAY6,Modjo,0AkpPlFLnr0VQwZQeMGht0,Modjo (Remastered),0vwDxngkhZuwNbcxzebCXI,68,https://p.scdn.co/mp3-preview/70879783cc51d0acd3724e3df8c22b53491d57c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Most Precious Love (feat. Barbara Tucker) [Radio Edit],03K8qqBPNHXSqvMZXENYJd,Blaze,5yK5YSsWKH35QRTsHQHxEN,Most Precious Love (feat. Barbara Tucker),7GQvkHpvuvUnWU9sGh2fod,38,https://p.scdn.co/mp3-preview/3ece6340f3a7a7d6385d2a5cf4f0420336972954?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Free - Mood II Swing Radio Edit,0dc6CJ6BsiKxyPvW4yABLo,Ultra Nate,1cK2Abwkni7m51wJCSGllN,Free,6TpwXfNBW8BSwCAuBDjJSN,61,https://p.scdn.co/mp3-preview/f31c5e6571324aac294c10a8bf60adac06f8e00f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Babarabatiri - Tee's Unreleased Mix,4QYOOFGt0FQwZTNmHtCG0e,Todd Terry,3dE92yGWcrboP1kC5SWyqu,"Todd Terry's Rare Grooves, Vol V",5tQND7P3rImfSEIIumusTQ,29,https://p.scdn.co/mp3-preview/75dc510642fb8972cef0bc4d236dd8caa5004468?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Levels - Radio Edit,0JhKJg5ejeQ8jq89UQtnw8,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Levels,4mkvtXQd6rD7zuAHhexEvb,23,not available
34,We Gonna Get - Extended Mix,2dBkwROSx4locCEDa9uc2X,R.A.F. by Picotto,3NKHTpgnuPdHHNbOOa8GAS,We gonna get...,2aKxKRHOWnjESLIMN8wtUm,14,https://p.scdn.co/mp3-preview/0dc6abff4b1663a4ced7e89144e41d29d43c4bf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,The Weekend - Radio Edit,4c2wdAMuL7KkGVeyRqmYQu,Michael Gray,2aM5jpQ0WTcQDeHsil8Ihz,The Weekend,1XZgd0Eg278X2wZh2b9bOF,43,https://p.scdn.co/mp3-preview/284f92eea20a85bebf625feda8a4aa024942f0a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
