Salut les yéyés,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
27,C'est pas sérieux,42qeNYv2wPMRVu3C2OJrHZ,Les Chats Sauvages,60U5Nsvpj5mJics5PcIkmd,Est-ce que tu le sais ? (avec Dick Rivers),2eusU9U7fLiHhsQwoiFiou,32,https://p.scdn.co/mp3-preview/5863a6f9c6791cd8b44e916b4775187b09faafa1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Mon amie la rose,1rMX4XuW4KzgYlAyEaDmpO,Françoise Hardy,7x3f7c0fBanNlQwpx1255g,Mon Amie La Rose,00r4Bh9aFIb7yHux1Kg0ub,39,https://p.scdn.co/mp3-preview/2f616fe51facdcf24bc6f02ad8650c46913c436e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Il fait trop beau pour travailler,4Xt6do7xmBqVEs1G6vkPlh,Les Parisiennes,5pUSLCL3Tsju3SPCEYsr2H,Il Fait Trop Beau Pour Travailler,3qYJhooIMPsv0O501RunHQ,31,not available
30,Butterfly,72rLswhYvQz9LRx3LogMIW,Danyel Gerard,18wc7xvm8Ti7rqoLtf6jIU,Butterfly,72O3ydJomCcEjETdt0UtIq,44,https://p.scdn.co/mp3-preview/b7873808176c1d6e3736ecdbaab1f975ec1d030c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,La nuit n'en finit plus,7axtIlOwGp7VqvfOQf6Mhb,Petula Clark,6nKqt1nbSBEq3iUXD1Xgz8,C'est Ma Chanson,2IaUpJITUIyHRebMM2ANy1,44,https://p.scdn.co/mp3-preview/755d7717e8a427549b72eb18f4505d98990cf087?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Un homme et une femme,41GeHFz9Rga2ZigTfd7UPh,Nicole Croisille,6nKiMtIgRJLOREJtl0eBfV,Un homme et une femme (Original Motion Picture Soundtrack),4GU4TR3nIDycmrQyGE7wpk,36,https://p.scdn.co/mp3-preview/3cc3169025a960749a224b27a65a11315eea0595?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,La Plus Belle Pour Aller Danser,5iJRjhwDCnhLBoGLrXr0jj,Sylvie Vartan,3Zi9cVUyWeAFjxEHn3bCqZ,Sylvie Vartan,0ZXogrtxGD1Uz4CrlcoAmp,1,not available
34,La javanaise,6wV31VHHbmA5C7vl08HA7S,Serge Gainsbourg,01C9OoXDvCKkGcf735Tcfo,N°4,0ChLtqgbEO6vTIQVYQcxc3,5,not available
35,Demain tu te maries,3kTJxfzoOtGJEWI4PyVTBh,Patricia Carli,4PHyWpnVszadob2b7JchO3,Tendres Annees,1cujiC73efahJ1w1RQ7QuG,30,not available
36,Il a le Truc,70fuO7PxNJXxtApu6Vki8e,Les Gam's,5yj1bCBGvwhFRgYuKZgHqa,Les Gam's,6ktDHC59EX6rpC3RFjFCIW,26,https://p.scdn.co/mp3-preview/5a5ddaa3faebf37a2c5485b1b97423f536148e00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,7 Heure Du Mat,5sVA72TQmjb4lqIt00jAaZ,Jacqueline Taieb,2gaXk926O69Od01e5CSFdH,The French Mademoiselle,2iFYrUwMGHs4DwAJ94RxuW,44,https://p.scdn.co/mp3-preview/58d150c2b899dde9be3924ba6bf87b855d958ee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Un verre de whisky,5vZyhXFTYPEjKJ8gilY5Pt,Monty,0G1ZWqdqoswVQhfZZEgl3I,Monty Tendres Années 60,4r1cDqQztqmJ5lpxKiTsrP,25,not available
39,Salut les copains,0h1Yfiy1LEHsyQTzGIZklu,Gilbert Bécaud,31GFatrHl2ijnS4ZAWA9s0,Salut les copains,5FDxqiMUFTJvINVP4N6K7K,29,https://p.scdn.co/mp3-preview/f920a2c89b966f4a2b2c98e89c96b9fdb9f7d947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Dans mes bras oublie ta peine,0q4gNGS2rCxzbpiJvE7R2D,Michèle Torr,0eaTYkUQnI2gRaYwT0nWNF,Tendres Annees,5ka3kH5QiNRqPJr0HvTSmY,0,not available
