Encore,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Let It Happen,2X485T9Z5Ly0xyaghN73ed,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Currents,79dL7FLiJFOO0EoehUHQBv,75,not available
11,Set to Attack,7sI80PK0P3tDCvULKszqzL,"Albert Hammond, Jr.",1Li0eIWeMeWcOOWpImcG9H,Francis Trouble,3SwIjv6JSHkY14XUbOAtkp,56,https://p.scdn.co/mp3-preview/7a0bd85559f6fb717c5fc68b27a661912b36df65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Away Away,2B8VEO8a9zIFs0ILrKw4uz,Ibeyi,5Q8NEHGX70m1kkojbtm8wa,Ash,3AfBuChwSzSSufGjTAafzt,44,https://p.scdn.co/mp3-preview/b50a61bbe35a6a1c01cbda855cad7b11ce291f5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Love Is Mystical,12pdXFcruNcPUbZypKUDgz,Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,LA DIVINE,7ivgZAxvcUXk33Jk4Hi7On,64,not available
14,Leave It In My Dreams,31u6rUeIEXGrYVoh10U7eu,The Voidz,4nUBBtLtzqZGpdiynTJbYJ,Virtue,2dMmcXlG8xtRJNlsjIrPWe,57,https://p.scdn.co/mp3-preview/2f09515ada3fa456f0b4d642b786959b0525e492?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Happy Man,5nF6drlQTtXc5iThQoyONB,Jungle,59oA5WbbQvomJz2BuRG071,For Ever,1VZxGX1lzF1QjY5QofhC5r,64,https://p.scdn.co/mp3-preview/e6a875fd76db4ccfc0e1cae8f6f6dcf99c887602?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Cold,2mxOqLhFdohxDtHLGpn6u0,Editors,6e9wIFWhBPHLE9bXK8gtBI,Violence,6sA3KrkfzaNnbrrbry7vvH,50,https://p.scdn.co/mp3-preview/9c2d4a3364b675fe532901ffda2b899c598d3cc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Superposition,67YPjbcxUypwNOwYBZquq1,Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Mirror Master,6blMxezujKgPe8HjHNveuG,70,https://p.scdn.co/mp3-preview/cfc38d04c11c480d14bb1a7ae487815d0d5d0a3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Chateau,2Jx22hR70SIHy871pSELZ0,Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,Snow,0uXcWbEucxyDFmLncNn4Vw,49,https://p.scdn.co/mp3-preview/af7c2e53f137173c0a8aed5abc832768b5f6addc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,J-Boy,3yw4kKq5dcfCEV6lvIwwPx,Phoenix,1xU878Z1QtBldR7ru9owdU,Ti Amo,6kcDKcht2MzEizeqtioYtP,51,https://p.scdn.co/mp3-preview/43b81c93ea3ffbcab13e964700b9969ee5e79e73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Turn,11IJA30efHAJLO3qroPh5L,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,Beautiful People Will Ruin Your Life,4kUbTSoTsbKP5MRdYMDBx1,65,https://p.scdn.co/mp3-preview/e85b7db61e6c5ecbccebf62a0df129a39c97d8ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,What We've Drawn,3xFYYqNfLlnh8d0lDoZ6c5,FUZETA,1qlyhk1POBMOFpQ7LNANSO,What We've Drawn,4aFtuS6n6lPUpQLcuL5Cys,27,https://p.scdn.co/mp3-preview/b356e6fbd5a77533d8dba905490e6f538244e284?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Need a Little Time,5rK5WGkjMFWK2ZFiLouvAk,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y,Tell Me How You Really Feel,3jEJprNMZP5MhTkzPRMOGe,4,not available
23,Bad Dreams,7LWh2SKeUwFDJLRnE5fIG6,Pete Yorn,5l2EAkfckNPYZbEDbQtEkO,Apart,19Kj3VuXLp7tCRWqq0h4l3,40,not available
24,Vertigo,1kDL4EErmvXdQCZRJoJHQn,Mini Mansions,07xbJ7SM1JopFtI1qXvSww,The Great Pretenders,4gX4fRhNwcocF3EnwwNUkX,45,not available
25,Humility (feat. George Benson),3NeiYiBn3rQBgurfVk92Zm,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,The Now Now,1amYhlukNF8WdaQC3gKkgL,68,https://p.scdn.co/mp3-preview/4dc467e43d908a93c3808055c766661f1157ed56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,My Cheating Heart,0Hf2ugXJWf1euRLEV2MS8H,Love Fame Tragedy,04Ye3owBSFJF5hnYWHtq9Q,My Cheating Heart,48AV1oGZAQ5N1bMYbVgz52,55,not available
27,Spent the Day in Bed,1pkb7eplZ7xGrijYN0FyUh,Morrissey,3iTsJGG39nMg9YiolUgLMQ,Low in High School,1beCGiP2LRkyDq6zmbyF6w,54,https://p.scdn.co/mp3-preview/07b8eb3b21455c6794113e64b5059c4f6ae1de5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Almost (Sweet Music),7uttm8Iurm5uK67Vr9G2Sp,Hozier,2FXC3k01G6Gw61bmprjgqS,"Wasteland, Baby!",5j1ZsFyNCsnt62prbs85eE,72,not available
29,Radiate,6GiKainz4Uppq7diGEtctO,Jeanne Added,5TEGxYftTkeKmLXkZjHNUE,Radiate,4SdrMDmAcOBAi1goyDHxO2,49,https://p.scdn.co/mp3-preview/6509238b1160cd74f61acef817ca7b49eaa2261c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Stuck,0x8VeSHmhbRl9EUAdsEx6A,The Aces,2AmfMGi3WZMxqFDHissIAe,I Don't Like Being Honest,5kZtMQfFg0BMibHRGi6ghX,55,https://p.scdn.co/mp3-preview/0a4b00ae1e9d778b1380b87e04f768eb0d730aa0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Deadly Valentine (Radio Edit),0NHCPU8QNMJUUdIkd9qhro,Charlotte Gainsbourg,2rBcvLKWCZs9w1qIWv560v,Deadly Valentine (Radio Edit),4cknZLXuSNQSSRD0L5CzY0,48,https://p.scdn.co/mp3-preview/2d5a95779241d8a45015dbba16a9495992c9125d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Hunger,6Ju28M6P8Y8sLjBgWjyUUD,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,High As Hope,0pKZJj9GzcKPCS8r4IaksA,68,not available
33,Nothing Left Behind,5oesdtnfEkDdImVtwngODg,Sage,5dDQASlR9FyeP4VO0jw35F,Paint Myself,4BhK7NpYuRvOVfbDIxpDZp,49,https://p.scdn.co/mp3-preview/a09b4f658486964b1c03373e70b246b0b7bc74f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,A Trick of the Light,1rCPg5GOtes0FIo1BzgvUi,Villagers,2m1l9MLSslzup4vvokKgvQ,The Art Of Pretending To Swim,5qhqqenkgCAp3mCKczvvNU,56,https://p.scdn.co/mp3-preview/921416630b23661dc68d2365d02e90bb6e7856ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,The Man,5aWhs651KYM26HYM16kRdk,The Killers,0C0XlULifJtAgn6ZNCW2eu,Wonderful Wonderful,72ZfMxLCPG8mlWC0TXfZQi,69,not available
36,Come Home,0qaZqZWOcHUJLRWjw1ivKi,The Undercover Dream Lovers,4D42J3IJpcTm3zxzmZ7TCV,Come Home,5yEry1EV43XyEFXPI52Klw,34,not available
37,In The Dark,2NdcFKNX740O0ZdQ7fNKuu,Owlle,05jcn5u3ZDqfA1QfdKx2Y8,Heavy Weather,3lxAp2lhaD858BCmDKDpn2,35,https://p.scdn.co/mp3-preview/9789b6e6442cc60dbabe79636ab50a420a6bd10f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Don’t Beat the Girl out of My Boy,1eQN2B11BU0sIqBGAGnwsH,Anna Calvi,50sSN9E5i4DJzYDclAXlSo,Hunter,4i2XIJtswPyQE6G46wpKpH,47,https://p.scdn.co/mp3-preview/6943f329f63742c93711da04a8b0289732a6caff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Somebody Else,4m0q0xQ2BNl9SCAGKyfiGZ,The 1975,3mIj9lX2MWuHmhNCA7LSCW,"I like it when you sleep, for you are so beautiful yet so unaware of it",12zl1WmHPFCSyKYbL4vBZn,74,not available
40,Hell of a Party,1afQuq2AwBUKsx5PCai0QR,All Tvvins,7F0pUx0AO9CXaNbCoxbbNX,Hell of a Party,4cBSIJgG2uE9vpLQRg67LG,5,https://p.scdn.co/mp3-preview/bee906ee6a55e6e1e2dbdbe2bbcea5d1e49533bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Dreams,14zhqtMI5xHrfCFCLhFcsn,Beck,3vbKDsSS70ZX9D2OcvbZmS,Colors,6BOQkxcHspMoRWEwEexf4l,60,not available
42,Something For Your M.I.N.D.,4rCKRVJZKVysScn2piDuOT,Superorganism,0Wkm45quqfx3NepJpXDvwE,Superorganism,15TFB6uLZlb3gnCysRrLix,55,https://p.scdn.co/mp3-preview/14e41464fbc4eed0ab4afca7663aa999612a4f14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,In Cold Blood,5QD4hHEv8812JagZlH1MMy,alt-J,3XHO7cRUPCLOr6jwp8vsx5,RELAXER,3lBPyXvg1hhoJ1REnw80fZ,60,https://p.scdn.co/mp3-preview/c34ce648f5ca9a80d09da2d6e95d2e0d681d5604?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Old Downtown,07J5gvVBcXUPcsa9KVYwHu,Camp Claude,0TNyEQ0n7diilLgG1ozfrB,Double Dreaming,5PBqGLgvSKClWG2nc8jnQJ,53,https://p.scdn.co/mp3-preview/6cd0c7161c7388ee149207b044156cc7943ba19e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Fever,6bHcqaT77cx1FvDQU0lUjN,Balthazar,4oMBP1OWXtmxyDhAj2aRyQ,Fever,4bhKV9uO8nvqIyPNdbhq50,46,https://p.scdn.co/mp3-preview/b612f7ce2bca041886fd83dcb64ffe3e8441e99d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Mountain,1fZudtqtiECOWHwQ3Eq1nj,Jonathan Jeremiah,2TdWlAJcUHu32O3Yld3rsU,Good Day,0sy0jJq87Fg1yweJWosVkE,3,not available
47,On Hold,5CPqOpKSk0QcJ3dGdaWcRB,The xx,3iOvXCl6edW5Um0fXEBRXy,I See You,2PXy9USZAoTSdtrxfkPBnl,65,https://p.scdn.co/mp3-preview/053920f48e98d5cc0cb3de9b1ae69fe01c9f865c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Shadow People (feat. Emmanuelle Seigner),4plnlguZE2nUY46FLYAr7m,The Limiñanas,2joJCoCL4EmiVqic3vZn7n,Shadow People,7efF3kKWZRqUmj0HSSjpgG,35,https://p.scdn.co/mp3-preview/b7d0ca7400f5f92529fc21f82ac2fc5c3668e7ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Northern Lights,28QF5ELXqDnaBjPjGTlzAK,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Thank You for Today,6agCM9GJcebduMddgFmgsO,58,https://p.scdn.co/mp3-preview/2d0c15bdecdcf8e1ff31e5cd8ef657cdc866a650?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Loaded,091QeYor0DTf2kdhkKk3xk,Miles Kane,3M0H4efyA5YcijrKlaKbYn,Coup De Grace,6aeQVwrZZu7wDpFMtTApyC,46,not available
