Pop Rock Shot,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Somebody To Love,0yc37FvbXRwwFaQxzpxbsd,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Somebody To Love,1YjQ5Q5ptRnQcT4P6nSCyt,77,not available
37,Hold Me While You Wait,6700Z4Izi8EbB6JNthU6Ma,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Hold Me While You Wait,1yDDPX98edTDjG5hFqY2xL,77,not available
38,Got It In You,3og4Q2XDHXowizKTDdn9vO,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,Got It In You,0JReeudBVM7GFqC97DhBsj,61,not available
39,Just You and I,03x2rVJRFUrvwlfxoHd9Mo,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,What a Time To Be Alive,3Qa0qW4ged1J4HGeLXbFsC,71,https://p.scdn.co/mp3-preview/c6bb499f1f4754937f694cef3870969014b0d814?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Fools,7a0VLUciBUdE2RmpEnod9O,ufo ufo,1TsvuGn3XJ4F04fRavTonu,Fools,1pKwcCYYMtYWsKnXvpmNYP,58,https://p.scdn.co/mp3-preview/9bc29627e328729192ace8ea391ec2af759800a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Beautiful Drama,38SDejGuFWMELVl8B9Ut4B,The Faim,6VsU92soWFLtVsSP65rkrN,State of Mind,0C8bAFI1POhzztBVShuzll,47,https://p.scdn.co/mp3-preview/9b51e1a7589743ec2a8c2a6b2785cb7940072cf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Record Collection,1xmMcAcwZdOS7r0Eurw15a,Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt,Record Collection,663jtJUXhWADRwBLDZe3fV,54,not available
43,Joy,6Tt1P5CLUrl59oSOTVxON0,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Doom Days,2QzbL1DICo4xZnWr8Sw4fF,75,not available
44,Nunchuk,0WPPb5KwaOQOqdGK2LwJQr,SAINT PHNX,1Tdg7NIdyWx9icE2GNZzxk,Nunchuk,36zbOvGsr2T4AjJ60ZEFv4,53,https://p.scdn.co/mp3-preview/ff05158b2de74e628feda9b956061a2355cab5c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,A New Way,0qfFhl3d2x5ttzIxWggvNg,morgxn,034u8Qcs47NHkRQXaWkLXW,A New Way,45E35VKMcXbiuRYUR5MTxJ,52,not available
46,Hallucinations,7zpMz3am0n83WmDxVqp9GQ,PVRIS,6oFs3qk4VepIVFdoD4jmsy,Hallucinations,7sT2KnQBRad6Wd9yeEYyuL,64,https://p.scdn.co/mp3-preview/a52b916d4e3bdc2756a4deb91dfbff9a2d3db72f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Kiss My Fat Ass,2wqXDTsbW8Rm6LFE9FAKBE,Sheppard,6VxCmtR7S3yz4vnzsJqhSV,Kiss My Fat Ass,2VCWMx50dYZqX9WptIrg90,41,https://p.scdn.co/mp3-preview/2e4daa9f053f0d9123c1a7e5ababbfa3b8e7367f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,The Hype - Alt Mix,7Itd8eCaUVtRelPuCkXYhS,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,The Hype (Alt Mix),36yNEpiZYBDNUAuhh7QhoQ,61,https://p.scdn.co/mp3-preview/9c1f52d3eee7a7699c6ddafbc9c8db51104ffa96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Now's The Time,5LauJCok8UqqmVaYUl2hqn,Moon Taxi,5DK8eK7fjvRsziXzyr3sFA,Now's The Time / This World,2Hd9uC27KfuVTRo4vECgQY,48,https://p.scdn.co/mp3-preview/b5b73018b79e5eac64ad10af0fe2dd9dde1dbb57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,High Definition,2Pi7PgyV0CsV2E7uAfx7gY,Waterparks,3QaxveoTiMetZCMp1sftiu,High Definition,3fuEDlz9xcPzsVIBAlVSOQ,57,https://p.scdn.co/mp3-preview/1a444df3d56ebe9e00fda076db8ffe12357da57c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
