The Sound of Franz Ferdinand,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Glimpse Of Love - Version,1frCKo4D3lktaPHfkyEuHo,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Glimpse Of Love (Version),00QZwWAPxKsYAFt9TStIKL,34,https://p.scdn.co/mp3-preview/b7bac94769ab3c9607cb77f0d51d56e9f931da76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Evil Eye,6NlE71TbUglmKQVLhE1H8R,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",5W7631WJASasWPAFFzDpzi,55,https://p.scdn.co/mp3-preview/a81b5bb45adf4ce5075ca9a1ef0e5020a4f34a2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Walk Away,3o4pHqlbe6Ehev2lYnIh5T,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,You Could Have It So Much Better,3GNG4NPXfTeIGYjZ2FpS6P,50,https://p.scdn.co/mp3-preview/ebb4660d94449e1b2525a0b77e740a9316c5e8ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Paper Cages,1t18idTmPA3sWLxYUWwesw,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Always Ascending,5mGnBhRKFyZ3hcqNJLl08W,43,https://p.scdn.co/mp3-preview/0689c0077af21bf87a2f4a29025728213cdca147?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Can't Stop Feeling,6Sz2zx93Rbvu6eS0YSynQa,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Tonight,6ppF24fU5pqbPrPuK5zVnS,38,https://p.scdn.co/mp3-preview/b6e7adc28b29552531d580c1afe8901f75a5c307?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Fallen,4jmwrforqDiwPyUkbegXHZ,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,You Could Have It So Much Better,3GNG4NPXfTeIGYjZ2FpS6P,42,https://p.scdn.co/mp3-preview/d5dcd7c7da3ddb95de62128e12024204062c171a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,This Fire,3Obu3jvFSfgLF3pSbi64Vj,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,0vi5ePiEHrGZJF7QhnDW2z,49,https://p.scdn.co/mp3-preview/eb713a36c1f11059d574a73e479343c6b21d46bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Jacqueline,3tc0yir2NHwhzVWZnmukhS,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,0vi5ePiEHrGZJF7QhnDW2z,43,https://p.scdn.co/mp3-preview/9af42388025bd46784c823a657d3a483b210c7df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Tell Her Tonight,3pqRRxH5x9oVPwh9i9UFZA,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,0vi5ePiEHrGZJF7QhnDW2z,40,https://p.scdn.co/mp3-preview/5dc4fa062e5e0c7e3bd5d4c3462076f603486fc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Stand On the Horizon,7mexukWpLrCVwAztkM8kQl,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",5W7631WJASasWPAFFzDpzi,48,https://p.scdn.co/mp3-preview/51810571888ac911958716e51f4da7b6a55ef9cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Ulysses,0WZQXhz9tAPWSxp56qSdV1,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Ulysses,1eUwE7fZDLerYqNuVZvKtq,21,https://p.scdn.co/mp3-preview/976b661c45526785e9fb1c3b2907f0e1cf1ebb5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Bullet,5X9DtVEeUWpfPgSwhbyxXk,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",5W7631WJASasWPAFFzDpzi,45,https://p.scdn.co/mp3-preview/49e168244d5199256765ed2063856d6b0461043f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,40',3Am4yxuwBTorY6kaqX31zE,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,0vi5ePiEHrGZJF7QhnDW2z,41,https://p.scdn.co/mp3-preview/8ca43ecf652659d71f6c12e186051a80dd6594ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Auf Achse,01KurZH1ejoarO8tp3wXGo,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,0vi5ePiEHrGZJF7QhnDW2z,38,https://p.scdn.co/mp3-preview/d649b9145c704af9647769f074b1c715c335e9c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Feel The Love Go - Âme Remix,5palpG9etckIfqjrGudjZl,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Feel The Love Go (Remixes),2zVJkwBmCwyPShOsbc7Usj,34,https://p.scdn.co/mp3-preview/9794d68bef9b5b6027aaa080592496af3c369ac7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Glimpse Of Love - Nightwave 6am Remix,10P6Wb4k29EI4TqAihgzPA,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Glimpse Of Love (Nightwave 6am Remix),0x2aAgHfE5spB3Tpxwgaud,28,https://p.scdn.co/mp3-preview/d28c76b690629d797bfb81b4a0838127896cb8cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
