"Happy #QueenBday, Beyoncé!",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,P.Y.T. (Pretty Young Thing),5lA3pwMkBdd24StM90QrNR,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Thriller 25 Super Deluxe Edition,1C2h7mLntPSeVYciMRTF4a,72,https://p.scdn.co/mp3-preview/575230ca230ab7a79f1b2980e303d7f1612073f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ego - Remix,1tta4aktfa50BLaCttgl1T,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Above And Beyoncé Dance Mixes,7sJrStyxsdgeQOUlBszizA,42,https://p.scdn.co/mp3-preview/10e71ef46e729d6b8e8b753eef1ba73fab010d58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Fantasy,6xkryXuiZU360Lngd4sx13,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Daydream,1ibYM4abQtSVQFQWvDSo4J,68,https://p.scdn.co/mp3-preview/e21e6540a41559957c02ec623c620c03646686ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Bootylicious,41nT1Sp6ChR65FbsdLlFHW,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,Survivor,2HcjLD0ButtKsQYqzoyOx9,63,https://p.scdn.co/mp3-preview/744f405691f6a13bc60ebce53b10c0cf68d8ded2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Whitney,5Vdzprr5cOqXQo44eHeV7t,81,https://p.scdn.co/mp3-preview/3bb02cefe0aca5129bb4be624a3f0dba6f31409f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,End of Time,3FPUFltTjg6ClUL2wr9ux6,Beyoncé,6vWDO969PvNqNYHIOW5v0m,4,1gIC63gC3B7o7FfpPACZQJ,65,https://p.scdn.co/mp3-preview/14a554bb96c74422fe0a23a54993f63b4de13643?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,CHA CHA,44Xgp13T5ab99beJ0edP6b,DRAM,5M0lbkGluOPXLeFjApw8r8,#1EpicEP,2ulZfOND4JRQiNxK0wki4z,50,https://p.scdn.co/mp3-preview/5ab02c33ed947c2a0c427635f79c5e505269bfe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Drunk in Love,6jG2YzhxptolDzLHTGLt7S,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,72,https://p.scdn.co/mp3-preview/7052c45ae9298c38fdbd1b45bec7fc5f554fafa0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Survivor,2Mpj1Ul5OFPyyP4wB62Rvi,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,Survivor,2HcjLD0ButtKsQYqzoyOx9,71,https://p.scdn.co/mp3-preview/c48860e5c7ce2f6a312b6bc4efd16de85ec49216?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Feeling Myself,5fyIGoaaKelzdyW8ELhYJZ,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,The Pinkprint (Deluxe),5ooCuPIk58IwSo6DRr1JCu,66,not available
20,Diva,5Ssv6DaKrW0HczVqx6zXdl,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE,23Y5wdyP5byMFktZf8AcWU,62,https://p.scdn.co/mp3-preview/e97d79b76bcb980f9701567b0832d2ebea780a6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Lean On (feat. MØ & DJ Snake),4vS8VaBwJJV5Ry7UFIQuoo,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Peace Is The Mission,4DOcG4A40Wf3q2vPNGQwQg,12,not available
22,Run the World (Girls),1uXbwHHfgsXcUKfSZw5ZJ0,Beyoncé,6vWDO969PvNqNYHIOW5v0m,4,1gIC63gC3B7o7FfpPACZQJ,74,https://p.scdn.co/mp3-preview/c5e90d8d93467fc4aeda29c2cbefaa494081232a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Partition,5hgnY0mVcVetszbb85qeDg,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,71,https://p.scdn.co/mp3-preview/8ecd5010e5a46f1c84f42bcfed50505395825d7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Vogue,27QvYgBk0CHOVHthWnkuWt,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Celebration (double disc version),43lok9zd7BW5CoYkXZs7S0,66,https://p.scdn.co/mp3-preview/6f927c9da5cde0a408a6f939d07174e83e1fa2fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Single Ladies (Put a Ring on It),5R9a4t5t5O0IsznsrKPVro,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE,39P7VD7qlg3Z0ltq60eHp7,70,https://p.scdn.co/mp3-preview/69c8bae97df9121ee440b23053fe20f64c204408?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Flawless Remix,0zVMzJ37VQNFUNvdxxat2E,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,67,https://p.scdn.co/mp3-preview/89a75c3b0d197bc20f28ae18f586971638a4df6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,7/11,02M6vucOvmRfMxTXDUwRXu,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,72,https://p.scdn.co/mp3-preview/c17eaf47f9624029dadcd7672b7896c84923e28c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Hotline Bling,6nmz4imkDcmtwMjocAzFSx,Drake,3TVXtAsR1Inumwj472S9r4,Hotline Bling,19YQ10twgD5djBaBDUpH7o,10,not available
29,03' Bonnie & Clyde,6KJQ2dUyRlevBfFwXyqecu,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Blueprint 2.1,2WgBFsReFEwmmeRDWT8e60,0,not available
30,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2PIvq1pGrUjY007X5y1UpM,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",61Ba3txRZWfiX6ZTEZlFCV,77,not available
31,Rocket,0755vnFQZLSgHHWbR1qCjY,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,59,https://p.scdn.co/mp3-preview/6cfb3e2c4692a50e5663cc2134b20e146284e28b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Halo,4JehYebiI9JE8sR8MisGVb,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE,39P7VD7qlg3Z0ltq60eHp7,79,https://p.scdn.co/mp3-preview/3c97985f3736fab6d4abcd2067f346a9b30955fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,Beyoncé,6vWDO969PvNqNYHIOW5v0m,B'Day Deluxe Edition,0Zd10MKN5j9KwUST0TdBBB,73,https://p.scdn.co/mp3-preview/b1cd9ecf3b5108363846f497897b5bcbec44343a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Dangerously In Love,6oxVabMIqCMJRYN1GqR3Vf,76,https://p.scdn.co/mp3-preview/ce8ace0ec425840416be78db07cf50dd331eed4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
