Get Turnt,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
47,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,85,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Shots,5xjei7JnROsAzLY2a7RdZU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,82,not available
50,Too Loud (feat. Nef The Pharaoh),151B0C7vTuh30G1YQ7bXRj,G-Eazy,02kJSzxNuaWGqwubyUba0Z,B-Sides,2C6M7W3XuPMko8hacm8Ibo,68,https://p.scdn.co/mp3-preview/15d19e73f04031899197755f977a635a9e3642be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Babushka Boi,643PW82aBMUa1FiWi5VQY7,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,Babushka Boi,3zOkSAbg9o7gQ3yXtZhx5v,84,https://p.scdn.co/mp3-preview/831dae9f38d24f6f02f126326882e86f6916847f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,"Pink Toes (Offset, DaBaby feat. Gunna)",0W1ZfgXpC23RYQPDq7RM5I,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,75,not available
53,Jet Lag,0AUurCHJ6A8Ua4yXyKXNuM,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Floor Seats,0Q3h1Bm5T7QPo8lI1S9mT6,60,not available
54,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
55,Big Rocks (Offset feat. Young Thug),2JdIqJBbIiwEah4ejqIWGj,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,79,not available
56,Go Loko,3SZqA7rQvROJsCbUu2v0xa,YG,0A0FS04o6zMoto8OKPsDwY,Go Loko,1GZ1ugREGYIdS5isG2PIFD,84,not available
57,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,87,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,FATHER OF 4,6bPpXqJRpjwy0hLyUGtzYc,82,not available
59,When I Get It (feat. Young Thug),72WzsgGndv0deRudSD2ycw,O.T. Genasis,1Zatb2YN4erBOoSivOXc0o,When I Get It (feat. Young Thug),6VaRNWngIWa2Yef3cl3z6y,67,https://p.scdn.co/mp3-preview/aa323ed8b1e5864917fff897d72776e40e47a544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Did It Again,01Qb6dN5suQNu87VJ1mIpf,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Did It Again,1NQuFYzzL0WbNOTjsXzXYf,77,not available
61,Double Trouble (Quavo feat. Meek Mill),5YSfZJE0EYrGVsWeYqv9xo,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,75,not available
62,Pop Out (feat. Lil Tjay),5AjINjwKyRvQJhSe2zpPHi,Polo G,6AgTAQt8XS6jRWi4sX7w49,Pop Out (feat. Lil Tjay),2QZIT7e4W9ZFQ716TSxRI3,52,not available
63,YES,49npsHkkRrF42IxwU10Egt,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,YES,0E74lJz7EpijEP2YDHGDYh,74,https://p.scdn.co/mp3-preview/b2bbf9072aed9b255c6176f96b1ed7ed7625303f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Uno,3AEgic4yp82NxMWUjHtxnO,Ambjaay,3BbPRvYQ0M9SFmhkHXozLm,Uno,7mgSFowjMLNNTCSUWDZg0d,82,https://p.scdn.co/mp3-preview/793f081dafcd15fa18e76556449aab02d59eabf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,The Big Day,7bgi7zCoDsZdlLKPonHZqP,83,https://p.scdn.co/mp3-preview/9f63076bc91da7435bdd87c68b465a9c25c382bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,No Stones (feat. Casey Veggies),3UWmDKnRXFCFvtIVoDBfrq,Kid Ink,6KZDXtSj0SzGOV705nNeh3,No Stones (feat. Casey Veggies),2mY6i70fm6vYrMpvYzdqcL,64,https://p.scdn.co/mp3-preview/13ee8be80ed3a67a234c2a6c931e67ff827dc031?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Valentino,0c7K73roy6RW4ebDkf4yGh,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,Valentino,2iPZkrN305Ow3wO0LL90Cg,84,https://p.scdn.co/mp3-preview/3c8610f256b0bde29c023d2fdd95f2c6118b3234?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,87,not available
