TGIF,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
39,OKAY OKAY,1Wds4TjXgP26AW9H8LALtQ,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,OKAY OKAY,6kQdXSgxiz2zB105BSX6SA,67,not available
40,Wild West,3UqQUExRt3YlS4PNo5Thtq,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Wild West,3rOY8x33we7f3fUaFXmJig,67,https://p.scdn.co/mp3-preview/c88a633bda8832072188b9043f02d655e68e141c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Secrets,5pAaXHSlxNLfS6RQBrpjm5,Becky G,4obzFoKoKRHIphyHzJ35G3,Secrets,3ETzU5ugHCLSTN2xCgfoBK,65,https://p.scdn.co/mp3-preview/f6db3240c4fca07c596ada90d1f9a0eb1dd9ac12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,94,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Panini,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,93,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You (Deluxe),74gSdSHe71q7urGWMMn3qB,94,https://p.scdn.co/mp3-preview/c8bdc870ffc6044c84f0d52306a35551fb3d0263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Kids Are Coming,2zf1ffpluA8qUcRnbfVdcW,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming - EP,49QPpqyxeTbzWHUJpZuUsC,62,https://p.scdn.co/mp3-preview/ff9ea91ae3be8d82cff0d617206fc6de47dd11f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Qué Pena,5099x34vBakWpGkHourFxP,Maluma,1r4hJ1h58CWwUQe3MxPuau,Qué Pena,1Db95k6t4rCPHSmdfsTeDl,84,https://p.scdn.co/mp3-preview/b82a2d454d23261612a6511904e5498dc064de04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Graduation (with Juice WRLD),6cjSh516BbrNUs213jDAGm,benny blanco,5CiGnKThu5ctn9pBxv7DGa,Graduation (with Juice WRLD),669dgT2kmrAMrrPaEEHWyE,83,not available
49,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,72,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),3t6Z2qoBVCS4NHNI25XECH,86,not available
