New Noise,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Swim For Your Life,5GuLKwgYs2odLi5LwK6oKA,The Pale White,3uhfMjcE5HJqMIWh3Iolw0,Swim For Your Life,1E1sUPUBu1m8sT1ocIyD1F,8,https://p.scdn.co/mp3-preview/803639a210a219c239bc810f817efc04579951da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Out Of Luck,5xqNdA1HmJhZ0amRURuowK,Airways,5fRpvt0RU5UL6YwQekpofE,Out Of Luck,585Qa3N7rS5RJj2dNiG1S4,11,https://p.scdn.co/mp3-preview/1a0704384755c9db9d607a7d95f9bb5a45b1fa67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Eyeball,5aDBTKaM94v95X2Ne3y3Nk,Johnny Mafia,7iM6UV8wXD4l2bS2QxdOPY,Eyeball,1mrs8tyB2kSpUZ7ZeHCuyU,0,https://p.scdn.co/mp3-preview/78c35df0efcc47a161f12f2cf29b9f84b44651cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Living Proof,1Pf45EbaIsoGsXixOSYx88,Des Rocs,2kO6mP0olFJGGh6kvUdNC8,Living Proof,4cxcRLCtG8aEyKHMdvma9B,59,https://p.scdn.co/mp3-preview/52615906988c90990e4f595f84e6d01f59048871?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Down,0Vxr81c3pS8GYwQSexzsQp,The Man Who,1wLFDPkWkMl7bNZvhmhxsG,Bet on You,5P6R9PccUcwgIL9Pgyn84Y,41,not available
19,Call Me The West,6pK6ILa3Z247Qi6FlJydv5,IRONTOM,4KY9rCrokaoFzvMfX98u1q,Call Me The West,2fF3NfnlXxX5DVxcB9j1OI,40,https://p.scdn.co/mp3-preview/ea9ba9740fb743ba4e716d1141edd2f9b085ea51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Save It For The Weekend,4ja8f7cLqln77RZscRaMqI,Skegss,3SGLeWc7J5Ve0CinAOrb3a,Save It For The Weekend,0qA94rO22Y4N3tsvzEcq3F,56,not available
21,In a City,7FI5hPxor2yfkTeOflIvng,Modern Love Child,5Re1DTCxspDf57qk07YOAP,In a City,7GK7mS3YrN6K1AQqgsi1vP,31,https://p.scdn.co/mp3-preview/beaeef8eff8baa8a006bc913234309f3b7662ceb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Enough's Enough,2xCkbmoETP0O0ssyfo0LdJ,Paris Shadows,2mxplErmRMbGaSiAsDONkT,Enough's Enough,1HB4h9iiWVazjp6mn1NMED,52,https://p.scdn.co/mp3-preview/cfcf2851d4a879c19713a92be9cdf3915cd66528?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Go Out With You,1ETajdK6h5qub64KFsU8e4,BLOXX,4wYzzR0lpEub1gUU8bbBTw,Go Out With You,33VOTiFZa62yttu5roeQVa,49,https://p.scdn.co/mp3-preview/d070b8ef580cb9e9a02deda87da3e7e44cecb228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Tomorrow,0vSbWUJGiRbBMM7a9v6ArJ,Luke Rathborne,0XfDKxRuVIlgnFx0GHj4h6,Tomorrow,4EbzvX0hWpJlb16QoU5OZf,29,https://p.scdn.co/mp3-preview/197614445087520060c32aff5ef874181b89036d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Slow Angel,7CEvfOY6Sx35SGoareC0eV,Rebounder,2g2HWripkxzRZDZJ4KTBSB,Slow Angel,1KhhUiMSUdbyZC2WgOp4Nf,40,https://p.scdn.co/mp3-preview/2aa82b5a55e3692044179988bd8481df472a6d95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,What Would You Do Without Me?,1lbaVKWjvTpzawT7jNnJQB,Rh2,3GQLlznkq9R2b11q0DtRSq,What Would You Do Without Me?,16nrir5xI9cPxCGTqzLAHB,34,https://p.scdn.co/mp3-preview/0dd3e8288b9c8e8391cfba418761d412f46296b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Play Dead,3Y2f0LaQ6knN0lfMsFOpun,NEW LANGUAGE,5VgSeaCjuHm9qCimk0aXqL,Play Dead,04bMnygZiTtvs5IqfqGq52,32,https://p.scdn.co/mp3-preview/c3011f065cb08295e8899ed2dca3192d1d333721?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Redwoood,6evMsbloWtDpj74APCsarb,Ultra Q,57JelvPHs2P6BROjeHhHZ3,We're Starting to Get Along,0dxlf4TO3xIhsown9xUGA8,32,https://p.scdn.co/mp3-preview/c30909549e75273a9bb549484511a6b9ca1d4852?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Thumbs Up,7iVZEbS36Z6EGij6KSF04m,Carver Commodore,0JYBvQbg4xyCfKy1S5YGpU,Thumbs Up,1hpy1PEBQqnl7kd2t6NyBW,31,https://p.scdn.co/mp3-preview/54e2e8f590c1d6b755775c64dece65df780f4701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Anyone But Me,2vd5KYK7BoxRlBAvnArER3,Zero 9:36,1V599H9vfq6hWe2hGzyzI0,You Will Not Be Saved,5Fv7nPEq5xHavK28lt8K5F,48,https://p.scdn.co/mp3-preview/c458eed9ab5e0f0022c7d8e753900ec498dc059c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,One Man Army,72d5uOB3lIRr3b9XHNKAKu,SHVPES,0XrqdPZEYIUOUOc9rtee4m,One Man Army,5YKSaupdemNlnUbCCP10TJ,49,not available
32,BACK2YOU (feat. blackbear),0Ih5m31aOTcaTL4PnvGgYS,"nothing,nowhere.",7FngGIEGgN3Iwauw1MvO4P,BLOODLUST,78LoEWcpdvgRImtnfTZe0q,57,https://p.scdn.co/mp3-preview/0162ac0586560a767f3b42d80aadb553496539c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Attention,3e1UFLlZ52QtmPEB7De2OC,Outasight,1zuG3w1Zgeou53fb3Vu3bO,Attention,0CXbzdxZGMgWqxv2b9roMU,40,https://p.scdn.co/mp3-preview/1213bdf2d1336ff9b4427ac45bf68f784198a074?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,I Can’t Lie,7lijOLYEQmjoHcbddBCdtk,BRKN LOVE,2Hkg1gn2Hpar1sVP8adtNp,I Can’t Lie,2xY1VBtn8UAhNluNy3W31b,39,not available
35,Destroy Me,0uBNqy6taLbUqTy605rCXV,grandson,4ZgQDCtRqZlhLswVS6MHN4,a modern tragedy vol. 3,7AyAjjEyQwjpaqMEWMi3Iu,60,https://p.scdn.co/mp3-preview/41af59cc5af223822c51fc7f6327e4a5d4bcefd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sedona,21rOdbcj8Y7glIazuWel2e,JunkBunny,2UdPcvUuTpvrq7flh94PaE,Sedona,6h0DXUi7906RJZRrE2SYLW,42,not available
37,Mind,4cwudSXdzfDKDPUOdQN96R,Selfish Things,4iQ7b56FZ0A06oJ0rt0paz,Logos,0bfHsXAVlgyRNUjfQL8A3u,14,https://p.scdn.co/mp3-preview/851a1467b412edb57188d551ae7a89946d6bcacc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Synthetic Sympathy,5U87poJhGdDVROtitLtEyJ,Trash Boat,0XGJ3GUPwslwFJ66yNbHeh,Synthetic Sympathy,381HXBJcgKxxeRLYX8i9nx,49,https://p.scdn.co/mp3-preview/a93e4c1ecb2c5fa9674f59e8e06ba81c7ff04043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Breathe,0U6R2Qa0UKCNanoJDP4nt0,Cold Years,5zJB2KYIylCM6uPtl9R9yp,Breathe,3W4niS9CZhzlV64jlntJ0n,36,https://p.scdn.co/mp3-preview/66dfde91d4131724585fac843a8d69d30411d6a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Both of You,5qzZf8QtBUCdlsRDinh3jP,Patrick Martin,0akke4ZfLeCMEwuSJX5yc8,Both of You,2DzccBohDSJEfIDatSM9bx,47,https://p.scdn.co/mp3-preview/70842dd219d82ff305591916d527255dbb70b2be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,What Could Be as Lonely as Love,3bFUVnTaNBLyEQBvvmnjFN,Amber Run,0MmnmsAuQKRFpo6vJElcaU,What Could Be as Lonely as Love,6YLkdD8TjrReduCHnz0Lt7,49,https://p.scdn.co/mp3-preview/966133d031a862613cb05ab29268f1e3ce60d311?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,My Benz,5WawGJxY6gmYSrb3y7FzA0,Wes Period,0Pb8ZfFfE2O0pvsFdwVUYl,My Benz,1S3xtA0JxpQ9ocnJVwznrN,50,not available
43,Tangled Up,2HEZY8I1NKvTvcEdFuqMnL,The Shelters,7LrFQFaZaxfa9deqkjvc89,Jupiter Sidecar,3m2KAgiUQMvia7ZKdVcR1G,39,https://p.scdn.co/mp3-preview/7aa558ecc4954f53f9e0e831d1c6a8686c970f0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Closer To The Sky,1pf8bjnKw5SgtfSvINI0Kt,The Glorious Sons,5CPxrqCStgt6AfI4fLiedH,A War On Everything,3XI6zViavQ6b7uTwdKGeWc,48,https://p.scdn.co/mp3-preview/610ce416bd305870bcb0f160adc6454a4d6c12c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Call Me Lover,4Pg6x9W2ziSJh5iym9XRTB,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,Hypersonic Missiles,7FWCgfnTgupXdyBy51ME9m,68,not available
46,The Return of...,2rPHjjQvdTLTWAxVLU4MnR,Left Boy,2gIGkRqCo4NK2PUCI8u4aQ,Ferdinand,3XDTNBvigKCQO2U1qiBX8W,33,https://p.scdn.co/mp3-preview/3bbc0915e3b967d3c4fec725c1b51e949077b73c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Swim Naked,4SM0NAUmbllfuu7YeajE4h,Betcha,3pT3KTodKJRyqpxoXINfQh,Falling,6tw7TyC4sZMrEomXECGqrd,43,https://p.scdn.co/mp3-preview/c390d9caf1b84c4bb5eff83e46964b6c2dda29bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Psychosexual,2tEhNKsYDdk3kvDNOuCvzK,WRENN,1mUvCFjlnNilmIebNqKYo8,Psychosexual,2DAFZcn0CapjBv271rpPGr,37,https://p.scdn.co/mp3-preview/574b812b385b842f85c6eb1e4df2bc7c4dc3969d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Tongue Tied,0YhYYZa0xYMScfXy7CSZsA,The Faim,6VsU92soWFLtVsSP65rkrN,State of Mind,0C8bAFI1POhzztBVShuzll,45,https://p.scdn.co/mp3-preview/efb163e94e4aac8ff964fc6f91908b2c90702943?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Holy Mother,2u1hn1je3YMHFFNuY5qw7z,Starbenders,61jrgPBUklDAQV9DptCc8u,Holy Mother,3dLSd15RX9wblIuxYcTROp,41,https://p.scdn.co/mp3-preview/ee151291a535f568aa1fe141eb852e8cf4dd90c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Give,5jsAM3A6wgVZByfVTvwom5,Sleep Token,2n2RSaZqBuUUukhbLlpnE6,Give,3oIiCqOoegbMpu934jzxV1,42,not available
52,My Little Lady,7faqExiToWq2YjgZ7oHNPV,Oddnote,4hta9ZhozvyoMvISi2b5gS,My Little Lady,7iR6Z1rgYkvLFSYVoQEDRL,42,https://p.scdn.co/mp3-preview/dd8d2b78620ae491973f4ca6a09cdbd30e70782f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Joy,7xoe5LnNlqmEHjNzhSqR31,MOSES,1y3itK0FVcrhTZoCIhXmum,Joy,25KgRcYODZKxSxIR7RcNP3,34,https://p.scdn.co/mp3-preview/7669a0ffdb790476a8a473629abacceb79f65071?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,It Gets Better,0OEhw85dQjvwl5WkYklDb5,COUNTERFEIT.,6HxNJuxe4WHa1XQMLryIjG,It Gets Better,7od21Y7iwjZw6sRhTelt3e,47,not available
55,Crawling,5IuCu52RpPsqtUmoDpkWd5,Glass Tides,3ss8CCHIds5hKnQ9un3dU0,Crawling,13MdF824Y2T56lMi4mzaUd,41,https://p.scdn.co/mp3-preview/0b7568f515efc3cb2459955e5c53189d675554dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Golden Soul,6hDkl6nqMRd4AWeetErowV,Breather,7Ba8z053TYSlNmaUwvWNyN,Golden Soul,7xSOwbMrMfYXqscb0zZwOX,34,https://p.scdn.co/mp3-preview/d338d4bd22416f028f367509264ee4f40d150bb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,1F,0WZmW9PqYynAgnzUcoajT1,White Reaper,75klPfIVnyYcyEGaicRUSF,1F/Might Be Right/Real Long Time,6BQQMEgE8RZPnvdoFoDp5I,47,https://p.scdn.co/mp3-preview/7dd834e329937f4958fdf253ccba633eb1895ac6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Still No Change,4SqZwvKIALAZcG0fY9zCM5,DZ Deathrays,0qGPycvPHafmEPTOm4M7Tu,Still No Change,3WgcpoMttnnlEO6TVUxRJJ,33,not available
59,better.,2iqpZ6Dl6we6zajEfn82JK,Super Whatevr,2kbAovdYb7krLSGdOrBMRu,better.,4DCkf4iVpRUIC21vmr0eEG,50,https://p.scdn.co/mp3-preview/9ddc2a4cefa919bee00ef6b81ecfebb2046b0cd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Youthman,6eHx7x5GmteDbbCDvcdIBC,Black Futures,5tSGiNtq3vtp0dkqEefuDC,Never Not Nothing,5dsqmvwkuZNzJEhvCYpBHC,35,https://p.scdn.co/mp3-preview/32fc1630809fdb576be1e5f6ce5f6695a05320c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Running in Circles,2PBPBTrucPwv7Qn6I9a6Lp,Tempting Fate,117VxWISk8HamCQarDbIGU,Running in Circles,38kU9iW8zHzL2yLXsvX0Mr,39,https://p.scdn.co/mp3-preview/395400054813d316789bde31190babf2d456fc6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Feel Real Pretty,58L9BLQuOAwAzHhCvTpp3l,Paper Idol,6dewigIOIcG6m1XGsG4Mc3,Feel Real Pretty,0m2MtmlY7kOaQq5cVAg4DN,51,https://p.scdn.co/mp3-preview/481d860794e6b573706a949beeda6efd69cf491b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Autoportrait,4w33YnMQwcgc12g5i8ZWIm,Demob Happy,6FKokxvL5PCWIxrVhMyDgI,Autoportrait,7cgT100o8XjjkFdVHjn4Kj,52,https://p.scdn.co/mp3-preview/65afc47dcecab3ac7bfe135db0f15b058e8c33c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Sex Party,0kP4jYOuH9le6avYm2JnvZ,Left Boy,2gIGkRqCo4NK2PUCI8u4aQ,Sex Party,4NgAfTr86rkILEFBkhHZky,63,https://p.scdn.co/mp3-preview/a4deff5e6236a9f7ab8446f841c5f524a32fcc52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Misery,6Zz846CtUmQGP5z4F7sccA,Michigander,0oL26Dn9y761yfJgNb3vfu,Misery,7nqQxq17r4eUTqsDAdrL6v,51,https://p.scdn.co/mp3-preview/9b8279a3ab791302e7ab16fbe04259328500aeee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,.burymewhole.,3WOkCAnlf3qKYgMQAOb6SN,Dead Poet Society,31M8EXHYtEqOqVb1X7JRVe,.burymewhole.,3f5bcjAetjllpmnRxdBAkS,47,https://p.scdn.co/mp3-preview/badab6c412fd9e3299a4e0c1eb967fbec13dede7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Bleach,1eh6qL5xb5dlKacdYOMBbq,Call Me Karizma,5fENlrINIVP0gJOtKxvORt,Bleach,7c43hBXFpJCvsqNjOsVnz9,51,https://p.scdn.co/mp3-preview/5dbdd8904cdaa88c27af6e7d273814d709c2486e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Black Cadillac,4laQYmvZ4gMUCDl75uvoRN,Mondo Cozmo,7ybnRZKtRbWQzJfKyYSyh6,Black Cadillac,0WizGOELL9v58APPC0DkIz,47,https://p.scdn.co/mp3-preview/69f38c33ad8ce0a589f150355fe4ae89ccb239ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Leave Yourself,1IxxsxcpJsuVM9JgMwPXTy,Hundredth,2rtsR8zno5naTxY0iJr7M0,Leave Yourself,3a5nmUudBJFzBhNwQvElM9,42,https://p.scdn.co/mp3-preview/06a02f804474f6029fc0ef241cf7e958411a22b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Why Are You So Cold?,5bDhcTJIWPF9CzJaOVmw5J,The Haunt,45d8YG3R2DApOMnIZuyK8p,Why Are You So Cold?,7kjO9HoBtMFgFp1yO2fMoG,37,https://p.scdn.co/mp3-preview/eeacac232e6bb213af351ee48d85f6207338f0f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Erased,200Cyt2C6ZNPtiivdz4Dhr,Essenger,3vc0JWD1Nj1VLrgJ1x3cjE,Erased,704GpfscSr5sue1aG9KFhV,41,https://p.scdn.co/mp3-preview/9aa0f8a3987794ea0b98d6be01a9122d1bdb1b7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Chemical,2gZBMKowBbMRu12M0Xmlp2,Thousand Below,0iU3WDujScAofxcK2EMypN,Chemical,490gh9WciD8B5IjiTJ89OP,52,https://p.scdn.co/mp3-preview/0fd327d680ed19363a808da6a3ac38cc0d2f8105?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Belicoso,2miicbSi3pZwm6Jzgw6AjF,Calva Louise,02nZLQtQ4vL5iHyp6atBrh,Belicoso,4UCn67JtIgzPMCnmU5NinV,46,https://p.scdn.co/mp3-preview/440a9e49a5f31fce9d22037fcc2b4ec466378b19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Fix of You,033rGPqzqWDqItMg5yXn3h,The Treble,25j8ur3jsyWAY11dB5QpHD,Fix of You,7MuZuaLfLDMZJHDHSDv7uG,37,https://p.scdn.co/mp3-preview/b388cdd6c3ef53054095ba4b6928d45c1aff2c03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,SWEATER,7g6VaXYWLuvZKE7GqyQUIn,phem,0MGJHTThvyAyqKuEAgPqDr,SWEATER,0zwMZwYTbG6ZxvbVT2Zu6B,49,not available
76,Like A Stone (feat. Tom Morello) - Recorded at Electric Lady Studios NYC,6bbEWtu7bQtl5a5cZStE0z,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Spotify Singles,6XI7j88Hmfye0TXQgp0DcU,60,https://p.scdn.co/mp3-preview/e1a40da88cb06b4090f5cd706874fb26050e43ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Take Control,4ayIpClJzUh43tJgzyPI9f,The Mysterines,15QhuBSLfDNECfF8wvxj0M,Take Control EP,60fONqEriuAr5UWfkIXJPa,48,https://p.scdn.co/mp3-preview/e58c2b83433eef70d7e7150eaa64be8b6b01999d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,I’m Listening,7af5XTUGxqHwP7pJHVbQnW,Good Doogs,77JIuKxP5Gs2Izi0GmiqZJ,I’m Listening,75ufm7GOOjI1z7bAHmIqdR,43,https://p.scdn.co/mp3-preview/9bfcc3d8357f2aeb023f395a8bac0a91e600baae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Be Here,08lDLOthi06aL7stFvt6KL,Tori Forsyth,0UVISIZtASrGYL3975rp6w,Be Here,4o2PxZe9VzUqiFs99GYcGV,43,not available
80,Kill the Chord,1Kc3CxhNiZdgHQV4udkLgY,Gaffa Tape Sandy,00P2dAOymeYKFx4OSaVgw1,Family Mammal,1BO7FtrmddhXgemo7FDukl,36,https://p.scdn.co/mp3-preview/e5f292822710c069e7a327bb1316183ef7d3231d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Hope For The Underrated Youth,6AYD3ztnzQhAJQ3SOWwqtP,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,Hope For The Underrated Youth,486SJxMPXQrwatQ4S1cU8G,71,not available
82,bangbangbang,1fkZxynGI2QzvSusYVOYq2,Deal Casino,6VsE82GTo7eDAW9XaDO7wD,bangbangbang,0I7AKADF6agrQ4k5kblulp,40,https://p.scdn.co/mp3-preview/db8cfcc22d88a7d5816687f3d03938d9b1ad19cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Big Win,2jR7NL3VzaKWtmUi10SSTQ,Spare Parts For Broken Hearts,2Ztv3nUtX0tMKHlOpLeGf5,Big Win,6X8C9Vs8SzBkbzwuzFsAUH,38,https://p.scdn.co/mp3-preview/5e3d619fca6a857a549fae8665705842803e2ed8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Beyond The Wave,1n2ftY1tDVEyf1uFcNjAuN,Of Allies,5fYc93nNjMlAsoaXen9elQ,Beyond The Wave,5XgXtw69dnxI0Do8UI2HiS,46,https://p.scdn.co/mp3-preview/0af078e4de063453708b3cf429cc9e531cb5d8cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Sleeptalk,1TZL2ALftNxDsMIpQj6atE,Dayseeker,5FjQVp1Lb0kltmwIuu5kfj,Sleeptalk,622ZVGUxmspAlCaYgxqBw3,57,not available
86,Nothing,2cEvDk8ja17n11QhPbNKft,Honey Lung,7xhSASbzZi4UXHDnWptMaY,Nothing,3hXc7IFSBnhgps0sVDXIYc,30,https://p.scdn.co/mp3-preview/fa5c3fa492ce73613be1701b46561f72364f9389?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Watching Me,1it6clwVMKCsJtUlgQSUxx,Glossii,6i44PQmMX9HCzyTC3t342J,Watching Me,1tN9jK8Ow5h3c4bXKcavAd,38,https://p.scdn.co/mp3-preview/2b82734af890b290e655d233d23b4571a71cd7dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Full Moon Vulture,3LnHcwpUqyku4NPJP9MDDU,Alffa,7iY7ckZelLh9emhog8UrXD,Full Moon Vulture,3jWNyCL5R4BrOpuqmzGgZS,54,https://p.scdn.co/mp3-preview/5ecd04232b70d8841a107ffc0233e970043b1432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Heavier,4wa8cD29eKNVPBEj6GRulK,Slaves,4rMxZovfLSDjEL9eI2pKo7,Heavier,52ECNHKt7Ha1XtnBroyL7y,56,https://p.scdn.co/mp3-preview/ffa027744221dc122964e915ce97ad0ce6535317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Cruel Love (feat. shYbeast & FRANK ZUMMO),6VBCChhlKn6vOYCfzzuE4q,Kayzo,72iCiKwu6nu6Qq9emIwzYv,Cruel Love (feat. shYbeast & FRANK ZUMMO),6wtx8rqzgRoBFClDmPrr8l,49,https://p.scdn.co/mp3-preview/6577b0691b0745b03c4becfa96e00cbb1b0f5812?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Messed Up,51EU0HEsjbN3YudW5oPj08,KIITA,1Z1d9w6X8vxMyZvM19a7vy,Messed Up,314gXwQOtMHSVDRzz6Jq43,43,https://p.scdn.co/mp3-preview/2c78bff9d9a428d0452c65ae89eddd077cdeb78a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Disappointed,2SL5Pl0apOvmKPxEC4SRQY,Last Train,4S47feOS2ATuhc7Ao5ilfG,Disappointed,0MhPaOWZOs6lJ4Gy1ALVYq,39,not available
93,BLURRY (out of place),14uAFiZ94iMTeEpXq1cLCi,Crown The Empire,2vKiJjsgjgqIECUyYeIVvO,Sudden Sky,2L6KNKYHaXNPj4lXHSp5vb,58,https://p.scdn.co/mp3-preview/e1e0ce099067af7611eced94cd9f685c80a0c685?cid=fa83a2fec7c440b7a2795d600d6b2c7e
