Éxitos España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Que Calor (feat. J Balvin & El Alfa),1sviDBcAqVOxMXq4xITVEs,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Que Calor (feat. J Balvin & El Alfa),2epUYHJteejHG4trbc8drd,83,https://p.scdn.co/mp3-preview/73dc8de82c0b012c2fc4a4df825b9143e306c38e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,De Tranquilote,1IDFcb3cjkj2dhv3UaxX9b,Danny Romero,30HlKUFTsqlFQsPfyv2yuM,De Tranquilote,6Rdeo87NR0q1pxlxxx6Ies,80,https://p.scdn.co/mp3-preview/dc741c62a8143d9c210f5cb149af3e49547e6bc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,A Escondidas,7754vHc34U2wQMIJFWRhVK,$kyhook,0lxgPYvUjEApUKpZmr61IE,Moonchies,3aqwNpVnFm1tQQaxlh1swU,77,https://p.scdn.co/mp3-preview/0e0f114eee436c2c8e9e965737621e5c00ca47db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Djadja,7sKDftgGirHWTVFMtJoDoh,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,3jqQFIXUakuDXdhFVvI7Ko,81,https://p.scdn.co/mp3-preview/04b10397e351b84f05856e92054743c3ac800092?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Piensan,0i9oiUkWOgvtnjkr0fa3XN,Myke Towers,7iK8PXO48WeuP03g8YR51W,Piensan,48fPbdnqQWvarAivudCrqz,83,https://p.scdn.co/mp3-preview/9b883efcd01a752709f5e2beaef0e526cd743925?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Tutu,1nocRtwyNPVtGcIJqfgdzZ,Camilo,28gNT5KBp7IjEOQoevXf9N,Tutu,6xu5asYeoMIT5Sa5b1P13q,93,https://p.scdn.co/mp3-preview/bbb93b30e71d9c18736fb3ba053b876af87cf9e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Cuerpo en Venta,2B94bbI1a4LyBpK1439oP7,Noriel,3RtNN1VnooWEn3KQk03DUL,Cuerpo en Venta,2JRundp5dldujo6pVchZco,86,https://p.scdn.co/mp3-preview/8d23864fc43b49b377f64aba6a0b20b4aa45cff7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Otro Trago - Remix,4bTZeO72FwMa6wKOiqoynL,Sech,77ziqFxp5gaInVrF2lj4ht,Otro Trago (Remix),3hiJmThCss4ugTPzvgUnT1,92,https://p.scdn.co/mp3-preview/0fa4dbb8b2547fd7f9b7e54dd42e37b78af1edd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Indeciso,59s0s39NFWScuHDbHytI14,Reik,0vR2qb8m9WHeZ5ByCbimq2,Indeciso,4qecT0ZJrf35thz2WaEm6P,88,not available
23,Yyanosé,3CHAG77jAcwK0w8NBE7i7p,Israel B,16M8fuShcwX8uBDdmFZH9B,Yyanosé,1bAFRY7Ox7M8ua9URdHVSO,73,https://p.scdn.co/mp3-preview/db01194121603bf8f23f676b07944409d7f31994?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Diavla,1KfrcxnOLyDhd3p4hGrhVe,Chris Viz,40jZHpxIT7SOkZF9YrxGYq,Diavla,6eAAnlABuk7DZP6nVAMCJv,83,https://p.scdn.co/mp3-preview/273147fcebfb92c8ea409fd53b80158c95bb260a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,B11 (feat. Myke Towers),4o1DxRjMCHDwBiOKv88rOl,Rvssian,1fctva4kpRbg2k3v7kwRuS,B11 (feat. Myke Towers),3dwf8z3LfHFTlAHiyrcGzb,81,https://p.scdn.co/mp3-preview/d3c294d66ef83d42f119b6e89f633f8810ec16a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",684EjRHwNsZQ9hCQxL4NYL,Dimelo Flow,3fZk3Gm5dN5v5yfYMQ04Bx,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",28561uZztshyZSVG6ElL62,88,https://p.scdn.co/mp3-preview/5f0536002dc215c10d649a4da83acbd9f1c53d50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Quizás,4AjWbAwRpxk2worpjNH5CS,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,Quizás,7433PD4HwKHe3Re0B4KGUB,87,not available
28,Si Se Da - Remix,6K5BsR04ijf3FHNzjbaagD,Myke Towers,7iK8PXO48WeuP03g8YR51W,Si Se da Remix,75Y4sJ1vwZfEivbsKPzAx6,88,https://p.scdn.co/mp3-preview/7a73a1eb9342fbdb4dcd0e48b5fd92a9b659d246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,LA LATINA,6ehHyisIFQg3yrZM0VBzH6,Rels B,2IMZYfNi21MGqxopj9fWx8,LA LATINA,57vOBXUAUkJz2dluFD68FK,75,https://p.scdn.co/mp3-preview/67fea332f0cba2bd85b1854d1fe871c2b96ef872?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,Jhay Cortez,0EFisYRi20PTADoJrifHrz,No Me Conoce (Remix),2t2aNgqXTXuCh9fqT05g9U,89,not available
31,105 F Remix,1aUGxXCz9QimNkKeiJtzZ7,KEVVO,4QrBoWLm2WNlPdbFhmlaUZ,105 F Remix,2801cwQRE2bAQ6pKTrI13w,81,https://p.scdn.co/mp3-preview/97efdb0ecaca369bbb18f326a365d60a2f6e72b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Velitas,7q3NthaBqFI6s0WnAlnIvq,Darell,1TtXnWcUs0FCkaZDPGYHdf,Velitas,12jwb6dkXYHWYg2YXvNCuA,84,https://p.scdn.co/mp3-preview/c0af36ceb14f6e189d3d5410f5b8892ee7bc2558?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Inocente,07eET3PAzpSz5CLE4wGgN5,Myke Towers,7iK8PXO48WeuP03g8YR51W,Inocente,5elDXKomKQ4hLFCHO06Db1,79,https://p.scdn.co/mp3-preview/22216f1e79fe1661cdc224774759a6e14e943edb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,No Te Veo - Remix,0stKSegkdrfLTDvm5sIO38,Casper Magico,1fux65HMCBvfJHqlBc4Nno,No Te Veo,5hwGqi428VUXq9w1Lg8rIP,80,https://p.scdn.co/mp3-preview/199fff96fae4ac434569667905ebfd010ac7ab4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Rebota - Remix,3dWpRjCmaHbroNahuSeX11,Guaynaa,0BqURncJM5B1BBu7UM51eq,Rebota (Remix),4HoYhLOpFgJECemzKIEhvM,85,not available
36,Hookah,4piZ5m1vZGDkfyHga5U97m,Bad Gyal,4F4pp8NUW08JuXwnoxglpN,Hookah,0xLKGRXpMLJ9wNpAJZwbVJ,72,not available
37,Gan-Ga,2J3jxgfp6GWoBsMPIa20oC,Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,Gan-Ga,2SiqV96Sb1722dVP4TEDIY,81,https://p.scdn.co/mp3-preview/667187fdd904747ca7b58391e2db932f5e62c862?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Qué Pena,5099x34vBakWpGkHourFxP,Maluma,1r4hJ1h58CWwUQe3MxPuau,Qué Pena,1Db95k6t4rCPHSmdfsTeDl,85,https://p.scdn.co/mp3-preview/b82a2d454d23261612a6511904e5498dc064de04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Mirándote,2Zl9S0KGB7VkqQMJgHBQXN,Rvfv,2CCgb0KApjfQDuTppovpf8,Mirándote,751jzgACHqz76fipJ8FPKv,71,not available
40,Rueda,71NGDQ9vSPXm55pyWeAxKK,Chimbala,4VVEpEhC8NcR7AqNEds42U,Rueda,3R0I6IYs3iK1oq9u8rASrh,65,https://p.scdn.co/mp3-preview/8937aab9440bbfbd6e4a61e55d75c8dcee08d067?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Santa María (Feat. Busy Signal),4R0sTxCaskwCPbzkfXHfWg,Bad Gyal,4F4pp8NUW08JuXwnoxglpN,Santa Maria,44I3wnIjshc9lxW23HXMW6,73,not available
42,Cuaderno,7anSoGdgtmJTAPZBzcPhO6,Dalex,0KPX4Ucy9dk82uj4GpKesn,Climaxxx,6stPNzjz40FWTiwlOR98Lp,87,https://p.scdn.co/mp3-preview/c8bc75fbee2ccf19f41ff6ce1f8a93da54687e42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Lola Bunny,7IzbHY75UhGztauT7U5eKb,Lola Indigo,3bvfu2KAve4lPHrhEFDZna,Lola Bunny,6ZzTJncT5EwHp5Pa4xwFpS,77,not available
44,Dance Monkey,5ZULALImTm80tzUbYQYM9d,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,99,https://p.scdn.co/mp3-preview/535ffea66207a0fc07d57fbaea7b5594be797f9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,91,not available
46,Mi Morena,6MF2uU7HoQkA1Da2jscqV2,Juanfran,7zY0DMisq1oYXvNNgGwHBY,Mi Morena,693gXX7mPsMgk1bxWAbSA1,72,https://p.scdn.co/mp3-preview/7b2ddb5c78674f0affa2223809c66e583228361e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,94,not available
48,DOLLAR,4ziiAuFyXiY1HNSLGM1xv8,Becky G,4obzFoKoKRHIphyHzJ35G3,DOLLAR,2gUAsCAmGaSwtqcCM25LCU,83,https://p.scdn.co/mp3-preview/82ff808de00064d7b2927cccc593b96f8b905ed0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Indios y Vaqueros,3u5GmyJP2MU3tEJgyiAG2T,Sinsinati,2rGri7YZ2eiCS58zgvmlQb,Indios y Vaqueros,2t9PxUaBK9Jk2G9vPOaqy5,76,https://p.scdn.co/mp3-preview/74ebf73cbe18ff030505d315c3a75055cb443af7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Me vas a ver,5BhSZWrUa5xkZ2K7Ze5fVT,Beret,0ZHPrnImGh4re3TbSNkoZl,Me vas a ver,2fQQrxHLh19ZQGFLOGBc2X,77,https://p.scdn.co/mp3-preview/8b82b77752dfb28ab2bf5cc0d987e2abae76f5e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
