Directo a Clase,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
74,Thunder,0oP9pK1D1lNF3Lb7jkl6Xx,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Thunder,1RlpachGbLBOZ2L1JK3N49,11,not available
75,Circles,4VginDwYTP2eaHJzO0QMjG,Post Malone,246dkjvS1zLTtiykXe5h60,Circles,75n7rjlC1fxezRtoMQmtL5,82,not available
76,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,"Let Me Go (with Alesso, Florida Georgia Line & watt)",3ggBBGRhkDVAu7pQRXRPXO,83,not available
77,Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,SHE IS COMING,7M4YAXOOg1XbWx03jg7t62,83,https://p.scdn.co/mp3-preview/184c5b9372c85ace91e28dcfc0fa29125999b563?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,bury a friend,4NzMOnvSJVNKF7nw5NkXIP,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,0lheRPWdziAtZEiww8TrUO,30,not available
79,Road,6S1HsbtB5REmCZKTLJibne,Bruno Martini,5veVxxPm1vzgi6pO2iVA8L,Road,1QLTwHvh5XbVr0uVC2OVeE,56,not available
80,Hands To Myself,7EZzirq5pGLjPALWr4lFeY,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Revival,066ycImW3DQAyXMMILmPHH,38,not available
81,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,246dkjvS1zLTtiykXe5h60,Goodbyes (Feat. Young Thug),4FFBjcmX06VmazABtpRMyv,87,not available
82,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Highway,4rhdtzBmrrDxYi35yQDpzF,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,Highway,2DtVhE1RH6odEmwtywYqdQ,71,https://p.scdn.co/mp3-preview/96e3fab0a7e5b359e76a178199f9e55d9cd23395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Is Your Love Enough?,6W6ijKiufUsBBcgJPKis6T,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Glory Days: The Platinum Edition,5DL2Z5x7UJsWH1HhE9j8nd,62,https://p.scdn.co/mp3-preview/90d7f7322709cf004be63ab2b1fb5f34a5117771?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Falling,3d9JucRI60arArgQXqtfjJ,Alesso,4AVFqumd2ogHFlRbKIjp1t,Falling,0aoPXd30dX02Jm9FkDgWUE,8,not available
86,Stay,6uBhi9gBXWjanegOb2Phh0,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Stay,1I4W7JKzYbl8VKRfD61DIS,80,not available
87,No Vacancy,4QeoDcR16IHpmmgFGQDrCp,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,No Vacancy,1UAt4G020TgW3lb2CkXr2N,66,not available
88,Lonely Together (feat. Rita Ora),75NhhYjHO43mvZgYtnXgti,Avicii,1vCWHaC5f2uS3yhpwWbIA6,AVĪCI (01),1m3mf7xkXIwssVriaaTjOS,75,not available
89,I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,Clean Bandit,6MDME20pz9RveH9rEXvrOM,I Miss You (feat. Julia Michaels),78zct4Yn5hwMqrlh5uQedB,26,not available
90,Deep Water,5Xw5jRLRERCFreSjmbG35V,American Authors,0MlOPi3zIDMVrfA9R04Fe3,Deep Water,2V6bGSmbdLAqXbaZfcPkrC,3,not available
91,Dance Monkey,421leiR6jKlH5KDdwLYrOs,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5i6CS5XcLZGLgaNCKlJvc2,68,not available
92,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,Marshmello,64KEffDW9EtZ1y2vBYgq8T,One Thing Right,4QAC6FquY8D0RXom13iE5J,89,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Most Girls,10GJQkjRJcZhGTLagFOC62,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Most Girls,4w5LxfyoOPHkGJZrco1UT5,79,not available
94,Issues,6AeQlMyRzvSl1nkFztZyKl,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,Issues,4SYAVcbJvjSNS8mJ1iv2tF,59,not available
95,Good Girls,4TCtrgLTSYryxQFdlTWesB,LANY,49tQo2QULno7gxHutgccqF,Good Girls,5SsnV0tOhp3lzySD5PZfF0,34,not available
96,Panini,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,93,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Undrunk,5SHhPFh68OhUmuRPymKX9d,FLETCHER,5qa31A9HySw3T7MKWI9bGg,Undrunk,5Skgz8BwS0Lfw2zlQSy1EB,57,not available
98,No Roots,4bPWDXpN6MlTZBedxega3X,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,No Roots,1WrXMwb4VdsRzFFVVHvyN0,55,https://p.scdn.co/mp3-preview/b3b3d11649b365abdbf852ddb6f06927c1796c7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Kintsugi,2kWcW9mqoCQH9HK9o2K6rc,Gabrielle Aplin,3w6zswp5THsSKYLICUbDTZ,Kintsugi,7gzTeasa0r3UacAMdCYOpW,61,https://p.scdn.co/mp3-preview/dab07be266e445bb52f29c7822ef8455ae000df2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Nevermind,6c5gDwB7Xo58thk2vap4Ch,81,https://p.scdn.co/mp3-preview/3ed2e2ed433fdc05df0a4f30607bd4b0760658df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
