Para Entrenar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,The Spell (Pulser Remix),5ZjlT7sWAjefpcAWIhpiEk,Solarstone and Clare Stagg,4y3f1ilh58Iv2OfldO3w3V,The Spell,3G24rKeldpLayHGyb6cSM0,0,not available
21,BOOM,7Mq3vRtwjRdDTxpQXrS8k6,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,BOOM,5oe0zIjAU9pD4vinHLR0Eq,8,not available
22,Deeper,68a6za8K8hOjUNLsH3LnLs,ANG,3iGTIdf1fn9YmiiZiODGTl,Deeper,67rAMeAeVTpcz4uyYOIqPJ,44,https://p.scdn.co/mp3-preview/fbf0a2035880251eb17dfe2548afedda589b379f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Leaving,29Ddz0FZ4c3ICEs1CNQ9nX,Blinders,26JVnujQQ3lEML8t9p3X1J,Leaving,4Gfyl9nYHRsWVIii2w32aX,50,https://p.scdn.co/mp3-preview/c706ecea095740e1f7e2e7d2e129e75a1ad904b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,No. 1 Disco,7d8tq5IZyngwkXieE2Sl3Z,Bingo Players,1pbHrVayIcVpHI9z97u4bK,No. 1 Disco,12Kupq4sJuZ979WYVjYvoF,45,https://p.scdn.co/mp3-preview/4edff2b4ba30cf7fec63673332218113f9dfd97b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Thinking Of You - Roulsen Radio Edit,0jOnR2AtHrza205RjEFHHP,HEART FX,28ciLdA1pW36nPFzGZm9qq,Thinking Of You,1zfXGWhOSYJcaYpaWYTEqq,0,not available
26,Loud 2017,3y7EYhuM1W2TVcqMLKTAIW,ZL-Project,4w8PGLhS3yzYSzeV3x2hkA,Loud 2017,59XB6qxo0Og5RrdJOnWG3s,43,https://p.scdn.co/mp3-preview/bbfac4881d5aea625b24280b2b97d290532ec08a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Now and Later - James Hype Remix,2zc5DkrYbNr9qbl1MFn4vr,Sage The Gemini,6d47Z08T4snK50HgTEHo5Z,Now and Later (James Hype Remix),6SuF4HZl1hrI1H8pUluJ5D,46,https://p.scdn.co/mp3-preview/15227db467d8c84111efab1c13ccb4713749aed7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Bassline Riddim,2dtoja3cDcgKU39fXmRl2s,Vato Gonzalez,4mDTB962RcRuArrhQazgOG,HELDEEP DJ Tools EP - Part 4,6r6Qz2hL95GZafZf4Rfqzw,1,not available
29,Welcome,5L1tWSzpILo1JRhMeR5UZ6,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Seven,0f1CZexom6ELxbDZx32fyk,50,https://p.scdn.co/mp3-preview/e0b3182df3a53fc70700ad7ea6b0509bcd2e9196?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Calavera,2RTDwuOYrdVrfest9QVLlP,Hardwell,6BrvowZBreEkXzJQMpL174,Calavera,5np9BElOYqwU9QfyU0Nj6O,44,https://p.scdn.co/mp3-preview/dbcb6562c905492490d0a48d728f454821c455ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Turbo - Original Mix,6DBPzkEjuWfH8KobrecLey,Selecta,1m9WPOccw8sizsVYUhSVjZ,Turbo,4ZzwSaWGaP7xrCiKMTb8gH,39,https://p.scdn.co/mp3-preview/bb97caa0c728fb4f2ba431bad190f0bc788e0cd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Be Here Now,5Yldt1EiD9XTfZPMLfIW86,Brennan Heart,5QySqc6yAFDx9m7fedFZmC,I AM HARDSTYLE (The Album),5eMbtMXhEkxu9zVlvU3nev,56,https://p.scdn.co/mp3-preview/65c7f80343511b86e42075d53e1f10a72e5c1b4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Frozen Ground,2xfiiCfk3y79yzYwbLPRyA,Ilan Bluestone,1yoZuH2j43vVSWsOwYuQyn,Frozen Ground,3qR5bpg9VSs1QRpIP92YlU,41,https://p.scdn.co/mp3-preview/dbc96c71ff9d82e14648543e5e7714cbf6dc21f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Dragon - Radio Edit,6oheWhUHTYSegLGV9x3BMd,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Break Through The Silence EP,5D8IRQ0MLsDQ5t6CMf6vWV,3,not available
35,Belong,1la2o7WHv6erRe18gs5sMN,Axwell,1xNmvlEiICkRlRGqlNFZ43,Belong,2KylFRyM8qPACh2qSozGDp,47,https://p.scdn.co/mp3-preview/5cf79ee9578f1a1fc3420540ed267be93d5dbf81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Magneto,0lMQKBPmCDyLDmj0uoWuDe,Madison Mars,4gJCFxvqKc43Ifk0UIBB42,Magneto,6jfx9fKF8itIiylQaQjDxC,1,not available
37,Here Tonight,6Ha2gDoMVDHaRjxxoS6qZJ,Dash Berlin,1xT5p0VBpnZDrvVSjX9sri,We Are (Part 1),2oe5wbyJfN9KbmzgF3FP3E,51,https://p.scdn.co/mp3-preview/5bc188536910db37a08fc7cbc5a4934fad75e866?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Carry You Home - Tiësto's Big Room Mix,6euCkVtAx92WwIaieTJEyK,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"CLUBLIFE, VOL. 5 - CHINA",3pazfA2ahcJHKHP2E2QjEB,3,not available
39,In the Name of Love,23L5CiUhw2jV1OIMwthR3S,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,In the Name of Love,1FOJ5IXGXe8dl0cXvCU6wK,82,https://p.scdn.co/mp3-preview/cbd166d86a2d5a52930dd5fe509c1f2806aeab11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Frozen Ladies,50avlo2B8xlcmWHJZ1q5V6,Supernova,1vpJBCwcAMbetCwtn2KPEG,Frozen Ladies,2VhyL6zUsTDYA7wt8GqOqk,37,https://p.scdn.co/mp3-preview/2b9935728292eec45201f6f69c7190da16bc01fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,How Deep Is Your Love,22mek4IiqubGD9ctzxc69s,Calvin Harris,7CajNmpbOovFoOoasH2HaY,How Deep Is Your Love,3cG32DOXJoYlOHMmJIaQsm,77,https://p.scdn.co/mp3-preview/cf1be40ee1b6e350bb6ae77f71f17cbbf63f45e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Believe It,3H2IvML3Xi2Tqa7E4PcrTI,Holl & Rush,0gT2b7kbRgn15nSNPe3lgf,Believe It,4sqsvXpAkRtKkC2Wu1oZ4D,31,not available
43,El Mariachi,1aBFDk6bC7Wd7GJwaDuSHF,Bassjackers,6xQvQwZQQuq9R3TdPNbcR8,El Mariachi,47cDwxqU7i40M2IlPQokXm,0,not available
44,Forever,5EwwwdsQfKI8ZnFG93j5Zu,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Forever,7zFHC5p1ylePX7dNxln5iJ,63,https://p.scdn.co/mp3-preview/0154d49e9bb74dfb9fab52834da0ff8554107950?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Feel (The Power Of Now),6Khx8Q4wfhmCOLIIbSrKGX,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,Feel (The Power Of Now),0NoYsLYQAfrD0L00MjB2qP,48,https://p.scdn.co/mp3-preview/77726aaa981cb6d945098c7e08da2879435f48a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Devotion,2hKPbIKR8gRd0t9tACyDHJ,Wolfgang Gartner,3534yWWzmxx8NbKVoNolsK,Devotion,4wlKEXOG0D0KTV9t3Qy0eS,0,not available
47,Let Me Hold You (Turn Me On),72xvRETEsd5hS1RfduciRi,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,Let Me Hold You (Turn Me On),1YmOcP4teu4SChIjeq5xVD,12,not available
48,Off The Hook,6jmTQwFzejCurofZDz7x9k,Hardwell,6BrvowZBreEkXzJQMpL174,Off The Hook,4xFL1dccvsB3Hc5OqB7LmW,55,https://p.scdn.co/mp3-preview/cc05d853d73d70e876abc77dc982f75fa1670c01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Poison,4ZkVOb0mNnm3MFY2LeyqHY,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Poison,2m4U0aYL6QDgbkL5GFbCmn,2,not available
50,Iconic,2rMjGOTjJZrhiQNWeuLpO3,Orjan Nilsen,1YuNQvsvOsMBm0ahbxB8qM,Iconic,54v7P6qf6whtRchzWjASy1,39,https://p.scdn.co/mp3-preview/1afcd8c478db59e4550a8237bede5cfb20d86e65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
