Cena con Amigos,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Somewhere Over The Rainbow - Bossa Version,0n2I6f8lJ1BY0vNWPwOA8K,Olga Chung,6UUbraIaaBKQGCZoSOmn0S,Bossa Nova Lounge,2towbkhxHCPKLsyQuealHv,58,https://p.scdn.co/mp3-preview/14a1a6f712cb9ff6a111c607863f1dd978273096?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Woman,0GGxVTb0UwDwdaKNjBdCn3,John Lennon,4x1nvY2FN8jxqAFA0DA02H,Double Fantasy Stripped Down,15q7N7Wo307mfjqR29NpjF,72,not available
12,Bienvenido a mi habitación,4NtU5Yq5SqaIbGjpbPmXw7,Georgina,71cjWNRukkIF8Ulh006x3b,Bienvenido a mi habitación,4nEsMSMUDN7x646cLbaXBp,41,https://p.scdn.co/mp3-preview/5c68ff19533b84efb592b4254f570089f8aac7ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,New Light,3bH4HzoZZFq8UpZmI2AMgV,John Mayer,0hEurMDQu99nJRq8pTxO14,New Light,5fEgDYFPUcvQy21TYoLEZ0,83,https://p.scdn.co/mp3-preview/213ffa7ca413185c59a8811102048c07cd74494d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,¿Dónde Estabas Tú?,6O7IhKaYZSYAUv0u6xVJkl,Omara Portuondo,1h4iSQAKdvAAm07l6FX6dy,Omara Portuondo (Buena Vista Social Club Presents),14IVwO0ZopBuaLEupTFx4O,23,not available
15,Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,90,not available
16,I Say A Little Prayer,6bBwFPgVdWxuc4uWEyALCa,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Definitive Soul: Aretha Franklin,2TQwwjsqs7dsHWkzcTa36n,19,not available
17,Get Lucky - Acoustic,2aXBORgLuv2czaJVyeLOl7,Linn Brikell,0PNyNiPpI6zQnbQyXDPQzu,Get Lucky (Acoustic),7kqflmHaXiCRFSF6gd7wwW,62,https://p.scdn.co/mp3-preview/c0013c68aae2eea68bbbee4343c6e771e0d178e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,L-O-V-E - Remastered,0PP5FvPTbe9ksjX5HbwQsi,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,"Ultra-Lounge: Wild, Cool & Swingin' Volume Five",6i6fAWD5fOYlmcDIX8aFmK,45,not available
19,The Look You Gave,7zZL4B0OjORzgedZ5YHDXw,Williamsburg Quartet,6DA5wkpfxPI7JwNla5FNje,All About You,2nJszo5U1ARkuv9d9AVFAg,45,https://p.scdn.co/mp3-preview/b73579a70591eb86e08504a8520dc0455c5c450b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Somethin' Stupid,4feXcsElKIVsGwkbnTHAfV,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,The World We Knew,67Evm6gPc9wFSUf1aXOrKO,71,not available
21,Ganando el Tiempo,6vcggsPzVC9qWikamING0g,Feten Feten,2jA6wEXprTZysvomP2krp8,Cantables,269SuIWx9DZ7poGQzNVbUD,45,https://p.scdn.co/mp3-preview/70640b046286fb673a450d72233a665b707f25ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Quien Sabe,2bhLqV1h7texAwg4uEhBIx,Zenet,2s7td67DdtSXTx2TGzs01i,Soñar Contigo. Una Colección de Sus Grandes Canciones,2NsgXX7zdnsp3Ph6un8S08,41,https://p.scdn.co/mp3-preview/1c5cb2e4dff67e597706e28be90e2573a4cea2f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,I Don't Care - Acoustic,1m84zLz4WizjR4mCDoXReg,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (Acoustic),34hxmcDX91rZtwckrSlq1X,77,https://p.scdn.co/mp3-preview/92be55693f9002286062f6fcf4e07cdd2b859c32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,La Flor de la Canela,3AvRiaZZqrMe3lznMui3BM,Maria Dolores Pradera,58LNn3iNPmmHusH1EkyBm4,La Colección Definitiva,62TrSoP03z7TiX3ZXGANGg,38,https://p.scdn.co/mp3-preview/0a9fb6cb2da8367816741544c3d92532240b0f10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Fui a Buscar al Sol,72q51tZkGZeN92UAHca86o,Maria Rodés,2uCphK8yRHj9DHJmmE5Isf,Eclíptica,7HqkDcXBIrGdvoFXZKYDkX,43,https://p.scdn.co/mp3-preview/74f54c274f7f945b65f06ab8bd882b4ca8b957b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Chocolat (Swing),42gaDDxNCrQMkri7sQcqGq,Feten Feten,2jA6wEXprTZysvomP2krp8,Bailables,2LXPajOlTfGvlm6jm1oFtW,42,https://p.scdn.co/mp3-preview/429c98ce6237913796eba502282a619c88dda2b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Boa Sorte / Good Luck,1xb4uv25MokAY9xos31WXL,Nelson Freitas,6yWyIM8jA96kl3jlCXpabB,Kizomba Brasil,2Fz12u46WRwemfugwB2S9j,44,https://p.scdn.co/mp3-preview/e41af50bc3726bb3c52b4a4f4bf6993f041fcea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Penélope Cruz Volver,1uhQ3H3TSDX9Bq9Oz6uHWV,Estrella Morente,5gKJbL392PiokTPUoL7N6D,Mujeres,5oE1VEtOYkkJJiRkZ7KbgB,50,https://p.scdn.co/mp3-preview/cf26ae889693e2df9a2739011180be55d1e80d5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,El rincón (Chachachá),53FTMNsJZWS3rnJzHoaugG,Juan Pablo Vega,2PfyKA4qhjkxUVkerTCxz0,Las Olas,0QIv2shOFaPcLZpzydG3k0,45,https://p.scdn.co/mp3-preview/648f64a44bde6a7e7bfbffa1a554f27879877d44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,6000 Miles,3UvcBuqivTJkZgRoLZ09JC,Sara Pi,0laMFy7P4AzMlSDFHf6CuE,6000 Miles,3RKr1pYPqHZaAsh6w8SCxk,33,https://p.scdn.co/mp3-preview/81d9106a69ebaa9ba0f7694287e04325fc3a74c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,El amor contigo,058K19d3MSe088Cgf3QlN0,Yasmin Levy,1XDkuk3pjmco8Mkd93Qxbu,Sentir,4gxaBylPClHaSjbfuzJA9P,42,https://p.scdn.co/mp3-preview/4622983244c8214d7d59759ed94e1a8227c68167?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Poker Face,2BvUnyMmphVTlwDigM5oss,Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,Poker Face,1np99MsHr0mQzN7RfxAinV,1,not available
33,(They Long To Be) Close To You,2kyVQg00pphEufGT59M2XH,Carpenters,1eEfMU2AhEo7XnKgL7c304,Close To You,5z8MFnoVUIfVo6MQW0uIul,65,not available
34,"E più ti penso - From ""Once Upon A Time In America""",0xD4CViKIXLz07PDhP36GJ,Andrea Bocelli,3EA9hVIzKfFiQI0Kikz2wo,"E Piu ti penso (From ""Once Upon A Time In America"")",79Hfcb2LIczgK06mqWDbNU,2,not available
35,Só Danço Samba,4Wzym5Rbnn8Ny8rFqEObm1,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz: The Bossa Nova Albums,4TcCL29jgD69v38woQX85i,6,not available
36,One,3PKtemUKxiDBvBo7tpQ8bG,U2,51Blml2LZPmy7TTiAg47vQ,Achtung Baby,3hErePSImi79vYHrSmypGw,25,not available
37,The Scientist,75JFxkI2RXiU7L9VXzMkle,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Rush of Blood to the Head,0RHX9XECH8IVI3LNgWDpmQ,85,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,The Blower's Daughter,5yyRH93h4Pm6tXXYTxt7ea,Damien Rice,14r9dR01KeBLFfylVSKCZQ,O,3ADELRoZ4I8WLE7clLU7La,68,https://p.scdn.co/mp3-preview/79091136e250a96d65aaf2858e9708529b4e307b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Night And Day,7elvLJgwfx0XhmPv1A6VX6,Diana Krall,5z1VAFwT35EVvCp1XlZZuL,Night And Day,5yglxByn88hqATkjlMeAUL,19,not available
40,Havana - Bossa Nova,0Tl1pHPHtn8WHMakC5VrVM,Kaysha,2DBaDAcrh5sf17yR1qbnsy,Havana (Bossa Nova),3b3HGOoRb1eTmI6ilMRvWG,54,https://p.scdn.co/mp3-preview/f001f8ce9180cfcb535ffe888535dce88c242e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Semilla Negra,6G4JJs9bhVt6ndHQBcao6b,Marlango,1sssLDz8bNSqKkW1zndP0D,Selection,2LRLNUHFT5zF12MTSTZmX8,39,https://p.scdn.co/mp3-preview/27f15e6745198bd462d51459044ebd521baad3be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Girls Just Wanna Have Fun - Acoustic,7rohDMzsbmSmol7sIZs0Px,The Mayries,38SWPOPO1YqxUPnT4AAoID,Girls Just Wanna Have Fun,1WJCyViZxB0GWgvZicSxKY,64,https://p.scdn.co/mp3-preview/a897c3c025a31a1adf8ce070adcbae785910c090?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Killing Me Softly With His Song,6btetw0crEcjUKlQ4RO86f,Roberta Flack,0W498bDDNlJIrYMKXdpLHA,Softly With These Songs The Best Of Roberta Flack,7CotghZUwrLnk49DCJeFGx,14,not available
44,Maria Cristina,6RkiGbfRM1Blo3iXVc98uS,Eliades Ochoa,0hXHTWhBUEpkyHJ0GnghEH,Companeros De Mi Vida,5syN6MvgMAkQDOpYy8mceC,41,https://p.scdn.co/mp3-preview/d1898e995e1e45d14e1d7adad995cee812892dad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,(Getting Some) Fun out of Life,1WWVlkmJSdLBSiqF2m8Ex2,Madeleine Peyroux,7nXyULtoL8k7wP9l6kg8Ef,Dreamland,4DE9KRgAibQ5ZnmDtuGJNB,60,https://p.scdn.co/mp3-preview/f69582cf065fc12a49443bbc5ddffd073be34e34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Vivir sin miedo,55NknKmUtmAoH6iRjAnxOT,Buika,1gbXoccc8bjK8eUh92mILy,Vivir sin miedo,5MCZrSKQgQBwzY6M10gSUG,35,https://p.scdn.co/mp3-preview/86bd45d2c8d063db9d347a943e14ad19c5a4c587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Is This Love,3c0VB4zRHksX7aUSJ5IXyG,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,The Best of Bob Marley,2EiqmZ6MJK9MghMzqks1DX,5,not available
48,Tears Dry On Their Own - Acoustic,6ftZrt4wcgSHokKl7ice5y,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Live Acoustic EP,7ahC3nVbClJ8pqASWOIhda,54,https://p.scdn.co/mp3-preview/00e8aeaa6248839f9c242e18ac85da8163a32c2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Habaneras de Cádiz,6Mhw12JZfaRullIwuiDrnW,Carlos Cano,3DmpE6oHcvPFhtMTSlLMFB,De Lo Perdido Y Otras Coplas,53XJCziWiXOOrBCmbVLXGC,44,https://p.scdn.co/mp3-preview/d93a95396a0d57702f95ab6a19f4f95120423432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Fly Me To The Moon - Remastered 2008,716ee4WXvayYh2RnB2fN1F,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best (Remastered),54jgcQieeiqZEuA8fb5CsZ,15,not available
51,María la Portuguesa,4UBD68Gl57igC6y1yndIjI,Las Migas,6wWp1JO8wL9qEeVV0TRHY3,Reinas del Matute,6UQCxm8zXegAPpW5FJhfCK,39,https://p.scdn.co/mp3-preview/852f9220343ec8b853b989d932c9783c9b7770eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Sous le ciel de Paris,2tSpxPGywYcnfanQIT30gs,Yves Montand,5ru2x3pjrNn67D22BRwlFP,C'est si bon + 49 succès de Yves Montand (Chanson française),797ZZpUPBiTGrGBMIijxW6,54,https://p.scdn.co/mp3-preview/fc4a26e85f126cd95a775f0ac45f1c0f8ac20922?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,The Look Of Love,3CDHydgW0ssTh59f0jy1y3,Diana Krall,5z1VAFwT35EVvCp1XlZZuL,The Look Of Love,4nmjBh2Td9I9x9JDncrQr3,66,not available
54,En el ultimo trago - con la colaboracion de Chucho Valdes,57ufef2a7mO1RMJJSoP1lw,Buika,1gbXoccc8bjK8eUh92mILy,In my skin,2AlNyn5VlIGCeuWp1NpiXR,25,https://p.scdn.co/mp3-preview/2a2648b11561313d358401761562d9b88aa5112f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Misread,3hxoYmSHzIBwSS2bPTOfbg,Kings of Convenience,41AbNVba2ccpmcc9QtOJE7,Riot On An Empty Street,5QE8eXeN0q8M7atLb1fT6c,61,not available
56,El Cuarto De Tula,0NkBKaWhqR1KN67bUPlvYp,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,2Upqk0mMh9OMIVSj9F8Xzw,30,not available
57,Living for the Love,26zROEHzDCfuZbrtPSua3l,Trio From Rio,4KoFxfBb0kw05Odd05UktH,Tropicana,2LyLyjwKUPGxggZ1DMnvAP,55,https://p.scdn.co/mp3-preview/8c5a3ed218ce0e15f248e2e9bb8834d626ad042a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Canção para Ti,3dkuH1tyUBluh19jCDlNiL,Janeiro,6XkMchHBuVhvBzCOyKIlJ0,Fragmentos,4B9Sqim9O9P03MyQV19woO,40,https://p.scdn.co/mp3-preview/28166cd893fe213a0e8fe3f809ed801c882ee7b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Come Away With Me,1JvoMzqg04nC29gam4Qaiq,75,not available
60,I've Got You Under My Skin - Remastered 1998,3aEJMh1cXKEjgh52claxQp,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Songs For Swingin' Lovers! (Remastered),4kca7vXd1Wo5GE2DMafvMc,69,not available
