Iconos del Rock Argentino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Trátame Suavemente - Remasterizado 2007,65DBZofI0b79kfHTcWWDuU,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,Soda Stereo (Remastered),3i4nU0OIi7gMmXDEhG9ZRt,72,https://p.scdn.co/mp3-preview/1c06992f0a8612343a683730f1c09fdd40172f4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Seminare,5bXhx2vO2N4ZwUi0QFn4HU,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Serú Girán,576AZwSw776mNOkg1UZtpc,62,https://p.scdn.co/mp3-preview/551e474c0391b560615874b33181f2581ef0e457?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Me Gustas Mucho,2kB1rqoTaZ3j6ChtIWGurm,Viejas Locas,7wTu5u7W3kc9Id5JAvSAFV,Especial,6jnYqzP7SLpLabodU9Ie0E,63,not available
13,Personalmente,7q7XFO9av9VpNJSXKJwJxD,Las Pelotas,1Qv4E1VgZOGnOYd99Kp5Bs,Despierta,0289kJfdXVBPSDJfQ1fPJz,65,https://p.scdn.co/mp3-preview/c239fa955ea8edd05e406fdd099d763d6c513c95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Mil Horas,7uKe068f3goRFEhH6MCbun,Los Abuelos De La Nada,5R3NywPPOyhLfdvutgg0me,Vasos Y Besos,5O8onsit6TM3W7qqxshwqN,8,not available
15,¿Qué Ves?,0aad6vDkOmu9d1aFNvOwYC,Divididos,6ZIgPKHzpcswB8zh7sRIhx,La Era De La Boludez,4D1aIzUYKG6jytRjgT0QIx,62,not available
16,Crimen,3oqWr0jDWNXxWufNogGREp,Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W,Ahí Vamos,7KHNK7l8peO0t95I1v7BmP,72,https://p.scdn.co/mp3-preview/22a093c6d9b1a6f45cba757813be034221084350?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Amanece En La Ruta,5pKVGrmItsCubKWTrYpxSZ,Fabiana Cantilo,5R6YR0pasdxlynyq0Abq7x,Inconsciente Colectivo,3AzpHdFjpWrGE4cCwyXAoE,63,https://p.scdn.co/mp3-preview/2460f6b5730e335aa71554c80e2e26fcbda2e1c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Angel de los Perdedores,2WE7vQVhCBf8E9COHIK7uP,El Soldado,0CFMR3ZXAZ591sp0z2Hwjp,Tren de Fugitivos,0BnkbEjDMgBCVaWJYnj68f,60,https://p.scdn.co/mp3-preview/8b20572c144ce61445bdf9ca5dbdaa7410365a30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Toco Y Me Voy,01nTBDbeOYE4ieFnPBeZ9x,Bersuit Vergarabat,6MxyNXnnmwQwdW2PD0gXYO,Hijos Del Culo,6cMJTETgNo2NahG0t4Ghxo,1,not available
20,Rock del Gato,3QyB8F5ZhYoai6qjC3evt4,Ratones Paranoicos,5fVtUielMhdztOA34ArB6c,Furtivos,7ICXWFt2A3KeYgKLbvOmsl,55,https://p.scdn.co/mp3-preview/1e83125401e5ee62859d2660c11cbf4fff542ec5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Adiós,1rh4kDY9T4fHVDum8Foi5k,Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W,Ahí Vamos,7KHNK7l8peO0t95I1v7BmP,69,https://p.scdn.co/mp3-preview/6a88c6c7e00fb84f12f4887816a82ea32451ef75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lunes Por La Madrugada,6VPIaZNNJFOY9U17geQz1o,Los Abuelos De La Nada,5R3NywPPOyhLfdvutgg0me,Himno De Mi Corazon,2oo9stWQLNM4eb5JCSoXGC,60,not available
23,El Pibe de los Astilleros,02ZtIbjdZKpvdeUNmY0LWp,Patricio Rey y sus Redonditos de Ricota,6byQKddO1b34lXC2ZEjehQ,La Mosca y la Sopa,0IcpyzTrT0Gp8PVMC9l0NS,63,https://p.scdn.co/mp3-preview/2c5f885a6f0582332bc8a979f150e64897233bbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,La parte de adelante,3sbK4VHl4hxElpeO5Op2lX,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,Honestidad Brutal,2gwzhCxkiLzZC0aPigMz5Y,14,not available
25,La Soledad,6JoVT97G1ZLpy6KHxZpGdp,Bersuit Vergarabat,6MxyNXnnmwQwdW2PD0gXYO,La Argentinidad Al Palo,7cpdpStxuyx72jvGAIfjGy,5,not available
26,Mi Enfermedad,46bGEqzd7anKKovVOZ9bTF,Fabiana Cantilo,5R6YR0pasdxlynyq0Abq7x,Algo mejor,2KaHfFLmbhkHQtMAEixycQ,62,https://p.scdn.co/mp3-preview/ee2b3598d901c8e465fd6450d2bdf28c50de5880?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Lago en el Cielo,17eJyYLIlMNlOqcwHYJ9F2,Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W,Ahí Vamos,7KHNK7l8peO0t95I1v7BmP,64,https://p.scdn.co/mp3-preview/e4dc095aa86dd6dd010d292ac7a907c29ac81692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Como Alí,7Gjlbz4TEoeBGH43eEd3hs,Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,Máquina de Sangre,2CzDXrQbEVI5gJq79rvBZx,57,https://p.scdn.co/mp3-preview/67cc2f3776ed8dc03cd9fe8abc17fbd2a013ac95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Homero,3AjSUbPd7siXGOSlmXm9Nr,Viejas Locas,7wTu5u7W3kc9Id5JAvSAFV,Especial,6jnYqzP7SLpLabodU9Ie0E,60,not available
30,Los Calientes,7L2arBxHMxVXbWQzaHKgnY,Babasónicos,2F9pvj94b52wGKs0OqiNi2,Jessico,2VMsGuuC4CDcyZ8qp7njWh,62,https://p.scdn.co/mp3-preview/5e9786da7372bcd6775beb6ccf6b2396ce78bc76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,A rodar mi vida,24LCJ8C0D8kx6iplic9SDV,Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,El Amor Después del Amor,1nDTw13U4zW8YuelhilKW5,59,https://p.scdn.co/mp3-preview/c1db68d7122192c3c694842c6dd3bbfa055383f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Crímenes perfectos,6guoJhM9n5Fm7npXJ1rfsM,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,Alta Suciedad,44D07i1Lk0zFtWHRARMih6,59,https://p.scdn.co/mp3-preview/a913461761ea825a829fa747b8a48f38c07ace1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Tu Amor,3obYcaXHdTB1EvZE3PVQhd,Charly García,3jO7X5KupvwmWTHGtHgcgo,Tango 4,0JTWqpFlJobaZW5V0Y0R5T,59,https://p.scdn.co/mp3-preview/de9998c60b66104b50126389a1501bef2b05e741?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Canción de Cuna,6dkGg8FxGzFVRdcMsuVhkb,Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,Máquina de Sangre,2CzDXrQbEVI5gJq79rvBZx,53,https://p.scdn.co/mp3-preview/ee5c59d00adcf04f0721d14c2c1a665391b3fa0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Irresponsables,6d4d6cwiAf59mKxoRmXQoK,Babasónicos,2F9pvj94b52wGKs0OqiNi2,Infame,5chAuifdjaRoIqlnG4Lbun,25,not available
36,La Razón Que Te Demora,0ljyHIWERJQp8O5LKgKm1l,La Renga,30fEdZPXgWfC4sNttcyB3C,Detonador de Sueños,7hHY77bNkcPikVZpC91hvZ,63,https://p.scdn.co/mp3-preview/87f28529d9cbc3d70686975ed3d9bdbfed06a441?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,El amor después del amor,1PQzZbitOJ6XPFg7FFzsKQ,Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,El Amor Después del Amor,1nDTw13U4zW8YuelhilKW5,65,https://p.scdn.co/mp3-preview/bf73e6956b3e6f3f49e252507a9a06787b5d1d41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Prófugos - Remasterizado 2007,1Tja3miBbbENpqIOAqGWXa,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,Signos (Remastered),7s2lDvm4FwnWE5RXEoY8Gi,59,https://p.scdn.co/mp3-preview/d7c6cf57dadcfe62149a3894926a5a48ff3d3807?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,El Farolito,7ip2lBrKUjkb69I8isyqPm,Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,3er Arco,1ZUWRmH8qVKhcps3MjlLo5,61,https://p.scdn.co/mp3-preview/de6d0fdda7c9059da1361c781f3a406ddb4d920a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Todo Sigue Igual,75dqA2rQHnUtP7XjvkmKh2,Viejas Locas,7wTu5u7W3kc9Id5JAvSAFV,Especial,6jnYqzP7SLpLabodU9Ie0E,61,not available
41,Balada Del Diablo y La Muerte,4ObkiTmpsSU31gqGhTb8SH,La Renga,30fEdZPXgWfC4sNttcyB3C,Despedazado Por Mil Partes,0eH6ICTcUbNqjplgRISQEg,64,not available
42,Mariposa tecknicolor,2RognU2ViRdA6HxnpAITJl,Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,Circo Beat,3pFykTd3Xwi8jtTrNFJEwa,69,https://p.scdn.co/mp3-preview/9ce311dae0dffa5b700c8698f34e9630631dfb51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Mujer Amante,5O5PY5HJNPxD7KyqU0SEhH,Rata Blanca,632M26jlmnCrL8CqD5i7Kd,"XX aniversario en vivo - Magos, Espadas y Rosas",7dbk5SnWgnt485vlCizXBE,67,https://p.scdn.co/mp3-preview/e05cb65c09e1c69e110cd511aeb6f8f47107345b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Ruleta,3cTcRPhf3Kal3UOmtVpwKo,Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,Verde Paisaje del Infierno,5BXYr7iU56rEX24QQPYcjO,56,https://p.scdn.co/mp3-preview/14ff710e406de342c72306d220058a2b38652021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Oda a la Sin Nombre,0iZI1vKI4dTBofmpav5nV3,Skay Beilinson,4K8Mrjr9IvA8QU0Vjj4BED,Atraves del Mar de los Sargazos,6jWuKj7C4cscftBl9HdAA2,8,not available
46,Para no olvidar,1ZGs4W7LBJy68hRPTsvMFc,Los Rodriguez,3XkJyJgJDxnjdQgH0zfT8K,"Palabras más, palabras menos",0vcyVi1DEoFqSkGEJ8H46t,64,https://p.scdn.co/mp3-preview/e15836d0e834061f14bdae32d338a7d7ad4e96f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Vencedores Vencidos,7EFMYtN7FFFNLzxOa9OgGC,Patricio Rey y sus Redonditos de Ricota,6byQKddO1b34lXC2ZEjehQ,Un Baión para el Ojo Idiota,3bSPbmYHqouqpTO2dw0EW5,59,https://p.scdn.co/mp3-preview/286ccb6c3b7a32752911059e3f18b1633585ef38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Pronta Entrega,4UXE0ZLGIoLUOFqTECzoQe,Virus,0G7A5LzQAs2egiQl7hO5tV,Locura,5K3EGqntkI4To4TKtmIj2r,62,https://p.scdn.co/mp3-preview/0f96c5ee16b44d3d01aafaa2edfcaa0a48d981df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Puente,6gwaa6ElIixNTvu6RwkMyo,Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W,Bocanada,2rIdWbXPjcq8K7BCccBhhC,69,https://p.scdn.co/mp3-preview/29f02253f317eab359dc3cb3663f13f96b26f82b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,En La Ciudad De La Furia - Remasterizado 2007,7J2885UBOaG6x3LLkp2YGf,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,Doble Vida (Remastered),0mEY1U7SZdIwDWylFm2UC4,65,https://p.scdn.co/mp3-preview/ec5a259882186e52933f09dcf5d5faf7f8dd39c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Te quiero igual,7qIw4D1PcDHigDohKkLB0W,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,Honestidad Brutal,4OZincs6XqlfEuKEFtpq1Y,65,https://p.scdn.co/mp3-preview/5a35c0f661da5debcf27eec8084a10f20237d340?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Demoliendo Hoteles,0CZ1zfFjhjixiBKB8kbCdt,Charly García,3jO7X5KupvwmWTHGtHgcgo,Piano Bar,2ATdTlBlalJD2fbQvCpLvL,2,not available
53,Muchacha (Ojos de Papel),1SXzI5Rnid2ApgNQPmROLm,Almendra,7x2a9uyqlWbE9LwcoQWDTo,El 1er Álbum Más los Singles,2Syxpgpva5hDmqCZpmmJHp,62,https://p.scdn.co/mp3-preview/4b5ef7136fa7cad06509285f130eeaa64c7b8a72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Deja Vu,6WgUNHiMwJazeG4kWPAH1m,Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W,Fuerza Natural,51wepZm3YvZfvFxiu7D5F8,66,https://p.scdn.co/mp3-preview/2848a4ac204b21a473e070465b8f210032933703?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Nos Veremos Otra Vez,1FBdUVBQsG8suMoKaF3GOi,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Seru Giran 92,2RpzZJ2bn9gEtHzLsTejT4,59,https://p.scdn.co/mp3-preview/3662dfe4a682ccb8330f9f0d7d8900e7a0018a0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,El Tesoro de los Inocentes,7qGn9WweEDJw8KZwJqB1KN,Indio Solari y los Fundamentalistas del Aire Acondicionado,0nUGkxUncFeXt0Dr0hhrc4,El Tesoro de los Inocentes (Bingo Fuel),6c7d0efZpNxeQCOm6Af7fD,57,https://p.scdn.co/mp3-preview/612708ea4ee6def404f323663a1f1770106c7097?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Selva,2En6fFzzlzPLcV8sXwrx7X,La Portuaria,0Q7HmY08qjZ6SrCb9DYji7,Devorador De Corazones,7nJFHb7cLQNlv710wRjbvH,57,not available
58,Dar Es Dar,2Zf9qnPb1WDHPeAtSdEEHu,Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,No Sé Si Es Baires O Madrid,4WLwsEOqZXfYEJK9iLdGVs,55,https://p.scdn.co/mp3-preview/5e23138ef74e5528dfabcaa5498057370320a8da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Nada es Para Siempre,73J1IrrirnxKM6wk5JfIcV,Fabiana Cantilo,5R6YR0pasdxlynyq0Abq7x,Sol en Cinco,3PRvVLAu5xKxYa9o4lK04S,57,https://p.scdn.co/mp3-preview/6ffd451f734f5383d542d83eabefc67b07c36ca6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Amor de Perros,4Wp929z0IUNu6Iq2yZSTSO,Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,Máquina de Sangre,2CzDXrQbEVI5gJq79rvBZx,49,https://p.scdn.co/mp3-preview/4d1184d2c15c558e4682699319aa1bd9d94ed0ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Ruta 66,4gN4cSdHUbd6eLzkWL1vdI,Pappo's Blues,59dLJG3ZVwkMZLFKByQCJB,"Pappo's Blues, Vol. 8: Caso Cerrado",3tMA4MFLKNJUDJuvQAoPpk,8,not available
62,No Tan Distintos,4dG3znpT3NJjfRRvPc77xe,Sumo,10AzTrYMPVVmpKoBP5bX9W,Obras Cumbres,4PJLMwI0oUtDRTT8auZoaP,53,https://p.scdn.co/mp3-preview/f4313741c6daf50d523584f33811d1428c31c83d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,"Manuel Santillán, El León (Versión Reggae) - Remasterizado 2008",41MfyUSxQoo1BgIsNj8eDS,Los Fabulosos Cadillacs,2FS22haX3FYbyOsUAkuYqZ,El León,3ECynr5YW2UuIJFPOGve9H,63,https://p.scdn.co/mp3-preview/1364c25fe0e4826b6412246e40c879228ef9b03a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Y Mientras Tanto el Sol Se Muere…,61WshNXtWtH8DzMoZA39JZ,Indio Solari y los Fundamentalistas del Aire Acondicionado,0nUGkxUncFeXt0Dr0hhrc4,Porco Rex,5AMNeWGsW9kMzyc8qgxfDr,55,https://p.scdn.co/mp3-preview/1347b61d75581d14f8fc26624500711fd02e63ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Persiana Americana - Remasterizado 2007,71awpJoi5bqGMBrTkHDDoL,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,Signos (Remastered),7s2lDvm4FwnWE5RXEoY8Gi,68,https://p.scdn.co/mp3-preview/a3c8e943a7f184caa304bf853d2966bea0994034?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Circo beat,3pOZ858QkKdCCTONxISQa8,Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,Circo Beat,3pFykTd3Xwi8jtTrNFJEwa,53,https://p.scdn.co/mp3-preview/75addd9ced66d14a75b71a7ed52939e46a926806?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Necesito,7H62s62eUQqYXTA3WsrTK7,Sui Generis,5lCqW8vcd4TyTHzGIuKdH8,Vida,0EdYPXNaKi8QOBwq1C13jM,54,https://p.scdn.co/mp3-preview/27f7a57e225d0e73b19a9096e021ceb43d4775fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Nos Siguen Pegando Abajo,4VikOud5ZmdmHH6h7uQeDB,Charly García,3jO7X5KupvwmWTHGtHgcgo,Clics Modernos,3OyBf97NOuJjhEpQHY920H,62,not available
69,Sin documentos,4BzQlAd7QUdqRydbEnO5R5,Los Rodriguez,3XkJyJgJDxnjdQgH0zfT8K,Donde estabas tu... en el 93?,1RRiaLNLuvtlCLVM4x5JeI,53,https://p.scdn.co/mp3-preview/712fb3a218592c2016b385b28685ac9ba70ed493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Luna de Miel en la Mano,1qWLCuCnNcQVVzJm4pu7Zv,Virus,0G7A5LzQAs2egiQl7hO5tV,Locura,5K3EGqntkI4To4TKtmIj2r,61,https://p.scdn.co/mp3-preview/7254b890186ffd34c27bb0cc1bfc44e9ae0d18ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Si Supieras,41IcZvPpbwUVoBWuHp3Eji,Las Pelotas,1Qv4E1VgZOGnOYd99Kp5Bs,Máscaras de Sal,4m2rRkMOGAowNa674LYU3y,45,https://p.scdn.co/mp3-preview/16e4e211962420742bd9c27af514d2eb75e6da09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Bajan,6hmYi0E6EBEmDeztQHaH0C,Pescado Rabioso,3q1NXsv9XypOUCJfEatXH9,Artaud,5MJR9j21vjEi4ODxzhvoTA,60,https://p.scdn.co/mp3-preview/e76dc785fb7bb1566bc67a87bf39cc3c5d30c2f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,El Revelde,24o76WATbnSIhV26hHgUHn,La Renga,30fEdZPXgWfC4sNttcyB3C,La Renga,58M6gPLnHqTnE5z2dRbKNH,60,not available
74,Nene de Antes,0VZpqCugL1y5mBGPkw0foP,Divididos,6ZIgPKHzpcswB8zh7sRIhx,Gol De Mujer,5qNbbDBwCJn5haKSWxsBJS,55,https://p.scdn.co/mp3-preview/a48825e7ec11c2a7df0546dbfc23d4cebc5e8ef9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Imágenes Paganas - Version Estudio,6hiXQhwO98tEbNNbWtNS1Y,Virus,0G7A5LzQAs2egiQl7hO5tV,Vivo,7byqd7hsiFnu2cd4LQPlBm,55,https://p.scdn.co/mp3-preview/b1a3c8261bc1869d0ebefa45c50279487d59e98c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Magia Veneno,6zielPkg61vCK5DfqqvjE9,Catupecu Machu,059ysTnWcrm4yFwTr0NDjc,El Número Imperfecto,1nE0dr9IW4y6nKDtVO8yTn,60,not available
77,Los Salieris De Charly,2Ur5w6pRsWBq5xnqiwhVgj,León Gieco,5yoimVE1rbc3kAx4uwr7eq,Mensajes Del Alma,5N6dSqrWduJNntj4svDbfE,52,not available
78,Loco,0jePqZlutXGa8xz6NNyKAy,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,Alta Suciedad,44D07i1Lk0zFtWHRARMih6,60,https://p.scdn.co/mp3-preview/83ab52ac47d87f45eeb0cccaa2bcbd4a32276a91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,La Guitarra,6aPoVnA9UDncMyKgTAicsO,Los Auténticos Decadentes,3HrbmsYpKjWH1lzhad7alj,Mi Vida Loca,2wV2nY2P5vHYiUNTWWzXj5,61,https://p.scdn.co/mp3-preview/9d433acb610ee41b1fad56d38ed3c804d7cf0baa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Ala Delta,0LTCld7MYVKCAGpi05szyV,Divididos,6ZIgPKHzpcswB8zh7sRIhx,Acariciando Lo Aspero,5UmrOPpQ3VmXmBRSvXMbcR,56,not available
81,Sigue Girando,4wjbUTC312rQO7rziAONDa,Ratones Paranoicos,5fVtUielMhdztOA34ArB6c,Girando,5uXPldCWi4gWWQRkbT0m5B,57,https://p.scdn.co/mp3-preview/cee70166b72882bebfd8e061f254111797a2de7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Ella Usó Mi Cabeza Como Un Revólver - Remasterizado 2007,5RzXSxR7BUhEtpqh77lMbR,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,Sueño Stereo,1A3VRbn7Kto2ov0LkSY0eg,57,https://p.scdn.co/mp3-preview/c4cbdc31e4fe7e0fea063427e72bdeb5a36f7f99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Dos en la ciudad,4MYOJ2AhfzdoPAjwHg79LS,Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,Abre,4uOEHOabkf5hmv0ra14XJb,58,https://p.scdn.co/mp3-preview/9a623a4f82262e9b758270f44bb74412fdc15969?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Quieren Rock,7KZWjw7JURpLC80tasSdlR,Intoxicados,4VgvR7eu3k2T20mo6mXhXF,Buen Dia,3Cm6V0jTg2MMseB6oAfTDg,49,not available
85,Cerca De La Revolucion,6KrSQXiwgnWBv6E4tTjbdF,Charly García,3jO7X5KupvwmWTHGtHgcgo,Piano Bar,2ATdTlBlalJD2fbQvCpLvL,1,not available
86,Sé Vos,4MUhGA8YfsYDqD4NhTUtSf,Almafuerte,6qYd7xlmeeeDkPfx6mZ9PV,Almafuerte,2EC1fS6uKutEPexAfOgBEl,52,not available
87,Y Lo Que Quiero Es Que Pises Sin El Suelo,3z5F0EaY9VCq9GiQPzrbDX,Catupecu Machu,059ysTnWcrm4yFwTr0NDjc,Cuentos Decapitados,4agUniovdijNcGf3blcYQM,55,not available
88,Ciudad De Pobres Corazones,1PSsStvZmJsU3CiJg8hRAx,Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,Ciudad De Pobres Corazones,4GGCNfkWRUgyu6UjstHlJj,54,not available
89,Hola Que Tal,7CzIIZDrVCgxwXYzhzt58d,Las Pelotas,1Qv4E1VgZOGnOYd99Kp5Bs,Amor Seco,3t90MnfsdsOrSw9EyoDnfO,47,https://p.scdn.co/mp3-preview/43c6d9e6ef8737e84ade653c60be627f85240d55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,La Muralla Verde,1qvY1z3Wm3sAYeHfPTnrbI,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,Originales - 20 Exitos,3AWurTYrtIfp7HwHg48DxV,73,https://p.scdn.co/mp3-preview/d138c37a9d70901900e29e7428bb385d8a12cb69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Muévelo,2RzNpQEcatMIym0AFLJUsF,Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,3er Arco,1ZUWRmH8qVKhcps3MjlLo5,51,https://p.scdn.co/mp3-preview/ce548224059fa5f824060a1ff15488216daf004b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Sr. Cobranza,0zXMZx9kvFO6x58JiIh4BJ,Bersuit Vergarabat,6MxyNXnnmwQwdW2PD0gXYO,Libertinaje,4jvy4EtQG6BrW2FZewSZri,59,not available
