Karaoke en Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Yo No Sé Mañana,7nDIflSHQXzaa8zupxwv3U,Luis Enrique,2mUI4K6csTQd3jieswcmiI,Ciclos,63irJwZoWLRUc1lBKtuxmQ,73,https://p.scdn.co/mp3-preview/74891187474ca171644f18fbeabfccf502031e8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Andar Conmigo,05iMQqncVBIm4AE26EvaTL,Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,Si,3pNoZEMsLO0HZygvwaXANB,71,https://p.scdn.co/mp3-preview/b6069c739059cab6c3d33e432d4a0fe44f57dae9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Un Año,5BDP2tky8oMQJPS33frKVp,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Un Año,4Vtx3PxyOfBUBuEYAIocsP,80,not available
13,Volverte A Ver,2ZqFfDwNjKvPu3USx3onhO,Juanes,0UWZUmn7sybxMCqrw9tGa7,Mi Sangre,2HbvQeJXke68tjwOcsj8ne,64,not available
14,Loco (Tu Forma De Ser),3ydweVPwq9PCEVJ8WwqT6u,Los Auténticos Decadentes,3HrbmsYpKjWH1lzhad7alj,El Milagro Argentino,2pqscM7JlS6XR6fk7Y8tVZ,71,https://p.scdn.co/mp3-preview/367a77d33470fffe30c71bb72b1a38e833a2830d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,La Media Vuelta,1lKI9y1DL6QnYTZguVmACX,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,Segundo Romance,2e6Hp6xaTbUDVzcGLNTHm0,72,https://p.scdn.co/mp3-preview/c65d83ea4c1a09f3bae9fd317f19a6d7683e1d49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Te Mando Flores,6OpHDI8lRiqHLqmUIYUxVr,Fonseca,53KTldaJ8tHSkYU3nigfwP,Corazon,7GZadm08rfMiYXhRHlv993,56,not available
17,Tu Falta De Querer,51cCG7fjfxhi5jbu8ctVzl,Mon Laferte,4boI7bJtmB1L3b1cuL75Zr,Mon Laferte (Vol. 1),2HGv5RokHutNMdBhVCEavW,4,not available
18,Espacio sideral,7rGadqZ92cyRGmkDDpxAzH,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,Six Pack: Jesse & Joy - EP,3o2ISZrrYHFTKUP3DKuvrK,62,https://p.scdn.co/mp3-preview/559d1334a9cc5069dd413a56572f01ce3ad210ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Abrázame Muy Fuerte,2nejvFyJeTDtMRP2nUMt0J,Juan Gabriel,2MRBDr0crHWE5JwPceFncq,Abrázame Muy Fuerte,2ERJFuFlmwOV0bxl8VOtdU,73,https://p.scdn.co/mp3-preview/eae2a6a04874678c1ea5e5f2a6bb39d10ecb344e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Algo Contigo,4zsDA31stWMtLveU61hejd,Vicentico,25THA9HUHoxpCT4LBp7UsZ,Vicentico,6Qt9Yiol5QcAEeKPyIQafo,69,https://p.scdn.co/mp3-preview/c0f5ac4114f826a700f47213b537e9da9fda2e25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Me Dediqué a Perderte,1HpIBHs03kKCxlrPthWXmL,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernandez 15 Años De Exitos,1XIDdkj7xuSoDDyYseS7o3,12,not available
22,Vuelve,369XUs61gRuokPS5E2pwHZ,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,17,7fUnkkWBAzFNC6JbYuuOnE,48,https://p.scdn.co/mp3-preview/4cde5de84e83c47b4290be955872c091f8a397cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Limón y Sal,4DKIsyQvxNwcCIWdryyC9I,Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,Limon Y Sal,1wQBj19J1hgFqJHj8dHq1r,2,https://p.scdn.co/mp3-preview/809661e213e3094c61dc5b4f3f8e91c5782e5abe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Querida,7osHjFGYUmIMB6eAiU9HDs,Juan Gabriel,2MRBDr0crHWE5JwPceFncq,Los Dúo,2IlXnGyMzDixqs44RSUObZ,67,not available
25,Color Esperanza,3T07pNAEVr9adeIG9i1ex4,Diego Torres,0LALueHEQunQ2d61fXGeZh,Un Mundo Diferente,6lQH3MxpJygGIGs9mOZUNf,68,https://p.scdn.co/mp3-preview/0fef1398cb91be3b185facc8c38ad0ecc3ea61d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Es Mejor Así,2IUpTj26600NxIx6Qh9WVk,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,Singles,1TdVM28RNgqr4EljBVqE2u,2,not available
27,Para No Verte Más,2KeidigK5po1qoREBuX35Z,La Mosca Tse-Tse,60nua3AsVSfADZtg5Hdz3W,Colección Suprema,7mhDLAiRNZmqaP52huKp3t,60,not available
28,Lamento Boliviano,6Pur3hWy6Nzc27ilmsp5HA,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,Big Bang,3y63u5vmuMugqI8lfuUY3a,76,not available
29,Laura no està,10tzk7ZRjwnLKd3gjKLtTA,Nek,5mXMQJHLLfym1KyNcDrhoZ,Nek (spanish version),04HNYs9ilzC2h31dq7pVcP,66,https://p.scdn.co/mp3-preview/c45e1adb5ad339f0c53bba9440771a3506bce9de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Destino o Casualidad,02IJFWVjLSM811RsySQusA,Melendi,1EXjXQpDx2pROygh8zvHs4,Destino o Casualidad,6uXwvyYfdS2GQEhTtEa5sP,9,not available
31,Así Es La Vida,3ge3q3Hz0KWhQX5EAQcwEy,Elefante,5oYHL2SijkMY52gKIhYJNb,Lo Que Andábamos Buscando (Special Para CEV),5v3tEjfsPvLN3aDawSSx7h,69,https://p.scdn.co/mp3-preview/d5387f543902180aacf6cf95d8bdf410fa806f1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Dejaría Todo,79mdw3IznNCFsF7R9O2KGz,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,Atado A Tu Amor,3liBiZNxZoEkcv9ooLM20i,61,https://p.scdn.co/mp3-preview/b05392a68e4e685976fba4a8548794917efa2e0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Mi Persona Favorita,70fVcEP5pRrxaIICY3DcPe,Río Roma,2O3v9rCTzLhPFaGaAVgZLt,Otra Vida,3rpgokRsH2ZRK0yqrfOrSi,69,https://p.scdn.co/mp3-preview/160d58b47829f08054406f30491f59e40bd292b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Sirena,6FgQ1jmP02HyO3mM3nk8W1,Sin Bandera,7xeM7V59cA1X8GKyKKQV87,Hasta Ahora,1YETjeIkkvMlKq427v6LWH,64,https://p.scdn.co/mp3-preview/d6445025e54458e820f9be2692812d906e9c7a28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Azul,6pHCJmx9FXnMwEqB0LWUEH,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,Grandes Hits,6Q2UpW0s9cDeZ59bCd5CYL,67,https://p.scdn.co/mp3-preview/e379807ee9ae1b7d612ea19583f5dedc34d6fae9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Duele El Amor,0oXLSuno5adlHcPzlzs8l6,Aleks Syntek,0r8toju2ecKaVtItkzAnNi,Mundo Lite,1RaOKsaRdN1H4twh4u6FUd,66,not available
37,El Rey Azul - En Vivo Los Estudios Churubusco México DF/2011,1Kecio0HXknkdeMdQYD4pv,Emmanuel,2DmYtFBKcxb3ajwWWgA576,Acústico En Vivo,21W89hohyAUqNiLMKGYiZn,59,not available
38,Brillas,6VuUMo1TusnqBxLTnr3hOI,León Larregui,4ClsVDy2g7RKSSlvq8cF6d,Solstis - De León Larregui,6XMk5rlnvEtbOUhUlIGl0R,75,not available
39,Tú No Eres Para Mi,1IypFfPPvlS8CUtaLlv2pI,Fanny Lu,6GRC8segVAr34gm6pjfSoQ,6 Super Hits,6DHogfr8t5fDHQXS3pgNXA,60,not available
40,Por Amarte Así,2bvO1KXbUd4vySCWGNqIIa,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,Mi Vida Sin Tu Amor,4b7x5wHqzZETVAPcGIG5nl,71,https://p.scdn.co/mp3-preview/0138e762d1507c49cb3c27a289878a0553ae4235?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Corazón partío,0wQCKR9OFjYu5Kzrk7WivJ,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,Más,3MfNbOJuFb5H4CjrT49oiI,75,https://p.scdn.co/mp3-preview/cee7191f8b94d18b77bf6a6382d34f5418844095?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,La Bikina - En Vivo,1jxO9AwMqYynDsuMWKrPvi,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,Vivo,2GtCBgC1SYeeb8fcxGWCLo,66,https://p.scdn.co/mp3-preview/bdf0cc2c51d1899e0eb692f6770738767a4eb25f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Entra en Mi Vida,4W6za66pgH7QBbeiU9kS1v,Sin Bandera,7xeM7V59cA1X8GKyKKQV87,Sin Bandera,01vioqAF5o29uDHYhXs6Vo,61,https://p.scdn.co/mp3-preview/22fd33a5e972a13c015c1395ba1efd1a475b6caf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Todavia,5wPhERt9izm1T45aFXDWPe,La Factoria,4VsbQvC84B8Z3IsBY1HLQy,Exitos,3oIRbufih3VX2kDgTLnk4X,70,not available
45,Si No Te Hubieras Ido,0ucO4Rk8C11zRrIyndTEZw,Marco Antonio Solís,3tJnB0s6c3oXPq1SCCavnd,Antología (80 Clásicos),66EaV8mdSJpXgZKtdF0DeG,1,not available
46,Que Vida la Mía,0M6KY0x5u65ybXHZ3IAega,Reik,0vR2qb8m9WHeZ5ByCbimq2,Reik,2X17BMIMWhZDWHL0UR1LBS,65,https://p.scdn.co/mp3-preview/e4abc65df2d9af278f8eb8456c5df155e4405700?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Me Voy,100Tm6z29RfHTdUQ6NIs0s,Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,Limon Y Sal,1YhHEtOj1mhMz0769Fqa9Q,69,https://p.scdn.co/mp3-preview/abdbc265515633f834f30a637c992f13bfdf84a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Ya Lo Veía Venir,55TzaicixkSM6XT23JvIZA,Moderatto,5XsWrYhwadPBjW20qYbdZg,Queremos Rock,2795kGAwtxyI3kQ7pTkRUW,69,not available
49,Sabor A Chocolate,29OzJTIOTjCgR7fLyEXY7u,Elefante,5oYHL2SijkMY52gKIhYJNb,Lo Que Andábamos Buscando (Special Para CEV),5v3tEjfsPvLN3aDawSSx7h,69,https://p.scdn.co/mp3-preview/2c5ea9ad32ea3188f2ca9ceed31c7fde1264b8f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Eres,6kdCN6gTWLcLxmLXoUcwuI,Café Tacvba,09xj0S68Y1OU1vHMCZAIvz,Cuatro Caminos,3ifA4OUPiT92YB4vYtAdVh,75,not available
