All Night Dance Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Miracle,2lPSvn7iahl7I2L4HVtF0N,HRRTZ,6VpuPMBN4oVa62K1wS9bGS,Miracle,1gMIepNfM5QOJA100tbErJ,57,https://p.scdn.co/mp3-preview/3171360518232c11585aa7e1acfe24481ac181db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Take Me,1By1ldFnEnvZI47HEeTHk5,Phil Fuldner,1DKPQBaKEzmQzWG1GwJoXT,Take Me,4ZTsEtIrFPFXGo6eXt06Zk,50,https://p.scdn.co/mp3-preview/36dc0460e55338546e5e255ef6d6c273f0916798?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Happy People,7AFvQJ4osDwjyXC9KB2f2E,Wh0,132Hhe61bhvXtkygENHZHA,Happy People,3Gvqx8oQJgzuHvBY89W1ZQ,53,not available
35,Promises (with Sam Smith) - MK Remix,31rOPFFrOs33oQcfBKaUPe,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith) [Remixes],7g15PlMnaKmFMUsSpR8aZt,51,https://p.scdn.co/mp3-preview/57a12d2047543439ed2c569fba9d3bafa457c3e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Love Zone,58Q2eFMQwQeg7rO3vRKvR2,Kruel Intentions,6A7M8CKuuwPIRE7OqkQTl2,Love Zone,5VRHRpJg2GnvJSLkdwcwnt,37,https://p.scdn.co/mp3-preview/e69f7b8063f1c02715b65a1216390d8a6a8d6988?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Bruised Not Broken (feat. MNEK & Kiana Ledé),555nDolorG9U72LaE0HTsL,Matoma,4YXycRbyyAE0wozTk7QMEq,Bruised Not Broken (feat. MNEK & Kiana Ledé) [Fedde Le Grand Remix],6prPBuMpH4JSnSmOTfWTFZ,43,https://p.scdn.co/mp3-preview/7b4cd1cfe33feb296f05192fbc958f5b39feb6b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,All About You (feat. Mull),3hRCtSyFLhWsuSQsT0a8TL,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,All About You (feat. Mull),4QZmAku11179D1wzeWoRn8,45,https://p.scdn.co/mp3-preview/b76580b305dd5059f5d6cec7d0723d61faa62033?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Changing,56SkLjnwBXnAkHSf6jBPk3,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,Get To Know,1vlHG5JJCSsWBuA5vPTY7Q,59,not available
40,Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,Silk City,2X97ZAqRKRMYFIDqtvGgGc,Electricity (with Dua Lipa),429B3se6xtZuvblNnS2iy7,82,https://p.scdn.co/mp3-preview/d4362730866e97d2e89776ceea7ad31cc5a44541?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,How Long (feat. Kate Loveridge),6ibXCGpERXRnsupH52BNF1,Hannah Wants,7sK4hnuUOXw6VStDw0q8NI,How Long (feat. Kate Loveridge),6h77oBSlHHirXxxU3b4fW3,50,https://p.scdn.co/mp3-preview/a75365792f82696bc893017a53359ae167d72c82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Let Me Take You There (feat. Laura White),5tuOGRYPjh5lV6M5zbNRNH,Max Styler,3NKKngINK1tP6BFy0WOyWk,Let Me Take You There (feat. Laura White),32DjFgVCtLPRz3HNJCEH9S,59,https://p.scdn.co/mp3-preview/83309409cca1f6b89b2874bf5e72aed35a523044?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Crazy,40YHYSTnIo0l6Z5Nvti9xl,Pink Panda,4DBNGKCWVHaxuDNBAgTiJH,Crazy,0qnl8lEORPWMyPXJx9YwFW,47,https://p.scdn.co/mp3-preview/3913303d6ab8d130152fa6eb4dbe24ea05a26c22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Fuck Ur 9 To 5,1uvLOiIQ4vGhtMXloQBGPz,White N3rd,6o8NPPbOS8GEOfKzfEIUjq,Fuck Ur 9 To 5,0yzQoWENolRApsLOU7hXUV,45,not available
45,In My Arms - Vocal Mix,5gv6VYPKge6OyVkkhhBacn,Ferreck Dawn,3cnAJv9gydgm52KFIsdvO8,In My Arms (Vocal Mix),5XN5RSXFRdeK67yCcqj4vw,60,https://p.scdn.co/mp3-preview/67ef2aa89577f0e30dc5baa893ae13239927364f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Big Love - David Penn Remix,0eQ1j5MBA9Ja7zvtB9uggC,Pete Heller's Big Love,1KIT43QU793ZmRpuuQYrpy,Big Love (David Penn Remix),0EZHyVKxNr8mzKISGcd5Hr,60,https://p.scdn.co/mp3-preview/21a5951e9bfbe29b05696cb2a7cf0d57acb6f064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Nothing Else (When I Think Of You),3hHcL95Pqlj93e8YCAkkys,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,Nothing Else (When I Think Of You),28RD2BPGDTlPvnz8kR6i1e,46,https://p.scdn.co/mp3-preview/6e82f9a5b550234601d8a1fb548cf104451c1249?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Think About Me,5mshUuCuItgSPQxWiygwdY,Alphalove,4G59kHVfufDsMkwVr5pb2R,Think About Me,2CVVMtkdjkltBV2PDJmOT9,29,not available
49,Would I Lie to You,1DV5T7iCGaC6D39aNDdxTv,T. Matthias,2R7k2SovVWGhTcvPx1JbQv,Would I Lie to You,3gou6fLwfvhxbKWfS6Iy6A,56,https://p.scdn.co/mp3-preview/0939a7ee2700552c675f5315ad1f3ab64d18236c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Solid Gold - Illyus & Barrientos Remix,4s4zrXirxpmFK0oanVjWBV,PNAU,6n28c9qs9hNGriNa72b26u,Solid Gold (Illyus & Barrientos Remix),1x5qehYOx8lO1vu51lnjPf,45,https://p.scdn.co/mp3-preview/572f2affb7b90d31606d6e99a3cd3f4a8503434f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
