Tropical House,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Heatwave (feat. Akon) - HUGEL Remix,1Rev0uexcpMr1ERkucbXnT,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Heatwave (feat. Akon) [The Remixes],6XsHmvUXIKt2pbKfHclwYU,48,https://p.scdn.co/mp3-preview/6638a01a6fdfe8258956103c9374e20ba9005146?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,"Jennie (feat. R. City, Bori)",7uM7YZwNZqdDMG0NfGhmux,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,I,2S56F6bIk01HboGbJJJ1IQ,69,not available
34,Seve - Radio Edit,6UqRGwjwYL0stXbaodTxwo,Tez Cadey,5cBeFQv3kBVP8o15CmPTKb,Seve (Radio Edit),40d8W7uNHGeih483QVvLu4,69,https://p.scdn.co/mp3-preview/758c4d2aa1dc968252b31613601e02fc7c4ba915?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Never Gonna Give You Up,5fnDDcjcXKUvJ6iSnpiU0v,Mac Beez,4BlBvAGQrqv3vWmx8GWTds,Never Gonna Give You Up,1fWMQOAKIqdgzQgE311HK8,54,https://p.scdn.co/mp3-preview/ba58b6bbb511abf28d74789c3087622ae6873504?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Be My Lover,1aajQbw23khpQMme1AeKI6,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,10,not available
37,No Diggity,79T9m6YkRCgP0955CE4UCd,Campsite Dream,69VkQLf4DH7GJ68BCDOPKL,No Diggity,42vpQq9br7zBjdcX1cGiIA,58,https://p.scdn.co/mp3-preview/580218dc2073a2b86c0bd522a1def652d4ec30e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Baby,1bA2ZK7CFxEMnyn1dWP2jp,Bakermat,3MyFDtqB80WZvbtCZRsekM,Baby,73S00PIhiseZOiQpgol0fK,64,https://p.scdn.co/mp3-preview/b1aa8e9772d48b3cb7f2f8c37e48b5bb0f27cbdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,We Turn The World Around,33uV0G85zoAlzHYTJyaGRl,Tanja La Croix,2Zduc37bY0HSMP8bzy9JWw,We Turn The World Around,3hFyywIKZuimer96xaXMud,38,https://p.scdn.co/mp3-preview/438f6a62fa2dcd72e482286c55652f239231f5f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Dizzy,7qBNJBQJJjQjYFZlP3IPhK,Dimmi,7HIN94LvSDgxN5RoOLi3E5,Promesses,23VKIXQ7rqLLgT7VI8xhII,57,https://p.scdn.co/mp3-preview/a01049ca5f47533f3f69ee1289544c970b65d359?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Chasing After You,67jtXlxQs82ATZhfdywYJa,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,6,not available
