All New All Now,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Not Enough Love,3WRc0IGP5oLXEfMcYPxSOm,Larkins,6cCfC12LHtD5XIc1rLsm8Y,Not Enough Love,4ck3W8tScR9fYaQKRusKs6,48,https://p.scdn.co/mp3-preview/d0d82f609dc5070482d0687142cec8eafc87a34a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,75,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Baggage (with AlunaGeorge),214h7kR7uNssAoU5AbcaIS,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,Baggage (with AlunaGeorge),6HkVLOM8m07Du0cz7SsnwR,71,not available
13,"Givenchy Bag (feat. Future, Nafe Smallz & Chip)",26BkXpWAaajgL2Eh9TA95B,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,"Givenchy Bag (feat. Future, Nafe Smallz & Chip)",3kMflVVnVzgLP7EjQbidFU,60,https://p.scdn.co/mp3-preview/d01dfa82d8607294ddeb3b901df46142bb6bc545?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Nice To Meet Ya,3KrYBAbfxlssMirZLs6HzZ,72,not available
15,Something's Got To Give,56khZQKfmdTikYbbZLgxAY,Labrinth,2feDdbD5araYcm6JhFHHw7,Something's Got To Give,2m1jbkWuYYobsYQikrM0Bp,66,https://p.scdn.co/mp3-preview/e3a9c02ca03d88c4fa9e141bb443b73494abe256?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Cat Pack,1i3UvjbQS0OoBoKkILthR2,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Cat Pack,0H346vuauoKWvLPXuYGRDb,60,https://p.scdn.co/mp3-preview/5907237d06e26b373e332f33def6b813cf7ecb43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Into the Surf,55o8LNTefCEX475jcSn4qH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Into the Surf,0025Y5D7IOZVpEfQtpvHIi,64,https://p.scdn.co/mp3-preview/9366a991d9ecb49fde2275b80d78c87e08ead238?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Something Has to Change,7LuM3Sd4C9X7OC1VmS20lE,The Japanese House,3IunaFjvNKj98JW89JYv9u,Something Has to Change,5Bzl8KUmOrlQmbDYFDqjaV,43,https://p.scdn.co/mp3-preview/d6a4dd1acf276c2c743f8fb48c313464cd04985d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Better Man,0VuihvEiilNNDPmeCMyrCB,Aaron Smith,5Nm4sZeWDNd1sOs5HcxAbl,Loveless,3fiUQ9XFNTLWspjtorw117,55,https://p.scdn.co/mp3-preview/7d0133aa2a62f66de050910ad6e38fd80ff72f53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Good Luck,2apLrBlEQvFa8ob0dQcu6i,Broken Bells,6dgwEwnK0YtDfS9XhRwBTG,Good Luck,1HXt6ZlEaXQEEt1YjxHUPy,61,https://p.scdn.co/mp3-preview/4842d7f101ff3f1703bfb8917314cb308095e27a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Second Guessing,0RqVERbWbIT2fVvOOvqcjr,Arlo Parks,4kIwETcbpuFgRukE8o7Opx,Second Guessing,70V6CskkJwrwwVVuFYnfok,55,https://p.scdn.co/mp3-preview/671b1b3b8970f935abd762a6d3f98522c8841b5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Pills,3uv9BS9PNubCZtM0mCLtgs,Love Fame Tragedy,04Ye3owBSFJF5hnYWHtq9Q,"I Don't Want To Play The Victim, But I'm Really Good At It",2E8f8Dz7kvzo8cBmzMMZxM,51,https://p.scdn.co/mp3-preview/8941a4072e76a54058486f89d65b696b5b809fe4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,60,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,unspoken words,6JTDmbHAppqpQYxjrdvo91,mxmtoon,0HthCchcL0kVLHTr113Vk1,the masquerade,6b9aqUSzzfZLjHNyVIl9NY,57,not available
25,Used To Love,6WC27GPEjsX24Vv12VX6mb,Alfie Templeman,6QzMY3tnu0m56eKUnr4uCF,Used To Love,2oGxWLARSLplTHJ4HhiwPD,42,https://p.scdn.co/mp3-preview/2b7c8cc44731173ef40dfc48aac0358cb6d8ee62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Play Dead,41Mjml1c34xmJG3Xvd1WXz,MAX RAD,2Igm79AVp3dCbQhfF6I60Z,Play Dead,33kzrljwlNVW7ueOWh1omI,38,https://p.scdn.co/mp3-preview/924bf65efa64f4dabd666610a361ea9f58111f42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,72,not available
29,Fingers Crossed,15sorfdMGuiCbMeTyXJEDF,GRACEY,7xBGi7Eign0fX7jGQj5KlJ,Imposter Syndrome,6iUoY4khlqLoEH9hEOf8kO,41,not available
30,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,82,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Wave,5pJcojrJEaHPD6zMdqwqHK,Barny Fletcher,5q9zHGohILrZ2j1bSL1VeG,The Wave,14R6eiLjiA9pVQDIv3SnbB,42,https://p.scdn.co/mp3-preview/7dc86a6725826a675660331cf3d9130bdd157ded?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Talk Nice,5GZ4TWUVuQeA3xhSkTf5qH,No Rome,6auWB5YAlcKaHyrbTH66nd,Talk Nice,5McUs3kD5JytbY7H39Ori0,28,https://p.scdn.co/mp3-preview/0527e8a5b064a0aeeb15be2cedca6fdb11e62e68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,All That You Are,0oFzb6BC6fcwpXMLBhQqLu,Sinead Harnett,6tUJpYN2aYiXbzAcg0pIOo,Lessons in Love,17MS1oITaC8VbYmtpXplMV,54,https://p.scdn.co/mp3-preview/7cc2a7098908f949dcfdd1f0a3f32d7cbe432295?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Take What I Can Get,4oiruLsVSpSrjInP093vrX,RuthAnne,31rVRoX5ZG9ZyRbHvlEwjA,Matters Of The Heart,56GwQuFFJwfFMcSsmvwUYK,34,https://p.scdn.co/mp3-preview/fc43a440b234554ce2b48213b7ad7bf9aa741c56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,84,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,PINK CITY,6mNiFyRuxfcXfNMSHzmgos,Dan D'Lion,6dLGrJfOwF5gdyI8Ga7b76,PINK CITY,7Idjg9aesn9fB1tCv0heTm,36,not available
37,Death Stranding,1KOGBw8kuawbxJWqcHypy0,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Death Stranding,3HfucWtXUkkhEVwIohmJRs,62,https://p.scdn.co/mp3-preview/6936e4c87ae4b0c2412507c8ca55fcd9c3dbb678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,60,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Bigger Picture,20qypeUyWsDwkCfpIx2RUn,Mabes,1kTrYYWMLQsBKlbINUg1Su,Bigger Picture,1gqDh348uLalOX9wL18pBH,44,https://p.scdn.co/mp3-preview/33d3c36b871ff34a47a6170651cbc86f702887f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Divine,1inPW4zoPlwfPaSRinhcaT,All Tvvins,7F0pUx0AO9CXaNbCoxbbNX,Divine,7LBdk7OFBBHbrwL8BQZg0f,45,https://p.scdn.co/mp3-preview/efa288b2d669e62a55c87b8d33f98bd319a5d804?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Want (feat. Octavian),17AAzX2TvtYxqa7PAjPLDy,J Rick,3b0OO3bmtd9oXo3EOW8KHZ,Want (feat. Octavian),1Cn8iO3i1TXau2sFKxxK98,53,https://p.scdn.co/mp3-preview/f6f3c161ac9df80e9ff79793db721efdf76b387d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,I Remember,4wHNUqz04MZsV07gW9Faz5,Alex Gough,1rNNeas60ogZm9uhv1VZOh,80%,1lDfvLByat5zMISUkXd0x1,34,https://p.scdn.co/mp3-preview/b70d7fbd36ce59235029f4e7143cbbafc94cb01b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Problems,3we2wKhprvYskBRKIIHT4Z,Dylan John Thomas,3cyAuWiMIGwIeimE82NFKb,Problems,4jthlua1enUB1EKMc9Ej4k,32,https://p.scdn.co/mp3-preview/330ba742fdc14d563eb16930df9b65f6834e76cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,55,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Trust Issues,2cgELeRnPeDFuGrY96Lj6m,NSG,31Ua7zSTJxegjyd49ujbSA,Trust Issues,3pVRk6iyvY8RDu5aQl8P41,57,https://p.scdn.co/mp3-preview/9613344662a8cc16ee71afb393a90154c7f4f556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Playing For Keeps,1W8UflmoVZXS3TUFftuulB,D-Block Europe,5VadK1havLhK1OpKYsXv9y,PTSD,4dnKBBeSoiEc39sCqItmWk,67,not available
47,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,87,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,The Bones (with Hozier),6HzebUNgGlzC1AMBwHGIkH,63,https://p.scdn.co/mp3-preview/e05874f657064f79368d2db7459c5a0ea8740b45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Boys Like You,73yR3kAdE531RRYUdFLWad,dodie,21TinSsF5ytwsfdyz5VSVS,Boys Like You,2Bx4wirLMd21SZ3cR1WkBF,66,https://p.scdn.co/mp3-preview/9ce2da39d895aba9cea83d5f81d19db3ccb95081?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Everything & More,5mVoeGuLmmzZ7dUrgfIWuw,Gengahr,2ATweaQe83QUQVjM8LMh7J,Everything & More,0YB47xmwpBv11Ad48ueGMp,36,https://p.scdn.co/mp3-preview/6579243fbcb9ec51653a8e9d388946fe02185fba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Love Letter,74fbs9ctXx4qohDRgQ1Y82,Litany,2z6JjrrJKNLilqlx8mlxcc,Love Letter,1ms96q476XqO4N55m8r0M8,45,https://p.scdn.co/mp3-preview/b42fe142ab6efa36edd5afba735ff5b143ee7d33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Private Eye,0cDpyfAXMCKgKEEnkYzb3D,M. T. Hadley,3O9qxLTLMvR9Dn1OAFoWaH,Private Eye,53HF3F8zek1HU3H4MG0bCG,43,https://p.scdn.co/mp3-preview/e66304604b2037927e1900de8cd066628b4541d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,One Of Us,30W0p4Gg7MeQKggG25b0J2,Catholic Action,7weMxddXvIGbPk8R8SkH5H,One Of Us,3yO97ochB2Y1Ta3T3Rm2Sk,31,https://p.scdn.co/mp3-preview/0ebb3d795b2f4ecc259e4a42a21ceaa6e3b3eac2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Love Yourself (feat. Example),1vH1VpLVpo63kUyN6P7BVc,Bang Bang Romeo,0pYrJEBQD23sHMvxsBM3fO,Love Yourself (feat. Example,05Dcndpoy8h8wkFENUIZtY,36,https://p.scdn.co/mp3-preview/b5ef72748e028e42bee3a3d057bf294d7d11cae8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Mr. Sun (miss da sun),2dhPGfqPl8LEXqRiU8tfPl,Greentea Peng,5z9wLR0RGBcWMXr4fCZW0K,Mr. Sun (miss da sun),5Am0UN7kEecKT7yhFJk3xp,45,https://p.scdn.co/mp3-preview/d0cdbbfbbb8ef16ee2325e68904a2d2460e74c26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,The Inconvenient Truth,2ytc0lcdULjVATN29fFnjv,Nervus,4vApur54D4XetXX1xnIAKv,Tough Crowd,4SnGyNZdZsFWNYFmANxfH4,34,https://p.scdn.co/mp3-preview/2531e2c6712e38988d8cd91db859bd74f57dca38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Heavy In The Morning,1ERPi46mkhiCL5XmTAdZAc,KAWALA,58bHgbHOExsHSOGlf0uUkL,Heavy In The Morning,6jp1isHMWcqdyXJQPc8fML,37,not available
58,Shark Week,0q9vQiaPZTEfTmz4RDoDEz,Lauran Hibberd,33ReZaGVb63WaJE68WgWuU,Everything is Dogs,6bBl0kLYlDxbdm5GWTGqKX,39,https://p.scdn.co/mp3-preview/0832ba02379383d5eeaf4a5ab6fbbba23b6dece9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Stop Selling Her Drugs (feat. Dominic Fike),4uBQDAzZ881KYZvW7ZInUn,Bakar,3K2Srho6NCF3o9MswGR76H,Will You Be My Yellow?,12nH1R4NqEtaOQ5M7RA63p,56,https://p.scdn.co/mp3-preview/2cd2bc8bfd062d5ea9752f3db0a3b10e8845199b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Walking On (feat. Krept),1KHqs8ZvMsHpf4deIgR7Hj,Deno,58ICshZ0AgBMNJiLHK3U8l,Walking On (feat. Krept),0JTw9vFthMJ6QoC5X5oQ8D,53,https://p.scdn.co/mp3-preview/a6c64c8bc6c81eaf9cbba3ed38e2c994a7b52184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
