New Pop Revolution,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
27,smiling when i die,7yCyhsU75MYdbeqRLhLY51,Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,smiling when i die,5bHqzyMbrdJTLui0HQdRG0,69,https://p.scdn.co/mp3-preview/3da66e1004253e1ad83b53a16f59bc5628c55010?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Baddie,2pcT3kabGBdmnlOyFrrJUt,Emily Vaughn,3G9gR0x4v3J2Vek0Fw0yf2,Baddie,7rTTYEPibQsnzCmL6B0YN1,38,https://p.scdn.co/mp3-preview/b66fa7b088adb7ed4021d4d94267b8681da962d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Daddy Issues,4avjM7B6B5TaDjM4wYfze4,LOVA,1l2NYhptmHjo64MDOcej1x,A Gentleman's Guide,1kofANNzjqHkHH5PRQpVlZ,54,not available
30,Wild Girl,3IqwOIVNLdBs7av6n8Plrt,Kito,3FLUBwpAnaIlIKeaBfsxFe,Wild Girl,5gjaKIotnXLPTsb9lvp5vT,60,not available
31,Lie with Me,65BZuuRPBkFrYIMESBzgJU,Elle Charms,4NxHR2lQYOb98IeY0DbbR1,Lie With Me,4P6n5qEgpNeHdSyHPkn1NU,17,https://p.scdn.co/mp3-preview/f259c9bdd44635934385b59edfa4371d0a36070e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ghost Train,50ZF0EleDL4qYumiQ0V0OB,Áine,3pTb88yNTcIsydqTaUE0fE,Dislocated EP,2LXtF7ZZQrS9IjHlYaEtE3,36,https://p.scdn.co/mp3-preview/a893c964fa52ddfe567d4f4bb477d4c5a38255c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Waste,5eV4XhCZT6QaeqK4nVqIEo,Dove Cameron,2W8yFh0Ga6Yf3jiayVxwkE,Bloodshot / Waste,2GkFw24RAab0MJNexdE43z,65,https://p.scdn.co/mp3-preview/be97fdabcac6320611e8408a138afa6b3db95ddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,moonlight,2HIaDofqzTiB41a5CsuiOh,frogi,0frlcBV9pFq0Ip624rdUen,moonlight,3uh3cnlcKIvQUANMd2Sy6D,34,https://p.scdn.co/mp3-preview/ba3be722078c5bfc570fba67b926cf2819ad265b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,How Many Times,4Bzm2OdnJD7bVWeqdHU8uD,Molly Rainford,3tYGIUJfYvYgbq3qKpjOlY,Commitment EP,0aAa1YL383souTDqtTsrCm,31,https://p.scdn.co/mp3-preview/021a163504c5279a83d7110109c91eef55840d1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Afterlife,6PFyGdWw0qnstR8KJAWrrr,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Afterlife (Dickinson),5172ZzQfuoa0joJIekZCDa,75,not available
37,Bipolar,1agOL1akZePDXe21TBbBM2,Kiiara,4u5smJBskI6Adzv08PuiUP,Bipolar,2y5oeiOOk7synreCnFAy7A,62,https://p.scdn.co/mp3-preview/5cb90c9aa6367c51abaca61a6d662e5ac7e6ca8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,waste my time,0W3mgC3fJr3f2Bl635yyNP,Silver Sphere,4xjJOu0MWVWuaDVZOy0Dx2,waste my time,4lFFEk5py2EmudYrAqxx3j,51,https://p.scdn.co/mp3-preview/7675caf1bec9c07ee7339152b0c22a72dbdf70f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Millennial,6FDwHzAWFgtm1Htv6IZXwk,Alexina,3BqOP7A3ZVcuxGXE4q5djR,Partying on My Own,1beQi96ATDyupYRExd8RQh,34,https://p.scdn.co/mp3-preview/05b4a1b4236de01399def99be6717882a878e2ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,"No Name, No Number",3v48nLAqM8cpAUFrW9wjrO,Bamily,6oMh7pGcBIgfpdKKUHmJAy,"No Name, No Number",0bp2KGCK6CWeYWV57q7rdG,35,https://p.scdn.co/mp3-preview/944f5d45dbd679ee27d590d7a0c0490ae17f35c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,@thebackoftheparty,6O823D6FtOPFOcNiZZybAq,push baby,42TwJzIZt9eGsG1njt7wET,@thebackoftheparty,2T9HQ9E4ZxAbHPUmCDqGpQ,50,not available
42,The Optimist,6qu92JSTOFopWLTgFnnAIC,Evie Irie,2ReivzVeWl6GawKNyVTLmK,5 Weeks in LA,7Ccf3H7eKKFRyQjnMDAkQ9,51,not available
43,Fresh Laundry,58wvg3uUCrYjvkyoOPLXOa,Allie X,0wnYgCeP013HkKoOyC5V32,Fresh Laundry,7kkOLHIC9Nmi6YUyc4khGP,55,https://p.scdn.co/mp3-preview/59bad4750058cfae93965219e0998ae07e75438d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Mother,1BE9cEPHmw3fFtqdtsErz0,LYRA,0yZG22ntdDqVCFIulOTc8x,Mother,6PW2oTmnhDHWPlfFns9lsX,41,not available
45,Boys Will Be Boys,70exbZDzS34CgTHZv4GMZK,bülow,5vBrKGOjN10BMwB0cJADj4,Boys Will Be Boys,2rX8Den6I6W43KO8FaNL1L,64,not available
46,City Sun,7x6ezaY86qlE7y281DxplA,New Atlas,6lb9K0zUav7keOMsR6GZ8Z,City Sun,46QQ5UCqoN3RH2XXpOgZeL,38,https://p.scdn.co/mp3-preview/98409d506e211f70c36490150ed0c9f0fba7ba50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Love U Like a Human,6XDuiaa0YOu4yAiwcmlDo3,Dirty Nice,4MGA6AM4iZ2HYc6b77og9g,Love U Like a Human,05AW1P2tLxOALTjpN9ZaLo,35,https://p.scdn.co/mp3-preview/f9921a358cd72709521f41590546be7c6486dcff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Paranoia,5gSDNRb0J4gSmfim4bNywi,HEX,2XfxJqzWxfNSBNIdmVeNLI,Paranoia,5lA38SAhahK1wtuMwJ8Cw1,50,https://p.scdn.co/mp3-preview/04d245161cc75fcdc292d412cb9bab84d7844207?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Ride This Train,1QdkFhpTWdljqw70xgyRwU,Millie Turner,53GC8IrnkJXGO7znOiv4tD,Ride This Train,6e99XopnLYiSeDY0F5g8DK,44,https://p.scdn.co/mp3-preview/fa9566e4c2e70fdfe46e9ec28517a08b4bbbcd93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Fingers Crossed,15sorfdMGuiCbMeTyXJEDF,GRACEY,7xBGi7Eign0fX7jGQj5KlJ,Imposter Syndrome,6iUoY4khlqLoEH9hEOf8kO,41,not available
