Easy 00s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
52,If I Were a Boy,1oQZk2bKBLgP1cbuFKvjkq,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE - Platinum Edition,3ROfBX6lJLnCmaw1NrP5K9,69,https://p.scdn.co/mp3-preview/bfd4494effb973d223be6d0c3378d7cfc60e15ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,You Make It Real,6jDI4Ibinec4DOR8snT3eK,James Morrison,3LpLGlgRS1IKPPwElnpW35,"Songs For You, Truths For Me",2MYk6HYLJZAPo9h4yDmnvr,40,not available
54,Chasing Pavements,2OuNgtXKeCSORKqdl0MxKk,Adele,4dpARuHxo51G3z768sgnrY,19,2YO1F9DHVEzXPriA1JHoOQ,68,https://p.scdn.co/mp3-preview/6aa6b292e5507480cf5ef03bc0661cfc021a943d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,If Tomorrow Never Comes,3b4QImv0nTWtdAe63WtcAQ,Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh,10 Years Of Hits,3AVtAHUxVZQMPGEJ7USE0j,49,not available
56,Can't Fight The Moonlight,10FP9hm2aFfAIKEopqaG9D,LeAnn Rimes,2d3VHzlOEwXvmBdS4pzOPL,Coyote Ugly,0XxoyBssbnR7VB8YmtVzLD,63,https://p.scdn.co/mp3-preview/84b0ad9f6dddec182acb3e52fd9c1b97567c5ffb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Tears Dry On Their Own,7MDfN1ldfTMtuXXdVz2Pzc,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black (Deluxe Edition),0E4xv5gPjykrwBgBZzI8XG,56,not available
58,Irreplaceable,3qim3nNFg4aSTLZDLAFXhx,Beyoncé,6vWDO969PvNqNYHIOW5v0m,B'Day,1L6sJLS18bJTadBupSYFAp,58,https://p.scdn.co/mp3-preview/8345de4efea404805ce083a3fba15d6ca7c9e862?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Patience,4DxybsoSiMUW0JI2oM0SSN,Take That,1XgFuvRd7r5g0h844A5ZUQ,Beautiful World,676W2PECpK9UJuuqyjXRjk,62,not available
60,That's My Goal,7dyqcdXdYh6KDhoGO6t081,Shayne Ward,6H4lieipng8aGu3Hbd1UeJ,Shayne Ward,50OfJiV0FdR199eCQ18WTw,32,https://p.scdn.co/mp3-preview/dddf56947600797c539e191c31354544c747d446?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,What If - Film Version,7vuP6E0zTrcAWueKLO7I33,Kate Winslet,7q6ozanpOpFUoe6jPQ0jVK,What If,6Z0009JVnJQlOU3aiZCozL,47,https://p.scdn.co/mp3-preview/451c69c50a88cce18d9dc36883c7da7091277969?cid=fa83a2fec7c440b7a2795d600d6b2c7e
