🇳🇱 DUTCH BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Life Goes On,61wYqJSCGtJ6MYt5m8f6St,Earth Mk. II,4VfVjuhjWqGUuWT96opLAO,Ocean Tears,6Nm15wER3Llb5X8Mi8n73F,0,https://p.scdn.co/mp3-preview/8c209cfbf0701a81b36336df30c0332ab6f975f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Volcano Lagoon,653ei5AeFD6Bk4G239zC8B,Eerie Wanda,0CkWsjqKOX2aFrcmFvcQr9,Hum,4ecYg2xM5Z5SvziPaRBAOc,4,not available
12,Hologram,5fu3nnWc40TQptfNqfgeRA,Mountain States,4LyXoLqbR9GX4ofJ8d5HAS,Kairos,2WCDnRL9yfxu3AveA7xsup,3,https://p.scdn.co/mp3-preview/d6b9a16ab9fe234a81e4f145a6a57036b622bb66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,New Guinea,4oF3ZXQKtyAwjsqR3oXNYB,Nouveau Vélo,2fHGph9uCiA0sBSfoumYQn,Nouveau Vélo,2eM1KVJ9yaw4U2TOKn62rC,2,https://p.scdn.co/mp3-preview/54b6a3dbcad52fc0599fcdad6f081e1feaa1a106?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Everybody Let's Go,5KnQUekylrUNVlp2hnr1vb,Alamo Race Track,3Ta9WBxUkSt6k4UNZ3Z2lX,Hawks,4Oi64NSpA5a46QVpgVBqf2,11,https://p.scdn.co/mp3-preview/db625b30751a17e1bc707f586cf335e31991945c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,c.e.g.e.c.,1NLNDfDCzeWrhW1wGBtT1t,Sofie Winterson,5pKrorYHoVt088MOxEhNLg,Wires,5u0BSFCB2sBBPBYOti8gib,2,https://p.scdn.co/mp3-preview/45e8982e8f35c9aba3d9d7f4db41f876eb29a215?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Fast Cars Are Red,46CdMdRs0AWi8wugGsCtC9,White Slice,2HZHCiTR9cl1GTkPLwBbCM,Antarctica,5ZemAiScR3otnyapWxXQ4N,1,https://p.scdn.co/mp3-preview/e3f0fb2d52dc68f66e9d104412c0854bbd5796dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Skinflint,0qvCKFApKRnnPWjLNs7QbQ,The Miseries,2NSF94U7ZYkM1yQMr4W7rB,The Miseries,6DXgfhyvWajgdVuWn4jFPf,5,https://p.scdn.co/mp3-preview/fc0da8998d649a771599a8ffd6bdc0481c669d9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,When I Come Home,3ECqS9ym7fxRdGe5ZikaeH,zZz,1IPih6T0akbF3u4ooYrPxC,Juggernaut,1lO34kZ3DhyRD2dXSFkWom,8,https://p.scdn.co/mp3-preview/5127e47eb175d02d250ef9015fc534bdc4d18621?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Shambhala,3F82v8vr4iBU5OZHOd3R3d,PAUW,6pVhKsBfFZk88NsmUnEVlT,Macrocosm Microcosm,5ivZUqRlpSqJX7nk1HaOUN,9,not available
20,Cut Your Hair,14xcnILTJcXoKF10390Ftz,The Homesick,6q5SrkgP73lW6VpQnReiaS,Twst Yr Wrsts,2NfTH781f1TjqS1BFMWQKY,8,https://p.scdn.co/mp3-preview/194f58e4874c35237473a718630567f63e01af42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,You Will Die,3Q0fBhmYkyvuur7KpjGRHO,Lookapony,2kVdIz4ICDvB18lm7jtGd5,You Will Die,2sHOddXyZ7toREQc8EeT9T,3,https://p.scdn.co/mp3-preview/37c893d3f8df3b36bf9cb509737a13a480d3a893?cid=fa83a2fec7c440b7a2795d600d6b2c7e
