100 Uplifting Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Dancing In the Dark,7FwBtcecmlpc1sLySPXeGE,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Born In The U.S.A.,0PMasrHdpaoIRuHuhHp72O,77,https://p.scdn.co/mp3-preview/ca523bfc94766689529e443009bcec6b56cf8b6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Bad Day,0mUyMawtxj1CJ76kn9gIZK,Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter (U.S. Release),4zhigAhPwqp43XVHBiVeQI,77,https://p.scdn.co/mp3-preview/0124255ee5fc654a8fdf8573181d516f1eb1f410?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Something About You (with Rudimental),3hYdai5p5sQ3vAmHQ6uaK6,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,Something About You (with Rudimental),0yFCgpwcC2AMcbEkRTgl31,73,https://p.scdn.co/mp3-preview/75705ae7c893e0c6af8a3c27694aa23637286f77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,This Is Me,45aBsnKRWUzhwbcqOJLwfe,Keala Settle,7HV2RI2qNug4EcQqLbCAKS,The Greatest Showman (Original Motion Picture Soundtrack),7ayBZIe1FHkNv0T5xFCX6F,79,https://p.scdn.co/mp3-preview/4e3a8d43df85b32a1d056f2c3e6c745d6da46359?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,75,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Follow Me,4KoecuyOpZaNFZ0UqVsllc,Uncle Kracker,2DnqqkzzDKm3vAoyHtn8So,Double Wide,0Fc7RtFLwtDz5pD622l7kQ,73,https://p.scdn.co/mp3-preview/482cf9985443c2e4907eff3c81f1107616a42ef1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,87,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Cold,2Dpe4Wnm8lQ07nk2SfzvEz,James Blunt,7KMqksf0UMdyA0UCf4R3ux,Cold,1me5RBEL0qMKL70q8WVdfA,71,https://p.scdn.co/mp3-preview/0d377937ac3d1e2808f62a184a3bddb4bd3b2d6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Can't Get You out of My Head,7dxiorC4Um7Ph0fAPsVn76,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Step Back in Time: The Definitive Collection,3vA84e8wtK3OqVoq7jQs5V,43,https://p.scdn.co/mp3-preview/8698fb43a16503ad290e738649a19d1663b9cbc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Stars,75CgD6l7K4qMzZrn4CbZqz,Simply Red,1fa0cOhromAZdq2xRA4vv8,Stars Collectors Edition,2WOo1KEogmN7MdDMjVCusC,71,https://p.scdn.co/mp3-preview/3b889a8a0224fdd82021e7226e51fdcaa572413e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,More,3wACqF2VNhmiUMwXn7U13j,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,More,6PpFASXIMxwhBs17Og4NBX,55,https://p.scdn.co/mp3-preview/3028197cd6a0a971bbcf240942e29d0f9a960538?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Respect - 2003 Remaster,5AoTuHE5P5bvC7BBppYnja,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,"Atlantic 60th: Soul, Sweat And Strut",1LBWNRMsbEWb17KmDD4jfD,69,https://p.scdn.co/mp3-preview/e18589b60ce0400aa86f5a63a6da49396f1cc6bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,New Shoes,265Anh9hGoozFigjUVLUeD,Paolo Nutini,7x5rK9BClDQ8wmCkYAGsQp,These Streets,6L2FiSnFMisCgbhbag4KTl,67,https://p.scdn.co/mp3-preview/d49eccb4b21bcf4906633f52d2f1f30304183565?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,My Love Goes On (feat. Joss Stone),5M9XpS7kkTRjIge1IAz3yI,James Morrison,3LpLGlgRS1IKPPwElnpW35,You're Stronger Than You Know,5MSaKdet5kiMdSczHYxEmg,54,https://p.scdn.co/mp3-preview/497c5c240b067274da929db6f7a5e78457dc2e86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,24K Magic,6b8Be6ljOzmkOmFslEb23P,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,24K Magic,4PgleR09JVnm3zY1fW3XBA,79,https://p.scdn.co/mp3-preview/3213a35ec32d4c747e794072a5ef7b464b4fcb69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Rather Be (feat. Jess Glynne),3s4U7OHV7gnj42VV72eSZ6,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Rather Be (feat. Jess Glynne),4UB0J5V3JsZZtNR360pZ6r,73,https://p.scdn.co/mp3-preview/a9d9d2d68603e22dd2f04693c8e29e4f5823e09f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Hungry Like the Wolf - 2009 Remaster,39lSeqnyjZJejRuaREfyLL,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Rio (Collector's Edition),02tfQwJSOLP77oCd9U8bqm,73,https://p.scdn.co/mp3-preview/5776fc355b811f08fc4143bcf039706d56bcc843?cid=fa83a2fec7c440b7a2795d600d6b2c7e
