Country Bound,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,The Bones,3npzogdOEiVsieXmmhBepL,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,GIRL,5QakU0QMcoxjjyCS1YW4G5,82,https://p.scdn.co/mp3-preview/fc33627ba3c42dbabe573a25fdc467375df2d7f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Heartless (feat. Morgan Wallen),4YEes0AZtUChqtLBwaQLzh,85,https://p.scdn.co/mp3-preview/dd33e7e1b6bd9cf1b76ef21fff991cc7c6c49266?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Buy My Own Drinks,3WBY2lhKzkxaG5bNscQrOG,Runaway June,7yPbJOX7olhT3ynAyuj3Zl,Blue Roses,0BUbVHeDmGXl3lzOENF9Wc,70,https://p.scdn.co/mp3-preview/e378414800195c430533375799455d202938fce9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,I Like Where This Is Going,7Mf0yxd8aivj6w4Ruly6J4,Cale Dodds,4PRfc0tn0HR0GhzWHHckLt,I Like Where This Is Going,0FkCDKCq3avpuZvWrZgghD,50,https://p.scdn.co/mp3-preview/c3bda48d14ae96af3d9946c28be2a9e4adcdbf8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,It All Comes Out in the Wash,5QZFaimQx9Hgv0hZQp9hpp,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,It All Comes Out in the Wash,2RaCnBxNkh1efVm5m7lQv6,71,https://p.scdn.co/mp3-preview/7c494cb7866c9e930956cafa38777cb1edea08a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Her World Or Mine,3cFWIhrapYb2VoNOUbo9Re,Michael Ray,6ghiFYcwn2Vzl6K50U0UPz,Amos,4xb3GQ3k8DQRnfqvAar0pu,63,https://p.scdn.co/mp3-preview/53ceed630602fb9ad89643f75fbb087f9b701a0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,If I Know Me,1IR2nlwX6YVTXXeu2qzoWO,82,https://p.scdn.co/mp3-preview/95ac7dba403384cdb429dc9a838a889a6579ecb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Girl Goin' Nowhere - Live From Nashville,4UrzooN9zwjZoeEo5ucveR,Ashley McBryde,371jpyGdoChzUASOIG2ECV,Girl Goin' Nowhere (Live From Nashville),1ekFGH9uBnAgNYimZuCuwd,34,https://p.scdn.co/mp3-preview/7b584f4d6477ecd651cbcd85ad346a932b67ece0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Living,54K7AZoGpQklpygKrxZlKN,Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,The Mountain,45fVgJb5lmzatX9VZ4yzSO,76,not available
40,One Man Band,3ksmU0DaEUMEVzx5V6cc3z,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,Old Dominion,55uC8u8BqPgA4LGWALnOK3,79,https://p.scdn.co/mp3-preview/f7ff9018453204a91eac21fe3054cc0fd372952b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,I Don't Know About You,3yOs8FffuG6hPbzQG9lIqV,Chris Lane,68abRTdO4meYReMWHvBYb0,Laps Around The Sun,5gzfsecJfxWOdWwnFT7LsR,78,https://p.scdn.co/mp3-preview/cd9770406745703e8927b26b58e64af577cdcb9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,What Happens In A Small Town,3g9OCNXY2aSbGRQGY17qVE,Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,What Happens In A Small Town,6LF5fXCN9UPwvHHtzF22Ln,72,not available
43,Rumor,56eGOeSsqdg3FLxdo83TwV,Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Lee Brice,3GyH4lUfzEkbxlaW5xTYYL,79,https://p.scdn.co/mp3-preview/ebbbb748e7e30c64c88cf3dbc71237aad0818657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,What If I Never Get Over You,1kqVSbwdlNKsPGv0aehcAZ,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,What If I Never Get Over You,29nEDtxAppakEN3LIDZD4a,75,not available
45,God's Country,1dyxS3YzBbL0t8rEVwVQ1K,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,God's Country,5b92Q0wcU49AnhBmu3IxOx,79,https://p.scdn.co/mp3-preview/4090618c91ecefd9120f21a030f562457b0186ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Redesigning Women,2XhiUG5cGOkiFsdPLMKV4z,The Highwomen,3iyG1duuxWpcuWa57VSeZ0,Redesigning Women,6jmzqSFT9ulrf8xSicynDp,54,https://p.scdn.co/mp3-preview/4369feab8ce049c3488e522768c84b90b736cc37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Monsters,55UCRHfezMCFfbGy0tfjTG,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,Desperate Man,5TjDN2hfsgNWVtP8Ew56Xx,60,not available
48,Love Someone,43CFDpciGFDm226POTLEXU,Brett Eldredge,0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,1NUKNYLtePSiZnQj0QeZlo,71,https://p.scdn.co/mp3-preview/dabff7da6aa1afb6561972f43a81928fef0d48c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,On My Way to You,3OjNkFFZavF89xvRqWCXmU,Cody Johnson,6zLBxLdl60ekBLpawtT63I,Ain't Nothin' to It,62aYom0k3j1RBe4uPC64ob,70,https://p.scdn.co/mp3-preview/195ee1967cf2c44cd76f73b1dd8d7453a81731f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Someone I Used To Know,5MWj28tW4Kt3ISnIXdTQux,Zac Brown Band,6yJCxee7QumYr820xdIsjo,Someone I Used To Know,0eznD0XpmDh5Js0tqEMHPc,68,https://p.scdn.co/mp3-preview/1ddb5bd78e94b39d1b2409603f10fb60f34417bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
