Women Of Music,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Material Girl,22sLuJYcvZOSoLLRYev1s5,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Celebration (double disc version),43lok9zd7BW5CoYkXZs7S0,75,https://p.scdn.co/mp3-preview/5ff7f7b7d2af1a747da275bed3c49054c01b5b1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/75a1b521de23958a2db9acf4fc8151999ee54bd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,That's The Way Love Goes,29rQJydAlO0uMyWvRIZxQg,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Janet,7qIuZgsMkRuh7rzi4qVcpg,66,not available
27,Can't Get You out of My Head,3E7ZwUMJFqpsDOJzEkBrQ7,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Fever,4WzTXHp8bVKkKNu3UQ2Fqu,72,https://p.scdn.co/mp3-preview/8698fb43a16503ad290e738649a19d1663b9cbc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,She's So Unusual,1FvdZ1oizXwF9bxogujoF0,77,https://p.scdn.co/mp3-preview/7a91e696b3f362ff96b3c9dfc3c6d4a34127459b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Cloudbusting,5atQ2haKP5LT65WM0KUts3,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,62,https://p.scdn.co/mp3-preview/4175be386958fec68b0223aae88f1508408b2d45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Say What You Want,4wsmvtSJA3KHQ5mlqJ1n92,Texas,5JsdVATHNPE0XdMFMRoSuf,The Greatest Hits,6pM8nZgJqCrdBGLzjkBey0,51,not available
31,War In My Mind,6ViXF36LGmJeijfIulCA4p,Beth Hart,30TrHDLNCKQVTYWOn9QqOC,War In My Mind,7cPUZAbRISOEsfi6WCXRuj,41,https://p.scdn.co/mp3-preview/b28c1eed9a7228deec5853abd74b875fe6ce325c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Sweet Love,6Ycf7Ch2VlEKlORbz7yfpJ,Anita Baker,46CH1Gp8l8QVly8bpG9JFG,Rapture,1C7VOpm96d77zf5yaRqJ2u,62,https://p.scdn.co/mp3-preview/c0f7d78d65473abe7530de2999500edc65690bf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Big Yellow Taxi,6UkMcAA19lTdjs22jtB7o2,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,Ladies Of The Canyon,7JOdtLDLyXJIppDRB7kxr9,71,https://p.scdn.co/mp3-preview/48c0b1294058b0006ceb0cdaf84958cb51da45a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,The Diary Of Alicia Keys,6TqRKHLjDu5QZuC8u5Woij,80,https://p.scdn.co/mp3-preview/7c91c6dc291142a9a489eb9be0a261b489028933?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Don't Get Me Wrong - 2007 Remaster,6Wiamk8BAAP50gAAJopsy2,Pretenders,0GByy3DcfbQwDvXGCWmzv9,Get Close [Expanded & Remastered],1d7D1MLaFW6rp9N1kBZDn3,69,https://p.scdn.co/mp3-preview/479a7e0271ba540e4cac0063e04f58cf2c27e982?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Walk on By,3xsOtNxtBW0oTI1OWKAzTm,Dionne Warwick,2JSjCHK79gdaiPWdKiNUNp,Make Way For Dionne Warwick,6edKvdyBPyTPPWCOcTdrhr,63,https://p.scdn.co/mp3-preview/170a73f70575742cd3450a92e37647bfb9159b86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Hero,4FCb4CUbFCMNRkI6lYc1zI,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Music Box,2NKxb7pk04CuZab5udkGUl,72,https://p.scdn.co/mp3-preview/cc03494b6954237706d6f2ac7b9ce189014f840a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Nutbush City Limits,06yREZ9X92R2e9RJpdzZ2O,Ike & Tina Turner,1ZikppG9dPedbIgMfnfx8k,Tina!,6FkWiSUX7YAdxOlHPrIzMj,57,https://p.scdn.co/mp3-preview/275ad911c581df05e6590f72796ed464493913c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Irreplaceable,1G7DcLzPnopdZjLkev0K4e,Beyoncé,6vWDO969PvNqNYHIOW5v0m,B'Day,77eZ5eMEh3U0KWricrbevO,64,https://p.scdn.co/mp3-preview/9eae1220ed934c06ea4089a9d7764b980b89c94d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,The Look,0ZfM5XfJTtFPhOxAERRnNY,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,Look Sharp! (2009 Version),1iI5YZkqNUV7VmrEi4uOP9,71,https://p.scdn.co/mp3-preview/d7698dbbf903869aeecc6cd749b1eed113adf71c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Head over Feet - 2015 Remaster,735rjks7kQgWCjTQlIHMuH,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,Jagged Little Pill (Remastered),5Ap3F8CxjjsQKZGASDcHNA,59,https://p.scdn.co/mp3-preview/6e70df0898fd22c5e67fc8d896ad0bde8d6b009e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,We Are Never Ever Getting Back Together,0VwNdo84DaVYLIkbVO86ND,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Red (Big Machine Radio Release Special),4jTYApZPMapg56gRycOn0D,74,not available
43,Give You Up,7agjVIlvugzO0ojGzZtFjK,Dido,2mpeljBig2IXLXRAFO9AAs,Give You Up,4Ljg1SDZZd28nHpVls7Lfj,9,not available
44,Out Of Reach,0g9ne3xgPwtCj4W7QR7RFY,Gabrielle,7rftfGIYEeZ79sLb58ZBDi,Bridget Jones's Diary (Music From The Motion Picture),5OEyO2NN7PSAJoXywIDbws,52,not available
45,Breathless,5OQGeJ1ceykovrykZsGhqL,The Corrs,1VbWUxZTRNY2gw3qZ1tg9W,In Blue,3F8v4omWXxDHrqntA83WJY,68,https://p.scdn.co/mp3-preview/238cabbbeaa52aa08c45c2ce887879fb95b4d9f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,You Can't Hurry Love,1OppEieGNdItZbE14gLBEv,The Supremes,57bUPid8xztkieZfS7OlEV,The Supremes A' Go-Go (Expanded Edition),5fpOmAuZaVyEXPlQ4oOqJ6,76,not available
47,Hounds Of Love,0iluWxTpC9QOdVPg3PROvm,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,56,https://p.scdn.co/mp3-preview/e9a5c71d6f212a3febfff98e35a60b4c486a59da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Fast Car,2M9ro2krNb7nr7HSprkEgo,Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,78,https://p.scdn.co/mp3-preview/d7c7088e15ff83fd4352fa675f52e29986671b0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Head Above Water,7gY3cyGcB2wnk2xDXiA0pe,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,Head Above Water,3FrkD0TTaXBuW19vuEhDGz,75,https://p.scdn.co/mp3-preview/8d482a91e1a18883b77bf173f3f35d8a89c6a4a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Ex-Factor,2VjXGuPVVxyhMgER3Uz2Fe,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD,68,https://p.scdn.co/mp3-preview/ef5750898e63b9c1dd6d7ac18feee2abaf5fedfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Don't Let Go (Love),06TuMCjDEYjTOJScCRzmjf,En Vogue,5fikk4h5qbEebqK2Fc6e48,EV3,3mn8mLqRknZCD8o7Ruy4BN,62,https://p.scdn.co/mp3-preview/be0773bbd19f63da1907b08f38baacec0f25578c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Is This Love?,4comY70fwmoRVgJC1z5LSy,Alison Moyet,0s0rOb0gT2S9N0SDcjtPC4,Alf / Raindancing,1SeIgoQprlKkLziLUrkM1U,38,https://p.scdn.co/mp3-preview/a4010567412c0e97405a9f72f617f8ddbc6c9d9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Like a Virgin,1iaIEmZHrjGzWUmJ9BaFr6,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Celebration (double disc version),43lok9zd7BW5CoYkXZs7S0,55,https://p.scdn.co/mp3-preview/089d0020923bf9df88e3507f7dad1cd154f6733e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,2002,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Speak Your Mind (Deluxe),7lPoGKpCGgdKFAxpudhAH5,85,https://p.scdn.co/mp3-preview/393689f63c149cefb1f1293494058b93a0e19891?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Roar,6F5c58TMEs1byxUstkzVeM,Katy Perry,6jJ0s89eD6GaHleKKya26X,PRISM (Deluxe),5MQBzs5YlZlE28mD9yUItn,78,not available
56,Ooh La La,6oLb4m0HlijuaxtQIbvAhp,Goldfrapp,5BKsn7SCN2XmbF7apdCpRS,Supernature,1R77epa6N8qyWYFCa41S9f,56,https://p.scdn.co/mp3-preview/83ae959c1aa5ada97ce07f9406d56d69a4baf29c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Torn,0KDaN0HL3TcJVTbXlQCEsS,Natalie Imbruglia,0dlOr0VIysztGWvU1dpjmP,Left Of The Middle,6HOvWskl058duikMCVOLcW,67,https://p.scdn.co/mp3-preview/6226210d4427f1f4dff7555abbd9801aae3af1f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,I'll Stand by You,3Nf8oGn1okobzjDcFCvT6n,Pretenders,0GByy3DcfbQwDvXGCWmzv9,Last Of The Independents,6MH35oajuCbpS9YBmwTrPf,70,https://p.scdn.co/mp3-preview/fff3cb37f1d7c493293e8827b9cde8ce58df95da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Time After Time,7o9uu2GDtVDr9nsR7ZRN73,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,She's So Unusual,1FvdZ1oizXwF9bxogujoF0,71,https://p.scdn.co/mp3-preview/53a84502abfa84f3fa72eddc4da3f65e4a4af903?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,What's Love Got to Do with It,6FcQD1qOpqV8NdhY45sKyI,Tina Turner,1zuJe6b1roixEKMOtyrEak,Simply The Best,1ZFC0iOKUp4M16eHXVaeG4,66,https://p.scdn.co/mp3-preview/74fcb859a94f5c532bb4118bdeae4ff8c844087b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Crush,7aOGFnnVDivtRO1PrYhx64,Jennifer Paige,26PDtWYDJ1KD0brukKsJH1,Jennifer Paige,4OwmsF9YyOVMrPVbOcZzCz,19,not available
62,Ironic - 2015 Remaster,1d6KS9GH06JAd19uiBy9IE,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,Jagged Little Pill (Remastered),5Ap3F8CxjjsQKZGASDcHNA,71,https://p.scdn.co/mp3-preview/0ff82574843a97efe8baec622dfb6ff7522bc780?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Fidelity,1J2WmkS1Z18AuDWZCgIC5K,Regina Spektor,3z6Gk257P9jNcZbBXJNX5i,Begin To Hope,4L4tcx3itXbtx5kuchKhFE,63,https://p.scdn.co/mp3-preview/ded66bd45d7b0faa3e1cdc0665d481a8fe8b0114?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Only You,15Mh8m2BGTUptR8yy7fNAS,Yazoo,1G1mX30GpUJqOr1QU2eBSs,Upstairs at Eric's,35XWsJcKVHGmDKE8XUd3o3,67,https://p.scdn.co/mp3-preview/d765c0062951c40fc6665ff3859e0fa742b2846b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Beautiful,3TCauNPqFiniaYHBvEVoHG,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,Stripped,2USigX9DhGuAini71XZEEK,72,https://p.scdn.co/mp3-preview/3c9ad69c04cfe7e27ce24c9c22784285f025b551?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,(You Make Me Feel Like) A Natural Woman,5K09WxKdlkroDyEVyOSySy,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Lady Soul (With Bonus Selections),7lEOKZaOpqP70UYqdLPejG,70,https://p.scdn.co/mp3-preview/5a75bcabe432f6ebf029e246d5d1ec663bba6156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Listen to Your Heart,78TnMTAFmWUWWCgNXR7D3K,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,Look Sharp! (2009 Version),1iI5YZkqNUV7VmrEi4uOP9,74,https://p.scdn.co/mp3-preview/0e4f8623b2ed598773d6a18d100f3992e13b560f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Baby Can I Hold You,2DjWsDGgL1xNbhnr7f6t5F,Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,71,https://p.scdn.co/mp3-preview/147687c4809b45a494ad502bf79a2903ebe2534a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Dancing,5MsZuMAlhpfoQe9NIx5NcF,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Golden,5vroCXY4FWNiIAovi5KsQB,55,https://p.scdn.co/mp3-preview/ac399b77e0cbcc968108b18c3734b181d7098d13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,You're No Good,23DZLSxCK6kM8FF2RlzKDl,Linda Ronstadt,1sXbwvCQLGZnaH0Jp2HTVc,Heart Like A Wheel,7upKDUGJUjsvfIe6vuVB0b,60,not available
71,Orinoco Flow - 2009 Remaster,4bQNusmmVudLxIiexglzh6,Enya,6uothxMWeLWIhsGeF7cyo4,Watermark,0NJjvdOd3ULUTvoVFCCFJN,59,https://p.scdn.co/mp3-preview/edc07a855d967b0e18758990a564a2b1f5760b15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,True Colors,2A6yzRGMgSQCUapR2ptm6A,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,True Colors,31TRqoVBTQi0lzlPLtvINn,70,https://p.scdn.co/mp3-preview/c8b5ee3aa0a7d20c05c88db2b98dcb1ce74d0277?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,You're so Vain,2DnJjbjNTV9Nd5NOa1KGba,Carly Simon,4FtSnMlCVxCswABUmdhwpm,No Secrets,79x0PRGIZv33znrCkPkCZ5,76,https://p.scdn.co/mp3-preview/0cd60ee4a92a3af5f87eae5485ff622daed4135f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,A Case of You,7shVwhUdVbHpykOfbzvDc1,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,Blue,1vz94WpXDVYIEGja8cjFNa,68,https://p.scdn.co/mp3-preview/73dc2986980c9dd2e3542fd6103c940f9d3643be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Killing Me Softly with His Song,3gsCAGsWr6pUm1Vy7CPPob,Roberta Flack,0W498bDDNlJIrYMKXdpLHA,Killing Me Softly,4GxrvKiysSiDU1HHifh1PA,73,https://p.scdn.co/mp3-preview/66554e4e1c750d8808c6dc1e350631ba41cd68d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Both Sides Now,2xSfwtV4mUr2h63Q1zJH58,Judy Collins,5yzE49FicYiSxN61oaxkNn,Wildflowers,3QglEGxgKkLco7hS5hH0P5,48,https://p.scdn.co/mp3-preview/73758bc7629a780d200665d3ee63baa7cfe3c9dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Self Control,6JNJERZGJwDVgkmbohBw7u,Laura Branigan,4463nfFMmK1cwAWBQDwT5e,Self Control,5cwUCXPFFfNsnk4qipc40D,71,https://p.scdn.co/mp3-preview/6725dca8ed9f6750d534268c7ed7d5355e8d5174?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,One Day I'll Fly Away,0J8A1ZVyJcRZxFNvtp6jRh,Randy Crawford,1twC2fwPG5FkvYcMpVBQRz,Now We May Begin,1nC1gaO03Yk2lnbRZAN3KG,64,https://p.scdn.co/mp3-preview/68bd8ea2e6c0f67ca7db49be9b5fa6ada758e8af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,It's Too Late,12q3V8ShACq2PSWINMc2rC,Carole King,319yZVtYM9MBGqmSQnMyY6,Tapestry,12n11cgnpjXKLeqrnIERoS,70,https://p.scdn.co/mp3-preview/7181f9b383a6c89b1cb057dfc7fd23b901605411?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Here I Am,21pD5WVINeumxvzAqIKRQd,Emmylou Harris,5s6TJEuHTr9GR894wc6VfP,Stumble Into Grace (Nonesuch store edition),51aJdUtcBFy6l8QZNXYYHs,27,https://p.scdn.co/mp3-preview/dea3ed71b7ac7ad0ff7f3dfaff705b2d92ed0e22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
