Chilled Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Fluff,483EiRZIvnbKQ9w0rgK28S,Steve Marino,4tg0ssTKTKCAuJfYb8wTc3,Fluff,0sxQfFg9TAX26ukSguKWqt,8,https://p.scdn.co/mp3-preview/164291f833ed82fd13a630310c5e6a25dc464970?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Dogwood,2PIrRLOj5MYKgZFpq95NmK,Jenny Lewis,5cMVRrisBpDkXCVG48epED,On The Line,2AHG3vkC3H7zqHbYdgCCcy,41,https://p.scdn.co/mp3-preview/0f08852aeb496d40a73d2f1a0e5976a24ac2bc16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Human,4uBiUTHSuuRT4CtEoZHz2f,Molly Sarlé,4XLoKwIIoARkhaKuZocq5d,Human,1CG4EjCxgzgQgadPN0piBA,40,https://p.scdn.co/mp3-preview/d3c62304a155b811ed8ba8d289e654063a2dbe0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Next to You,41058HjYeMDhU6NAj5YUoy,Sam Evian,5MXsi1oKkm8LuStuKkMdzu,"You, Forever",7uOn3dpPMtthc9fx89AcPX,31,https://p.scdn.co/mp3-preview/d42e13c14d0f75b6d8345d330c9bc9ef8d3e4ad9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Show Me How,01TyFEZu6mHbffsVfxgrFn,Men I Trust,3zmfs9cQwzJl575W1ZYXeT,Show Me How,75IgpYGNlc8KmwZ9FlTtJg,65,https://p.scdn.co/mp3-preview/a957b4a8e52c15a375a1cec1833cce4c36784b49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,When We Drive,3g2BcuGHf4zYPSxv1uoSmv,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Thank You for Today,6agCM9GJcebduMddgFmgsO,53,https://p.scdn.co/mp3-preview/da00c4be24700b51efea0156eb6b8ccc05dd778f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bolting Volts,1nXKPrhMVu8qytL9lngUDP,Molly Parden,5dUUxJQg27XaHdKyLYwNg5,Bolting Volts,2OKL6OoniQckdsp3CJAoT8,33,https://p.scdn.co/mp3-preview/335961c5b7156fe3c0cd82955740eb54b38f053f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Float,2hfR9FIdzAhrWIm3F6Um5s,Hovvdy,59RNNqeEfkq3X5pfOQxZ3C,Cranberry,3PUdQfl83OwaEBR5P7T7tj,48,https://p.scdn.co/mp3-preview/aedbd3c0f0ca67d3a38d9806f9a352473b9a2484?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Show Me More,603iVka7FkEfoO0qi1hnf8,Girl Ray,0MoDfakkeeD4FwftxAXwEd,Show Me More,1Fawf09QyIgeVttUGFb9vq,49,https://p.scdn.co/mp3-preview/ce15a7c8b2908fd9362e7ff7cfaab524261b2848?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,There Are a Thousand,58dzklr2fvX24M4QAPiZnL,Helena Deland,0BJeP79i5wKgCqsEEiQ7G0,There Are a Thousand,0REmQfUIgGPMWVRvS4YjSG,0,not available
21,You Don't Have To Go,4LGcYem71ZkfSnEdfvQOV1,The War On Drugs,6g0mn3tzAds6aVeUYRsryU,A Deeper Understanding,4TkmrrpjlPoCPpGyDN3rkF,46,https://p.scdn.co/mp3-preview/152efd2a11f82b829c864fced6b159142b95e2f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,yr heart [reprise],2Mzh2N9EzHrUUMvIQtu1NA,Hand Habits,5poU7FPEYoBlwjzOEWMbX5,placeholder,7y3l8rXPVyAspEngY1Beev,31,https://p.scdn.co/mp3-preview/07db36c2ea639084d0dbb7eaddad293c7ceafbe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,No Fun,6IGq3RtjQ7o25MvImbKzRQ,Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,No Fun / Lucky for You,7DVkaDX0Y47rRsJqgvHjyh,53,https://p.scdn.co/mp3-preview/30a844664e4d7c19fe2c50f8ed62e41a44b251f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Go,0SCtV9YQhnsY0m277xlmxg,Yowler,5CS14R1ytSX7XfXD0m5FAj,The Offer,65AieGRQ5nDKMU67c595Sx,44,https://p.scdn.co/mp3-preview/f98bdc2eae0df152fcc8a59b2f85628b9bcbe1c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Barrel,3s71tbgmSN9TfJLj4D18Mt,Aldous Harding,3lmR0qMiGuoIF9UC54egcG,The Barrel,6GO0ZV4w1GHfksdyBiEAY0,56,https://p.scdn.co/mp3-preview/f5a0ef23627cb9870971c82b30a539acaa97036e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Shadow Bloom,6xKjVD4VNcVHauHauwpTQ1,Florist,0VIiIxTNLeJOPoMLabwNtr,Shadow Bloom,5O6fyq3ewz8DcT9HnJ1i59,41,https://p.scdn.co/mp3-preview/333d9662edf54b44f2e63abeba1bd1628e3a244a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Kingston,0EDQwboQDmswDRn58wcslg,Faye Webster,5szilpXHcwOqnyKLqGco5j,Atlanta Millionaires Club,4vt0V1SmkaK1Y440P5Nsb4,55,https://p.scdn.co/mp3-preview/b081bef47f3af318e63ca89418604b4dd8930d0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Bust,6vqxiOTAWPiO2Frn6uTP9B,Lomelda,6zcDLZ62JsbVM1nLrQMzi4,M for Empathy,0pJhS1FW6oVe9FV8WeWBv9,37,https://p.scdn.co/mp3-preview/4f97f5f84bca7b43c77b6c7134fb2b5cd8eb2cff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Valleys (My Love),2TSt5uNcRSnMbxYJ5AjPvt,Whitney,32aUoW94mJ7xTJI7fG0V1G,Valleys (My Love),69LugwAAfExMtZx2l3KCPo,60,https://p.scdn.co/mp3-preview/eaf3696e1e6431018a236b2915b38074cc248b61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Black Blood (Monocle 24’s Midori House Session)[Bonus Track],6ToIeqkBhQI46S6OR2FkOU,Ohtis,3u39r3hiQU2sq7VrV38L6x,Curve of Earth (Deluxe),7veAtGnCRdpNd14Gfy1AOQ,16,https://p.scdn.co/mp3-preview/27d8524c5b706dbe035897fe74c2a60b55e797a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,You've Changed,7HOYQ7WgqwXJ19lEFXgMZX,Ratboys,1SoBNpuC0N4nvaQFENS0qf,GL,64inB4HIzmr8Gkc4I8DkyZ,1,not available
32,Cathedral,01dTZO1F0IZZovBCKDV0VA,Hovvdy,59RNNqeEfkq3X5pfOQxZ3C,Cathedral,3GN8zqs5IsXKeefa0RejwU,48,https://p.scdn.co/mp3-preview/4f9c5348857ab6adcade9f7462b0a338d5020531?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Long Wave,5UnoxzcNj2Ym6ZOnIGdwGE,Bonny Doon,0AL8XXRh7fUrHAMLoDv9rn,Longwave,7uo0oJVjhuw0fIGltmSPcs,45,https://p.scdn.co/mp3-preview/359bb303b29216c7d64761ea6ed99957abcaeb39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Magic Gone,30UovLYKYbrnnOcUvJBbMF,Petal,1PRwnbMe9C9m80g9g0bWN2,Magic Gone,2KXt65HmnrsqLA9Mckk4I7,20,https://p.scdn.co/mp3-preview/a58157835006ebd38fd41a1d2968e67a6fe0f653?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Alewife,3jgrNd3uPU1c2PFBKYsV9d,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Immunity,4kkVGtCqE2NiAKosri9Rnd,65,not available
36,This Old Thing,37CGqlGlVTEi6jDINGJTH9,Blue Americans,3opCzUejI73CIE2pZtKtKw,Sum Yen,2AqNxpMa9AOH6xtAEZvA31,17,https://p.scdn.co/mp3-preview/9255e2d0ff8eebf2f50a0fb2a5e6b747bdf1c596?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Sure,4WYQrZtxH9yUSryM1922fi,Hatchie,3d7MqowTZa2bC5iy1JXLLt,Sugar & Spice,4jMI2whxRqJSpkBgw8o6vY,39,https://p.scdn.co/mp3-preview/c17135a802ea51bcdb2ef3e1261a9d3a57777ac0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Eggshell,0CcCgEfsl8PYYugbh5cTC8,Runnner,7adlRX57hqe6Pc4YHrSGG0,Fan On,2El6aEmqTFeavoguGaquBN,13,https://p.scdn.co/mp3-preview/bd8c3e8b43dc92cb7230d97a3906f95445bec203?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Tenderness,0l4cR2AZ18MktMd0BU3zwh,Jay Som,1wmiQ6ytATiGnJs6uFluKO,Anak Ko,7zNsEEBdQImuX9pFfDMblw,36,https://p.scdn.co/mp3-preview/fb0a42ba335e6ea24658894decae48a45316c7af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Strangers,1ymOv5SOFU7lW0L0cHcbPq,A.O. Gerber,2OywDp0ldLitUL5iM8phSf,Strangers,0hkbYkdrFv4fDuWuiI1IFW,22,https://p.scdn.co/mp3-preview/1c358664a3e2dbf691d4de11b87644bfc8de3fe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Johnny Cash,2QL4txSPHXnMV8DvOaTHRF,Sofia Wolfson,5WPGc84zEZJXUIp2ELrNFN,Adulting,6HbenOj3dJaGyjJkbb1lJp,31,https://p.scdn.co/mp3-preview/9fe895fcd6459396d8dd07e9ed01c31b24e3b7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Believe,67FXBwCa6eU1uBaEdK3T9O,Amen Dunes,1jwOuEBcOKq0BeudSarbEM,Freedom,2H4G8AGta9p8yjgjVI9nZd,53,https://p.scdn.co/mp3-preview/9873a819c0bcf76aabe523c0cef13a8110ee7fbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Super Natural,2HnMhvOVA1FK8C61nMhJEj,Turnover,0gLjJuczGWhqKVMmVpIT52,Good Nature,39Ypnp97w22KOqGR8KjBz8,61,https://p.scdn.co/mp3-preview/9be3a964285ad5ef2e3c657d6fb1628a0e202042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Summer Day,6AqFtnUITg2Vqaj93RpdwW,Sam Evian,5MXsi1oKkm8LuStuKkMdzu,"You, Forever",7uOn3dpPMtthc9fx89AcPX,29,https://p.scdn.co/mp3-preview/9ea79bc08d5742b336953130a74dd2c6efbd0085?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Road Head,6WVheb5G29cbDOzF4qMfli,Japanese Breakfast,7MoIc5s9KXolCBH1fy9kkw,Soft Sounds from Another Planet,6AOaqWipm2Zk0oBp0uUey2,60,https://p.scdn.co/mp3-preview/f760fa94b0c80a425affe565e761ac942a6b932a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Don't Know How To Keep Loving You,2MncBwEd2IVUA72OGcpeuy,Julia Jacklin,12fRkVfO2fUsz1QHgDAG3g,Crushing,6qaaubiJlYCOdYWdqZDl3h,52,https://p.scdn.co/mp3-preview/9b4916da411558c748932369f0b9b645ec8ebb27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Interstate Vision,333ynS8xzTSbeRxxodU33d,Lomelda,6zcDLZ62JsbVM1nLrQMzi4,Thx,5ftfK29sHT2Tx7Wc3NMbqR,46,https://p.scdn.co/mp3-preview/ba43ef96275a524a86071c21c02fbbda4882f158?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Brave,7FkqUFCdjJkQaDbQ4kMUGi,Hovvdy,59RNNqeEfkq3X5pfOQxZ3C,Cranberry,3PUdQfl83OwaEBR5P7T7tj,35,https://p.scdn.co/mp3-preview/b2738fcc974e415a8abdc9d0543c9f1ead974107?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Blue Bell,4bFtkOCmHiRx6SjIAL1hdm,Golden Daze,4T3jyyAF02vNapy2bdzMjn,Blue Bell,38JQDHoEIUAkmSE6XwVQ2Z,38,https://p.scdn.co/mp3-preview/23e0e533545425998e66dfd886452bd0aadf82b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Mind Over Body / Slowdance,3j0E6dPtdSDr5lSJ24OkRw,Wyldest,1H5bZEYikISQmR2qY2SASI,Dream Chaos,2o3ytqi34994X5Wdn089Vm,34,https://p.scdn.co/mp3-preview/f243b1ea1095930e93c09268c1adb9c0763e52ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Pretend,71WzoGZcDWzrKZqSkiY3Tz,Hovvdy,59RNNqeEfkq3X5pfOQxZ3C,Taster,49qODAoetbcHJOggZePV1m,52,https://p.scdn.co/mp3-preview/059ee084eaaa9e0d6a8f14a09b4b011f0c1247cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Pretty,3kYrANPBhOqKb9tqMOMBLq,Girlpool,3BYXi96LqI8TwNljFKE0DZ,What Chaos Is Imaginary,58HB0yjdQE2MH5MrfWt4EO,43,https://p.scdn.co/mp3-preview/5901f2f8ccaa3674484a7d7f850722afd5c7d1dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Fade Away,0mhIk9rXVpeTodDcL4NsbQ,The Magic Gang,52pNByiBWx6SVMMqqcCA74,The Magic Gang (Deluxe),468IjYKaexANvGfdtxMdwd,30,https://p.scdn.co/mp3-preview/0c3db8930b3c10261aa1c93091bfebc6578c7b78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Birthday,1Rpm456QbNoiT6uPs75nwg,Gia Margaret,7fnMav7xXJwwjbyWbSjF4C,There's Always Glimmer,7nO8d953jNTn2uXDFRKg1o,39,https://p.scdn.co/mp3-preview/4aa2eed87359f34c54d9a1917f944c9c01ccd043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Discotheque,17VyTMC7ezynLuxWl53Dio,Sun June,0UIQXpn5oXhmpgbUDFzaLb,Years,7mWQL6Gj7p6sFlJPRFZYNV,25,https://p.scdn.co/mp3-preview/dec05329c9f055264898b50e3222ac89b4fee76d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Without A Blush,1vXdJ010FQ5UnMHjczXJd9,Hatchie,3d7MqowTZa2bC5iy1JXLLt,Without A Blush,7d1ogPotWfAAOYuegbb1iQ,26,https://p.scdn.co/mp3-preview/88bd0f9e7267236d4dc16eb64699833d1be0c742?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Taffy,4ATNbbTP670rOntrrowSA3,Jenny Lewis,5cMVRrisBpDkXCVG48epED,On The Line,2AHG3vkC3H7zqHbYdgCCcy,40,https://p.scdn.co/mp3-preview/adcd5be916038e6f2d28cc2208ee697eb36a6837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Siren 042,75nN4kH1uzSsUdMrdUVfrq,Lala Lala,492I2sQFcHDcsZECYX25dE,Siren 042,3LOxkgI7QgviI2B6yfLx9N,51,https://p.scdn.co/mp3-preview/c7f4fd8ca56c6aaa23c905f5520f6543cb704771?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,used 2 be a romantic,5DH1BO8zi6WgqfHp0f9cKo,Field Medic,4wMfqR1EZagrSlYndItxGQ,fade into the dawn,499hObLZ6hb7GN5hDDDEeN,36,https://p.scdn.co/mp3-preview/aad3aa2fd718f33a6f14aff18a719a364a3b15ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Without You,4PbOsMq8WGWQ36pjZnjojE,Llovers,0MGqjWWotQzv4HkaNAiWn5,"Go Get Her, Go Getter",3RS8JcpDHbbaYrgZsbp754,38,https://p.scdn.co/mp3-preview/926178935cfcb0f23fa31a1a0d122242d5b5c7b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
