Rock Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
30,WWYDF,4gRiFYMQSqpqHnBdjE0zmq,Zero 9:36,1V599H9vfq6hWe2hGzyzI0,WWYDF,3U1JCsxOmikZWVPqSTgQhE,56,https://p.scdn.co/mp3-preview/e15c43ee5042e7cc5b047cdef33b96441417e222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,"Blue On Black (feat. Kenny Wayne Shepherd, Brantley Gilbert & Brian May)",3lwpE0SEaQV5DWNjqMtYEk,Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,"Blue On Black (feat. Kenny Wayne Shepherd, Brantley Gilbert & Brian May)",5CmhQvNnH3x3xObNLccLxh,62,https://p.scdn.co/mp3-preview/bbcc0324d94fb512b4fcf2110101c2127d08caa8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ways To Disappear,0KcHwAnK9I7ieGVaRJICxT,Palisades,2w6slVluzWlwADP8aB5yz5,Erase The Pain,3OTWWdNFbxGzWTJBX7588m,57,https://p.scdn.co/mp3-preview/c88c1a00b663adcf4a2c7313d76da3e8d1715a87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Seamless,1n1IeCWKNGZpNMKdWWTQA6,Higher Power,6yv0Vd63iiAaW4665Cs9vT,Seamless,5mtCKoQZgLxEuhMyTXZryi,42,https://p.scdn.co/mp3-preview/0a80dbab29b84fc04f4fbc35a276259c2cc58cda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Name - Single Mix,3A0EYcUB7id8b8WveafPdi,Scott Stapp,6HySSUk2KthFj3bd9R61ql,Name (Single Mix),2dBWPuMGw5UxQdimZMdGnn,24,https://p.scdn.co/mp3-preview/3236ffb15f5fec7e3f1ea3bf3d95e6656388e327?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,In Love With A Camera,2CEjWJ4lPiodKXXS2bhVyP,The Struts,3lDpdwM8KILepMHqBWUhIA,YOUNG&DANGEROUS,1mFRTnYk72zZfVk7l25G3g,56,not available
36,Cross Off,3mpZzg6fdRM1uUlkLZafVH,Mark Morton,5w09r1HW3Dc8BMYIvqbnnF,Anesthetic,65shF8hKjk7GqJVVSW8Z1G,51,not available
37,The Runner,0AWYvdcS6N463VlsbrzijH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,7CwnnH6mZCAKwKLgwrLWRU,67,https://p.scdn.co/mp3-preview/c5d8e1f2a045d2e5917e4eab92352a31852aa399?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Bad Woman Blues,0JSotxr4YFcp5e8c5yaMKv,Beth Hart,30TrHDLNCKQVTYWOn9QqOC,Bad Woman Blues,7GuWk4lYaF0r6i1cjepZlp,50,https://p.scdn.co/mp3-preview/84cc14df677b69e7cda1e65a03c8b7f664944bfc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Nobody's Gonna Save My Soul,4rJvEahqzxI6K1oF7NiOlk,Sin Shake Sin,5tFuUOO2a75KL5MXvplfhQ,Nobody's Gonna Save My Soul,5ukQ9PdQedYTkYNASMs2WE,41,https://p.scdn.co/mp3-preview/06e600a3d5cff47869481f6baf6a44806e357b4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
