Biggest Songs Right Now,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,STUPID (feat. Yung Baby Tate),6qNB2ChCVPepl5ZjVJJTUW,Ashnikko,3PyJHH2wyfQK3WZrk9rpmP,"Hi, It's Me",5eKuModdAdZRmc51241r4D,77,https://p.scdn.co/mp3-preview/61b13f60bba8b0c04cce0cb5e34a3c9e06482610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Torn,2GdxQw8NwoeH8tKySg6nym,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn,6a6Dy4LaFvh43Ed5lomDEd,80,https://p.scdn.co/mp3-preview/1ff3cfa3fc477d266958ba7a0dbbdd0e287f9b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,87,not available
15,No Way!,0yYwS7CXKIPC4kWPvZQfsT,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Soul Searching,4ZKdRW0AH9sxV09NmWsTkW,79,https://p.scdn.co/mp3-preview/c90e7fbd5867542de087dd5965090cdbc74c63cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,The Hype,7I3skNaQdvZSS7zXY2VHId,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Trench,621cXqrTSSJi1WqDMSLmbL,73,https://p.scdn.co/mp3-preview/854ee3b17e484b0727dffe62e50f8549ce66ffee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4W0r9HOcuCC6Vh7aze2hwi,88,not available
18,You Say,3ngc7rGlfeFaskU90EWl4R,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,Look Up Child,7dnYwtDQNa3xzaCoekrjL1,23,not available
19,Who Do You Love,11cDEev79fPKi6uJCjUhu8,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Who Do You Love,7D7hZbj2cLXwozxYePDF6d,32,not available
20,I'm Not Alright,7Ht0v0LWBCOEjmNQ0iMpNr,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,I'm Not Alright,3AaYBMcqoBYcZLfBsNDLri,61,https://p.scdn.co/mp3-preview/09b9a158cc7aba3e0dc4fbb1d693dbd854f9023e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Panini,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,93,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,89,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Walk Me Home,7DHApOHsIFo7EyfieArYGE,P!nk,1KCSPY1glIKqW2TotWuXOR,Walk Me Home,2KKdF2S0u36Ug2jm2qTXlZ,79,https://p.scdn.co/mp3-preview/44e8764f6028b38a76a48e98d6d2f6019e60d14e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
26,The Bones,3npzogdOEiVsieXmmhBepL,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,GIRL,5QakU0QMcoxjjyCS1YW4G5,82,https://p.scdn.co/mp3-preview/fc33627ba3c42dbabe573a25fdc467375df2d7f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,It's You,40vQONzvJb6sKejDN3eWza,93,https://p.scdn.co/mp3-preview/1219afc55c445aa7c2776f6389a361a4fb55b570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,What Am I,1HimGOB6BjOaCQYMIF1xtU,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,What Am I,6IEEEv0mmFYPjhATWKYZRE,82,https://p.scdn.co/mp3-preview/07c61d627e0537fa0d7f11bbab0c763bd9165d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Time,6MxMqCgqmekcr0VwSU7AVH,NF,6fOMl44jA4Sp5b9PpYCkzz,The Search,46xdC4Qcvscfs3Ai2RIHcv,78,not available
30,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Soul Searching,4ZKdRW0AH9sxV09NmWsTkW,89,https://p.scdn.co/mp3-preview/3040c0b95911403ee50f4633c90af4c4e586d087?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,2wY79sveU1sp5g7SokKOiI,How Do You Sleep?,7baaCf70tVcUBL2bbkuXjo,96,not available
32,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid),3E12WU80fDMyu7GyIAx7wJ,95,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,85,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Motivation,0rIAC4PXANcKmitJfoqmVm,Normani,2cWZOOzeOm4WmBJRnD5R7I,Motivation,2r6BEK0wzXbL8JHyCkeJkG,91,https://p.scdn.co/mp3-preview/f6877dfe11a1c9ea4731947219a956cd18c6a7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Jesus In LA,5i2JGF65pHKSfMEjSMrBC3,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Jesus In LA,2aygqrnBUbPolcC6H1GUPS,82,https://p.scdn.co/mp3-preview/590ba446b10a2955c178b843e429dca8e8c06eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,boyfriend,3zVB99XMdbP9HTVNg0GJwV,94,not available
39,Speechless,3GJ4hzg4lrGwU51Y3VARbF,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,0g1F5eGVwX4Sxi1n8ojPkE,79,https://p.scdn.co/mp3-preview/69de5cae36cc21287d66bcb93f3ba178198615c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Small Talk,4NmE2ytXI8S2svTRSmEdpO,Katy Perry,6jJ0s89eD6GaHleKKya26X,Small Talk,5FOy9CM3AZs86TIK7fsJTV,82,not available
41,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,Marshmello,64KEffDW9EtZ1y2vBYgq8T,One Thing Right,4QAC6FquY8D0RXom13iE5J,89,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,79,https://p.scdn.co/mp3-preview/e861389ed2b773dc0aa5f5b96aa2bc0eed9bd09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Easier – Remix (with Charlie Puth),5iTaLzgPI5jRMVAxITcZwT,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Easier – Remix (with Charlie Puth),5h2ljtbTQqfbCg4nem00bf,74,not available
44,Old Town Road - Remix,6jmZlyf9DxcIoRrjw02YXm,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road (Remix),0ycVaTFV4Me1jr7wM9Zqip,75,https://p.scdn.co/mp3-preview/672c1149fba6cdd86c587b0473e3c020e101e2af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You (Deluxe),74gSdSHe71q7urGWMMn3qB,94,https://p.scdn.co/mp3-preview/c8bdc870ffc6044c84f0d52306a35551fb3d0263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Cool,3QmolSZqjjLksTUvZJ6pPS,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Cool,4yenfBKQAR4ofEgNPk5Ocn,74,not available
47,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,"Don't Give Up On Me - (From ""Five Feet Apart"")",5N8iCZZbqwxmQKUUabbnd3,Andy Grammer,2oX42qP5ineK3hrhBECLmj,Don't Give Up On Me (with R3HAB),55TqojIC1nUTdRG40HY37U,49,https://p.scdn.co/mp3-preview/c00c19589796dc3f1725c0c24f10e0e16000994e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Call You Mine,05CwHjIk71RXVU40boRMnR,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy,1ONuDpN0a3zhCUyKCgtuzK,72,not available
50,Love Someone,78VJbyOemnlgYk0MM0VqNI,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,3 (The Purple Album) [Edition Deluxe],11IeCEbIfXLK3YPxOFnXQ0,52,not available
51,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,If I Can't Have You,1J2BrRxtQjVUa7X9Ne99xD,89,not available
