EuroVolley 2019: The Official Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,One Touch,5EKiBMhzRLALeGDPdoAKkQ,Jess Glynne,4ScCswdRlyA23odg9thgIO,One Touch,73JUDiyiu0OXCzzM2jjVkL,76,https://p.scdn.co/mp3-preview/ead38ad10d9ab85f99be5fd1e3eabee11c6633c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Like It,3bsycjdQtbcJeR6822SBvd,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4sDAyYEMhD2YyREWKxj3aD,55,https://p.scdn.co/mp3-preview/3bc3bd44e49c699cfc8809ca2641c9a2b8228932?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,New Rules,6tF92PMv01Ug9Dh8Rmy6nH,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2vlhlrgMaXqcnhRqIEV9AP,58,https://p.scdn.co/mp3-preview/75a1b521de23958a2db9acf4fc8151999ee54bd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,89,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Sugar (feat. Francesco Yates),5tf1VVWniHgryyumXyJM7w,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Sugar,5XyJzEROSmup2TcWmVjTIt,77,https://p.scdn.co/mp3-preview/c4b6941542e99f1a0cf480d6b1ed033be783a3fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Orange Trees,5KgjRZKraoTkHAUONmVFo1,MARINA,6CwfuxIqcltXDGjfZsMd9A,Orange Trees,3I9uFZjQn6d4fux1wv4UzZ,53,https://p.scdn.co/mp3-preview/b68f93015414b111ba114d9277c0a10bd2c319f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Thing For You (With Martin Solveig),0IhTEIjFaRt3B2NQYf9azQ,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Thing For You (With Martin Solveig),1cbCgek1ORPGZFKlBIhBmH,74,https://p.scdn.co/mp3-preview/11bbbafe92be26d8764f2f033249589881949599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Pookie,2QpUWi6VSNOt2WyH5FIeLD,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,3jqQFIXUakuDXdhFVvI7Ko,76,https://p.scdn.co/mp3-preview/dea41ba2a590524bcfee50f66485dc078eb721e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Joys,2owws8NRqfPUdIn3Uag7Yp,Roberto Surace,4Peqx8CmkLiHHRCfm3HR7G,Joys,5dwpmQPOTG6rm25LfSXOR0,67,https://p.scdn.co/mp3-preview/bb39c607a9b0b049ad497f4d4b195494712f1fe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,We Got That Cool (feat. Afrojack & Icona Pop),2cFK03sObtI6AK3QKeOT5g,Yves V,47BEc2RoW53owMyxacXWdV,We Got That Cool (feat. Afrojack & Icona Pop),1WowOfXnw3DlwgjyzlAU4Q,73,https://p.scdn.co/mp3-preview/0dcb6c9e6f1c533bf57a0e9a21400bf2bf814269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,24K Magic,6b8Be6ljOzmkOmFslEb23P,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,24K Magic,4PgleR09JVnm3zY1fW3XBA,79,https://p.scdn.co/mp3-preview/3213a35ec32d4c747e794072a5ef7b464b4fcb69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Flames,3B8J3BMp7lMA5YR5bUXHGK,78,https://p.scdn.co/mp3-preview/825f6901f430e501706447d3704c2953163ff8a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,2002,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Speak Your Mind (Deluxe),7lPoGKpCGgdKFAxpudhAH5,85,https://p.scdn.co/mp3-preview/393689f63c149cefb1f1293494058b93a0e19891?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Hymn for the Weekend - Seeb Remix,6s3GEN8wK0OMzzzZbXj0fu,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Hymn for the Weekend (Seeb Remix),0ezwRysfWCrR5tDgpBwkIw,73,https://p.scdn.co/mp3-preview/d36ebf2b3d829b008bfea00bca48536fa510b6f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,All Mine,3c9RceD6okF9YiMGUpuCdE,Disciples,5EehXjjMktLuJmbRsM7YfB,All Mine,0z7KbZJJ7SfvI2RRG4O0vK,63,https://p.scdn.co/mp3-preview/2cd93bd3c13da000226bfbb4f9ac6f46c3530b52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Take Me Back,2HQb8gTiNfVkwCxLNkhHJO,Coldabank,3JOvRLynmP4mA6dvlWARoA,Take Me Back,5PunbldroWOHqyqAM6jSaa,58,https://p.scdn.co/mp3-preview/33c28c431604d1c772c2dd3c247f86593663830d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Good As Hell,6uAm7pG66O1XesXS9bpHSF,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,5PMpdvn38HScK6IuLniRep,74,not available
28,Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Symphony (feat. Zara Larsson),4b13SJlne61y53KSEwuQtD,78,https://p.scdn.co/mp3-preview/45e100c336ff5ebbc5bdbae4224f25aa08fa9ca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Let You Love Me,5Fla3zyOCcIRqrDoKLU0DP,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Phoenix (Deluxe),6Vn8F3hERVHYYz5RfKmsAN,74,https://p.scdn.co/mp3-preview/a79897e64f2aa007cfdc4b182d0db4f90fc3c801?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Bittersweet Symphony (feat. Emily Roberts),6sYJuVcEu4gFHmeTLdHzRz,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Bittersweet Symphony (feat. Emily Roberts),4kFCmKMq1c6gl8eema7wkg,76,https://p.scdn.co/mp3-preview/defa3f2ed5154790750164c170a2e4971c75316b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Like I Do,6RnkFd8Fqqgk1Uni8RgqCQ,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Like I Do,5oU1ROIHS6IOWnb87GWhqU,74,https://p.scdn.co/mp3-preview/6c6d08d072afd9e943988190a29a484055376fd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,89,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,You Little Beauty,71NOmiKvk7s5R7dUurNjuy,FISHER,1VJ0briNOlXRtJUAzoUJdt,You Little Beauty,5DJeZP2GgxLqCl2JsxppbY,35,not available
34,Glorious (feat. Skylar Grey),0CokSRCu5hZgPxcZBaEzVE,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,GEMINI,72qA6s4fjF8Y2VX1UDMfp2,78,https://p.scdn.co/mp3-preview/6b6ff3c8c72111b85b011d5ce8d573cbd2a8d8c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Dynamite,1DqdF42leyFIzqNDv9CjId,Taio Cruz,6MF9fzBmfXghAz953czmBC,Rokstarr,159jpldDCgsgH6KGgjy63c,72,not available
36,Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Finesse (Remix) [feat. Cardi B],3mumK2ar9b4JPhVOZR0V2p,78,https://p.scdn.co/mp3-preview/10fbdd7986417e30e3bbf06d3fa22efe1663b2ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Stay,2ugjxfenU5AJMO5cozCuUv,EDX,7GMot9WvBYqhhJz92vhBp6,Stay,7DckZOfg9FcjBOpXlItnxI,61,https://p.scdn.co/mp3-preview/0fa7cd755f4f02f9c0ebfecfaf0d4aea35dcc8c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,fun.,5nCi3BB41mBaMH9gfr6Su0,Some Nights (Spotify Exclusive),7iycyHwOW2plljYIK6I1Zo,72,https://p.scdn.co/mp3-preview/af96d9b11588ea7d7754ccf2a8cefa7ead23a7d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,79,https://p.scdn.co/mp3-preview/e861389ed2b773dc0aa5f5b96aa2bc0eed9bd09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Last Hurrah,0i0wnv9UoFdZ5MfuFGQzMy,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Last Hurrah,5ljc69MQ6iwGcJ4SmHaAh5,78,https://p.scdn.co/mp3-preview/544f1a165ee7ac62b8a5ddaac1147f977a0ba7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
