WHO'S NEXT,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
57,Dark Red,37y7iDayfwm3WXn5BiAoRk,Steve Lacy,57vWImR43h4CaDao012Ofp,Dark Red,5fvUFzgVEni3L7769OabqQ,70,https://p.scdn.co/mp3-preview/8e9689ea710036af15eecca65f7ffe2720d2edab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Netflix & Dusse,4hP7NIeToP2hU6lyvIHPyp,Smino,1ybINI1qPiFbwDXamRtwxD,blkswn,3bTjPEgPzm1XwXsNlMVHhs,57,not available
59,Trap Life,4kMscXmAU35HdvPfovGt38,Kidd Keo,0VZrPa7mWAYXH4CwmYk8Km,The Giant,22aCpij5GUIpkyuDN8woqa,59,https://p.scdn.co/mp3-preview/95a6f4f2eca6a7a5d4b9f317e44bf46cf98627ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Ocean (feat. Jacquees),1CkNm4gprWnFCdiHGoql5C,TK Kravitz,65rDIPdQD7ijLSOq32cMXo,Ocean (feat. Jacquees),3dEOPmRGGZF1g9OOd3wvs2,46,https://p.scdn.co/mp3-preview/334867cd87da90b0db55a3732e3a1db1fba66767?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Rick and Morty,7HHdI8zkvudjdFECf6mo0X,BIGBABYGUCCI,1ra8ujbJcZrV5aUjcfzFKs,Gucci's Universe,1r3Gd9fchl4vHcntKEbLo5,15,https://p.scdn.co/mp3-preview/273d46a2d3227ccbaf478d5c08febc10f5cf0fe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Dark Red,3FkTxVBsQHrwMh3IyfKO81,Steve Lacy,57vWImR43h4CaDao012Ofp,Steve Lacy's Demo,47DbvIExnHbqAhIuzBAO9W,49,https://p.scdn.co/mp3-preview/8e9689ea710036af15eecca65f7ffe2720d2edab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Will He,6i3K9JRY0Bc6kZZeyMuikL,Joji,3MZsBdqDrRTJihTHQrO6Dq,Will He,1vcvxiljwF8jQLXC6apIhX,59,https://p.scdn.co/mp3-preview/8c92d7334e8ce493b5dbaa8927c21e44794d40dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Stack Up (feat. YFN Lucci),2n1HpMxhmb1UPGX0oHF2Ab,Lotto Savage,1Ukd2DtqpLxxy0q8yV7dfy,Stack Up (feat. YFN Lucci),7kndQaH4ejYYF4symQV4OY,21,https://p.scdn.co/mp3-preview/43e2b269813b08c1d902b32afce922f0956133cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Whip Whip (feat. Big Daffi),3T0UbU8Ad7vQVtqH5zQYFT,Dj Stacks,1KfRgo0In17dvRVaeT7L3e,Whip Whip (feat. Big Daffi),1P9jRUjzaGL2ewokkswsu2,20,https://p.scdn.co/mp3-preview/8062e9f02bd9e79cb4db2cede6b63b38578b3b64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Thousand Ways,6Yv3wlC9fTqQtp7TiMX2D0,Jay Critch,6Av6GMCOznZIlHuNcBWgf4,Thousand Ways,5ffLBS1KNA45LkWuuZoXnK,0,not available
67,The Way She Move (feat. Fiji & Lil Yachty),6xENMLBQVRITSaZBaddaqJ,CMDWN,3apZw1V1xrGTSNsQ6IGDO3,The Way She Move (feat. Fiji & Lil Yachty),28IylAofig3oVY42ZCJt6l,32,https://p.scdn.co/mp3-preview/b47c6d840921db2c4694d857c45fb212c64e5f60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,The Rollers,2jxzcaYdbRs1seYy647jJU,Jay Aura,05dF0nCoBDq1g2dGvfdtf7,The Rollers,0ToUgBHNK0PeMMrDu1ghjl,0,https://p.scdn.co/mp3-preview/58c9853a5b1776ebebf0988713de7dee4bdb4353?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Pew Pew,2i4gFFd2wntbCL8ZVM5VZS,Yung Gleesh,2TD63ASEB2JcYY3C4KWJjz,Pew Pew,4qPtJ6Otn9imTzDVvY8oVx,19,https://p.scdn.co/mp3-preview/8057d27287f5910860c333595c37b6085ddf8a46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,At The Club,0NqZ65jPelNB13gzsvH2Ma,Jacquees,4tMm1dU6Gn04VAZ9ClHcIZ,At The Club,6s5y6VhzdAA9GUdsAqoU0h,68,not available
71,Single Friends,6cbppuDhglChex3WF51F2v,Jay Watts,2lGHglX5dA9A4IAw9kjDm6,Single Friends,39bNr7u9dtPOpvyfoh1gl9,29,https://p.scdn.co/mp3-preview/76afae6aec61235da9a8ce97377b25d07f1af792?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Giraffe,5xCzlLhv1ZDgpsjl0v2ZaV,Dice Soho,4gIRkExQ9L5kAPKiqYJk4R,Giraffe,0txkWhlwvoqWSRE7lrDAIB,0,not available
73,Live SheckWes Die SheckWes,0asxiZ68X8m2wuJwsabF6d,Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Live SheckWes Die SheckWes,04zOspzPJtCIGYCZFh4b68,1,not available
74,Hurtin' Me,76IkF7pA7RscjDTvOFT4vb,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,Hurtin' Me,2xhP3p0znN775vRxRP71ET,66,not available
75,Take Me Away,699Oqb2HlmNlunNJ4OT9NV,Shy Glizzy,1DvtabXAjfrMihPP6JQdHs,Take Me Away,7eci96CnPz05sn5pCsm1tG,43,https://p.scdn.co/mp3-preview/564823d0a94b6f1b3afa08e81d4ee9e09c850ea1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Ma Lo,6U9jxxdQ6TNzjshIpwWMTf,Tiwa Savage,1hNaHKp2Za5YdOAG0WnRbc,Sugarcane,15Sj69bAIyYGBLuh1UhZKo,58,https://p.scdn.co/mp3-preview/b6e1b0b32e1e8e164ddc50920feb72073d5670b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,New Shit (feat. Jay Critch),4twQiKrYrl2tg7phYVxNO5,Snoopy Dinero,6JcrWArSZYyhGcy1i60wKI,New Shit (feat. Jay Critch),2q0myRBUFme8FlfGCceUeb,7,https://p.scdn.co/mp3-preview/94825ef21d9716d8d1ce8c1d2e75049e340b99ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Religion,7N00PYM5qccirQoG09nTf7,Young Zay,7wISo3gkLBN9jp0qryQSWX,The Takeoff,6o6dziO5agRuO425dRpoyi,0,not available
79,Icon,22nyEAEM29tcBRhukR089b,Jaden,0xOeVMOz2fVg5BJY3N6akT,SYRE,4IFpj2jyRcugt1yzH82m3E,77,not available
80,Sum More,4novMmedjP9sZpTKO2SCr8,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Too Hard,750APP0eKVlcgOxaZnBnVt,55,not available
81,PICK IT UP (feat. A$AP Rocky),3ncgNpxLoBQ65ABk4djDyd,Famous Dex,0WOxhx4hikIsyF3CRPLC8W,Pick It Up (feat. A$AP Rocky),4NaE34wj8KRWoxRmgbr915,75,https://p.scdn.co/mp3-preview/6d6199fd979de1aef83c9b8b7056f7ec4adbb3c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Gang Over Luv,7LaI3mRTJu66r9HKdv7iBx,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,5Bp1EX2ypdFnJ5IUyiRl8w,62,https://p.scdn.co/mp3-preview/826a342aa6c5bb1c017b0225a6608be5f68c5490?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Space (feat. Sexton),4nMdQX2N9sp3bYDnrQmUry,TK Kravitz,65rDIPdQD7ijLSOq32cMXo,Space (feat. Sexton),6XiJvi1Re3DmhyACGn57a1,53,https://p.scdn.co/mp3-preview/4c552f855fb32d086d87f114c1516b29f7bf2939?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,New Freezer (feat. Kendrick Lamar),4pYZLpX23Vx8rwDpJCpPTA,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,New Freezer (feat. Kendrick Lamar),5LaCH6lgcr6LaNdb3ldZrp,6,not available
85,Balling,67eiiRlwG81nKafeRcnyjV,Melii,4udfTw7V8jI4AHi7PEfJfj,Balling,6lVlKyNhnhWBSPhiRcgWnI,0,not available
86,WCW,0V7C6D7SQXBwu2qZGiAuNj,Jerzey Everywhere,2QfsIYbMp8xPhtaCo2YU9A,Time & Mu- Mitt,3fwxfKHsSJP8lP6bZQePRQ,0,https://p.scdn.co/mp3-preview/15274b8a63ccfff6f3fefd2b7fadbe678f76f063?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Single,3q2hCIiIcnynEfbYCQHxil,LiveLikeDavis,3k2GCNBEWol19DIyIo7Iyu,Single,2mVrI5MQ9Ze5koc4FF5K5q,8,https://p.scdn.co/mp3-preview/0c051da4b0e9cf815037797a0f42475ce3f18b5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Lil Shawty,2LtcD3Ee7DOImuYkbwLjkp,Mike Hardy,1RTH5BpQTgj2EUBgE357It,Lil Shawty,4xh2clo8e2DeI5C6LYrAyH,22,https://p.scdn.co/mp3-preview/2c3162f31371dfa447f82e3d0983cf8e489d554f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Step Off,3OaQAsCrQaGrLkV4yjYkUK,Na Boogz,7DLCAkOCa4PzZHF4awCkF5,Step Off,7lIKGvzgofVap09qWryI4W,7,https://p.scdn.co/mp3-preview/46f7abc1d997751428295ff1d06e34f8a268e7f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Gucci Gang,6foxplXS0YEq8cO374Lty4,Lil Pump,3wyVrVrFCkukjdVIdirGVY,Gucci Gang,6UI0o8rDZZ8ZHEG0shGjZB,58,https://p.scdn.co/mp3-preview/a6d17f8c01dacc5b570438b8547c28539e1896ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,They Can't Stand It (feat. Chief Keef),0YzMGK5oGEApW9f737oD2A,HoodRich Pablo Juan,1ZLO8d7zll1WeQJUHaxQer,Designer Drugz 3,264QCPXi4e0kxw9i1BXpIS,34,https://p.scdn.co/mp3-preview/751fe04aa9f33d851079d50babfd140abd07aa52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,P.O.P.,2gGqKJWfWbToha2YmDxnnj,Belly,0FOWNUFHPnMy0vOw1siGqi,Mumble Rap,04XJbeTbd7CvN0eXwe4K8P,42,not available
93,rockstar,1OmcAT5Y8eg5bUPv9qJT4R,Post Malone,246dkjvS1zLTtiykXe5h60,rockstar,1YCRXKLDRB0UnbrFUJ4F6e,17,not available
94,Temperature,5KqOvvWRDK0lvaMw2zszJX,Devvon Terrell,4WcJL1x8azi1Qkv4jc6fhH,Temperature,7lbdTUflWmAA9vewFg7OP5,33,not available
95,Sway (feat. Quavo & Lil Yachty),4QeBlVCl2KzUEcQZiuskRd,NexXthursday,07Y8trtAhW1FFUPqZYTosy,Sway (feat. Quavo & Lil Yachty),0i9TSDm7kuCNRsaw8rSca2,59,https://p.scdn.co/mp3-preview/1829ba05f8dce84ed1439cef30567ab071b4dbe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
