New Music Friday France,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Somebody Else,709HKwawoxaF6s2grxGrZp,Hypnolove,1MRkDoyt3FmhmZNgnwkfLf,Somebody Else,2sfc9AVCsoo1sDzVW8y1U1,31,https://p.scdn.co/mp3-preview/d52d5a725c52576a5089bceb0dd37e544568d769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sous les pavés,7xcBqYe8VQiKIZMjw6fDVa,Izïa,6T08mUIMB32dtqq5ryxQZ3,Citadelle,2bKbLBL4rtVpOnT7KfZ3wN,39,not available
25,Sober,3CuyYl4hIBJh5sX4f48GNY,SebastiAn,5tOWIviwLM1EIqGAbF8VSU,Sober,0MDMCakjY8QB6aGqbmbtVw,51,https://p.scdn.co/mp3-preview/ad1631db2070208d058897a874cfc6edb93baa4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Alive,2RYVauDi1tedvhLXIrEi9g,Kid Francescoli,2G7QgTep5IsJHGHm1hXygD,Alive,2WkIBf0ZJqW7w9zL9z829a,36,https://p.scdn.co/mp3-preview/1ff4b509d8fc75e0e879a4629e75ee247b2661a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Falling In Love,1eoC1H5GBM9IikwdHxsdhJ,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Falling In Love,4rcgLAYSMhKWeUSuJaEO9u,62,https://p.scdn.co/mp3-preview/bc42b3f7ce04661c68cc41812121fb4ef72f8374?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,home with you,1lofsKXY29reyN9j0doHFF,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,home with you,3nLiYcMpeEOKzb5TzQcJer,64,https://p.scdn.co/mp3-preview/35f7b04b019c02446abfa0b5e7f886c49374e7d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Time Only Moves,0e1grbBNBlX3WgT9I3JRv6,Imany,74eY8wbrhhVD7pACbBHwHw,Time Only Moves,02D8q2HGNF0PCAGuw1qtwl,32,https://p.scdn.co/mp3-preview/4275598281491cb867fe43502313371be6cf8599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Banco,7zKRgQyZXtZRLK6b1o6fR3,Gringe,4oVERQ0AxzzQ4zip1nMKlt,Banco,10AZVuBh5qdibh6Uq0LuED,48,https://p.scdn.co/mp3-preview/0ff9cce5bac9be5d154ec6ab853195854dcf5a3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Tracksuit Tiger,3ifP8jw3QWqOCxLaVBgY8Q,Camp Claude,0TNyEQ0n7diilLgG1ozfrB,Tracksuit Tiger,6Bim4sXBLFeSZU5Gre7Tx0,33,https://p.scdn.co/mp3-preview/96b7686586f9beeaa2446b7283b03e0bee06e305?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Fun Up Here (feat. Logic),0t2wki0faiwqVkQ0oJ9EVO,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,Keep Going,7LMPvMtvi02jBM47lrBEMk,62,not available
33,Loser,0HIQTdxeEgAim6XGO31tGl,Moby Rich,5cVeSOiS002MF1uiUFOPV5,Loser,12SkuNMHLY4fxHUZBtmkTN,45,not available
34,LA & The Parties,4BX9utrulgT68sAqwWjrkZ,Lost Kings,3hyEbRtp617pNCuuQjyOmc,LA & The Parties,4w93xIU3AFd4X2ZkNfniz9,60,https://p.scdn.co/mp3-preview/c4941514b097dd051b5fa2b5b13d4b8e50899160?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"Fire, Ready, Aim",3I8Ri6tLa4QA11MMdZywtM,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,1xIgeQeVlMe5fcAVpRjkaP,66,https://p.scdn.co/mp3-preview/2e4803f2d87f1b15fadbddfc764feff05833438f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Easier (feat. SHAED),7DZ8NK0AirVLm7hKu0gARJ,Mansionair,4qOzMSukiZoiSjPQw8Zs7s,Easier (feat. SHAED),2DWKpT2id93V8Gfj7f9EoP,37,https://p.scdn.co/mp3-preview/2d6da020fd880eafabe0fa923bafef332db9fa2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Won't Let You,1DvbkyyN4jCcffDbD7mJEC,MorMor,63vaeIIBKIe9zT91EORVbr,Won't Let You,3JxGyoJImNtV1sYpedUcB0,53,https://p.scdn.co/mp3-preview/36f0ab98d759fbd40b2eb1a9970e371352442844?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Vous étiez là,5TwLKnKD1QfHKLherzIR5s,Erza Muqoli,2LaNU9yZUvApYGMs7lw9bt,Vous étiez là,50R66nOSAwT9u55gHFw6na,32,https://p.scdn.co/mp3-preview/ed98ee502dbd1a8bd9f29ba622ff69a97b39e42b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,FUCK IT UP,71Y7iZlkbQU9dyflFPJDCO,Hearts & Colors,3wjsrpfO6odEphTZWx45RQ,FUCK IT UP,4c9gVnui6Y9xyiJDXPyz3z,51,https://p.scdn.co/mp3-preview/cc104bbd7de20eb6f16a72d9ed7aa626db4bf2f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Tootsies (feat. Lil Baby),4MkMM6WUqkFeCLDJ4bhVpu,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Tootsies (feat. Lil Baby),6LphJF2mfzJZ2QezGHs4q2,64,https://p.scdn.co/mp3-preview/3b656b3f835e939ebde5953a33bd0fcfd8375651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,9 Milli,5WaJHn9WKdCJXJWnlYyeCE,Dinero,5ww4TnrPAbSUOE0kvRjuoB,9 Milli,6tLE6dlpuQZKbGf1NPsOSI,30,https://p.scdn.co/mp3-preview/00b466b63d55b1ea710afb578960f09758300176?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Hero,3iP4bhqGyUaNXHCzUY1H9v,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj,Hero,2COBcimCnIN5cf6pog18jU,56,not available
43,One Little Lie,1CtlK5ajs2MVmZyq3vrM3A,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,One Little Lie,14VYAGYdnzIPtV5F2JxfwH,53,https://p.scdn.co/mp3-preview/827b6ef3f82162146110df5f4b458f7ed07bd149?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Lovers + Strangers,7FCZhkhzEUVNUAlGauNKIe,Starley,02A3cEvlLLCbIMVDrK2GHV,Lovers + Strangers,25sQqb9Bw2zbBLXQGJwFRG,50,not available
45,J'essaie (feat. Soprano),1AMJBJNHSzUpe2RU4rzDSF,Zayra,2ggXIldcOmSx1GsrO5ytSh,Enfant du milieu,2tP88j4MV25cEEYdYhHUd9,29,https://p.scdn.co/mp3-preview/cd102377f5113d7837cb41042f3234b884bf6f64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,True,0JUvpb96oqeJepSqHnG0Cl,As Animals,0JXQLgr4hGwwUeodvX9Es9,True,4ESqeoLJLiKnmSqzCOspzQ,26,https://p.scdn.co/mp3-preview/28216b8fd735571d9cd153bdd6ed180eec86917d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,not available,not available,not available,not available,not available,not available,0,not available
48,Try (Again),7corBD3BR2Fw6FJRMc7mM5,Elior,6nqNMWk5m2szvUHB2OPpVa,Try (Again),1Yzp1Hf97vuLnKp816GCxM,27,https://p.scdn.co/mp3-preview/4c5530216e9e8db882b75317acfb9435b43b5bb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Let Me Know,3Yeey7zLzWwpyw83Ypwnlm,Winona Oak,3XC57xz74X3xUi1hv4mge1,Let Me Know,4yM1WvRo2WYOeSYKYJdknF,54,https://p.scdn.co/mp3-preview/1e1d6d0c0106e48e9a8bafbb0056531c99c8a8a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,My Trouble,7vt419ygTNF0BXbgMuVGAI,Elbow,0TJB3EE2efClsYIDQ8V2Jk,Giants of All Sizes,4EqYFNisfHX1IPA0IoaKI2,54,not available
51,Loin de moi,4V7msDhLfcDnSWG6uyfg82,Tsew The Kid,0SXZ0s0MoLOjw4Af6i3OGC,Loin de moi - Single,4VOC8NVp6DLocoVaM4hA0D,48,https://p.scdn.co/mp3-preview/6c3fcc81e18da29711a601b0aa9a768ab180b1e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,As Far as Feelings Go,2kJIiIqbzYVtv2iTpbQts9,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,As Far as Feelings Go,7wN2FvcizhjkzuT3MvAGZI,57,https://p.scdn.co/mp3-preview/4a55b845e8a8cce8771dc7bb0dcb92207ade2374?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Get Up,6Z6uKYM2G5d80iQsHzBzey,Terrell Hines,2jhjHaG1p2SMn6cDyhwhjQ,St. Mark Rd.,7kfxdR7gPu4gi82FVxUe14,49,not available
54,Flûtiste,0mW3IYYwGFoaa9x11pL1Fm,Maxenss,6WK6ZRBhoIRXA8xkAvhMKv,@ +,4L3ZsbSLvcMp1KpQUNf8wS,40,https://p.scdn.co/mp3-preview/d2e8532d1066b4fc86d4608e2060038ff40ae96a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Gang (feat. Doe Boy),3fJXyAeq8puoejzQ4sN3nI,Brodinski,0ZurilbRp6KwW6dpaw4pEK,Gang (feat. Doe Boy),3GB1pAedTcAQgUWnURlcs9,37,https://p.scdn.co/mp3-preview/986ca67139559c4730ed334e2aa2192d414235b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Find an Island,4DnKssL3N9jv5aox9Xsavc,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,Find an Island,6U473Cz67UE5kN5SVOTUif,59,not available
57,JEKYLL & HIDE,2kAadwXJH9Dr53anSQv1Xy,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,JEKYLL & HIDE,4nnaqKFmhU9KH6rloQ5Z8t,58,not available
58,Forgot My Name,0XLe9lABSsoTHYsYUEQHW7,Clément Leroux,3MttWEEoyq7W9MjHEBaKhG,Forgot My Name,6ZES15yrMSPIumHQLBOaOG,29,https://p.scdn.co/mp3-preview/969d7071abf574cb95a69227c5fad361249c4c84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,The Border,4nEc6pdlNp1pi9tvNQPrpn,Nicolas Godin,313G7P4CxkVyQGNFfxNOpC,The Border,3a6qjLLXCO2Ys8ZCWho8M5,31,https://p.scdn.co/mp3-preview/2cbb4c97b09cb4af1d43eb58378903e33ed2c0ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,about her. again.,1oUDoxQnYajdgtlzCMxC9C,Son Little,4lujUKeO6nQAJXpq37Epn7,invisible,0DABQ84K1LcuqoPXjm1pv8,41,https://p.scdn.co/mp3-preview/4d7e938b1c6a0b9d1b1a639ecb937de83b67561e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Puppets (Succession Remix),7vAkKCODYbpF2b6brNLzqo,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,Puppets (Succession Remix),045PA2kXlh776mWzZNqt5L,61,not available
62,Demons,0Y5nfKx3OnZWPIO0vHbinL,Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,I'm Too Sensitive For This Shit,2aH7vOX17njaGz6Th2e8kK,61,https://p.scdn.co/mp3-preview/e32a0ac823411d0319a78f8119c1b4b4a5e167ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Comme ci comme ça,1Hyvs0y1y37t0PoVQ5Xfi2,Hugo Nogam,3A08xhQd902eJmnI5U0bJe,Comme ci comme ça,18P1AoMivgRTCOX1hNmJzS,8,https://p.scdn.co/mp3-preview/c937c596a39238b1e9c0d579a9ff8263d1c69692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Murder in the USA,7bXpB0wXbhwTxsTKS3whQO,Aṣa,0upXUo04k4k8bGVSkmgrSc,Lucid,5MrD8oMLBfXR4zxhJGtQuZ,40,https://p.scdn.co/mp3-preview/2734762f1f4162e6e77b0b05a4557d3ffbd7bfeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,100K,2GnRjSoK4v6J1JdjGKwCJi,Leonis,4B5Y9RoKzJpDmHsZKQf0UI,100K,7z673E82nqNYj5T1AGacCx,42,https://p.scdn.co/mp3-preview/1c1e0e8e48c91815675c3e775b10b3519403eb52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Opie Taylor,57F0OIqDnhEIPBI6SHqHJI,Yelawolf,68DWke2VjdDmA75aJX5C57,Opie Taylor,1P61x2sHSn3gfzcoa63zpi,56,https://p.scdn.co/mp3-preview/f0cc2bcf33647dc164daa7a12d1412b4f4d96e90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,ULTRA,4ByL469JzDV3jcztvFlpCp,SEIN,3yzbFaV6xhSrprxo5ugMQk,ULTRA,5gFyMlYpgzKYAB15ly2iBp,30,https://p.scdn.co/mp3-preview/701439cb3e23111e83b30f0874e7fd2874e2cb45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Easy To Hate,3kOEOG3Du6XtJmSkB7pGaZ,Waterparks,3QaxveoTiMetZCMp1sftiu,FANDOM,7aKMsXKKABZQXKXjQaQHXG,56,https://p.scdn.co/mp3-preview/8178cccc7c263a81d93c18a51fd8bd3ea717d2d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Close Up (feat. Jeremih),3pBrHgHGWJ9NjbGKTFcroy,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Close Up,2lrafMFjWFWdYhwYUTsyWo,60,not available
70,Nathalie,5FNyaiWIWbryTds9ommMP7,David Giguère,5p1R7oow69gd6tiEypZG3B,Nathalie - Single,4zpxnxftzyFI972CshjuB9,24,https://p.scdn.co/mp3-preview/541b5671c00c6f631023565b687fd696d631bbe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Never Know,3DB6nZjOLxpjdv4k63RUlM,Bandit Bandit,0A1HmlpMHsKQXyXkwoS26h,Bandit Bandit,4FiQJEK61UyEDxyjMzwNgU,26,https://p.scdn.co/mp3-preview/cd41d486a29a4ea0073071881c449019e9b5b294?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,not available,not available,not available,not available,not available,not available,0,not available
73,La cadence,5FwAtMDHmSLRtBEg9USy4e,Cléo Marie,3gtDUwVKPPX56Gg4lRiWcQ,La cadence,6ArBecqH4kpLMZDmqWsgl6,27,https://p.scdn.co/mp3-preview/6ca4949133ee8a64632c5f09c92d1176868d3f16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,the end,5j7BSPFNuDiiszA2SZllTc,MisterWives,5ivCbtrcD5N4rD337xIb2z,whywhywhy…the end,3pATkUpixuB83NrGhnKVRg,55,https://p.scdn.co/mp3-preview/7bb81377e7b1b05201200a3ab6bb82ae6269fed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
