Merge Records New Releases,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
72,The Long Goodbye,1BoJp4BZ3IN5t7jTsJGK1T,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,Heartbreak City,3XtLSQsTcNjH9PihdZYFjc,9,https://p.scdn.co/mp3-preview/dd822efb9a246c9ebf339a6469c7d50877be1abf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Like a Fool - 2019 Acoustic,591J5rCR3mCVhYwFmyGGgb,Superchunk,7lmde7T1WJPFwv1eR6melP,Acoustic Foolish,6ExLlafO9yGceW8mvCBavO,33,https://p.scdn.co/mp3-preview/55f94e349eb518c8ffbf53d71b4d3473658ab0a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,The First Part - 2019 Acoustic,5JN5vSn54uWft2VXF23p34,Superchunk,7lmde7T1WJPFwv1eR6melP,Acoustic Foolish,6ExLlafO9yGceW8mvCBavO,19,https://p.scdn.co/mp3-preview/69f0ed3372eee7a3c65f34e1a7f63e2f93216a80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Water Wings - 2019 Acoustic,2tq7AtCBODeZag8W4mAwh1,Superchunk,7lmde7T1WJPFwv1eR6melP,Acoustic Foolish,6ExLlafO9yGceW8mvCBavO,17,https://p.scdn.co/mp3-preview/1b7e3f557b98d1c4bf7ce6d7d8576e889effb5ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Beyond the Door,5Msp117SsGFbkS5qfIB2nT,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,Beyond the Door,73I8SmxMX02xS5NxIyNb7B,12,https://p.scdn.co/mp3-preview/e5c98a7f454a7aed3cf067cac6cc10b5b3e78f33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Just Like Ringing a Bell,7qVg47zXd6QxaHOdt5F6N9,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,Just Like Ringing a Bell / Troubleman Unlimited,5yfoPek9HucLe3ooFtvgJg,25,https://p.scdn.co/mp3-preview/f557b7afd383b7d0aee115898a470ca682579499?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Troubleman Unlimited,1auSMNbNzYMxJwWhrtW3pB,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,Just Like Ringing a Bell / Troubleman Unlimited,5yfoPek9HucLe3ooFtvgJg,14,https://p.scdn.co/mp3-preview/cc4eb216db104e4de554eb9a18f42414041391b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Pay Day,1nhR7KIUkseo34qydXcNAU,Gauche,6GVrQ3dvXPc2VcEslMAgk4,Pay Day,1zIhUyCkOyRGo9aEc4c5de,22,https://p.scdn.co/mp3-preview/26bd6d7c6571dfa845f418d817671da8e8711477?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Actual Size,7z1fL1Y3nEoP1I6tLEk9cM,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,Actual Size,3p584k7t5MARTycFbtMmfO,3,https://p.scdn.co/mp3-preview/6b67613e3ede56e2a836da91a8f00b6b1f6d30b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,We Do What We Do Best,2GBP6cvwCoAPNUfxLE2cVZ,Imperial Teen,17VzpmwXT0Rd7EKaJB841P,We Do What We Do Best,2P5vDbBeJJZ7ZLpPHNlFbm,11,https://p.scdn.co/mp3-preview/e8b578c801690fcd3308aed15a8bbeca7d1f5d15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
