Friern Barnet Contemporary - back catalogue favourites,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Never Anyone but You,7EhlIaX4FHvslPFiMswXMM,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Bonfires on the Heath,21zSj4QEQEeCDvuPAicVKy,27,https://p.scdn.co/mp3-preview/2f55d33e0e1e62360bb6ef8efc0b1e2b5405abb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Jamaican Rum Rhumba,6RvQdxnxyGvbP9K5dfveKg,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,The Violet Hour,01nKX7wsvhk46gQyKudrZK,7,https://p.scdn.co/mp3-preview/6602d87eb6f7ea790ab69ec62ea323e79e216416?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,E.M.P.T.Y.,3b5Oyt5B0eArrouDCNvah1,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Strange Geometry,2SgCk9WUsc5lHB88K1L4ON,14,https://p.scdn.co/mp3-preview/ae090b637f08fe8f02e6ece73e7bf71203cb51b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Losing Haringey,3eCGiJNqqCQkR2Ni7PTqxh,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Strange Geometry,2SgCk9WUsc5lHB88K1L4ON,29,https://p.scdn.co/mp3-preview/fcfb5b8732ea1fcf4a6b17aac2f39aedaf0f0380?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Voices in the Mall,5iCSK7pFKLxtf93Zn7PMBl,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,The Violet Hour,01nKX7wsvhk46gQyKudrZK,10,https://p.scdn.co/mp3-preview/cc630c4e06aeb850db9fab301cb6166a6aa5fa64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Rain,4ofXiy1pGwe9Bju4HQz8Io,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Suburban Light,6zYPUszlWKpEDBJnRxjcWL,23,https://p.scdn.co/mp3-preview/5a8025325dc475e80d68644194430e5924ac638d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Lamplight,1TkKhVGabEBFTxfT1linI8,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,The Violet Hour,01nKX7wsvhk46gQyKudrZK,6,https://p.scdn.co/mp3-preview/14d64386d8d263fdcc7a2de5c981583f7a2683fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bicycles,56FpJWZzIDufDxVFKgT36W,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Suburban Light,6zYPUszlWKpEDBJnRxjcWL,16,https://p.scdn.co/mp3-preview/35748736f33e7ba3128d0417f1e41e3a29eff8d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Joseph Cornell,0QRsTcQydMi6HeR2IcXXsy,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Suburban Light,6zYPUszlWKpEDBJnRxjcWL,36,https://p.scdn.co/mp3-preview/b5030b7f3a938b789b7a98a49e2f0871472014eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Kelvin Parade,6N94grLIAA3gTWhykwF3CC,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Lost Weekend,5PwvNI9gM7ajT8HQHS1aEY,4,https://p.scdn.co/mp3-preview/cb16bec83d27e5be90511a1262c358a4db41d0c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Sea Inside A Shell,0DLYOVaIrlwhKhRZLr7TbX,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Ariadne,0AAuQsIouNi7S7TRxhCvnr,2,https://p.scdn.co/mp3-preview/b4d4e9aea2b432cbb5b2f3b32cf0535861c3b6d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Where the Universes Are,2558X0FxacvqQCKTh2hd6v,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Old Enough to Know Better: 15 Years of Merge Records,0rEg13JDg9mYADlX47Rt05,3,https://p.scdn.co/mp3-preview/81cae5bd2da49349e33759047f5be0c49b69df03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Saturday,4aQkgSBs8BgtDgjf09XE9z,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Suburban Light,6zYPUszlWKpEDBJnRxjcWL,20,https://p.scdn.co/mp3-preview/d9151298f79e63fa2c0ae12e561da335c60107ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Lunar Days,3ys4X6Xf7ZBC2GpnkUU3XP,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Lunar Days,40GtkSHvGF4gUV7HcgDKoG,0,not available
