Tracks of My Years (BBC Radio 2),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
54,Closer to Fine,7rKyITVLEwldhdXIy7P6Vw,Indigo Girls,4wM29TDTr3HI0qFY3KoSFG,Indigo Girls (Expanded Edition),1rkuKm5mDoauq9XKjRV94x,58,https://p.scdn.co/mp3-preview/0aed7317784db432ee2ff392182697a94864fd5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Going Underground,2rs0JKFm7CjovNlfYI62cv,The Jam,2P560DaOMNDUACoH8ZhOCR,Setting Sons (Super Deluxe),1zTtFTshqEUEHZwN0n8wIx,6,not available
56,No More Heroes - Edit,538mXDqJFhIUmcSDYxrRbz,The Stranglers,0RUEHcBiENFEqxgicqS2ig,The Collection 1977-1982,3zLQ91RSvlMXoaHcOxU4T7,24,https://p.scdn.co/mp3-preview/c94f0ea89084c5f298ca9cde8e9a4f19ea23dfeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,"Please, Please, Please Let Me Get What I Want (2008 Remastered Version)",1hE4yfhNyXGQ3cadGa3Bgf,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,The Sound Of The Smiths,283KicICAkkKPsku8XG2X7,0,not available
58,Shake It Off,5WfhXulggG0c6WoVeMPA8N,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,6w36pmMA5bxECalu5rxQAw,19,not available
59,Cloud Nine,6scbeiZeHaaXG91ProyKhi,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,Psychedelic Soul,1ywcAmu4Z7tQd4OWECYt7F,0,not available
60,Then I Met You,6qcCyYolb7SH21nWfJqONT,The Proclaimers,1A92IAcd7A6npCA33oGM5i,Sunshine On Leith,5sK78apv4yOoXjxRL4kOdJ,44,https://p.scdn.co/mp3-preview/94d90b874b4b53488f9b1d0a436c5a267d3fd99b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Dear Future Husband,3cU2wBxuV6nFiuf6PJZNlC,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,Title (Deluxe),5W98Ab4VvQEuFEE4TIe5fE,72,https://p.scdn.co/mp3-preview/c6b59581df7d714784e538eeb198934990934c3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,"Ob-La-Di, Ob-La-Da - Remastered",3fuEJBCK3kWnJHFTODR4cb,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles (Remastered),03Qh833fEdVT30Pfs93ea6,14,not available
63,All Right Now,5CjVzwMUI6j5Y8PlfJauvf,Free,2e53aHBQdCMKWqHDuyJsjC,All Right Now: The Collection,2YXPcawKf7oVPPaDgVRP3M,36,not available
64,Eleanor Rigby - Remastered,77f3aNeabAbOaSB32Sd5QE,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Revolver (Remastered),0PYyrqs9NXtxPhf0CZkq2L,19,not available
65,Unforgettable,3eQwtgoiVKbaYuX0ITe2fU,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,The Nat King Cole Story,3NoP1ifIejWkGSDsO9T2xH,48,not available
66,Back To Black,2s4BsyV3KhhrtsdtNfzoqb,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black,6GJCGWfI95aeRsdtVB52vc,22,not available
67,Bohemian Rhapsody - Remastered 2011,1AhDOtG9vPSOmsWgNW0BEY,Queen,1dfeR4HaWDbWqFHLkxsg1d,A Night At The Opera (2011 Remaster),1TSZDcvlPtAnekTaItI3qO,30,not available
68,Every Breath You Take,16fzReMJmcLlBccnZCTZNS,The Police,5NGO30tJxFlKixkPSgXcFE,The Very Best Of Sting And The Police,5vLIfhDpTmdyQ0YrlnXzSr,16,not available
69,Fame - 2007 Remaster,7qVOasZcHa4faF1TqvPEKF,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Young Americans,3VHW81P7SsBqPBGjiCJRXj,9,not available
70,Start Me Up - 2009 Re-Mastered Digital Version,6ml6iL8HUdQKgtMaehAZc8,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Tattoo You (2009 Re-Mastered),1YvnuYGlblQ5vLnOhaZzpn,20,not available
71,I Still Haven't Found What I'm Looking For,3NldGYmhDLK98kOOo4J1lg,U2,51Blml2LZPmy7TTiAg47vQ,U218 Singles (Deluxe Version),7k7aHoW1MGWWQR0KXvswkx,10,not available
72,Tiny Dancer,0a93gOQyRFfc2tVtup7JVP,Elton John,3PhoLpVuITZKcymswpck5b,Rocket Man (Deluxe Edition),1vsWzNT3lzLt7RNLUdUVZB,17,not available
73,I Saw Her Standing There - Remastered,63nTBScSLXWwyeizXi9Rmi,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Please Please Me (Remastered),7gDXyW16byCQOgK965BRzn,18,not available
74,50 Ways to Leave Your Lover,6Qb7gtV6Q4MnUjSbkFcopl,Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,Still Crazy After All These Years,4A366gjTrYQwmRtkTezF2W,70,https://p.scdn.co/mp3-preview/b82d798743c8fae13ce9ba649805a39375569222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Hallelujah,53WvxLXUctRrnuGDXlArF1,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,The Essential Leonard Cohen,5LJGbDu2Ej6qykIZ0CDZdT,0,not available
76,Rasputin,5lWSa1rmuSL6OBPOnkAqoa,Boney M.,54R6Y0I7jGUCveDTtI21nb,Daddy Cool,155cebHEGGBqYJAXKWJw6D,65,https://p.scdn.co/mp3-preview/b45b7088036c20d5790f64afca2a1b416c5cb707?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Tilted,6lL22DLq2riNjSaFQLSvdw,Christine and the Queens,04vj3iPUiVh5melWr0w3xT,Tilted,0RSpIfOBhaPpKoxl71Kwu9,4,not available
78,Hungry Like the Wolf,5pIaAkHJ928V2LGCz79FgQ,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Decade,4P6rgSkSEXFGrpTk9NZUAj,51,https://p.scdn.co/mp3-preview/bceb1f048afe49dc6db3fc27924ef2b6c432cd57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Starman - 2012 Remastered Version,5AIYDx0HUjra5Bn0vZtjmd,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version),0745mDdMqet9J5nO5x7IQS,14,not available
80,Waterloo Sunset - Stereo,3nCFItCEHlprmPQiDaNlkM,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,The Ultimate Collection,0OW9cVAZjWakByTLSGfrd2,4,not available
81,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,57J2znxukXsXzS3XPuZ1TG,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones Singles Collection: The London Years (Remastered),1YYEC5hLwDbQPtErSBD223,10,not available
82,Mr. Brightside,0eGsygTp906u18L0Oimnem,The Killers,0C0XlULifJtAgn6ZNCW2eu,Hot Fuss,6TJmQnO44YE5BtTxH8pop1,19,not available
83,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,X&Y,4E7bV0pzG0LciBSWTszra6,82,https://p.scdn.co/mp3-preview/b1640815319b2df5ddfac27a28f016319a281468?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Dry Your Eyes,3PEx44by2Pe7E6M8tgqE5N,The Streets,4GvOygVQquMaPm8oAc0vXi,A Grand Don't Come For Free,365ETCJBUmEWroc4UGBS1u,56,https://p.scdn.co/mp3-preview/7331ac618622630033c5ffd3c99e686ef5b6982d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Everybody's Changing,216S5ED9SNRWaHWVjSJGyX,Keane,53A0W3U0s8diEn9RhXQhVz,Hopes and Fears (Deluxe Edition),5QqVXRTiGpLgmo1YNoz9Bk,17,not available
86,Handy Man,70aUjWZmd9F3bRSsR4DwAJ,James Taylor,0vn7UBvSQECKJm2817Yf1P,JT,0Pbc9Jq12a47mQ1z9yIuhn,53,https://p.scdn.co/mp3-preview/da8262bb70720bb02aa2c743b077e1c17580d8ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Hey Brother,3zKST4nk4QJE77oLjUZ0Ng,Avicii,1vCWHaC5f2uS3yhpwWbIA6,True,02h9kO2oLKnLtycgbElKsw,21,not available
88,The Way It Is,6V50MyHPGhEmwYu0Wdyf0t,Bruce Hornsby,2iM28IgKg89v1o7BTQAVPo,The Way It Is,243jhZJtyIZtEkrD6vhRLn,68,https://p.scdn.co/mp3-preview/d87641869fb1c6b8a341e83a9dea111ec0e0e3da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Fireflies,1mr3616BzLdhXfJmLmRsO8,Owl City,07QEuhtrNmmZ0zEcqE9SF6,Ocean Eyes,5Afh5z6eTtJ62nfqpKZtGv,22,not available
90,'Til Next Market Day,60Dg9B7OFtXktKvMUeXLN8,Damien O'Kane,0rDGOgOmsA1itxFEhFfZCK,Areas of High Traffic,21bjmkFObgMb7DkX6QNb3H,10,https://p.scdn.co/mp3-preview/3b86d8501331357ad1739d72e1a0aa47312a7fd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Lovely Day,5pKvHoHL75csBTMxfv4AzK,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,Lean On Me: The Collection,2cKG9ycT87RUYUZfuAbThV,7,not available
92,Piece of My Heart,2GbePPrWWSRxcmW6QRSPae,Erma Franklin,1CzJJJb6hnx84VNhgaJmFG,Erma Franklin: Piece Of Her Heart - The Epic And Shout Years,3GykoJmCI2qmvrgi8zQ7XW,53,https://p.scdn.co/mp3-preview/358e52e018d535ed6cd2a9839773fa6de6fe0388?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Ben,3DUNaBEHqpXsrY7sXWlWpX,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Ben,3ptDrRzgad76DCVrxtC555,5,not available
94,The Night They Drove Old Dixie Down - Remastered 2000,2x0supcZhd6NEH1nem9DnR,The Band,4vpDg7Y7fU982Ds30zawDA,The Band (Expanded Edition),0nPrnmv6maJLLaPpy1cWGB,64,not available
95,Streets of Philadelphia - Single Edit,0oVSvrU612xkj7vbvbUAT2,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Greatest Hits,50OBIvFZb1J8Cz5hyyHJdj,25,not available
96,Dedicated To The One I Love,0wHYsyLTqA3dyHiK2oMdQA,The Mamas & The Papas,1bs7HoMkSyQwcobCpE9KpN,A Gathering Of Flowers: The Anthology Of The Mamas & The Papas,4fbtlsRVlRsef0qLL82T9Y,0,not available
97,Crazy,2fMu7Hq9g8lwEbEoh38C6H,Patsy Cline,7dNsHhGeGU5MV01r06O8gK,The Country Album,6pBnWnihBwMn1tFiOuSSQv,16,not available
98,Take Me To Church,2CLtQ937VJcxhMpiGLB7Jy,Hozier,2FXC3k01G6Gw61bmprjgqS,Take Me To Church,5icEFnaG3H4LxXfWALI9C9,3,not available
99,"After Midnight (with J. J. Cale) - Live at Ipayone Center, San Diego, CA, 3/15/2007",44kdekrsE0BhlBWjA2nN6Y,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,Live in San Diego,3eGHhpICuytpKNL1CBluOU,41,https://p.scdn.co/mp3-preview/eeb3369e6030d5aefc28771cb5856d3af64c913f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Georgia On My Mind,4PKRAcbN8aPrgzFe0kOxRx,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,Georgia On My Mind,3XKYSvPAmrCVaFs4gzr1Ig,57,https://p.scdn.co/mp3-preview/f3288756f953ca1960f1fb6532831ba883d0fe31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
