Nile Rodgers: The Hitmaker (BBC Four),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,La vie en rose,1DMvKXzxoP9LWT7ymJUoBE,Grace Jones,2f9ZiYA2ic1r1voObUimdd,Portfolio,5fGRMA9UijvK3antxj6mah,5,not available
22,Love Don't You Go Through No Changes on Me,2zlsapPezkv8zYuQxYUORp,Sister Sledge,6gkWznnJkdkwRPVcmnrays,We Are Family - The Essential Sister Sledge,301hOmy7iUqutT7MMrBHR8,8,https://p.scdn.co/mp3-preview/dd798dfe1dbf3db2536b6805494af49c2f7f0de2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,He's the Greatest Dancer - Edit Version,10SfRsGOylSFoJEmGWeM1Q,Sister Sledge,6gkWznnJkdkwRPVcmnrays,We Are Family - The Essential Sister Sledge,301hOmy7iUqutT7MMrBHR8,40,https://p.scdn.co/mp3-preview/e09c083c5aa6178b9e46559197ef92097aadcfb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Upside Down - Single Version,0mfuLe4ieDy2ijx6dd9X4d,Diana Ross,3MdG05syQeRYPPcClLaUGl,The Greatest,72TbL8ZXa1CbJLLwHpOPxw,0,not available
25,I'm Coming Out,0ew27xRdxSexrWbODuLfeE,Diana Ross,3MdG05syQeRYPPcClLaUGl,Diana,0Gy4phN6Xwx4uyskE7Wkls,68,not available
26,The Land Of The Good Groove,00tXkpgOfkHkVhWIUHylbp,Nile Rodgers,3yDIp0kaq9EFKe07X1X2rz,Adventures In The Land Of The Good Groove,0cQRGxbQARruNlcJps7rhv,25,https://p.scdn.co/mp3-preview/c8c29f334631df6eb59982c57e2568b13016d258?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Modern Love - 1999 Remaster,7LyIoUsiMtelB1I0I4drEF,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Let's Dance (1999 Remaster),37KYBt1Lzn4eJ4KoCFZcnR,60,not available
28,Original Sin,7pSzRRMaPXA39wvrnvdmSH,INXS,1eClJfHLoDI4rZe5HxzBFv,The Swing (Remastered),2fxoua5j7qfLmQGkf1TPIN,5,not available
29,The Reflex,0OsWMTxDjtpmJjX43113oq,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Greatest,7xbWtTByfdMWFfxXmeFFl0,50,https://p.scdn.co/mp3-preview/5306b854897bced8fbaa1de643e17fd20339cffd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,The Wild Boys,23M7cQkNJLiddeubvVgaQl,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Greatest,7xbWtTByfdMWFfxXmeFFl0,55,https://p.scdn.co/mp3-preview/124699b6cfa28b4b6763c4671140fd7caaf12515?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Notorious,1stJclD9IGUbxtUnl8CzG3,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Notorious,0XDQSfVgj5DM0P6w9qKQqP,38,https://p.scdn.co/mp3-preview/e427126c02130b5565419c0d138b028f8b0370d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Like a Virgin,1ZPlNanZsJSPK5h9YZZFbZ,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Like a Virgin (Reissue),2IU9ftOgyRL2caQGWK1jjX,72,https://p.scdn.co/mp3-preview/693e9d74bf04462da738351385fdc225cc465edc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Material Girl,7bkyXSi4GtVfD7itZRUR3e,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Like a Virgin (Reissue),2IU9ftOgyRL2caQGWK1jjX,56,https://p.scdn.co/mp3-preview/30db8fc8c671086dd736d8cb1a7283701ad4d43a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Roam - Edit,0jfONt56vckywtWwm8wjki,The B-52's,3gdbcIdNypBsYNu3iiCjtN,Roam [Edit] / Bushfire [Digital 45],358HXGRtcfbe1WSVPAuyCS,47,https://p.scdn.co/mp3-preview/de59d82cc147642543a65f896964dad66601c4dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Higher Love - Full Album Version,1IN6gfyWJwklwgzk1mGZWr,Steve Winwood,5gxynDEKwNDgxGJmJjZyte,Back In The High Life,5Q7kkDTCQen9J0GJkrZY8K,6,not available
36,Don't Stop The Dance,2bTe1fvWK8mfjSP6NqXDzU,Bryan Ferry,5RNFFojXkPRmlJZIwXeKQC,Boys And Girls (Remastered 1999),3SsNd5MeJKc1IK3nazaWg2,57,not available
37,Soup for One,2Rr4ZOnKXUrzjhMPkmkRjK,CHIC,0Xf8oDAJYd2D0k3NLI19OV,"Dance, Dance, Dance: The Best of Chic",0XRRSLnVrtXMI6cyVCacjd,54,https://p.scdn.co/mp3-preview/82455847adaf19be88335245f57aedbc701c1d77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Some Like It Hot,6y33kTJ0GZqgCryQzoyDxa,The Power Station,1EemADz12kjlGwkpY4EINv,At His Best,74em7MoNhD7OC82JxFc9NN,15,not available
39,Chic Mystique,2GPWFMNF6CJQKD8g23qQsh,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Chic-ism,3aJ4lFauoknfKP9FkkVH5w,33,https://p.scdn.co/mp3-preview/0ab96ef1587d850287e9e755ff9c2417bdce94ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Rapper's Delight,6pxXNGfymt03wkLEgMB6mt,The Sugarhill Gang,7zliF6Q946WznVk3ZMYhZX,The Best Of Grandmaster Flash & Sugar Hill,3VWYz2n4gMp6wh9FPp1hxx,3,not available
41,Mo Money Mo Problems - 2005 Remaster,4h1T8pUzl9VtudWWlVAxxz,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Bad Boy's 10th Anniversary- The Hits,46JQVqJpOg8opDLUl1qHT1,51,https://p.scdn.co/mp3-preview/271f00824c9a2ed12f3ffb105d3a3d181e4251a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Gettin' Jiggy Wit It,0weAUscowxeqDtpCgtbpgp,Will Smith,41qil2VaGbD194gaEcmmyx,Big Willie Style,2esWeP8Ln1sXA0jbDmi3Zq,71,https://p.scdn.co/mp3-preview/46576be464f8b45bf713700b0fc72de76ee74f9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,At Last I'm Free,2dR9UXolSy45vTgwP1rs1o,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Good Times,0l4smZHjrd7cei7oqlDijR,0,not available
