Turning The Tables,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Coat of Many Colors,1l2Xmg54EUr3TDzNIaCr1z,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Coat Of Many Colors,17CT6ru3CyDXAi6xVaSUzg,56,https://p.scdn.co/mp3-preview/051d54564b2dc343ee4688fe3e09591e1f0a441f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,On & On,0tNuJpBgtE65diL6Q8Q7fI,Erykah Badu,7IfculRW2WXyzNQ8djX8WX,Baduizm,3qr4pTBWEU1SVf01j6RAx3,68,not available
12,Like a Prayer,2v7ywbUzCgcVohHaKUcacV,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Like a Prayer,48AGkmM7iO4jrELRnNZGPV,62,https://p.scdn.co/mp3-preview/274e7167b6222fc3f8e167bf036c7286bf265f2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,How Will I Know,5tdKaKLnC4SgtDZ6RlWeal,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,2MH37enG6IPvNK5QFLyKes,70,https://p.scdn.co/mp3-preview/4cfd0ab2b770e37313275d37788f687992b0ee17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Baby Love,5uES1C2NgkdrNHiCwf9jRr,The Supremes,57bUPid8xztkieZfS7OlEV,Where Did Our Love Go,05pI1Rx1HQ4KA0a0e3PJlV,71,not available
15,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours (Super Deluxe),0BwWUstDMUbgq2NYONRqlu,80,https://p.scdn.co/mp3-preview/40d1f6d82f16b05b62aae47e8e130de04b407fc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Car Wheels On A Gravel Road,3xK3kouv9m87JOXqfiPcIi,Lucinda Williams,60ht0hWRy1yjUDfNsLuHuP,Car Wheels On A Gravel Road,074Kr9hvgYLxCWiVhcWT7x,36,not available
17,Bidi Bidi Bom Bom - 1994 Version,7bZtI85x9Vw2t6EkvILqkr,Selena,6IE6z7DcZIT4Ml3Fh5Ivch,Amor Prohibido,6iv9WTw1nhNxSsgKaxMp4E,58,not available
18,Be My Baby,1WN4uNclrDuczTO3bCr8s1,The Ronettes,7CyeXFnOrfC1N6z4naIpgo,Presenting the Fabulous Ronettes Featuring Veronica,0CoNLgOwcZGBUSwd9fAZuy,52,https://p.scdn.co/mp3-preview/4cc65df2093b5e80f8f7629525adac09f2510e04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Man-Size - Sextet,7basDIxL6qM7v0N8NP1bGo,PJ Harvey,12VaqyEhgwDRuFfEqbnrpz,Rid Of Me,2fDJpBJhtloxzUENHlU9JB,27,not available
20,Smooth Operator,3nj43eJ93sld7RHsIegCUI,Sade,47zz7sob9NUcODy0BTDvKx,Diamond Life,5TTXVCaXtdie8SehZ7R4Sa,52,https://p.scdn.co/mp3-preview/2c49719df25ec0d282f513e3b6bd8fca8da1d7a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"Mary, Don't You Weep",7hqesNgWCx8NZTHl4MXkPF,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Amazing Grace,5pIUimaQ6XePPXbMUi3te0,36,https://p.scdn.co/mp3-preview/77b9da4a0014061443e8686cba663e7acf71021c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Coal Miner's Daughter - Single Version,3mM14WXoPaLRjjkmxHe99L,Loretta Lynn,1FE0rls8gfQT3laAeRYNgl,Coal Miner's Daughter,2SayIIdZkrtb9I4BbdnyOr,56,not available
23,Little Plastic Castle,1XAY4zlJWqJl3d6Eqy1A7q,Ani DiFranco,0AiTwNtYX8m4uhfU7rJ8RD,Little Plastic Castle,68ftrFpQIkuZJ1m6X3bbZt,39,https://p.scdn.co/mp3-preview/5ebffb5a944a17d9216a1a714f83c7765835c116?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Case of the Fake People,2qeNNimhRudfmRXMnY3eov,TLC,0TImkz4nPqjegtVSMZnMRq,Crazysexycool,5eg56dCpFn32neJak2vk0f,38,https://p.scdn.co/mp3-preview/b611e7d3355d1f0813d522adbad176064cdf09d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Crucify,0W4BtjtJcS4G1WWgKo1XUD,Tori Amos,1KsASRNugxU85T0u6zSg32,Little Earthquakes (*),1pFUGy3ABpLRRE3oNMPbDb,40,https://p.scdn.co/mp3-preview/bbda73050959b12a2da0fd78976a08191cdc764a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,I Want a Little Sugar In My Bowl,3NcJu9876GBJuNU6vJOrbb,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Nina Simone Sings The Blues,12aKG91Tj6hJFOe90TzcX2,51,https://p.scdn.co/mp3-preview/5df5068f372d70bf47aeac9a878f86f10e882ec7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Hand in My Pocket,3ArPxT1Wt0Yse6kBeCqGFe,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,Jagged Little Pill,09AwlP99cHfKVNKv4FC8VW,46,https://p.scdn.co/mp3-preview/d7fd14e3b65e0f8b8b747dc8e490f2f0a9ca8191?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Lovesong,2rnvHrNnkWMcAkl4S1WlRg,Adele,4dpARuHxo51G3z768sgnrY,21,1azUkThwd2HfUDdeNeT147,60,https://p.scdn.co/mp3-preview/f9397058c2f072c2ff000040f9a2f5c0eceffb6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Fuck and Run,4MSdFtD1JPc2W3J13uJPeS,Liz Phair,2LXeJdQVcFkhkWydphLI74,Exile In Guyville,5x0AM9gvJVchXJo7EYuGxb,3,not available
30,Hyper-Ballad - Family Tree Version,4z1fNs2B7KndCsvyPgrhq5,Björk,7w29UYBi0qsHi5RTcv3lmA,Post,2Ul7B1LEHxXzYubtkTMENs,47,https://p.scdn.co/mp3-preview/0b15eaa6584db6e2af56c9ec292e0f89583742da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Ladies First,3kILO5HNHQ1UaLRZPQYQwz,Queen Latifah / Monie Love,7E29xlAu7QeI6vwJHw58sG,All Hail The Queen (US Release),0rZhAzQ9uv5fyrgVmOuAVh,0,not available
32,Sunday Girl - French Version,5v6VaqC8b4P7NcKb45W77j,Blondie,4tpUmLEVLCGFr93o8hFFIB,Parallel Lines,4M6s2jbhKWEcOdXZ8WiHts,35,not available
33,Pull Up To The Bumper,28aRF5Qb0TBKFFa0KIsufd,Grace Jones,2f9ZiYA2ic1r1voObUimdd,Nightclubbing,33i9WgfiYnTAlIsD06wkAF,47,not available
34,Running Up That Hill (A Deal With God),75FEaRjZTKLhTrFGsfMUXR,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,66,https://p.scdn.co/mp3-preview/a5ac1546e317ecd888fdf2fb7b7f015e24f841f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Chevrolet,3DjrlIeC2WLWMeIYLMlfpk,Odetta,2wkz8hACugzAvF0voupg3H,It's A Mighty World,4Qo4uoBhXbdDaKijJLP2CR,4,https://p.scdn.co/mp3-preview/3ef77273abba199741da3b2819485ed398fa1c3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Elvis Presley Blues,61P1PWElJfgK4JUlBZiOkA,Gillian Welch,2H5elA2mJKrHmqkN9GSfkz,Time (The Relevator),55FP2ypQcghszSqylyBRbp,41,https://p.scdn.co/mp3-preview/b1e14c84b9201bbcbf90b39cf7d06054c49f4bbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,I'll Take You There,7sxTjnPqokxnHlLrZorBK7,The Staple Singers,7xGGqA85UIWX1GoTVM4itC,Be Altitude: Respect Yourself [Stax Remasters],5p37E64oAYyCKVSW5Kg9Z0,40,not available
38,Fast Car,2M9ro2krNb7nr7HSprkEgo,Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,78,https://p.scdn.co/mp3-preview/d7c7088e15ff83fd4352fa675f52e29986671b0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Midnight Sun,77o7zir9BhWu2SWKaEavvZ,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald Sings The Johnny Mercer Songbook,5VJsQkXJzKppUdjQCa07QX,15,not available
40,Paper Planes,1kusepF3AacIEtUTYrw4GV,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,Kala,1Lymt1abGCr3J06bbnmWca,70,not available
41,Crazy On You,5zH710lFSLtkHbMkslLDjR,Heart,34jw2BbxjoYalTp8cJFCPv,Dreamboat Annie,2N0AgtWbCmVoNUl2GN1opH,67,not available
42,Son of a Preacher Man,7odHgoLFi3GQ90E9PeraI3,Dusty Springfield,5zaXYwewAXedKNCff45U5l,Dusty In Memphis [Deluxe Edition],6SNMenG3NjZyqgI5p4Hcmg,63,https://p.scdn.co/mp3-preview/50c7d07d328bef41779c0ba409a185ea178c6d6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Where Will I Be,2A6ygE592DfRoDsJ7l8RfQ,Emmylou Harris,5s6TJEuHTr9GR894wc6VfP,Wrecking Ball,3S2rjqCFfpvZKqGcVkHjDP,41,https://p.scdn.co/mp3-preview/1f285d5607cc6d968a3534fe871392f17f8b26fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Bemba Colora,2WWTHjU0YuSOl294tHFJPA,Celia Cruz,2weA6hhVqTIN2gSn9PUB9U,Son Con Guaguanco,48GRWbSztz90V37eXpNwhd,0,not available
45,Something's Got A Hold On Me - Live,1xcqNyhmzVmKsNW0xhHCYR,Etta James,0iOVhN3tnSvgDbcg25JoJb,Rocks The House,30BQXLrtJgNuZszXWEJbQQ,0,not available
46,We Belong Together,3MKSJZnui9nXZoClgpJT2t,Rickie Lee Jones,0dYkMe3wK29DulSa0uR8Rq,Pirates,22TMqh5beK00rWO5nm0Xf6,27,https://p.scdn.co/mp3-preview/d30a0b73f670892488484046c247d3d8c0909bf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Doll Parts,49t1GWE6ZiEoBgN92oMDdM,Hole,5SHQUMAmEK5KmuSb0aDvsn,Live Through This,2Rwf2nPYZQ9aIe4QXACTC7,60,not available
48,Nick Of Time,1gqk2dawfdLdn4XamF27cx,Bonnie Raitt,4KDyYWR7IpxZ7xrdYbKrqY,Nick Of Time,6wxpS5o0ty5CLqyH5fIRln,52,not available
49,You're No Good,23DZLSxCK6kM8FF2RlzKDl,Linda Ronstadt,1sXbwvCQLGZnaH0Jp2HTVc,Heart Like A Wheel,7upKDUGJUjsvfIe6vuVB0b,59,not available
50,These Days,2ZRBKVRMQ9OK4EeTaMHHSY,Nico,0IwlY33zbBXN7zlS9DP2Cj,Chelsea Girl,48F2kUB0xFkajs3zKUEzHv,9,not available
51,We Got The Beat,5kz9GDBTX846OXwqWoyKzF,The Go-Go's,2mG8HHQ9S9kcbjcrb5N1FE,Beauty And The Beat,1L4HE00En7eNK74voVZums,59,not available
52,Identity,6Rdj8Y0tzJn9j3FWziC00O,X-Ray Spex,5BgWMOdEUJYdUBH3WXfMWt,Germ Free Adolescents (Deluxe Edition),0r8bhn1a4FgoDjSVI7GSf5,16,https://p.scdn.co/mp3-preview/f3cd036274ee3f5856c1f3c67b569ed831826b08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Real Love,3XG801WWhqC753dekEBkMt,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,What's The 411?,5Q3xLiKnY4ShDuQda7qfg2,65,not available
54,Lady Marmalade,17VWTx7LD7liGlpnlGhUbn,LaBelle,3DznKagEU8yMQZR9z33Da5,Nightbirds,5Zx4eUC5dTg6aufiSLQ6uo,49,https://p.scdn.co/mp3-preview/e713e0afe69929a8c871b2d770accdad4cba26c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Closer to Fine,7rKyITVLEwldhdXIy7P6Vw,Indigo Girls,4wM29TDTr3HI0qFY3KoSFG,Indigo Girls (Expanded Edition),1rkuKm5mDoauq9XKjRV94x,58,https://p.scdn.co/mp3-preview/0aed7317784db432ee2ff392182697a94864fd5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Precious - 2009 Remaster,5JPVMGYrYNhTJhWwHJzTMH,Pretenders,0GByy3DcfbQwDvXGCWmzv9,The Best Of The Pretenders (Digital Version) (US Version),5HCWZgAPmSKejcpKCOfq4P,23,https://p.scdn.co/mp3-preview/54675b66c38a08fe010bf239b2d435856793c721?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,"Bills, Bills, Bills",1Oi2zpmL81Q0yScF1zxaC0,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,The Writing's On The Wall,283NWqNsCA9GwVHrJk59CG,66,https://p.scdn.co/mp3-preview/5947a78d5f8dbf6cd776b9fef4aedda4c406f8ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Wide Open Spaces,6cjwec9ii5uLK7CDfPBYt1,Dixie Chicks,25IG9fa7cbdmCIy3OnuH57,Wide Open Spaces,11Rni6y5dnNo6NRVuxltIj,66,https://p.scdn.co/mp3-preview/9e35e179f617c70530b26681b5b9498e18fda8bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Like a Virgin,1ZPlNanZsJSPK5h9YZZFbZ,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Like a Virgin (Reissue),2IU9ftOgyRL2caQGWK1jjX,72,https://p.scdn.co/mp3-preview/693e9d74bf04462da738351385fdc225cc465edc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,Spice,3x2jF7blR6bFHtk4MccsyJ,80,not available
61,Come On In My Kitchen,5neSh8UdSA8WoLalDNbDka,Cassandra Wilson,6TZ5t4kclsmGWHqb3mGyha,Blue Light 'Til Dawn,6YZALitmuH7HYCvfjzP6dX,22,not available
62,Pata Pata,4S4dCACmtuPWbhvMSfDXqN,Miriam Makeba,18RkLKfeoUgZflWv9os25W,Pata Pata,7AMXlfKBuhRB5wBXpsVUPO,9,not available
63,Black Boys on Mopeds,04aKChClEUxFBCdOG1rNCC,Sinéad O'Connor,4sD9znwiVFx9cgRPZ42aQ1,I Do Not Want What I Haven't Got,34hQFIwGTLf03BZQmGL0iy,33,https://p.scdn.co/mp3-preview/502fa0cdfca68c425b72b4ae9c82cde6edd72a2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,I Don't Have To Crawl,5pgEDcwYwB4e57X2vsam0d,Rosanne Cash,6lx6XS8umFqYRVbBErx9fE,King's Record Shop,4jTw2WiVJ4eJshlpMy5aSl,7,https://p.scdn.co/mp3-preview/2017af11860b3e7eff720091699e708089a24e53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,She's So Unusual,1FvdZ1oizXwF9bxogujoF0,77,https://p.scdn.co/mp3-preview/7a91e696b3f362ff96b3c9dfc3c6d4a34127459b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Edge of Seventeen - 2016 Remaster,5LNiqEqpDc8TuqPy79kDBu,Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,Bella Donna (Deluxe Edition),3S404OgKoVQSJ3xXrDVlp8,62,https://p.scdn.co/mp3-preview/8a7059e2f27a1d160f7e4844e479f887e5900cd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Push It,0TT7wJiEYD5GAeJfSR1ETX,Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,"Hot, Cool & Vicious",1zSDLZLSN9nEJwmkrahZkl,15,not available
68,Cherry Bomb,7cdnq45E9aP2XDStHg5vd7,The Runaways,5eTq3PxbOh5vgeRXKNqPyV,The Runaways,5DVNCzpvDrSEIFiU7hm8ey,67,not available
69,Fairytale in the Supermarket,5oXm58OdnsRPy2wyz3ES5u,The Raincoats,4t7bXPFEPe0pu1ozhdDLOp,The Raincoats,190Tx9jPHndq0qUlq79BJJ,36,https://p.scdn.co/mp3-preview/3b69ba06244e8f11af651b55e251a26b3652d737?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Stand By Your Man,2Cb2l4UoXynCHCeCYHRZN8,Tammy Wynette,1LFKKuzn302wp15dYH28id,Stand By Your Man,1m4lP2IzV8Z1oEUYMHMClr,55,https://p.scdn.co/mp3-preview/e3c0a64c204f6684e2127f9b746b616fe5208228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Pilentze Pee,1npXx6gwd9ZLUPHmjUo5cR,Bulgarian State Television Female Choir,5j3PVTaVrMlssk4IC0kumd,Le Mystere Des Voix Bulgares,6sq0xFq7n6ToKZjBcQvYwI,19,https://p.scdn.co/mp3-preview/c05080bcfec35fed6933c87d44557d716475afa6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Roads,2sW8fmnISifQTRgnRrQTYW,Portishead,6liAMWkVf5LH7YR9yfFy1Y,Dummy,3539EbNgIdEDGBKkUf4wno,62,not available
73,O Superman (For Massenet) - Remastered,4W375GW8GBI3x9nR4cfRfK,Laurie Anderson,5hqB3Fxgin9YGYa0mIGf1G,Talk Normal: The Laurie Anderson Anthology,4dJS94XI5wioEOxRZyPt46,30,https://p.scdn.co/mp3-preview/594cb1d2a68cc8e72eeb22975a305453bacc2bd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,One More Hour,3ccsKRKg0NEfiDaeYnIauK,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,45,https://p.scdn.co/mp3-preview/d92483bbb09641b190ae9346ecddaf79518ac61e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Save the Country,2VESf4DiwSf8nne5kMVTpa,Laura Nyro,6QDWC6QeGhvCWCv3nUJwoV,New York Tendaberry,7x2WkwfDyXqrFxswIhlT6V,20,https://p.scdn.co/mp3-preview/23ef1274d55b4841e45b990b516b8620b5d6f21e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Ode To Billie Joe,4FdDorlbJTVHcH3djLbIfn,Bobbie Gentry,4E9w0bms6HcEppFlWjeW2d,Ode To Billie Joe,05I1EsreLq47JU8pypj7TR,54,not available
77,The First Time Ever I Saw Your Face,0SxFyA4FqmEQqZVuAlg8lf,Roberta Flack,0W498bDDNlJIrYMKXdpLHA,First Take,2ARWEOvaUgm4FSj25MpY6F,63,https://p.scdn.co/mp3-preview/73866e496e28ca08047660d7df03b7c9a358241b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Diamonds And Rust,3oLKEO5NCdf2Zi3mBzKaAs,Joan Baez,1EevBGfUh3RSQSGpluxgBm,Diamonds & Rust,61w0fi4vQywV8YIHznnhBr,16,not available
79,Johnny Hit and Run Paulene,6wvcWwkRGTRgieodzFZmRk,X,54NqjhP2rT524Mi2GicG4K,Los Angeles,4lgW2v8MOtBxyuQ7erHLgj,28,https://p.scdn.co/mp3-preview/4e85a1994a033972a2a9b831a9ae67f8354bc3d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,The Mind of Love,7k2Pxnb7WhfSETmy4RalI0,k.d. lang,6W1BHDF0T4a4KYcSwzD586,Ingénue (25th Anniversary Edition),1XHEQqyatYvfK5cEJfkPeK,33,https://p.scdn.co/mp3-preview/50f94ea11cfbe17475e8667e0d5c2fa2593f864d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Let Me Touch You For Awhile,3wAoItXesafDfmkKslhqWb,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,New Favorite,4yEJ55stPMUN9OYtrJOSAA,38,not available
82,The Way,3txICxEvBgCBV63B4ednNB,Meshell Ndegeocello,0uZRjholJ0fVC2J9EvnYnj,Peace Beyond Passion,0jmwxReVZ7hNQ26bZWQ35Q,28,https://p.scdn.co/mp3-preview/9c998bcf5292efd41e657785e345e556eadef77f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,Britney Spears,26dSoYclwsYLMAKD3tpOr4,...Baby One More Time (Digital Deluxe Version),3WNxdumkSMGMJRhEgK80qx,77,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,"Honey, I'm Home",2lvJIKJYyV9gkQVN1NoSMg,Shania Twain,5e4Dhzv426EvQe3aDb64jL,Come On Over,0vOj0JVKv2bobFBBUTjgQF,7,not available
85,No One Said It Would Be Easy,6j1Cx8FqDQ6fSx7cPN62nC,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,Tuesday Night Music Club,7dC6axVAeBDpRMmNtRbpwU,33,not available
86,Inevitable,78dbqYDvx6FOefROApu9w0,Shakira,0EmeFodog0BfCgMzAIvKQp,Donde Estan Los Ladrones,5hcKSTqKOLuzJgYIQileAe,68,https://p.scdn.co/mp3-preview/88da75b50a528fe692ca756e8239dbdeeb7e6ad0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Fantasy,6xkryXuiZU360Lngd4sx13,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Daydream,1ibYM4abQtSVQFQWvDSo4J,68,https://p.scdn.co/mp3-preview/e21e6540a41559957c02ec623c620c03646686ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Rebel Girl,0XyjtybwqSdqMAFfBEkmZf,Bikini Kill,0gvHPdYxlU94W7V5MSIlFe,The Punk Singer (Original Motion Picture Soundtrack),7DoTlKAupC8rNAdb0tNmZ2,54,https://p.scdn.co/mp3-preview/0fb7eff2811e1e44ec349228035ff2a60a679437?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Fifteen,4t0OI7XrODjSkAu3bTPmWj,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Fearless,2dqn5yOQWdyGwOpOIi9O4x,60,not available
90,Cod'ine,4vXGN2SVyia5i3vn0T8HOx,Buffy Sainte-Marie,5exO2eW84QucBhrRhcK76x,It's My Way,3xqpKfDsGJYbCdMndvxZmd,26,not available
91,Here Comes the Rain Again - Remastered Version,78RIER8V6EhrqVPOBi2GYa,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,Touch (Reissue - Deluxe Edition),4pGwe5BW8GVtIP8ruoa1jB,63,https://p.scdn.co/mp3-preview/d63f72538797a8e09201891a34a09e2880e753e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Sound & Color,3wrqiZJKMSpLBvgFJfFOp1,Alabama Shakes,16GcWuvvybAoaHr0NqT8Eh,Sound & Color,6TWqxofcKQaZ9gHI49G36P,41,not available
93,Enta Oumry,0AsT5HMyXuqa8qWMLv0YZb,Umm Kulthum,52lsD82iOqGtyfEMqWgk4f,Enta Oumry,2GnnUiSIIC0NvSwNS2chTT,28,https://p.scdn.co/mp3-preview/b3716cc62296643107bff9f50c53cdc00723fc4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,It's Alright,6zoDyKc4rWHa1O0jE82CfY,ESG,4EF5vIcCYKMM61oYOG2Tqa,Come Away With Esg,6dE2iUELxsrVckRQqm8l1k,29,https://p.scdn.co/mp3-preview/9d227e2ff2bcccb79042eb029635d238fea165b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Just A Girl,5lWRaa0fBxDE5yU91npPq7,No Doubt,0cQbJU1aAzvbEmTuljWLlF,Tragic Kingdom,3VekjWskUut57hx6W9wqL8,64,not available
96,Leader Of The Pack,6wzLLGFlWQ5jqTL13MU069,The Shangri-Las,1WvziZcLLYLoMMdmQx7qcN,Leader Of The Pack,58tVdRacBIEFx7vOK6HDdb,47,not available
97,Midnight Train to Georgia - Short Version,2y9lqa7QhwJ7KhHUUdkTUF,Gladys Knight & The Pips,0TF2NxkJZPQoX1H53rEFM1,Imagination (Expanded Edition),6pMzuVjsypAwbeKiZm56wP,56,https://p.scdn.co/mp3-preview/ddcfa68e486cadc809fc1fefc317a357bcf9a774?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Transgender Dysphoria Blues,4RdpSi00jdvfRLZb3Q1WhB,Against Me!,29lz7gs8edwnnfuXW4FhMl,Transgender Dysphoria Blues,4MuH5XuLZFuDc6kB2CSapu,47,https://p.scdn.co/mp3-preview/845830e5e30dae1c0b29dfe10ab4f669fc196aa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
