SEAN'S MUSICAL DISCOVERIES (STAY IN!!!),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,BYE FOR NOW,5wnILOWHCFWFp9OX65Snw4,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/006d047efb4a01063cb3d1a191d0e89cacd6af16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,US,1UcoeMawxzL5Yo6sgrF6Pg,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/e344b843695b9004b34f9f58757f03a87ee10f27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,THEME FOR A THEME,54ld5hLntcAgrVqmrqFzvC,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/787676cbbbbdbd60c0e75e42d06b636c764088e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,THINGS I DO FOR YOU,3Ohgf5dIFPR1l7xDREw286,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/53df3674aace2e0c9411fc1750ccfa30fa37d90a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,END OF MY NOSE,5zbZ7Rapsgj3QSyX28pZrH,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/50322cc333df9be23d051b64f2a036be61b171aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,REASONS,7sXNOSUxl7JJunQfqLVGIC,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/64377115ddb27310a555883dc96e48da8c80daaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,"SURPRISE, SURPRISE",45m847rryS2MAJ36hF3RB7,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/bc2a7cfc8a1e54887900e7352cb7d418d60bc258?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,CONSTANT REMINDER,78Vhk8KCnP9SXSb6IguGTV,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/69e1b653f5b34168d3b82bf832d26065d7ac07d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,OFFICE GIRL,1ED4howy99EAVpnN75Nz9x,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/e254c55a889ae9a8adee5970ca88cdf92f813f2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,THERE'S STILL TIME,20tVqmWB0suSSeC2wNao4F,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/7595a6c50f1db2ae7e09dfc27e070c5d4241fcdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,COWS,6LZSJSNhUrKRCYS6nkQZdu,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/47e1d4ccf54698cbadeacdb0248c0ef3d3d802e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,HERO'S RETURN,47PyA6unTiiFcGaCvmakFB,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/8ace0ae0a3293de5a16c504d5aafacf84505e095?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,DON'T YOU KNOW (SHE SAID HELLO),1ML4t0XxxwY2BMR7EtDM0J,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,10,https://p.scdn.co/mp3-preview/1afec532e6a6ee6ad1b0d9e2db08a9ba48b107b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,THE CLOSER TO YOU,59I0CSfAQUQZWmY5LzeRuj,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/e471b914b484888a18239905dc95a9a63af643be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,SOME DAY SOON,608vvN6HSNYuCVkK2Ca4Ni,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/7d51c058f9ad558d9eeb36dfbf8afbee42291687?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,ALL ON A SUMMERS DAY,7K8THVnJoemDSQyFnk5iHT,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/2b6454965b8690f97b600fc138e02a800e4166c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,CAN'T YOU HEAR THE SONG,7qTKjEhXj2iX60NFkgGWju,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/a7f8b22014afe8ebc4b5140776a1adf15309bccf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,ALL I EVER WANNA DO,7kiJPQhqc0srwUcqQRmtJa,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/b9e83f0cd0454e70ae708ce893590e34415f5967?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,DON'T MAKE ME LAUGH,3nFcwRel9biMIswZ4Sp8nO,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/741d89f0c1ff45af71a6c367f9b384827d17443b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,SUNDAY WON'T BE SUNDAY ANY MORE,5QWNdYEN8pHHLV4Z36tQql,Butterscotch,1DHY2UIly0U5MKybuGy0RK,Don't You Know It's Butterscotch,6nSsJekm6XKGdYLLJ4rLno,0,https://p.scdn.co/mp3-preview/6676be44322d13ac7eb108e2ebb802fcf8c8d989?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Maureeny Wishful,558zRkpXdOxptIrPwYvFA7,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/d4068203cbb2c6096aa60851bcf168f74261ab8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,To Something New,0NhxsK1tyUtM56xyWPGf8C,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/7118e65bbeb184827cfd520852e95deb9f13d7b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,I Must Fly,4E3LV2kiY4RnczVLdetVpp,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/3f88f3c0898d90015bc6e44f241a266669a53cc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,"I Know, You Know Too",5RGCNoUGGXNcloExBHnQZ8,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/d11ae5e0caeff4027d4b5156fa62491a3cfc5572?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,"Another Winter, Another Spring",2p3kV4C826QB2PIMgG3ZSa,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,1,https://p.scdn.co/mp3-preview/9b461dbc586754cd6e7544fa19e18dd8f012a858?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,City Blues,70WIvyh5llRlVzIOlGCCGN,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/c8406d76ce2913680446c2088402445dc84dc7b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Gypsy Girl & The Poor Boy,4jgZ25Lslm9wAZDtnjfHwM,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/0962d043fce4a4576de7d67ac0179d0c3a2372a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Early Bird Of Morning,42ontIQldYcS0KmVDSuioy,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/f8aa8d6f57bd671b99ec3f0086d7288638d2407a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,London Town,2nnzayVIOLBRKAN9tNqbMF,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/b8a69b24703fe43d58898318ca2af19c77132b37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Sally You've Been On The Game Too Long,4mRCeTFj7MYIqdbBUcr2xt,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/cbcb1ecdc2cdae22edb6c023be8a3e1c82b0108d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Dream Cloudburst,4sUZIQexnvFcQu7jxSsoUS,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/eedc93cbfb7788a1bd5b8aba535e2cb6226f325b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,And She Is My True Love,04GsoVsr5heYwtnYoAIUM2,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/0e11c2302d017e8cca46ea2a21765d9fba2b614a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Five Verses For My Love,6LNYIzNncEqY55J6lK6q38,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/a8286c5d5762368c8c51f0935c4f9123a380a359?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,C'mon Train,2Of8quuAmhFsopeXnnPmPb,John Williams,5q4275hgJQNhdOZtMQhQp8,The Maureeny Wishfull Album,0i3JfD9w97UnIOIC8cul5V,0,https://p.scdn.co/mp3-preview/160e64b57a5d3df35089e266797223e38f16b25b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Zekes,3CI3sbYGeJ9ZXPfhpY4S69,Box,2duNzmJDPo9N8DBYIwfL8d,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,17,https://p.scdn.co/mp3-preview/0d1cd0046e4fdcece2da48ae05a8d817e23fca16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Sunflower,2iULpN6augSRlnwNJ2zMC3,Snow,0i33lhf7Fn1z9yM2trG9GH,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,16,https://p.scdn.co/mp3-preview/02811f867a56f1c6c7fa89aa5fe971c78c28e65b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,One of The Bad Guys,1qVfCyIzQwAfbshAacW3du,Tour,7iLhCubUF3JUD7tE9RljUi,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,14,https://p.scdn.co/mp3-preview/bcdeec29a418731a256a41b85c387c9ab620ff4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Wasted,3bf3BeSwAgChNwQITnZizf,Zebra,1q7m1DacLfRgt38Wdin4yH,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,15,https://p.scdn.co/mp3-preview/833fa16109748a69d7e254cf281cc81235250031?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Faze 1,1g2QRKR8agLSzAnPXBJ9he,Bob Goodsite,6aXEAnugCABEpSnvVCL7zu,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,13,https://p.scdn.co/mp3-preview/2a846ae21bd70e8f36a2aea8c5005e8efaa3ad21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Stand By Girl,3v6idzXbWh33SOvYYFFydJ,Raw Meat,4ISiO0kGlgYiSLCkUJwH5K,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,13,https://p.scdn.co/mp3-preview/bbde1b459ec25cd59d3ac501ce0d1f5fc5c691f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Deathhead,0SKbYOmdaX8302goI75fck,Punch,1Y3XqQCKEVQVxjMYQIVQlt,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,13,https://p.scdn.co/mp3-preview/6ee5218df10c5b01174f6203c4b4ec8eb98e7074?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Carry My Load,326sHHRnL6FUghT2hgA43T,Bacchus,67L9jOGOspDu0KKUB1hi58,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,11,https://p.scdn.co/mp3-preview/9a99b4b3eefcdada3322278092a2a3e42e0ba890?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Love Eyes (Cast Your Spell On Me),3LAdUnQ9vnC4BYqp1ljnSB,Lenny Drake,0LPzMtBNMbEJTPiqfvwvNu,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,13,https://p.scdn.co/mp3-preview/e6a9bb02d2b1789e8fe08be8bf3a5a18c637f130?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Mystify Me,78ULq21p9EFRQ1bAUhulGt,The Todd,2Cg0kuqU7VzucQkIdwALP1,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,11,https://p.scdn.co/mp3-preview/5997df800769b24f86ef92ef36d96ff5940a561c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Hard Luck,45mDIrvCcs0UGtOLFwMM9Z,Josefus,5LTNTOuPfoe9vBUlycgmIf,Brown Acid - The First Trip,6j0AI7ZfMSuu4AKUJA9qOW,18,https://p.scdn.co/mp3-preview/ff3f0d6fdb4c56ca0125b7915101dab28132eab9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Midnight Witch,5MFnkkhdKlrzkI997aZUYe,ASH,4RxOcYere2aEs5vqCYxexW,"Brown Acid ""The Second Trip""",1IG8Ai3hcaLVHQrxcYLXyB,7,https://p.scdn.co/mp3-preview/dbb8b8e8484c34ab3b98055fb6791e53f63dc75b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Warlords,7pK4kDYEN25Rtov8BII3ee,Sweet Crystal,6QAd9ZxH3ptahZeWoqKks4,"Brown Acid ""The Second Trip""",1IG8Ai3hcaLVHQrxcYLXyB,12,https://p.scdn.co/mp3-preview/c61cd13e29865178f427d9e81801572036bf343c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Rock n Roll Man,0RceGGfnW51qgmy2NMH0d2,Raving Maniac,3JazKTAGLFjB2evGt0wHgh,"Brown Acid ""The Second Trip""",1IG8Ai3hcaLVHQrxcYLXyB,10,https://p.scdn.co/mp3-preview/1350905a70246e7525f72ee0af074e11768f81e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,TAKE IT!,6vq4L7DU32jlRPQ6SDGLaW,Cross Field,5bSDFUNXzOyld4QwURZWVh,"Brown Acid ""The Second Trip""",1IG8Ai3hcaLVHQrxcYLXyB,11,https://p.scdn.co/mp3-preview/a1b16e9e9c54a769f416165e10482536f906afe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Bell Park Loon,1rBq2qfj48t7O6WenaWZdl,Spiny Normen,5gKdwlbuBIZFpkth6kO8bv,"Brown Acid ""The Second Trip""",1IG8Ai3hcaLVHQrxcYLXyB,10,https://p.scdn.co/mp3-preview/eb84fd22b173b7ea0cfea53d3e7bc397564be284?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Silence of The Morning,2hxuAAFIGsLmYxkGy8ccXv,The Glass Sun,5jLYMishZymCxYwmMZuGhk,"Brown Acid ""The Second Trip""",1IG8Ai3hcaLVHQrxcYLXyB,12,https://p.scdn.co/mp3-preview/9579cc0b918ea4c50f61e03535bfa348795b819a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Love To You,0fOHurQqu0vYAx8si7Lo3Q,Volt Rush Band,0NfHlw90iocpoyCJqWNOvQ,"Brown Acid ""The Second Trip""",1IG8Ai3hcaLVHQrxcYLXyB,10,https://p.scdn.co/mp3-preview/2b008953fcd2bfe9cb1997063ff67ecb6dc89e70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Long Hot Highway,2nsC90WWkdFyp6ceebPSKD,Buck,1m4IiR2uI71OCcQ4uiVb0C,"Brown Acid ""The Second Trip""",1IG8Ai3hcaLVHQrxcYLXyB,10,https://p.scdn.co/mp3-preview/a178e0e6d350176b3dbed774ae22ed80710097f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Show Stopper,4C5PVNmsiRkJdLYS4hVVyf,Iron Knowledge,5eUAd2KBALGLZ7D1JWqN3B,"Brown Acid ""The Second Trip""",1IG8Ai3hcaLVHQrxcYLXyB,14,https://p.scdn.co/mp3-preview/d240738f74a810f405cd81c470781e8d426eb278?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Daybreak,17F3VHqWq63nhe2df7Rfcf,Sonny Hugg,4M1TA2iWGhvjvU7xESQO5A,"Brown Acid ""The Second Trip""",1IG8Ai3hcaLVHQrxcYLXyB,10,https://p.scdn.co/mp3-preview/d7c2fe7cc196e42602aa15f92219ca5a30032358?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Scream (It's Eating Me Alive),6QfgDVeeUOhJYciQO6Zsia,Grand Theft,0et2poarSaLPIVz7OS9Z3e,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,11,https://p.scdn.co/mp3-preview/99b976e3575281a978bcf64fb5654aae922c2a56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Cold Feet,3tCKWfD5l2M6CNOXrexqeZ,Chook,3T4na28jNFFPITOtMQtzr1,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,10,https://p.scdn.co/mp3-preview/2085c0226976e837508b7e675f8d311c75296482?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,No Time for Last Goodbyes,73o4Roc9Zus4QwqJ9s3pTv,Lindholm Brothers,43ILLdB4Hju2YUOkIigUR7,"Brown Acid ""The Third Trip""",6kOalgNcPgYhBBuXO5IB64,11,https://p.scdn.co/mp3-preview/cc4013b83ce7d0295dcba6d89cc8296f36603729?cid=fa83a2fec7c440b7a2795d600d6b2c7e
