SEAN'S POP PLAYLIST (STAY OUT!!!),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Locked Out of Heaven,3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,58ufpQsJ1DS5kq4hhzQDiI,78,https://p.scdn.co/mp3-preview/c647489f28d840b545b90e10067012f504dc7b68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Treasure,55h7vJchibLdUkxdlX3fK7,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,58ufpQsJ1DS5kq4hhzQDiI,76,https://p.scdn.co/mp3-preview/2780356e9a11fab474e2bc11758e41ab309f60d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Break Ya Neck,0svl7cK07gK1ia5ainczU5,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,Genesis,1FH8ruELaU1kthrFvdcSmt,70,https://p.scdn.co/mp3-preview/800554e3fb6c92da9e142f681fb65f7dd46a855a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Teach Me How to Dougie,61LtVmmkGr8P9I2tSPvdpf,Cali Swag District,1EeArivTpzLNCqubV95255,The Kickback,7jEhJ72S8vHQOmQTgIATww,64,https://p.scdn.co/mp3-preview/01a222c5e4b280bc5e9c45ce8772449cf06709f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,Calvin Harris,7CajNmpbOovFoOoasH2HaY,18 Months,7w19PFbxAjwZ7UVNp9z0uT,74,https://p.scdn.co/mp3-preview/1bb301a77b9116d35a5dfba254d7756482f565dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Call Me Maybe,6ol4ZSifr7r3Lb2a9L5ZAB,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Call Me Maybe,3eHEUyFhVdkoXEJzXC0EKT,56,not available
27,Boom Clap,63bniwRWWFGoasyhX2eQHJ,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Boom Clap,5FfbtnqTQjMYjqphXDUoYG,48,https://p.scdn.co/mp3-preview/fee73de6ebcdb593299933dc1b7883ceded314a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,The Mother We Share,3KMImfwJj3KXa6M3QRYsqH,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,The Bones Of What You Believe,1l9bp6Fz4xkN673dWN5cpy,0,not available
29,THE BADDEST FEMALE 나쁜 기집애,0NLK9ouDRXuzDypCNtv8h1,CL,0tzSBCPJZmHTdOA3ZV2mN3,THE BADDEST FEMALE,767KnbIncK9VAHSFVIiK00,51,https://p.scdn.co/mp3-preview/ede834291977d7938da7451ebc7d7cf1550286c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Grindin',3XrvEifl0hIzgBGUa5jBLS,Clipse,2J257euzcjnDLipsyJH3F2,Lord Willin',1Q83nQO2QG81TVa10hW7LX,57,https://p.scdn.co/mp3-preview/e355ae322c728d0507f0ca2b28cf5b720d26214d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
