The Pit,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,The Violence,0C5X8RJXZNuGO2CfQJumb5,Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,The Violence,1Uj57vCDZBtTZZegrNwDdp,68,https://p.scdn.co/mp3-preview/5dec033449c54dd479b44e60e7bafb11520ce3c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Undead Ahead 2: The Tale of the Midnight Ride,0CvZdTIVAuhvodRcFZQ34t,Motionless In White,6MwPCCR936cYfM1dLsGVnl,Brand New Numb/Disguise/Undead Ahead 2: The Tale Of The Midnight Ride,4PYC0NUYHtTue2Q9NuBSp1,16,not available
19,Seamless,1n1IeCWKNGZpNMKdWWTQA6,Higher Power,6yv0Vd63iiAaW4665Cs9vT,Seamless,5mtCKoQZgLxEuhMyTXZryi,42,https://p.scdn.co/mp3-preview/0a80dbab29b84fc04f4fbc35a276259c2cc58cda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Kiss The Go-Goat,56k2ztFw7hQRzDeoe80pJo,Ghost,1Qp56T7n950O3EGMsSl81D,Seven Inches Of Satanic Panic,6eOWfFjfBPRsAW0ZS4sbaF,67,not available
21,Reckless,7hEk5UTV73GwV9mjw8fBy8,Lacuna Coil,4OAddazJM576euUnFSvXSL,Reckless,0nd9VY90TYG8TuZpiU3boV,57,https://p.scdn.co/mp3-preview/1fdd1b9eb5bb6b5e1207b0ee47aabdacfa8775b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Steh auf,1GDl9OOKwfxVDV8jh6zce9,Lindemann,65A714FqhSPjoFZeffQbTv,Steh auf,231la1R3Z2UWS0rjRTIm9U,66,not available
23,Taste of Regret,2qteWVf7459okiPxGwgyez,Of Mice & Men,4tususHNaR68xdgLstlGBA,Taste of Regret,0rRovslVT0e3rekVYsOMfo,60,https://p.scdn.co/mp3-preview/2200dd453cb2eb248fe832b6fc7b8cdf158cd28a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Gasoline,6Q1m1GyNxyOwZ2ud3p7XoS,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,TRAUMA,2QRU8jGOJHDMrCTPKIHVik,67,not available
25,Fool For Your Loving (Vai Voltage Mix) - 2019 Remaster,5iVGtzO2pRI42CSBSPV8jf,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,Fool For Your Loving (Vai Voltage Mix) / Sweet Lady Luck [Single B-Side] [2019 Remaster],0KUH66RD7TDs4jL7SEnpc8,33,https://p.scdn.co/mp3-preview/7cc16a82cacf2f8371b149a0663fee24d6bef06c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Judgement (& Punishment),0YCBs6OUgIpdghPs79cMKh,Jinjer,7o6cOczXTB8ioTAAJTbESf,Judgement (& Punishment),09eoQ3Hf68T550vwsteLqq,51,https://p.scdn.co/mp3-preview/b7300402fcc7ff3bb7e8631eb087dd2c7ad79bdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Let Me In (The Fiend),1xmo5diBZ2RMcs9PhrLjxk,WWE,0spHbv2fw49lDMkbOAdaqX,Let Me In (The Fiend),1a4o7IivhtvSQXA53r4IWG,58,https://p.scdn.co/mp3-preview/dcaeb225031b285bd3b1c4b353e743d6f4fab463?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Eye of God,2x0BR7Ct3NIDlTGUZcF4ia,Erra,2UoOdQyBGyzrEfxcY77ce0,Eye of God,587iAN5Zuhc44cPrVmiOZ1,56,https://p.scdn.co/mp3-preview/c9e8ba171914d7288a0314cca3c249bb26361f84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Birth Of The Cruel,7I6p0xNYahHpUUXj785URX,Slipknot,05fG473iIaoy82BF1aGhL8,We Are Not Your Kind,754RY5WpZ2LTUZsk8kDBju,71,https://p.scdn.co/mp3-preview/b1996139ce2af201e2a66dc8159cd38d9e65d0e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,BURN IT,2j02RtZz6v53FRw4oWliZf,FEVER 333,1B0155rdv175D1tQ8VH7Oy,STRENGTH IN NUMB333RS,5PvosHtqCuqLK8A131lGZf,60,https://p.scdn.co/mp3-preview/0ad6b01bde1485d1866478667bc3a96b8c38bb40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Chemical Warlords,0L9hoOpd6QqCHWSjLQOti1,Toxic Holocaust,0WVXlaglIOtQueNbucPjZ0,Chemical Warlords,6yAG8Heoauu80fvdTGOKaO,41,https://p.scdn.co/mp3-preview/bd55d417a387c88e9b02270a4263ec1e24fc7954?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,"Blood Red Summer - Live Soundboard Bootleg, Tabernacle, Atlanta, GA 03/14/16",76RkV0BV7MJU6QNbEd8iJg,Coheed and Cambria,3utxjLheHaVEd9bPjQRsy8,The Color Before The Sun (Deconstructed Deluxe),7kd8DGo0csYfgWUH8PRFM6,20,https://p.scdn.co/mp3-preview/d776d367d1f8faa146b32f38718a8b4675c532c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Perfect,7w1MrjeuciJ1cV9cowRSum,HELLYEAH,4hxDvVq5t8ebPYPdBl1F9f,Perfect,7blkysSNX8xNia9WoECqWk,48,https://p.scdn.co/mp3-preview/4bfc0ce95ae8da3fcd3070024b31955883ea392a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Rock and Roll Deserves to Die,5GqAcVa8QPw7JHQU84Kbje,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,Rock and Roll Deserves to Die,2FVE8BDQOhpuvLdK0S0jm0,44,https://p.scdn.co/mp3-preview/0a1fe78ea8feecca373affdf500a70c1ab7ec211?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Speed of Light,1smvmwmbrQiBwgJZMxVtup,Iron Maiden,6mdiAmATAx73kdxrNrnlao,The Book of Souls,4vSfHrq6XxVyMcJ6PguFR2,53,https://p.scdn.co/mp3-preview/895308d39197c0623d96850027de8e4167ad104d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Lateralus,7tvuLLroI0n6uYBWuFig5d,TOOL,2yEwvVSSSUkcLeSTNyHKh8,Lateralus,5l5m1hnH4punS1GQXgEi3T,68,https://p.scdn.co/mp3-preview/4ad4447026761e5c467d92f46ae2f98e0b283699?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,New Comedown,6QmOtFyz9Va5G5uRQArz0H,Plague Vendor,680qtSVCs3xqNWqZd4khh5,By Night,1Mi05hIA3squK9p3ESFEbs,35,https://p.scdn.co/mp3-preview/821b665af3c84f4465e73f2a5d16aea08e2d5cc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Broken and Bruised,1cNX3cY6i8hMuMkCtBFNEy,Deadland Ritual,62aaTF04Hgbm6crne2ThvW,Broken and Bruised,0h0yQfmQF4M8mCMQri8cwv,41,https://p.scdn.co/mp3-preview/3419f856498fbe1ec9061b90ee5162a1756ec045?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Pelvis On Fire,2x0ZWnybbcmOOSitJIPEk4,Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,Pelvis On Fire,6pCAdzb1771EHqGG7xqSCA,48,not available
40,Prison,3I7AdGX3qwgZ1brKzu1vVr,Wage War,6bu7CtcOMWcS0BMq7snHW6,Pressure (The Singles),3GLTYq4t39eOi2dSGxwHQQ,46,not available
41,Earth & Sky,5ZvbwDbhiFMbaywLJo6SmN,Of Mice & Men,4tususHNaR68xdgLstlGBA,Earth & Sky,6NxMsVkNmPY0bUfyQFhCDm,59,https://p.scdn.co/mp3-preview/85c9b8603fe2644d89f10ac63d3c9bfe88704636?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Layers of Time,29EAXbPh9fZdJEfl57TuqG,Lacuna Coil,4OAddazJM576euUnFSvXSL,Layers of Time,0AdzpqRGrWAkP8XcphMTW5,56,https://p.scdn.co/mp3-preview/bc636a4864ed01445681aee8957b055ad657e1bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,COEXIST,2tkY0M6VKdfjHw34rlfNTH,coldrain,4pCVGaLWxDe4d8bsjsnmUM,COEXIST,3FBQy7b1jSp4kjIAjUmpIh,44,https://p.scdn.co/mp3-preview/b6a121d5b6512d9ef7ac639ecd638dbb68b7b5e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Oh My God,5KeMe6s7NC1h9Xg7CgDbYO,HELLYEAH,4hxDvVq5t8ebPYPdBl1F9f,Oh My God,1f2OVhqcB3vM5oev9MiYLx,55,https://p.scdn.co/mp3-preview/780dac716a46c3095bd397486d6e4a7de30ee0b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Chippin' In,0UHxkkgI5GfV0XBRA1rqfe,SAMURAI,5Lv9Qc7dCi7vps4rQ5MfTV,Chippin' In,5NjxLtH4VJE1KHqSC4CSXQ,55,https://p.scdn.co/mp3-preview/8026710af27a6c75cb9f4fe525d241558321457f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Made With Hate,1544s7tOrTn4NSgbyz1wq4,Prophets Of Rage,1fSzW5cXBmquli5laFnoGY,Made With Hate,06NFqKwjvo54ifsyU523FC,45,not available
47,I'm Already Gone,0gzdy04RIM1xaYyGw1h6Bt,Baroness,3KdXhEwbqFHfNfSk7L9E87,Gold & Grey,73rGQwg2KzF2ZJadR7FzQ8,37,https://p.scdn.co/mp3-preview/dd1f87e3c7c93098768204c88e88dbeb144139df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,No Cure,5dWl66sC0Ttt014lrw1Pmh,Capture,36qOXUtUq5HjaP1wet4ePl,No Cure,3ADzJjhxB8hKIviCQYaF4D,32,https://p.scdn.co/mp3-preview/c5f9beab6be204b4244cb790f809b3dbd3d8f354?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Unleashed,0A4QYWEP8jo5aiHbGMVrXp,Killswitch Engage,37394IP6uhnjIpsawpMu4l,Atonement,6kkUp557e0o5k0dRBfohJZ,58,https://p.scdn.co/mp3-preview/2ecf2eb5dd3784ee757a27eb2b6c84f5067a8fc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Forty Six & 2,6AioOohg4bQZFA4jIYQQ2r,TOOL,2yEwvVSSSUkcLeSTNyHKh8,Ænima,6yWMN087PgSimbcVmHLEwG,71,https://p.scdn.co/mp3-preview/63520266082a2698b1521cb4ec73655ab8f35c1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Burning Bridges,5sAEhwro4ihb4moS3Yrukt,Delain,6pIRdCtSE5hLFfIfcTAicI,Burning Bridges,6Ejy4bemcolUwEeoBANAZj,36,https://p.scdn.co/mp3-preview/f7fccbfac023cf5f8cae85bfc817a6bd69865f39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Necrophaze (feat. Alice Cooper),06HI5CS06fLyN2yexhIGmV,Wednesday 13,6Cvzf33JDzCIw2eJU8npQo,Necrophaze,0hGkAwnjUIKypKmb7wlIAK,34,https://p.scdn.co/mp3-preview/e541fd8f30ec71f97e486e60538c609f9becc648?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Dignity,0MWUTDCYehLL0BT39Cx2Vi,Opeth,0ybFZ2Ab08V8hueghSXm6E,In Cauda Venenum,0NAN3xcePJlVbTY1YaXCqK,51,https://p.scdn.co/mp3-preview/5298abf98f9fc8b5fce7fd32ff488a1dbf961ade?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Raising Hell - Live,69ZYFkD36ikvVMgPBPpC3m,Evil Invaders,4bMhBA9z2oB9MixiL9OXCx,Surge of Insanity: Live in Antwerp 2018,4czffSEwYFyfsrK17pr1SH,1,https://p.scdn.co/mp3-preview/053443870112a89f107cf81c4c656cd6c9a06342?cid=fa83a2fec7c440b7a2795d600d6b2c7e
