Friends: 25 Years - The Official Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,"I'll Be There for You (""Friends"" 25th Anniversary) - Orchestral Version",4N6aFLloxDeGO1Q6EaaXLg,London Metropolitan Orchestra,3fYr24qYhJejxewFrckFE4,"I'll Be There for You (""Friends"" 25th Anniversary) [Orchestral Version]",6ao60BjRs5S9U9u03OvZDv,13,https://p.scdn.co/mp3-preview/b8a96f2b0e2cf0672c406baa83fc038e7bad7d4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"Here, There And Everywhere",6SgEJFgO2p8M9hhWatBjKQ,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,5,https://p.scdn.co/mp3-preview/8db6d62d3a98babd0dcac2cf6ae559582c9187d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Copacabana (At The Copa),7qNFbxvyIKBVuzwmQWqsBH,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,11,https://p.scdn.co/mp3-preview/b10094fa441f6622de2c81ae7dc6d2d649a61725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Do They Know We Know,58RVw3ALPytpRQ7URRwWFe,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/af05552e71bc885738615477038406d50a8e0b9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,He Must Decide,5QRn3yTEMz4rXCvfqrdDNv,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,7,https://p.scdn.co/mp3-preview/f10f7e787a4f61b8021298d15160116bbe5a7a5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Don't Stand So Close To Me,5veJDT0MLsLbhYsx42GXUD,The Police,5NGO30tJxFlKixkPSgXcFE,Zenyatta Mondatta (Remastered 2003),23enz9nXJhH1BR1Rm5CzDJ,67,not available
16,Look At Me I'm Chandler,5zrgzJ4PryRvkMp9t0cXWB,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/8151ac621fa33f163a4ff75c1eb4e0751857b14c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Lion Sleeps Tonight,605hlyuuiLo6kd2W2kf2em,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,8,https://p.scdn.co/mp3-preview/5e170d442d1e9bcfa662da06f7debd7d8dd005a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Smooth (feat. Rob Thomas),0n2SEXB2qoRQg171q7XqeW,Santana,6GI52t8N5F02MxU0g5U69P,Supernatural (Remastered),10aiDpdFGyfCFEcqpx6XTq,71,https://p.scdn.co/mp3-preview/9f977ebb2e695502c8b1d3bd678ef706c9ea4ccb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,She's So Unusual,1FvdZ1oizXwF9bxogujoF0,77,https://p.scdn.co/mp3-preview/7a91e696b3f362ff96b3c9dfc3c6d4a34127459b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Endless Love,23WD32XPal7HXjwoILf77r,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,7,https://p.scdn.co/mp3-preview/509eb828d89d4d2638223c9282a34803fbf44b79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,There She Goes,0SMkzFGJOBFDI9KfYD55L0,The La's,47Z8LEl3LnQkcpva0xSthT,The La's,4tCf15W7qHi3jE0PdljddW,62,not available
22,With Or Without You,6QPhpvO1pWDS91EsEmzsbc,U2,51Blml2LZPmy7TTiAg47vQ,U218 Singles,0pYUq4UiXNgq8mO23rlHVU,49,not available
23,I Ross Take Thee Emily,0hzL5DIGHV9HDGnbXVeYrC,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/d47111d617ee083f2eb63c540dead1d28ff0745b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Wonderful Tonight,6zC0mpGYwbNTpk9SKwh08f,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,Slowhand 35th Anniversary (Super Deluxe),5MAL7e4EnKXW1hFg6NbFqP,73,not available
25,Joy To The World,5paz8atF65KACa4XoW3Jn4,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/2a10b3fb30028506940491608f9ea3c247c1a4d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Night and Day,14Tgtsa8TG8D9OewIe91m2,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Sinatra Sings His Greatest Hits,57vPH8jXw3PF0zD6zeaNOD,37,https://p.scdn.co/mp3-preview/87b1409a3e71fdf22222b2544dc6e77ab9e10982?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Viva Las Vegas,5Q7ayTarb9Tpmkik5cVMug,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,"Elvis' Gold Records, Vol. 4",3ufobt4J5vaT3z7lgUub6a,60,https://p.scdn.co/mp3-preview/9ddef98d8e5343974805631b5decb7235c412b3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Regina Philange,0mwpItIqv3RucvJbtmLpLr,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/0a91a47dc3aed4060e1ce6bd09eec671d3f2024f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Feels So Good,5RrWL9mYkyNy5ZM8yuBTwG,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,5,https://p.scdn.co/mp3-preview/28d5a4b8850cf1a7f206cbfad8236eb6360577ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Rock 'n' Roll (Part 2),5F40csF5DtKOGfEg8vuz1d,Gary Glitter,61zv3hX7l838ZyhaDyAx8S,Glitter,6Ck7kqCXreu6gH9CgdsFLO,50,https://p.scdn.co/mp3-preview/3d625f6ef4ebf2ee507ae17bb82071d95d10f820?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,We Are The Champions,0IjInnECB0MvNAqlPP7qrP,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/1b6ee0fd30e4d2fb117b292ab2bcf24e7ea2fbe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Baby Elephant Walk,41SsUCu2RPV280LHuc9hzt,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/59b703e5cc3087fdf5ad71a97dac7465c93e2431?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Semi-Charmed Life,42et6fnHCw1HIPSrdPprMl,Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS,Third Eye Blind,2gToC0XAblE9h3UZD6aAaQ,76,https://p.scdn.co/mp3-preview/14a7c5f918d8665cf88466ba52ada3481c2d164f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Congratulations On Your Brand New Job,5XKvbOdNngYslF7sc6yawZ,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/1bfbb0bd728e342abd558e217b738aa55e52083b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Happy Holidays,2bVhI62cLEfzhXftZjTfU6,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,8,https://p.scdn.co/mp3-preview/f2de76c6c6a0b06234c30e98f4eafe2151f48df1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,"Jingle Bells / The Dreidel Song / Rudolph, The Red Nosed Reindeer - Medley",2E6SGUIm54OvtMCKHwgisy,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/c0aabd29e9f4f40d6b660476a2df917fc520097f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Little Miss Can't Be Wrong,1uCqIhOePc6hDMG2ijk8sp,Spin Doctors,2PSiyldxmJze7xiqbz658m,Pocket Full Of Kryptonite (Anniversary Edition),3jx5C8Z66FwdjNkqsSDBQh,56,https://p.scdn.co/mp3-preview/2e4d59b23912f0bccacc9d670158c1b2c5b81e42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,We Were On A Break,6j87PuA7UPmIdoBSMW4LG4,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/412025fe0dd0ede60c7b1083f81865f240fd6a19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,I Go Blind,43tfGzIfyxAJ0kS5ZTpSHT,Hootie & The Blowfish,08ct2eZF5lUPdJpHwNKWof,"Scattered, Smothered and Covered",6JnEuZQG2UoxM7m3mR4c0v,53,https://p.scdn.co/mp3-preview/5a824f5f5e173f36e4587840a04987e19881fccf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,I Fell Down an Elevator Shaft,0VrN89va3gBoNPFLJVJ5ai,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/79ffb495ec3acab595940f206b9bef0026e75065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Smelly Cat - Recording Studio Version,61z3rnpQmyKOPpwDfDLyUy,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,8,https://p.scdn.co/mp3-preview/0e73ac490bf3c5b904b22457b837753acf19311d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Yummy Yummy Yummy,2PLv6ws97GH5yr1eDaTWQH,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/c3166458f11073702fc1064f7d49b74f4025c407?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Into Your Arms,2rD9tU2bws0PgOPsI6aIZo,The Lemonheads,6w7fc6IZlo5zwBaKT5jU1X,Come On Feel The Lemonheads,6IJq4UXwuTDgEihBeofvjq,57,https://p.scdn.co/mp3-preview/b55cca5d97b6ee2c07239ff8c21f5aa76ab79211?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,I'd Pee On Any One Of You,0wm8wNrSXIDjYxF72U8zCi,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/48594d75e14b8edaf06b09e3e9823ca8bdf99f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Big Yellow Taxi,6UkMcAA19lTdjs22jtB7o2,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,Ladies Of The Canyon,7JOdtLDLyXJIppDRB7kxr9,70,https://p.scdn.co/mp3-preview/48c0b1294058b0006ceb0cdaf84958cb51da45a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Ross Married Rachel in Vegas,3yfPF0cJ1LGIYuhsdYkaEI,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/d8c9b15edfd38b136d9b0e23810ac22e7cad11ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Unagi,3FVDo3YcEQPHL4Xlx1JLPr,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/5c67a911469f7303b426139076a03919f1d5d142?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,6th Avenue Heartache,1qEyqHR1xsj2MC4Qy0dsaI,The Wallflowers,0jJNGWrpjGIHUdTTJiIYeB,Bringing Down The Horse,2BOlaNQt6WJ1HO5pQcKHGh,57,not available
49,You Told Me It Was A Nubbin,1bud0XQwTBt1rkvkC3h0q2,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/8f64aaa001c235f714ac047f7dba5d384fe2b50b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Tired Old Souls,3IblW9hlbrJHAE5uzbvvlB,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,4,https://p.scdn.co/mp3-preview/1c2eeb5918d20dfebf3654a5c04d248fb370b241?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Here Come the Meat Sweats,4rlyxdCZswTFTXF1NHKORW,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/36fe9491ac121f502e3dd949c4574948f7fd679e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,"What's The Frequency, Kenneth?",1yStBw3HI2pnjbO3ihq33N,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Monster,3nDp9F1DKJ4FjIcRXgmOJh,55,not available
53,Your Fly is Open Geller,5jekcRP2HURQmyiv94B2J7,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/97bec257933ae63d0856094135581f15c75db26e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Sunshine - Cross Fade,0VVZTWaNKdeaIxTExI8pjZ,Paul Westerberg,3N6WAAPHoIjo6na008793X,Friends Soundtrack,2h7MgFQzwQhmFVcjAEQaHi,19,https://p.scdn.co/mp3-preview/3a9b0b2cced8b22c1bdfcae0fadd348d4b4360b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,I'm Not Great at the Advice,6fB65YoIFgPB695OoeJo3N,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/f9fa3ec49c438803996cdcd65257880c1e76834e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Beyond The Sea,48SzGqMoTSAfu13XArvyjl,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,3,https://p.scdn.co/mp3-preview/6540e076317230b79442f7b1af67f04cc43ed91b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Isn't That Just a Kick You in the Crotch Fantastic,6HWrnxUIT7MZdjlKvt5X52,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/1baceedc5bd9b76dce8299eb65da89441ecca693?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,New York City Has No Power,7dqIh1ZFqUBxvx1qJMcWS4,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/00818a47d61bf3a8dc5042d9aeea65da41730672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,In My Room,41vivHsdAPy3hRNST1Mchj,Grant Lee Buffalo,31ir0nQWMLTowZmZO8CiBw,Friends Soundtrack,2h7MgFQzwQhmFVcjAEQaHi,30,https://p.scdn.co/mp3-preview/744044d74560f64417344bfb05c992fb1f83e24e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Let's Shout (Baby World Out),5nyAVjBN0HUkvKzDJoPfcG,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,3,https://p.scdn.co/mp3-preview/fe3dae0be99cf25a8e040fdb0e06295487d7c649?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Stain Yer Blood - with Dialogue,0MaWgEPfmHQGRmbCSK2yz6,Paul Westerberg,3N6WAAPHoIjo6na008793X,Friends Soundtrack,2h7MgFQzwQhmFVcjAEQaHi,19,https://p.scdn.co/mp3-preview/df3a283d1305be4982f5d4b9898b3ee4e50c3cbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Our Love Is Here To Stay,49syPWRFhrTsz1oxg5ZruB,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,3,https://p.scdn.co/mp3-preview/c70368b6c3c91d934dee5da5233997b5b8a0ac66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Time of the Season,2iUyvvPhSYN68f67c7xeVo,The Zombies,2jgPkn6LuUazBoBk6vvjh5,Time of the Season / She's Not There,3U7gkGSzvOl0QqCe0dnOdW,58,https://p.scdn.co/mp3-preview/927af1f2fa392a8b9b3421773bd1ccd954081f99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Shoebox,1id2BGsRkzhMGSw7yIpSKo,Barenaked Ladies,0dEvJpkqhrcn64d3oI8v79,Friends Soundtrack,2h7MgFQzwQhmFVcjAEQaHi,22,https://p.scdn.co/mp3-preview/da9e09b0996ae880c22ff8295b7690de115c65ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,I'm So Excited,4bqtAr1vNHqzAqUW57SpsC,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,4,https://p.scdn.co/mp3-preview/e437cfc33f90014c43f13974a28c5308441a1755?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,The More I Drink the Less There is for the Kids,0WV0kKF8iPmvyV818o8bxX,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/2d2b53010bd3da668f4a892ee1eac474b480b6b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,River of Tears,6YxSgb19eNWGfJs8rwMkT3,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,Pilgrim,3NciWxb2An4XoNC0AaYyNK,40,https://p.scdn.co/mp3-preview/618a691a22c2e59edf90bc2b84f06cc968d06032?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,I Don't Need Your Charity,2boB201FFFxnYm0NwOYCCK,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/03eed2a903379f2dfe67717d93b3abecd22a396b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Can't Help Falling In Love,2csCv2CcVjNNYuZiCTMtZ9,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,4,https://p.scdn.co/mp3-preview/2b5abc18e2950c521bb343e98c3ec114c9169fa0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Buffalo Gals,6BSWneJvcYbZMaFUHOJBNj,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/e556ee2336943923cd7ab37215d85dc9d8abf15b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Someone to Watch Over Me,4h4bHSwiYlKSj0og4izr99,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,3,https://p.scdn.co/mp3-preview/99d9a14fe0b2ccddf01bab194c9608bd6080ec87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Sexuality,03WnBcDINaTjiGmrjdxb1r,k.d. lang,6W1BHDF0T4a4KYcSwzD586,All You Can Eat,1hSRrhZNKrc4vO6LaExvD2,26,https://p.scdn.co/mp3-preview/6f05daebb45a051129523635f1bc1ce74b7fc1bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Joey and Janice's Day Of Fun,36I1QekEee1LXz9yTg9oj3,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/40c95663f7d0f1deea747c967e66d17011de59d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,GI Joe,6HVBIV921G9qcU7DJDFz8i,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/61605f21a363124576e79953692b5fafb79480b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Good Intentions,58MDm6l6mI4hGaRqNezOnu,Toad The Wet Sprocket,4j7EVY3kuDwLPfD2jfC7LC,In Light Syrup,5JDu0X7Eo25sSx1c5UoV2p,41,https://p.scdn.co/mp3-preview/7e5e2d20d122c6bd7858cad4117cf11404df9291?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,The Rats Played Maracas,3GNWTrCbQNLHVWMH8C42DZ,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/12290e88e12ecd5627808e11287f3b163bfbe643?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Backyard Groove,6CLFb6qJMTG9qUlHRuvVAA,Paul Lenart,5hNtEnm2mJ5CeXCLpxWHI0,Electric Blues,5czNowRKYuhQf2sAAGtzwX,2,https://p.scdn.co/mp3-preview/ed5a73d01f7f6774cc105477231e67ca724d5037?cid=fa83a2fec7c440b7a2795d600d6b2c7e
