Indie Essentials | Office Stereo,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
37,Fly Like An Eagle,0SiS1Iud2fNazdtccUxE7m,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Fly Like An Eagle,3YJD5f1gXAZo08syETdfmq,61,https://p.scdn.co/mp3-preview/7a163793e194711c0eaade9d7c7d3d43c141abcc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,That's When I Feel It,5TvHnXHpTlc4b7BIs5hP7z,Richard Ashcroft,1HGTHrRQkw0BtevSo1jucU,Natural Rebel (Deluxe),0dLWgtmBilMCXU1yWJy1P9,45,https://p.scdn.co/mp3-preview/86f6be3ebb01726de71f7a5105a095c354dee8f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Shockwave,2UnqgtIfVMfZOvCDGZuUMI,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Shockwave,7hK48vJsNdxAT9hLwpWsAd,63,https://p.scdn.co/mp3-preview/2cae3e9f01697236625d55683c89f6c16bd93f29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Waiting,0vJyzamRqV9RAQhK0R9ZxV,The Sherlocks,4SrofCfzlhtiKRAsMfBxV4,Waiting,0WdCH6bIH5LRYf76sqpZwZ,44,https://p.scdn.co/mp3-preview/002fe03c46246dc8e414c75a7c8bacd199de5056?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Off My Mind,4hsx5eeRH7jlw6KdT2EbpP,Richard Hawley,1ZsnHGOLYFg8CAHQQBc1ut,Further,6Y05ozfmylDBcvNvuPEnYL,39,https://p.scdn.co/mp3-preview/d495fc265d12c9113d37c12ce151f0b03a8e15d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Catfish Kate,2A6HCBN8tKnScxJc6uiarM,Pixies,6zvul52xwTWzilBZl6BUbT,Catfish Kate,3wo9JXZ2zuTXZbUaX1ssle,55,https://p.scdn.co/mp3-preview/3fa989e63654f94b8d87e0d034d180a68a81a1fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,69,not available
44,Only Friend,5q6Ue2SuMhMBxFPDP2VWXm,Wallows,0NIPkIjTV8mB795yEIiPYL,Nothing Happens,7eed9MBclFPjjjvotfR2e9,59,https://p.scdn.co/mp3-preview/89ffc0ac7508e5f33fca17e4e0f634ca1dd789c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Rockstar,6XZ8SzOsrIPce5JdgMeJFF,YONAKA,3Wcyta3gkOdQ4TfY0WyZpu,Don't Wait 'Til Tomorrow,20XIFoAtLYdFGnDoqNwnbf,56,https://p.scdn.co/mp3-preview/0b178bf5db6f9177cccf014f32335a1673edb621?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Steve's First Bruise,0xroXDLGHnH4jOQTjZwE7N,Briston Maroney,7vtSUU3zpHeYJfX6BPNrJd,Steve's First Bruise,450GGhTSexQ1bT3QDldTJm,41,https://p.scdn.co/mp3-preview/0f1a8704a812de53b735dca93c9588c1c1cb6ee0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Who Could You Be,3RBxZTl7DVjT58mfg6TVKZ,HalfNoise,0y0UzT7xPdd9niCbsODXES,Who Could You Be,6PcZFmKMKoYAqDqDCEamxz,27,https://p.scdn.co/mp3-preview/f1ba49d5a338c6b233b3ddd91a325cdc06add224?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Wild Ones,1vbPACVwM9LFShRQWodFGJ,Crystal Fighters,75EZuo5MHV2572NRpMWotC,Wild Ones,0otYhOovMODYJS0ymDLbTS,49,https://p.scdn.co/mp3-preview/6ee2ae0247c9200d3cdf8ab24490d1e8c2c06240?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Calm,5mLTKuS2yHKBgxvm4Jn27a,Vistas,5YA1c6yVkPnflTLMfOgjzc,Calm,4OmCAIrckfZx2vVM9pIHZH,55,https://p.scdn.co/mp3-preview/46c82859319f3c6f836366c91a29a64d02724abe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,How Can I Compete,4UdONZMZRNR3qhLTEbPYLI,The Magic Gang,52pNByiBWx6SVMMqqcCA74,The Magic Gang (Deluxe),468IjYKaexANvGfdtxMdwd,55,https://p.scdn.co/mp3-preview/d64ceea133091f3db054b23d29a58c3f6fbd96c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
