US Top 40,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Lonely,1MF23oT6lg5q47LnZ91UPy,81,https://p.scdn.co/mp3-preview/3fa1dc5fe5068d6c7189d3871cb1fd1615330b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Party (feat. A Boogie Wit da Hoodie),5PDoWY5Av2Ba3rWIdY9Ij0,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Party (feat. A Boogie Wit da Hoodie),2ce9XFj7OA3f78oO5XFFhV,74,https://p.scdn.co/mp3-preview/e7d8a4a8c5200f284bf30197c90bca65d2ea0fd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,I'm Not Alright,7Ht0v0LWBCOEjmNQ0iMpNr,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,I'm Not Alright,3AaYBMcqoBYcZLfBsNDLri,61,https://p.scdn.co/mp3-preview/09b9a158cc7aba3e0dc4fbb1d693dbd854f9023e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,The Hype,7I3skNaQdvZSS7zXY2VHId,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Trench,621cXqrTSSJi1WqDMSLmbL,73,https://p.scdn.co/mp3-preview/854ee3b17e484b0727dffe62e50f8549ce66ffee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,88,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,It's You,40vQONzvJb6sKejDN3eWza,92,https://p.scdn.co/mp3-preview/1219afc55c445aa7c2776f6389a361a4fb55b570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Soul Searching,4ZKdRW0AH9sxV09NmWsTkW,89,https://p.scdn.co/mp3-preview/3040c0b95911403ee50f4633c90af4c4e586d087?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,84,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,78,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,boyfriend (with Social House),7mUTNN05gzFc7SAzknnljS,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Everything Changed…,3lltPqseSLIBK9qpjksFkc,51,not available
22,Something About You (with Rudimental) - Elderbrook VIP,5A99IjGlleONUEEXWZjXbN,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,Something About You (with Rudimental) [Elderbrook VIP],0YM7Q3vAgduKHLmxFuiRt8,55,https://p.scdn.co/mp3-preview/5784e914bea58b746976ab0341d4b808abb2da96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Lover,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1NAmidJlEaVgA3MpcPFYGq,91,not available
24,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Git Up,5dW1VZPcFqB4n0P08rGDgm,Blanco Brown,3yzRiNMZdTsSUgplcyYZ4i,The Git Up,00xSEAMEAPTF17t2rdOFYF,86,https://p.scdn.co/mp3-preview/bf19add55f2da6c1095f0d2a5fc47fdf0c6c0634?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Torn,2GdxQw8NwoeH8tKySg6nym,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn,6a6Dy4LaFvh43Ed5lomDEd,79,https://p.scdn.co/mp3-preview/1ff3cfa3fc477d266958ba7a0dbbdd0e287f9b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,86,not available
28,The Bones,3npzogdOEiVsieXmmhBepL,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,GIRL,5QakU0QMcoxjjyCS1YW4G5,82,https://p.scdn.co/mp3-preview/fc33627ba3c42dbabe573a25fdc467375df2d7f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Graveyard,6V9fHiv84WlVTg7CSnIVY2,Halsey,26VFTg2z8YR0cCuwLzESi2,Graveyard,66QwiCFDLtRbrZ5Vs9wlL9,89,not available
30,Only Human,0DiDStADDVh3SvAsoJAFMk,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2,87,not available
31,RNP (feat. Anderson .Paak),5lw8Mgb4LyhriPIC86gV6e,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,78,https://p.scdn.co/mp3-preview/a74bdd4a7eec8772c8f1c9538de440d9f3da84f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,Marshmello,64KEffDW9EtZ1y2vBYgq8T,One Thing Right,4QAC6FquY8D0RXom13iE5J,89,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Walk Me Home,7DHApOHsIFo7EyfieArYGE,P!nk,1KCSPY1glIKqW2TotWuXOR,Walk Me Home,2KKdF2S0u36Ug2jm2qTXlZ,78,https://p.scdn.co/mp3-preview/44e8764f6028b38a76a48e98d6d2f6019e60d14e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,I Love You 3000,3znQ9i61vfe2E7URHlOiyc,Stephanie Poetri,0HS00NN7MAfF59aJnfcxSO,I Love You 3000,0vaFqzSwOjHv4QhK6BizL5,80,https://p.scdn.co/mp3-preview/29607e071fe504db1425ee48b5707c7e9f34eb44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Time - Edit,1gZFRYcPz3wKevEaNYRwfW,NF,6fOMl44jA4Sp5b9PpYCkzz,The Search,46xdC4Qcvscfs3Ai2RIHcv,77,not available
36,Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,1PvEp0qeU6o2rm0i2qUC2N,82,https://p.scdn.co/mp3-preview/7821cae529a3cfafd1919b05a1c154e9cb5fc53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4W0r9HOcuCC6Vh7aze2hwi,88,not available
38,Truth Hurts,4HFpIAtiojlAuYNmITpYGn,Lizzo,56oDRnqbIiwx4mymNEv7dS,Truth Hurts,6VShAGgB6UigYcp2hNcyHh,26,not available
39,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
40,The Upside (feat. Elle King),6mPstbtzhyqKmwefY4eVWD,Lindsey Stirling,378dH6EszOLFShpRzAQkVM,The Upside (feat. Elle King) / The Upside / Underground,1B9rsSz0Prc3R2NtDrs5nN,54,not available
41,Never Really Over,5PYQUBXc7NYeI1obMKSJK0,Katy Perry,6jJ0s89eD6GaHleKKya26X,Never Really Over,3KjXg0MDej2pG9fv6I22lT,89,not available
42,Boys,3R9RSIkgkZXrIgmBHGemlV,Lizzo,56oDRnqbIiwx4mymNEv7dS,Boys (Remixes),1OhlGc0ktAKbD1GqlfvpcK,69,https://p.scdn.co/mp3-preview/a2db1ef85045a88632b9e8d4a5651721d2afeffa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,What You Did (feat. Ella Mai),2B7UWqNqKgPVGQQ6FXn2PP,Mahalia,16rCzZOMQX7P8Kmn5YKexI,LOVE AND COMPROMISE,6tbaSZ6Q72kofaJtscUwFA,67,https://p.scdn.co/mp3-preview/66fd92a5d15e2ea822e7990639f4ada5ca9a0a25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid),3E12WU80fDMyu7GyIAx7wJ,94,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Panini,1000nHvUdawXuUHgBod4Wv,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,83,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Call You Mine,05CwHjIk71RXVU40boRMnR,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy,1ONuDpN0a3zhCUyKCgtuzK,73,not available
47,No Way!,0yYwS7CXKIPC4kWPvZQfsT,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Soul Searching,4ZKdRW0AH9sxV09NmWsTkW,79,https://p.scdn.co/mp3-preview/c90e7fbd5867542de087dd5965090cdbc74c63cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,Taylor Swift,06HL4z0CvFAxyc27GXpf02,You Need To Calm Down,21dd5QyItuoqvPkViQXlKf,81,not available
49,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,95,not available
50,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,56,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,61,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
