Indie Heroes!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Club Foot,6C0xucNj75wRdlejwWIEW1,Kasabian,11wRdbnoYqRddKBrpHt4Ue,Kasabian,0VyDvw4MT9XDoSzE24yBCc,64,https://p.scdn.co/mp3-preview/be51a144780e0ee621754d594b62963bacedf02e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The Runner,0AWYvdcS6N463VlsbrzijH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,7CwnnH6mZCAKwKLgwrLWRU,66,https://p.scdn.co/mp3-preview/c5d8e1f2a045d2e5917e4eab92352a31852aa399?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Decent Days and Nights,1XmlJBByvDcaT914vzCmZd,The Futureheads,3TBfn8PtXr42OrTPaoC3E8,The Futureheads (new version),2G9UuU6wxAa4FoIv1rwHBo,35,https://p.scdn.co/mp3-preview/9d3225b1a369674a0459c26793d430fef02bf758?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,A-Punk,1595LW73XBxkRk2ciQOHfr,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,7JcfNKXoHSaog85a1hd4lx,67,https://p.scdn.co/mp3-preview/ce3001b756ed7af0d68d63b12cf9d5b305641661?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,All This Way,7k28YUCgLlUvixRTWIrnVn,The Magic Gang,52pNByiBWx6SVMMqqcCA74,The Magic Gang (Deluxe),468IjYKaexANvGfdtxMdwd,54,https://p.scdn.co/mp3-preview/d02cd33338fa10bd6504ca96b9d7a3923a77f45c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Heavy Jacket,3TWUzf9n2TQdQCKYU4LiGX,Courteeners,1NfJU4hy56Z4UM4iyIa1B2,Heavy Jacket,1VIZVtdQpHj3496MqE9f9r,54,https://p.scdn.co/mp3-preview/75676b714933834735e44627e6085b6a0babcc3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Hard to Beat,34L2ThvPUNNAMUZ5Ei1F54,Hard-FI,14Gi3Uph96lpNB3utkoVAD,Best Of 2004 - 2014,0GWExk41YChmtb5xxyz2ok,46,https://p.scdn.co/mp3-preview/055a5e06f77cba79f1f5840822d4e7ff06ae0ce3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bohemian Like You,0yEhNqCwEfy8LHUmnZoHpP,The Dandy Warhols,7siPLyFwRFYQkKgWKJ5Sod,Thirteen Tales From Urban Bohemia,0vdIT4p5OlKOcEzYKSsqn4,66,not available
18,Shockwave,5DJctS0yiHX7agIGnfgnu1,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Why Me? Why Not. (Deluxe Edition),6iInyjotj1rYpx3vbX0MxX,62,https://p.scdn.co/mp3-preview/2cae3e9f01697236625d55683c89f6c16bd93f29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Blackened Blue Eyes,2WBDg1LNZsuMtGhOhMRXLv,The Charlatans,5fScAXreYFnuqwOgBsJgSd,Simpatico,79S5DkJ6F4iYtzTK9AOROL,34,https://p.scdn.co/mp3-preview/7054904f9e517f2672be5d61337308ef7bb7f5a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Mr. Brightside,3n3Ppam7vgaVa1iaRUc9Lp,The Killers,0C0XlULifJtAgn6ZNCW2eu,Hot Fuss,4OHNH3sDzIxnmUADXzv2kT,76,not available
21,Richard III,3p0rnbnQc8WPJjcMyUsglj,Supergrass,0sHeX8oQ6o7xic3wMf4NBU,In It For The Money,67qnhGyaN6Z0PYJMEePzjW,46,https://p.scdn.co/mp3-preview/bb381e210f1c36d9383b1d4b42036cbc29d19170?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Buck Rogers,6d9SHDUdm2BZOzXG97GyPZ,Feeder,0ZZr6Y49NZWRJc0uCwqpMR,The Singles,6gSpa42uz0cOvJddu1yFuO,52,https://p.scdn.co/mp3-preview/a03aacbc00c1ccd2de745b46385873a6485ce6f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Live Forever - Remastered,2SwLswBtbxloI4uMcfkfLf,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Definitely Maybe (Remastered) [Deluxe Edition],3jnyR6lycuXlPjNH7FVRf5,56,https://p.scdn.co/mp3-preview/632904838da337e29e89ae81aef0e28587e0d002?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Black Bull,14PVSmvbws1BrJynbTCJB7,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Black Bull,5jnW68gaF2SWL27bRIkq0I,63,https://p.scdn.co/mp3-preview/35552ee44312b1cd4e6cc399d2ab8cfb314c56b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Fluorescent Adolescent,2x8evxqUlF0eRabbW2JBJd,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Favourite Worst Nightmare,1XkGORuUX2QGOEIL4EbJKm,76,https://p.scdn.co/mp3-preview/cb8560b45aa0d4028e94a2648686c460641074d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Gone up in Flames,3zYYdVwRWn7RVAtLMbN5cA,Morning Runner,3UvsX37JzJrmhTea2t3Wei,Gone Up In Flames,28LdjuId10OCMjBeeuXoOm,35,https://p.scdn.co/mp3-preview/840c3bb632e5180134030c82f9fd14384e565965?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Delivery,5T9ir6tlqhhbKVzIC0ssbs,Babyshambles,0IBAqjHG8DSaD7PPCGnGiZ,Shotter's Nation,3riBfJ503oK9oDH4TRXWfF,50,https://p.scdn.co/mp3-preview/df8d57a2ad4d435151b08367e2859237d96d8a22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,All My Friends,2Ud3deeqLAG988pfW0Kwcl,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,Sound Of Silver,1R8kkopLT4IAxzMMkjic6X,62,https://p.scdn.co/mp3-preview/050eca5f5502ce77a428db59e96fb4aaf5482cc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,This Is The Place,3lT8inlvG5RNG5R4I3hF6x,Noel Gallagher's High Flying Birds,7sjttK1WcZeyLPn3IsQ62L,This Is The Place,2LP5n3Dvfm5AwyRB6bKnXV,49,not available
30,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Woodstock,4VzzEviJGYUtAeSsJlI9QB,81,https://p.scdn.co/mp3-preview/c32d9479367a99fcf5f881e23e1381e6f87214e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Chaos From The Top Down,75vYT7rkUS3AizWDYChNAK,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Chaos From The Top Down,2LAZtQ6OG9Bbix5bfZJ1Oh,47,https://p.scdn.co/mp3-preview/66939ce52799e26d21023cded3338ba5748c7c89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Dry Your Eyes,3PEx44by2Pe7E6M8tgqE5N,The Streets,4GvOygVQquMaPm8oAc0vXi,A Grand Don't Come For Free,365ETCJBUmEWroc4UGBS1u,55,https://p.scdn.co/mp3-preview/7331ac618622630033c5ffd3c99e686ef5b6982d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Seven Nation Army,47wPvRG8FEwbZP22UBgTQr,The White Stripes,4F84IBURUo98rz4r61KF70,Elephant,4bud6XY9UtafCOiYzv2vOl,79,https://p.scdn.co/mp3-preview/0cf1b44cf203258ea446560c62e891b887262024?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Feel Good Inc.,0d28khcov6AiegSCpG5TuT,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Demon Days,0bUTHlWbkSQysoM3VsWldT,81,https://p.scdn.co/mp3-preview/7388c425022ced92b1caa7f73bcf0cb3080aee47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Over And Over,6m5D7zGVbzAxceDXQTsRSX,Hot Chip,37uLId6Z5ZXCx19vuruvv5,The Warning,4AZpJ7WG1RFcimSggc05ZC,5,not available
36,Time to Pretend,4iG2gAwKXsOcijVaVXzRPW,MGMT,0SwO7SWeDHJijQ3XNS7xEE,Oracular Spectacular,6mm1Skz3JE6AXneya9Nyiv,72,https://p.scdn.co/mp3-preview/43cdff18bbe12ddd0a1ec829b87cf15b43a0a73f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Bizarre Love Triangle,6wVViUl2xSRoDK2T7dMZbR,New Order,0yNLKJebCb8Aueb54LYya3,Brotherhood [Collector's Edition],0PSWY4XyjTWppfBb0tBtqu,67,https://p.scdn.co/mp3-preview/9919011c37f35242b40b1e6aa8b822af07cee86b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Rock & Roll Queen,75lw5aYrDq0TJsbkqCPRIJ,The Subways,4BntNFyiN3VGG4hhRRZt9d,Young For Eternity,3BHVEMienVRnrpWJJCJSgN,52,https://p.scdn.co/mp3-preview/3f046a9959152487e947b643c9ceb79d72d41dd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Men's Needs,3qel23hQWhHT3qGewBQ0pE,The Cribs,51Eq6WMVEOjjx9KQMAnneG,"Men's Needs, Women's Needs, Whatever (Standard Version)",0uf3G2hMRqZ0LOqv6QhZiL,52,https://p.scdn.co/mp3-preview/a920b4c7257a766f92fb2e0a7d9e222ce3e3fee2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Teenage Kicks,4wNATViXFXHOKsGgEehnBT,The Undertones,2WRStKp4ihGVUzlzWfv1Qt,The Anthology,5lVtnzCHr3IAncUK710Mkv,60,https://p.scdn.co/mp3-preview/71dd43e758517421887d7fd6d2ce76acc5fb91ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Someday,7hm4HTk9encxT0LYC0J6oI,The Strokes,0epOFNiUfyON9EYx7Tpr6V,Is This It,2k8KgmDp9oHrmu0MIj4XDE,68,https://p.scdn.co/mp3-preview/320766cb9483ef72966ebaa0369034246a100b63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Lucy,6K3b1gElKi0uaT9gCtwFhy,Ten Tonnes,4hfrzKkUsrb3Cz209SKxbo,Ten Tonnes,6SXLTWeEKnrJeharDkiQQE,53,https://p.scdn.co/mp3-preview/a2ea4c14aa4284235b4641f9472e65aa7217c666?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur [Special Edition],7HvIrSkKGJCzd8AKyjTJ6Q,75,https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Love Will Tear Us Apart,2JO3HwMRPeya8bXbtbyPcf,Joy Division,432R46LaYsJZV2Gmc4jUV5,The Best Of,0p8Zy0wEzDYiFDcSt07UHe,72,https://p.scdn.co/mp3-preview/18a4b498250ed137d44823f2d49170be32336433?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Can't Stand Me Now,71D4LseR0RADPbyvMeTIHR,The Libertines,4fSPtBgFPZzygkY6MehwQ7,The Libertines,4Fpg7zSk9EdANLYiPXd7ri,65,https://p.scdn.co/mp3-preview/0a0edbb25cfb8c6618af634b48f305f18ba79e5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Disparate Youth,7d23MhPFE9eB3U8DPRirnL,Santigold,6Jrxnp0JgqmeUX1veU591p,Master of My Make-Believe,69jrxUSjHoEu6PeBMq3273,60,https://p.scdn.co/mp3-preview/25b3e506c1b2542efab2ffc754a2d6bddefe0cc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Take Me Out,0ancVQ9wEcHVd0RrGICTE4,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,03akiuheNt5mJqltALnalP,16,not available
48,Praise You - Radio Edit,2tn9zXqIZJbgL1swqwOktz,Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,Why Try Harder - The Greatest Hits,5vpSQUagobcDEf6IVcmM1m,66,https://p.scdn.co/mp3-preview/d1d6a884527c825c67fd6c93d65e81ac6d3324f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,If You Wanna,0KNVDEeZWXZPIYKqJeRRpX,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA,What Did You Expect from the Vaccines?,6eWtdQm0hSlTgpkbw4LaBG,65,https://p.scdn.co/mp3-preview/c9c6cf8200bb1c6daa7dd4697f26d0ab87888f3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Ever Fallen in Love (With Someone You Shouldn't've)?,09lP8TerTaCIGiNKsdRgB1,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,Singles Going Steady,2P0baUWHo9FQ5No7QjpCO7,2,not available
51,Valerie,2LuJkoxMlLQshNTVa8oCXW,The Zutons,2qV7axHq9Jk7QqFcB3f05A,Tired Of Hanging Around,4fvsd8sC8ExZgdIUSzSYGX,59,https://p.scdn.co/mp3-preview/b1f9203a6e9819e717a3e827b291cd5a7b265587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Wires,67wHQ6NwWZkU0JSUpzGBcS,Athlete,6C0JkmxU2cgkVzotHJgfW7,Singles 01-10,3LJHCnRLOCm9rtweDA7lJt,0,not available
53,Good Souls,1KSglW1keJnPaD5M86SxO2,Starsailor,0G8zjE6SsFTlbglCkU8pm3,Love Is Here,4PyGvXTMf0PmsWsDWohFZw,23,https://p.scdn.co/mp3-preview/d8f15a0f343f82c2421d7ed5b02de132ba7859af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Boys Will Be Boys,7yytYSWCUROoZSaxsoLrxn,The Ordinary Boys,2xPxXPgmZFs7x6xRFpHwkq,Hipsters 2000,1ua7a2bPj3chCe0iouYWtG,14,https://p.scdn.co/mp3-preview/a3bce509aa4e7feae999706368ee432b0fa83716?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Same Jeans,5aUwnYLjQD7OfLMJDWSnsT,The View,1fy3AQc7grjf5LnCd7snSg,Hats Off To The Buskers,12yQO4oDX8b62BBayoyHRM,58,https://p.scdn.co/mp3-preview/eeca3e1470a2804d41f6e622a164ee6958c09ca7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Just a Day - Edit,54hC2IlmwTiwbj1oyLxg69,Feeder,0ZZr6Y49NZWRJc0uCwqpMR,The Singles,6gSpa42uz0cOvJddu1yFuO,56,https://p.scdn.co/mp3-preview/362a35248143ba29f507bcb0eff063b2fcf31fed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Munich,2QN3pPQYoKsh5dIgEVnsYG,Editors,6e9wIFWhBPHLE9bXK8gtBI,The Back Room,3tyXkAvfRDJ8VGSRESupqI,62,https://p.scdn.co/mp3-preview/92cec3d5850cf8d2d18602ef177a3af5b861f633?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Dreaming of You,6ebxt3Iylxe0GcEuUGlIvb,The Coral,6OiHleP2bHM18dXq4aZQWt,The Coral,6Fhnezpt7TKojq1ufkZ5qA,66,https://p.scdn.co/mp3-preview/14d3eb694de0c57662abad60a15f2cb3e82dd14b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Golden Touch - Full Length,06aMDKw1zNra92edkj2QrY,Razorlight,450iujbtN6XgiA9pv6fVZz,Up All Night,6iRS8yRhnTgNEQrBoB2azm,44,not available
60,Chelsea Dagger,1bCmvezFg5MRcENzCGG1Cy,The Fratellis,3M4ThdJR28z9eSMcQHAZ5G,Costello Music,7avNT7QnpWXl1Khqnsguaw,68,not available
