The A Word Playlist (BBC One),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Middle of the Road - 2007 Remaster,1YhyOTcVjHe73cm6tYrHkA,Pretenders,0GByy3DcfbQwDvXGCWmzv9,Learning To Crawl [Expanded and Remastered],48NYXFdasUBuSeO3RAolt3,50,https://p.scdn.co/mp3-preview/6658e4bdab6b88ec849455a2efad6a6aaca0248a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Easy Peeler,1msnlWGRSRsSOb26Avv98C,No Hot Ashes,1qRcRMoFWPryJI9o9uBVPN,Easy Peeler,1zMGEudKxOfrZuchHwYPDU,37,https://p.scdn.co/mp3-preview/661b7b189866a2da6269de83a51955b0b6c72a32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Goose,1Ocs6OsUHqbmYWpkAwEh7O,No Hot Ashes,1qRcRMoFWPryJI9o9uBVPN,Goose,1RnqoQr8SgttdUB5kYBBaf,39,https://p.scdn.co/mp3-preview/c9963940301361a0e3db2f67705f34b35a114744?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,I Don't Know What To Do With My Life,3tqCs1Gj3ERfQ9bNJCAFbq,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,Operators Manual (Buzzcocks Best),7zjlLGWtmj6BCqwEyacb5z,13,https://p.scdn.co/mp3-preview/1f03148fb8c3f4042b870bab214b7d511d2d9f79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,When Will I Be Famous?,10ey3FjYGiU95BQLJ10rBR,Bros,2LKrAJVB1842xPDvx4uuwU,Push,1wew1jGkLYzH2eDHnGm0j2,0,not available
41,Victoria,1o8Lq5c61YtYEfLsEk9Q1e,The Fall,6WoTvA9qinpHtSRJuldYh6,The Frenz Experiment,3oKa4kYliLW7iatacSXDAb,0,not available
42,Right By Your Side - Remastered Version,252fosbGeg1SBgCxVQm5JP,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,Ultimate Collection,2TKsB0j63p4cM14CBqPEtq,27,https://p.scdn.co/mp3-preview/4b096532225883d67e88167eb687a153725221c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Louise Louise,0yrTpelg9amIy5P4o5kubF,Orange Juice,2u7xZP39dtED9EuRX9MUwu,Rip It Up,2O1rwWqABLUHmFnmQxOt6F,22,https://p.scdn.co/mp3-preview/35ffc6348afeab76f48e2ab5db96602709745d86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Valerie (feat. Amy Winehouse) - Version Revisited,1UxisKljksGRNwJBPp4Tri,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Version Digital Edition,1nojrwBYMmq5jY1gJYtywa,60,https://p.scdn.co/mp3-preview/87bdb163da1a724e78745a8b52c708a72696817f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Smash It Up,12mEx5K9FVDFci9RNmCWuu,The Damned,6VeL8VhaMjHTPc5uovFl3h,The Chiswick Singles And Another Thing,1xbpms3NxhGF9q0UXAeoAu,32,https://p.scdn.co/mp3-preview/81130192094f2a034ce907f911e4165e2d7f2b69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,My Favourite Dress,7acetZE28xKBE48s7dxyA0,The Wedding Present,4tyCvqG48h4LdcbFfWBjR9,George Best Plus,6lQXOqfydTANrrEHzf42JT,0,not available
47,What Did Your Last Servant Die Of?,5HCW49tPWnnYSDCwFJvCM1,The Wedding Present,4tyCvqG48h4LdcbFfWBjR9,George Best Plus,6lQXOqfydTANrrEHzf42JT,0,not available
48,Geraldine,75UqWU4Y0YdCB9MrnKZZnC,Glasvegas,478peoEkoKPsTgRiVzkvPl,Glasvegas,2MLOTcKvTfrJHhEeRb164i,3,not available
49,Start!,5C8TU0Ke2gnuVgLqRWKa1a,The Jam,2P560DaOMNDUACoH8ZhOCR,Sound Affects (Remastered Version),43SBfe6XWr2AkSLLqphSqJ,0,not available
50,You've Got My Number (Why Don't You Use It!),3OHtuvT27f8du8mmPyiV07,The Undertones,2WRStKp4ihGVUzlzWfv1Qt,The Anthology,5lVtnzCHr3IAncUK710Mkv,33,https://p.scdn.co/mp3-preview/c53ae2e16380825e13d0fb6e7b077e909ea231d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Getaway,1DeR7mt7Y20BCF3qMmPTXW,Blossoms,22RISwgVJyZu9lpqAcv1F5,Getaway,1YARBswZavOMhiIZMMuttR,0,not available
52,Goose,1Ocs6OsUHqbmYWpkAwEh7O,No Hot Ashes,1qRcRMoFWPryJI9o9uBVPN,Goose,1RnqoQr8SgttdUB5kYBBaf,39,https://p.scdn.co/mp3-preview/c9963940301361a0e3db2f67705f34b35a114744?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,I Can't Help Myself,21lQBAqbfwumhJ5M1ekh9x,Orange Juice,2u7xZP39dtED9EuRX9MUwu,Rip It Up,0M8nGzVxKuM41Wr73dU9ex,0,not available
54,In The City,0YnN7lY1escDoM8M7AGnBi,The Jam,2P560DaOMNDUACoH8ZhOCR,In The City (Remastered Version),5DD8e6UAxYd8f1f7j94hWp,0,not available
55,North Of Heaven,35j5TUdTLOfE0eGRR5aGas,Edwyn Collins,5Qlt3zQ63Z99mNhuun0JAT,Gorgeous George,4gIHBmLBXUnDJgWhcPzNDG,18,https://p.scdn.co/mp3-preview/190e2d46beec258cbe37871ff3d4ef81b788924b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Everybody's Happy Nowadays - 2001 Remastered Version,3EAXOoLBCkH3S1CP6FSWGF,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,A Different Kind Of Tension (Special Edition),3v4JnHV14VstZfGKJ49bi9,0,not available
57,Brassneck,0HSuzEiiKyYUte1hB2ziE0,The Wedding Present,4tyCvqG48h4LdcbFfWBjR9,Bizarro,3tp8pJWiuLPiwxZ1URt1OP,38,https://p.scdn.co/mp3-preview/9925e7fd9560e93b64e57c8fbccbfc6561af06f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Back for Good - Radio Mix,24fQpRwKFkC3Fe8QtvvrNw,Take That,1XgFuvRd7r5g0h844A5ZUQ,Nobody Else (Deluxe),5QnHvl0ne6yEhRGw3ajvFF,70,https://p.scdn.co/mp3-preview/8f9085faa29895e3eb68da902f2ba0d6ad180ddc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,There She Goes,4c6vZqYHFur11FbWATIJ9P,The La's,47Z8LEl3LnQkcpva0xSthT,The La's,1djwiQ802xeU8Q45jv1b0x,68,not available
60,Autonomy,1NkJlugq3clGw4OpBs7xDR,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,Operators Manual (Buzzcocks Best),7zjlLGWtmj6BCqwEyacb5z,19,https://p.scdn.co/mp3-preview/1fb73a5a4562b9e4fd8234abd5f764746522c2ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Sticky,11AV1xiMzfOmyRrxbtX7y6,The Wedding Present,4tyCvqG48h4LdcbFfWBjR9,The Hit Parade,4kMYJadv45yEXwAeOGRddM,9,https://p.scdn.co/mp3-preview/78d1fca429fc45a8febd2f2242545a86bafd5d58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Too Much Too Young - Live,6dAPDUcin8fkAmemnzVxbz,The Specials,6xnvNmSzmeOE1bLKnYXKW3,The Best Of The Specials,6rrLvfVJh2GoIY36EphGSo,0,not available
63,Rip It Up,6AGhDIyDbRonzGTdbIsNXa,Orange Juice,2u7xZP39dtED9EuRX9MUwu,Rip It Up,0M8nGzVxKuM41Wr73dU9ex,1,not available
64,Going Underground,2rs0JKFm7CjovNlfYI62cv,The Jam,2P560DaOMNDUACoH8ZhOCR,Setting Sons (Super Deluxe),1zTtFTshqEUEHZwN0n8wIx,6,not available
65,Know Me From,5qcSy70d147M9uFynKgDgl,Stormzy,2SrSdSvpminqmStGELCSNd,Know Me From,2LAaPIrrZ2ay8uL2h3cSwH,0,not available
66,Secret Heart,3VCxzBKS4TKbu0nRU5kMrw,Ron Sexsmith,2wXBWJhbm1gfEVjyEEuhDH,Ron Sexsmith,2OkFWyya2MrukljOm5awF8,0,not available
67,Your Star Will Shine,61TLlroQ64VT3rnDbV2bfn,The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,Second Coming,6cCshTDWi2wp5eluBlCfrv,0,not available
68,Leave Right Now,4mZsyuthp695XQWwb2g3qe,Will Young,2U6gqwyl9F33YxawnFrZG7,Fridays Child,0eaPZK3nTV2Ei075j2t6Na,58,https://p.scdn.co/mp3-preview/d889706d9c14b475b11a10f26129b2f3b7a7e420?cid=fa83a2fec7c440b7a2795d600d6b2c7e
