A Sub Pop Fall Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Give You Game,57R6qDodxcoKZ0WHUgKfjX,Knife Knights,5MkIifBOV94xvm2tr6XliJ,1 Time Mirage,2ECHYflSemkO7lQ9cIlmpw,25,https://p.scdn.co/mp3-preview/06d2241e468e161401537e4e1b2b334a41ae9f2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,This Mystic Decade,6XbOLKMqGDxqcdLBshSiXJ,Hot Snakes,5hEP2P4E1FjoFYdhhxe7vi,Audit in Progress,3OZqp1TbYZBzg6eN9I6wPj,35,https://p.scdn.co/mp3-preview/6ea453ef5f1bfa559c2bc72d8660693919e2d65c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Big Top Halloween,7eNLYAOfBciyd45dvHVxZu,The Afghan Whigs,7IDrRpDz0cOuUVC32c8PKD,Up In It,2y9tSo0MUdxXiPSJbwEfJD,0,not available
34,Beached,73ydOKt4hwReJIaBBbJryQ,Man Man,0zprAu7NrzRehc0Q0Jc7mL,Beached,2MWBl83sOoVfjiRbqZFBHZ,36,https://p.scdn.co/mp3-preview/69f0effed2df692fd0011f23055421b7c0835a72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Time For Moon,2cZFUigQXuynT0GXD1AqQv,The Go,2m0xdXsYglZKSzqVkZtFi8,Whatcha Doin',4Vc0EenPbIZSomOwe2GS6T,0,not available
36,Leave That Light On,7xns2VkQZCtsvIpniEYR1X,Beachwood Sparks,07tmbQsiTfXekPkbovBERR,The Tarnished Gold,0xmGXUxBRreSZgkeaSCyDg,0,not available
37,Icicle Tusk,0Hg7k4fgqHFYPQrB1UKUZu,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,First Collection 2006-2009,62miIQWlOO88YmupzmUNGJ,38,https://p.scdn.co/mp3-preview/6cd41128634f3519ec20790e3c2ab9d5ae200508?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Field Song,0mbQZ5k1IePcgdCufzonYD,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,Field Songs,04ASPfRh4CrzJXln0xm32U,19,https://p.scdn.co/mp3-preview/4bb2c316b2184cb90da8b2c4f16bf443c34aca44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Cinder and Smoke - Demo,4aLYtHA9bK1QExXsxIBNej,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Our Endless Numbered Days (Deluxe Edition),0r2vfjfeQAfmgHbrh9Q0Rv,29,https://p.scdn.co/mp3-preview/a1a41cdb81031a05943923eda9098aa6b0214688?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Black Willow,3zXcrHaPNOoSm3gqpvpiU0,Loma,4oCcCzMjKNCjQTzxtVlOJT,Loma,1yXlpa0dqoQCfucRNUpb8N,38,https://p.scdn.co/mp3-preview/1af25b8b8f50062646bb81501f95f49c9804a6c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
