Rick and Morty Expanded Soundtrack,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Unity Says Goodbye,0WUxpu70JbF8alV2lQ2KCK,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,36,https://p.scdn.co/mp3-preview/f292b05807746c90151c0cc668f1c34a4bb80fdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Get Schwifty (C-131),2x5QAdEPa0lEZMr38APFY6,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,46,https://p.scdn.co/mp3-preview/c42f06466df573176bab33ef373366a54d0c250c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Raised Up (C-131),4PJeNFfSNCPG5hoOeVBSTT,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,36,https://p.scdn.co/mp3-preview/3c92f653333abeeac2d1049df4847172d63cee9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Stab Him in The Throat,4JvYBoNWtFKqu3RwoQPdd5,clipping.,5HJ2kX5UTwN4Ns8fB5Rn1I,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,33,https://p.scdn.co/mp3-preview/98b808a24092fe58eab3cdc61d64770a1f53cff6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Help Me I'm Gonna Die,23BWUAoCmtQ3CueouiQB0r,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,41,https://p.scdn.co/mp3-preview/f0d7ac83b1600a487c2ded9a2ab0861c52afd586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Let Me Out,7gQNSwKIkKHwZ68SCmBJVu,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,34,https://p.scdn.co/mp3-preview/1f446b2db4b2f050f2ce44ed4040c541692aa69c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Memories,6M06BGVodJ0lxMA5gH7H4C,Chaos Chaos,6D6rjLdxyE5vwhMlkuQq0E,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,42,https://p.scdn.co/mp3-preview/ff0f93754ef9dfec206bd2d378d5b6b17757e692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Stuttering Light,21v0MSucxYYAiTd61PBPn5,Chad VanGaalen,597yzFFRvWnxCtDInHwciZ,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,35,https://p.scdn.co/mp3-preview/84098a1114415158d781a61d52b75f1c84de0ce1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Alien Jazz Rap,24M66tezrukaHbEGlqRjGf,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,30,https://p.scdn.co/mp3-preview/68019e474eaebdd26fd1f197a423521a0e43b002?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,For the Damaged Coda,7jA5OcunWRSYXq98puhAX8,Blonde Redhead,5isqImG0rLfAgBJSPMEVXF,Melody of Certain Damaged Lemons,5ozMQsDFl6QNqB2bGiMuHU,63,https://p.scdn.co/mp3-preview/999b2962c930d4754ac3a4b5e0fe5e87d7e6f0b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Fathers and Daughters,12BbQmJqY7KD4BRrlsAV7q,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,32,https://p.scdn.co/mp3-preview/69b8fd68e23634effbf653adf31a863d8d6b1b25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Seal My Fate,6KAWs2py9XiXDgGd6melt7,Belly,3h1HOgVmvPlhqjz8o3LglL,King,64fK45fLdVgZKHcK9LKdS2,31,https://p.scdn.co/mp3-preview/1b4a01af8b3096fe6ad5d6da9944bf8bef8d18b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Terryfold,29tzM8oIgOxBr3cI9CBOpb,Chaos Chaos,6D6rjLdxyE5vwhMlkuQq0E,Terryfold,4JKaecqkR2ERMQxlxM4B1D,48,https://p.scdn.co/mp3-preview/bbbecadcd05559aec8f27e446c167c8140ec10c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Tales from the Citadel,1e0H1xfXQoxqbWvgUOwvG1,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,38,https://p.scdn.co/mp3-preview/c1c90ee6e76d4fe042f26e5a133338d2fdcbcac5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Rick and Morty Score Medley,3UtpGYDrDYk5tireBpD6mf,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,26,https://p.scdn.co/mp3-preview/548a1182ad2d5c70dba71cf85280147800d48455?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Human Music,5PvH3rnQPUdugtGCxWwDod,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,31,https://p.scdn.co/mp3-preview/7cca9e029560c428e8e6a20b4b0047279dfa5be2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,X Gon' Give It To Ya,6uP0XLqjRqFx8HAfesdcAg,DMX,1HwM5zlC5qNWhJtM00yXzG,The Best Of DMX,5I7EYZ1edjUbfyY5WR3l9X,15,not available
28,Between the Bars,7BhZDvzJV21Dd5bY9xvtII,Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,Either/Or,1Od4S26RB37khls09dsUxL,49,not available
29,Hurt,4pFnV6aV1bnEDqPDGBlrNp,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,The Downward Spiral,3i13RcPnJ0AkHEamweLGhq,10,not available
30,Feels Good,4cRR2gUTOerkUOW5iZpm91,Tony! Toni! Toné!,7vWlb4pM85jCHvV771qZZW,The Revival,5yORmYtkTZdFgo6ppcsFZT,59,not available
