New AF!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
15,BMO,7Ffgp7DIow5wECYQyzEiTq,Ari Lennox,1vaQ6v3pOFxAIrFoPrAcom,Shea Butter Baby,3hejjJbFsinMBc1KBqF71w,70,not available
16,Dior,79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Meet The Woo,6d1vGZsr6Uy3h9IigBpPAf,68,not available
17,No Hard Feelings,4dHLTRnNrrs3pDXeQxj1g5,Melii,4udfTw7V8jI4AHi7PEfJfj,No Hard Feelings,3JO4jf0x5q2Wa5XlhyPqys,57,not available
18,On The Road (feat. Meek Mill & Lil Baby),0hGH0S74Eoyv6mXZcOKtdQ,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,82,not available
19,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
20,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,87,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Welcome To The Party (feat. Nicki MInaj) - Remix,0i56hhAdCCT5KqZIy4pHQ4,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Welcome To The Party (Remix),51F2ekuk5qdwFSLFgzq1YL,66,not available
23,BIG,2qSpOQdHmHpOcVXzV9WU5w,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,BIG,15Hb036I0nq54xg0ZRGZLr,76,https://p.scdn.co/mp3-preview/b48bc6b0ead1967e78fc348fc2192732fff9cabc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Ballin' (feat. Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,83,not available
25,Did It Again,01Qb6dN5suQNu87VJ1mIpf,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Did It Again,1NQuFYzzL0WbNOTjsXzXYf,79,not available
26,F.N,0UPBidRYcgJ2mjZlk08V8x,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,F.N,6Wsv1spcNRL8SMOWie5cdA,87,https://p.scdn.co/mp3-preview/10fc336ccb595bbc474f2427d8aedff4b57d7bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Water on Water on Water,5YGhm6pI5s0uxJ2DwrDYqO,Young Dolph,3HiuzBlSW7pGDXlSFMhO2g,Dum and Dummer,5QNIFVnhZn80T3EteDzvgW,70,https://p.scdn.co/mp3-preview/66402975f89513456bc02301635a6a2a4ed166f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Double Trouble (Quavo feat. Meek Mill),7jdKjf1lZnJ0m5ZBZnJ2ZF,Quality Control,6i392l38cR3uBPF0DbNs7S,Double Trouble (Quavo feat. Meek Mill),5fzNN6EKHEZyqfBs4MFMrA,55,not available
29,Out The Mud,2wZjsbwmWfNVslgV5afl1L,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Out The Mud,1LGwG4vhQIOwCBZhyEtL4u,77,not available
30,Dumebi,1sBX7EfLOgP3u6gHJBSqQg,Rema,46pWGuE3dSwY3bMMXGBvVS,Rema,2S0vU69yNYqOkHA62JSjT8,62,not available
31,Tempo (feat. Missy Elliott),6nBQFAIVFmAx2oZ8p6lUg6,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You,6dFFcYQ8VhifgdKgYY5LYL,77,https://p.scdn.co/mp3-preview/e75e1519123e780dff439d0eea7de584e0fd0cb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,87,not available
33,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,3TVXtAsR1Inumwj472S9r4,The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,93,not available
34,Ransom,1xbtojAZsQjOgiGdGX6ChU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Ransom,0Pjp31DH4uBcFUi7w2QCCt,53,not available
35,U Said (feat. A Boogie Wit da Hoodie),209r8VXhRUVmv7A4VnX4fD,Lil Durk,3hcs9uc56yIGFCSy9leWe7,Love Songs 4 The Streets 2,2on4MsaadD3GhX1Z9kbZxl,63,not available
36,We Gon Make It (feat. Meek Mill),7Eha3JBkA7xsMUEXng7lUP,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,63,https://p.scdn.co/mp3-preview/958942ecd5c72739367312c144281965863eb6f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Prove It (feat. J. Cole),6z7jvqBQtyNLxaKALqT67c,Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP,K.R.I.T. IZ HERE,1KvZT4NZm69EkOym8rLqW1,62,https://p.scdn.co/mp3-preview/3bd49b1fd327d6485bcc6b829063f50e70072a03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Snake Skin,1usK5eLBzpQTMwDt8SR2dr,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,!,11vLnrFGWQRbonR6wFuCf8,74,not available
39,Do You Care?,5ndBtLAqh1DFWIRYGd6eo5,TJ Porter,3z3xPw2NyqrZgITJS0Xvs4,Do You Care?,4Rqi3Fea4HeQqUM4y2qy6x,43,not available
40,Trap (feat. Lil Baby),0mnVrUP1TAoO223C0N2NYI,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Trap (feat. Lil Baby),6Dho5cuziQQuBJ1IuS6FDU,70,https://p.scdn.co/mp3-preview/7939c2cfe694172b5a52a98dbfe6123201d203ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Money Groove,1seraqVbvtTvzj1MEGpnZd,J Jig Cicero,4a3DNQRrrpMlD8DnqLVd16,Money Groove,4diJAZM0bY3J5raI6XYbpW,10,https://p.scdn.co/mp3-preview/f44b14e297a4b6c05da1d1ad757a24dbbf5a2f80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
