Latin Jazz,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Águas De Março,3IvzsLgMv2eF5eSXoeP7Xm,Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,Antonio Carlos Jobim: Finest Hour,1XkX9d8U5KCcD5DKEpMfOy,11,not available
12,Luces,4fVzIqfRv3VC1doIk9JLnt,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Jazz Batá 2,2qNItLdcFnSId2094fNe3A,36,https://p.scdn.co/mp3-preview/99cd27ac00440dd9a58890fa61ac95c6e50badc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Como Fue (feat. Bobby Carcassés),23DTCcj8R5BHYgsprq5ngD,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Live in Cuba,2mLRfQqMxdiZSpUHnd0HKy,40,https://p.scdn.co/mp3-preview/b3d6a63cf0eefe21b217ec04fe801dec0e2e245f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Quimbara,7mqqWVpuUHekEdlVOSQjmy,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,37,not available
15,Dos Gardenias,3Fn6K2roSmzhKzp5BBJKJl,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,2Upqk0mMh9OMIVSj9F8Xzw,30,not available
16,Come Fly With Me,6OPXHnJY3NMn5Qr6K1Qqty,¡Oye Frank! Sonata Latina Tribute Orchestra,7zug34wHklQjAqvDHAhqJ3,¡Oye Frank! Sonata Latina Tribute Orchestra,4aulK0TyjbHCKcUPtZBXYF,7,not available
17,Como Traigo La Yuca - Live,4ZMlEw8pXvHuwQwem5kpGF,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Live At The Village Vanguard,2S1w7Sc9NukidqKfpylJDX,43,not available
18,El Cantante,62qut4QWc4SptIRYikqvBK,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,42,https://p.scdn.co/mp3-preview/c84a6b2594b99d6bfa1d2094119e33c9c8af5076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Sunny,2QpwAPgyuRCvL6fBEWvpUN,Negroni's Trio,6clJrNFd1xD5dzc9UzxW7C,Sunny,73Orqh8gNy6wgoCTTEN5Jd,4,not available
20,Agua De Beber,6B8ckWZ4p80Izvrqbywt0W,Sergio Mendes & Brasil '66,6hCsqVHnBo1BVQWuIjRMkL,The Collection,5dF8zBNO0jEBzv8BngOXC1,40,not available
21,Don´t You Worry 'Bout A Thing,5SSN8J2KnrpW1CLpKJhXXO,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,38,not available
22,Chucho’s Mood,2VACXzUf5uOvheUAztmM3P,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Jazz Batá 2,2qNItLdcFnSId2094fNe3A,40,https://p.scdn.co/mp3-preview/8f5e47d4bf6ed89fe7e69bec6046b2a9db6a7d68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Home Cookin',5iHt2zihQWvVBGdPIR4dKT,Hilton Ruiz,7uUrPQUnxCoQusOAh5I0D1,Enchantment,3NaX3LlcZvDgsUoscFGOfY,42,https://p.scdn.co/mp3-preview/5977097c3c3a23c712aa2f0111f0fa8e786fcb04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Mambo in Miami,3LgdE2ElJy94x5qqgJWl7Q,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,Too Late Now,0a4KBsjEsOeqeEFzQW8rhy,38,https://p.scdn.co/mp3-preview/5cc49347983981168528f12efaab6ebb9031ec8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Bucle,1DQDsPGGlQgVOlY1TKZ32B,Tomás Gubbins,4ZMKJ0qDl9hdPXhsnZk8jM,Proyecto Satélite,77Tb6SEL8rpGI8U0gW4l9x,38,https://p.scdn.co/mp3-preview/9d86392ceba54612a495039a92f9e3eed0f76913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,En Esta Tarde Gris,6QLMwPzna66p3kuJbWQMJ4,Martirio,7r4rviBG63cmxn51zRuMav,Flor De Piel,3thQXVuy3QaPfGgh3wwli6,39,https://p.scdn.co/mp3-preview/b416c8cec1b4a61122b48e2a0bd01e70267d75e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Tres Palabras,492E26qWIhmnzthZye91v8,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,Juntos para Siempre,3KqVBTW2XNykZ5r1yRRjo6,41,https://p.scdn.co/mp3-preview/c0b2f27a256dc401bf2a068e59f8c7f4ecc45f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Bruca Manigua,2nRmc4GL2U1Ehrqzf4eCqF,Ibrahim Ferrer,5dss7E1Ph0KxuF1ULfAx4D,Ibrahim Ferrer (Buena Vista Social Club presents),27HNh1cyB39ERqdpSjM2i1,23,not available
29,Batida diferente,6IdTeV8TfNABByZ3bUEUV6,Herbie Mann,6ycoXr0Ayd89vFUT6BOiWo,Latin Fever,5LLQl89oz0vptV3tQefJv2,39,https://p.scdn.co/mp3-preview/153c450700a3f3cdc1fe9db17300c6bce861c3a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Muñeca,2qXoFz1WkwsIILKJ1Kv6uC,Eddie Palmieri,2VviFtXYreO6Zn9n8Ibk6C,Full Circle,6KARWaySIGqdjCQxAXSBYD,41,https://p.scdn.co/mp3-preview/926af55d985717e0b80fa2adff56d1408f8e8c38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Manteca - Live,2uZjbTxjc2n30oyQHMGMha,Carlos Henriquez,7jDk9ohezXq697Zz5X2KPI,Dizzy Con Clave: Live from Dizzy's Club Coca Cola,7bwbHc0k88oDET8KYTRtcm,33,https://p.scdn.co/mp3-preview/9eac9b2395b225cdb1f0794d8f171fa69c78e630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Bebochicochuchoturo,2WQNDG0KKDMczbJLxvdxnJ,Arturo O'Farrill,5LHgdJhFO2hT2gu877UPKV,BeboChicoChuchoTuro,1SqBgxgGA4HrqCEv03Mf7I,29,https://p.scdn.co/mp3-preview/5f81980db1e471b615a67184077dfb7f12664fd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Corazón Partio,2YKpikIUrPvznHwdIimQX2,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,43,not available
34,Linda Guajira,6LgpmOednaE46TjVgeSFJm,Mongo Santamaria,2oVwztjpHpJlAvlVVuqVa0,"Latin Jazz, Vol. 3",3Frf4Pj6JoecGG62EG8Z8h,38,https://p.scdn.co/mp3-preview/ec53de52a65bb0a557f2bd0ef6fc6942e6351ff5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Perfidia (feat. Rose Max),289sCZRDXphyoRtkdCaxqw,Negroni's Trio,6clJrNFd1xD5dzc9UzxW7C,New Era,5aUeMcCYLSc3HqFRPwfZya,35,https://p.scdn.co/mp3-preview/e4819606b8c7aac2fdc40d840247a2723d225509?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Guarajazz,1skp5PmXkbwb9uUHI3mPSg,Carlos Henriquez,7jDk9ohezXq697Zz5X2KPI,The Bronx Pyramid,3tzUc7mPAuBZCWAM28Ithw,34,https://p.scdn.co/mp3-preview/dc467fd22292c3a9835a1ebe4ee1e9f98199ec98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Mambo Sangria,5M80uFtSW98fR3ykhjGPyd,Cal Tjader,3XOVABzceOUTbR3iEz0ImO,Too Late Now,0a4KBsjEsOeqeEFzQW8rhy,38,https://p.scdn.co/mp3-preview/8b919705c19f34e7fee51b62f429f83f075f2bc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Granada,22SmTBT1AQQpeH9gyhOOYG,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,41,not available
39,Los Bandidos,32tLjdkVZN11pPtEhT8zEq,Eddie Palmieri,2VviFtXYreO6Zn9n8Ibk6C,Soul Sauce,60zLF0EgDU3FYGeOIGnoas,34,not available
40,El Manisero - Mambo Son,00MvNfAAC4O5pSvAZPDnGc,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,El Manisero,35GjYQu1NvqoJz1uXbtddK,44,https://p.scdn.co/mp3-preview/1e43835964996961b05614cc649cb24b4ffb125b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Guarachi Guaro - Live,4KY8XBQDvsIrI7xVWHFdtm,Carlos Henriquez,7jDk9ohezXq697Zz5X2KPI,Dizzy Con Clave: Live from Dizzy's Club Coca Cola,7bwbHc0k88oDET8KYTRtcm,35,https://p.scdn.co/mp3-preview/b20b452557f7a6b9702764711c62f79e0d118c21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Don't Like Goodbyes - Bonus Track,36GHJdOaMJLh8b5iv4gxhu,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,35,https://p.scdn.co/mp3-preview/5e1bf49b44fcb0150a48d2f827b2cbcd254f8a67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Só Tinha De Ser Com Você,2MTrACUycdhqhQ9dYpxWJb,Elis Regina,0yFvXd36g5sNKYDi0Kkvl8,Elis & Tom,1xusjxfHer7CzdlQwjuZWx,13,not available
44,Sofrito,727P24JrF2m6tUwVCaQDzq,Mongo Santamaria,2oVwztjpHpJlAvlVVuqVa0,Sofrito,4dqMy1Cc314df6rnSKD9Je,15,not available
45,Africa,54goL1KjbgwruLzJvdkgCn,Alfredo Rodriguez,1dp5YyefJVa9mkiqa3s50O,Africa - Single,7zjOH2EziEf8LP3wgGr519,2,not available
46,La Fiesta,5hGIRMjtrTpdMdTrZv4lh1,Chick Corea,5olDKSsFhhmwh8UCWwKtpq,Selected Recordings,1LS9waBhjOGB9BrQSwkp3b,42,not available
47,"Cuando, Cuando",10CFhaELKqQNx18aLyUePS,Tito Rodriguez,10n4KkyM4UDt4pf9H4aDlS,"Yo Soy El Bolero: Tito Rodríguez, Vol. 2 (Remastered)",2Gxu3rkNjFUrMqodF5yzeS,38,https://p.scdn.co/mp3-preview/c6a4a1fcee188a881d33b15a1458fd37f6dc1b20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,El Incomprendido (feat. Pedro Capó),5tOiB8UUOb6B2BzTDJL5IR,Negroni's Trio,6clJrNFd1xD5dzc9UzxW7C,New Era,5aUeMcCYLSc3HqFRPwfZya,36,https://p.scdn.co/mp3-preview/2a8739774d575e1e43a602c7313f19886daac84f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Descarga Entre Amigos (feat. Rubén Blades),2wDWb88s7POYtWg5757eiE,Carlos Henriquez,7jDk9ohezXq697Zz5X2KPI,The Bronx Pyramid,3tzUc7mPAuBZCWAM28Ithw,34,https://p.scdn.co/mp3-preview/1ddda6790c93824054e3975acb9324f81519a1d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Tirándote Flores II,1Q3BcUqaBamQCMYteR2mAI,Eddie Palmieri,2VviFtXYreO6Zn9n8Ibk6C,La Perfecta II,0gepih2TtnVxAv8K45y1wD,1,not available
