ON REPEAT,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,All Night Long (feat. Trey Songz),06dG1fMkVQv8QI11KVncjW,YFN Lucci,5Berubt6ysOy2LCMyqhmXP,All Night Long (feat. Trey Songz),01BkPytJJRxTSKWS2ONWwD,58,https://p.scdn.co/mp3-preview/b87c4dfa751f4cac45b9e7d7c766f10eccf1e585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,O Man,4vOhiSDa2UGXJHm7jnr3kM,YN Billy,5IbMXzqnGCm3WKt3XweUCn,O Man,3PEyEJ21Hxg1qmCYzqR8SL,22,https://p.scdn.co/mp3-preview/f96b618a89b28053fddfce8f429978fa2b4c8649?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Bitchuary,4dV3okcjbQwTcg4ObIGr4N,Shordie Shordie,5fyvTyetDr7gvLafBsEEhU,Captain Hook,1ScpeEwDjOM56tOz09z0Yg,78,https://p.scdn.co/mp3-preview/98cc1d2f16ce5f95a8d9a20aae3106197fb2acf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Poledancer (feat. Megan Thee Stallion),6d8tSFHaLUhItUR9HNYCeC,Wale,67nwj3Y5sZQLl72VNUHEYE,Poledancer (feat. Megan Thee Stallion),69tLLYKIiwHC17VnzIhSyf,65,https://p.scdn.co/mp3-preview/845a456b538778b4d1da3164114660bce5db4f1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,"Neat (feat. Young Dolph, YFN Lucci, Peewee Longway, Flipp Dinero & G Herbo) - Remix",7FREL97FImTdOrBHZCP8DV,Q Money,1dqnbaIyoeXqdr0exT8fBc,"Neat (feat. Young Dolph, YFN Lucci, Peewee Longway, Flipp Dinero & G Herbo) [Remix]",2xxuDNxiajTt3v2ze2uUwe,46,https://p.scdn.co/mp3-preview/4a55a2b92f18eeb344653b42bb9a77660d1fd872?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Tip Toes (feat. Quavo),6001xXfECxjyKrrbbRF0Vl,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,66,https://p.scdn.co/mp3-preview/b76965fb72fda178987fea3aedb790e1bb7eb314?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Thirty8,0lNCd5sYTrZLNCzmaSj1x7,Robnhood Tra,3U6QnM9NTNaBkuPAQmINy2,Thirty8,2HHXzyCPI2wpfdzd6Ez8Bl,51,https://p.scdn.co/mp3-preview/4634959c75f6542b4c6fda467277c9d014e37153?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,777 (feat. Cuco & Kwe$t),1GbBeC25pdTcH4IeEorJ2D,lilbootycall,4EPyKMgsR7JDuW9tL0AYZP,777 (feat. Cuco & Kwe$t),3j9Evd0uOhGerskw4u2yu8,50,https://p.scdn.co/mp3-preview/58b1b98d846eeccbc1536b4e263843a092a5a16c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,My Town (feat. Giggs),02aZqt8SqHScHM7A7zYOh0,Baka Not Nice,3yvCFkK57FXH7JIwZQ5CmU,no long talk.,6benu980FN4ljKWemx6z3g,59,https://p.scdn.co/mp3-preview/6b926e5b10da31c45d2ffd549ed343395d7b9f9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Gentleman (feat. T-Pain) - Remix,4YExNVZhqZWtq8k0AZCbGu,Gallant,7wFDo161xYdeaiLz3KIHoM,Gentleman (feat. T-Pain) [Remix],7kOfmEE9lw5RQ567vIEiHU,49,https://p.scdn.co/mp3-preview/5e927985b90c1e32eb3c7109d83c2f988f5ed178?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Changed Up,68PRRx0EgIKJiWizfCwReN,Lil Zay Osama,7rkcFChEJ9tCLcVevtu0Nt,Changed Up,2NduPnLCI3hO0DHK7mHpmB,60,https://p.scdn.co/mp3-preview/40604cdffd4ba2d422f53c472264d5ae91948d0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Be Like Me (feat. Lil Wayne),6flur5o18COKeafnjLHRiJ,Lil Pump,3wyVrVrFCkukjdVIdirGVY,Harverd Dropout,3zGtADK8O9cFL3x6B2yvsB,71,https://p.scdn.co/mp3-preview/c413f3b83a91b9aba8f5f43d0ebe1b7fcab4d88b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Spendin' (feat. Gucci Mane),3ETuAA7l5IxmBwlhTa6Lck,ILOVEMAKONNEN,3aGFCoR8xGN6DKwvdzeSja,Spendin' (feat. Gucci Mane),16eEmDvz4f177zmPNesqdu,52,https://p.scdn.co/mp3-preview/96cad19f9f0b493d4cab1670a1afa11f5c5e21d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Emotional (feat. Quavo),4rrFGOdnreypzg6ux5mdPh,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,59,https://p.scdn.co/mp3-preview/646364971f06f60b2b620d3d95f5662fb2306cfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Worth It,3MlLMID86qXhSMDhniWqH1,Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Worth It,0KbOuuQjwGzBcqa5Geaxc1,62,https://p.scdn.co/mp3-preview/59a04559ed5f103410183819050bd4b20c5244bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Pose To Do (feat. French Montana and Quavo),5WkyhmqrQT8iGq0Y5VMa4a,Lil Pump,3wyVrVrFCkukjdVIdirGVY,Pose To Do (feat. French Montana and Quavo),3ohU7IZ0HmrTQd90Xqt3TH,64,https://p.scdn.co/mp3-preview/2838d9eca60a0c6f8479b879bebeb44678ac29e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Stop Playin',7GYoEbez6qFszDiEmiuBEb,THEY.,0pghUohLPptZWBasy2wmUx,Stop Playin',3C2TuDRBpQCTSHHdd0TJYu,58,https://p.scdn.co/mp3-preview/a9e9f9cccb11715c175429f029f9083d7a08485f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
