#ThrowbackThursday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,780281,spotify_uk_
33,Sweet Dreams My LA Ex - Radio Edit,1unSsa1sbyaVy1teiduxgo,Rachel Stevens,7LP4hiTAVkw3Rtc1hqtLi4,Funky Dory,6IV4uSKXXo3gUIF21dmwpC,47,not available
34,Gangnam Style (강남스타일),03UrZgTINDqvnUMbbIMhql,PSY,2dd5mrQZvg6SmahdgVKDzh,Gangnam Style (강남스타일),0ZjxizLeMyFEjR27JIvD99,70,not available
35,Paris (Aeroplane Remix),4OSEE9iEHADmTSCpxl87GJ,Friendly Fires,3mZqziCJj4pq3P2VBpmK6p,Friendly Fires,6o5Da716CH8m1im2XiaeE1,54,https://p.scdn.co/mp3-preview/4ca508b10247c329841d3ff36b986314b7246c5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,London Calling - Remastered,5jzma6gCzYtKB1DbEwFZKH,The Clash,3RGLhK1IP9jnYFH4BRFJBS,London Calling (Remastered),6FCzvataOZh68j8OKzOt9a,74,https://p.scdn.co/mp3-preview/cab17680a55cff3339dec569c52b079efda6daad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Harlem Shake,01XFgRZfZI7oBagNf1Loml,Baauer,25fqWEebq6PoiGQIHIrdtv,Harlem Shake,5H0yFEG5FT0tccZRSdNvVU,60,https://p.scdn.co/mp3-preview/4c842f5324d3c03d3c66ebb546551373c82f992d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Straight Outta Compton,6KIKRz9eSTXdNsGUnomdtW,N.W.A.,4EnEZVjo3w1cwcQYePccay,Straight Outta Compton,0Y7qkJVZ06tS2GUCDptzyW,71,not available
39,Kids In America,1YGZyfvdgZxzipWoWYVKxi,Kim Wilde,73a6pNH4YtLNgDbPQwXveo,Kim Wilde,5vf8cU0vjl22ThptA93DDf,70,https://p.scdn.co/mp3-preview/a3a3c56bebc640c0f781a818ba67d773aea7c535?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Dakota,3qaSqrrevBrb84xl5JlptU,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Language.Sex.Violence.Other?,1DwcGY8AK9RS0IgmozyvyP,69,not available
41,Drinking in L.A.,4WEaJQLlhlkOU7YJDLhn7x,Bran Van 3000,3D3blX3lLE3BCMdo3SOMlB,Glee,5YMokuqZmSpvwlnbBhUaAp,58,https://p.scdn.co/mp3-preview/7cb49cb225b3916ec04f0d50f98f7c2cc900ffd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,American Idiot,6nTiIhLmQ3FWhvrGafw2zj,Green Day,7oPftvlwr6VrsViSDV7fJY,American Idiot,5dN7F9DV0Qg1XRdIgW8rke,79,https://p.scdn.co/mp3-preview/d5d48190dacabe9e45e2e1fe7616c4e411b28b53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Big Sur,56Zm2mXUv5UJgybEqATQ2t,The Thrills,0tYc0gVOzssZmLpVO6wh7L,So Much For The City,6eujHHtDKbcwAeliICWShv,47,not available
44,Rome Wasn't Built in a Day,6lsumzVFKP9SnfKcuGwqVp,Morcheeba,6bWxFw65IEJzBYjx3SxUXd,Fragments Of Freedom,1QneuYN3b0JteZNmLse2uA,60,https://p.scdn.co/mp3-preview/ab75322985890c4a2498c1974b57d0214b41c765?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Paris Is Burning,0VfDekBgmIfbIAYnQStSU1,Ladyhawke,5TfnQ0Ai1cEbKY5katFK14,Ladyhawke (Deluxe Version),791BSYeYMTAXw5rrk96Fx8,40,not available
46,Breakfast In America - Remastered,4a5pNRjwmzYQuEY1E7O6pj,Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,Breakfast In America (Deluxe Edition),1zcm3UvHNHpseYOUfd0pna,71,not available
47,California Dreamin' - Single Version,4s6LhHAV5SEsOV0lC2tjvJ,The Mamas & The Papas,1bs7HoMkSyQwcobCpE9KpN,If You Can Believe Your Eyes & Ears,76oMr4Y2pOtcrvZLc2ZikF,77,not available
48,Streets of Philadelphia - Single Edit,3fbnbn6A5O5RNb08tlUEgd,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Greatest Hits,211iJYKUbpqrykRsPG27CG,71,https://p.scdn.co/mp3-preview/b4d012466df89b64af352fde661cc6e580ddb269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Do You Know the Way to San Jose,1YIWYzMq84I46LmgX1vpye,Dionne Warwick,2JSjCHK79gdaiPWdKiNUNp,The Valley Of The Dolls,5OxSUascU31jcJ0TlP3xXc,48,https://p.scdn.co/mp3-preview/9424791a9624b734205645765b22a68efa0a8062?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,"Theme From New York, New York",4ODWgs1CVAZKDbryEodjiz,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Ultimate Sinatra,7gmak9ZGm10y4PtZa9SBQn,68,not available
