2018 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,g.a.t. (feat. Ms. Boogie),7icgB8hsJhBX3fb5A0LGwH,Puzzle,3JDZy6EWo6V8yABANunf6V,g.a.t. (feat. Ms. Boogie),1xPuQgQeEyrKPf13aDStms,9,not available
18,Generation Sex,3DJZltR4sdZUYlw6I4HdE3,Green Sahara,5PEOA46RT2MrhZgc5BKFvu,Generation Sex,4w8kqIjc0bejMYTjZMP5Wt,6,not available
19,Beginning of the End of the Night,3QRVoea9Cre33HqodJD1bE,Outrageous Cherry,3qkqPMTDQWqyZTz7a9ldnT,Meet You in the Shadows,1iWZHsB5SAIlLEWKvEuCAK,6,https://p.scdn.co/mp3-preview/fd137242236d6a0dfe62c8861e48230d15719901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Acid Attack,5VeEkYQI4Oovx7JUHDxV9m,Fat Earthers,13e0bzzClUAe2GXrdI219R,Three Chords and the Truth,4MScqvcGwRJegyrADBAeZw,1,https://p.scdn.co/mp3-preview/bb75db3483602416a137f6777bacb0c499433c7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Cha Cha Heels for Christmas,3nARq6RDi9ptlzIj7e450X,The Flytraps,6hw0H4lP8dEnLfceaWX7Fo,Cha Cha Heels for Christmas,6uLRd5R74BrS1mwFrT947q,0,not available
22,Open Scary,7EjlGodnHXOJ95wTZKcMKQ,The Brat,3VEpuBJqSgbYq8WwmX6tCS,Open Scary,6UKPizI5IqM4Ulr7YD7J91,1,https://p.scdn.co/mp3-preview/0ce020007b435e52d9d2b92e00a506ca3cde89f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Fever Dream,5Tyo8kgDMjjWZJLBedpdZG,Sunshine Mind,2ZQ3ytBmapuR7eYTyHPfKk,Vida En Las Estrellas,1qvWLyaOtoVYkBc78nVVqn,0,https://p.scdn.co/mp3-preview/4f4ec05392fd75cbf5b00c41ca48b72b28c00524?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Life of Crime,248mECZ4ORmDwQxpMqRAva,PMS and the Mood Swings,2SFpJeoQIIsnL67HsFnof8,PMS and the Mood Swings,3Y9noyuMh1fSgExVoNtIWi,1,https://p.scdn.co/mp3-preview/8d83102dcd044ace4d30535d03e449f630862bb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Cat Tongue,6V37Oi7SggAbPVzAaOZOnV,The Flytraps,6hw0H4lP8dEnLfceaWX7Fo,Sunset Strip R.I.P.,3QjOtyb1n0bJjPOPwQ4BCz,10,https://p.scdn.co/mp3-preview/7f55b8d921fc61bf6c62ea462e035ed50291f429?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,We Are Electrocution,0DSC3kHSIV5JGC1piybM9x,Le Shok,3zCAnrI4hEwwpBwX8yqlSg,We Are Electrocution,4B2Jjv1xJPvdafdXx3UCVr,7,https://p.scdn.co/mp3-preview/a3408b7300fa4aa509c04486e77bad785d60fc35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Small Journies,4jGhwPZQcPbf9QV1rTibbd,Enjoy,46OZe7BgkZhisNbEMW4oqq,Small Car Big Wheels,5GkL9ODAA6mlVJ3YcyRR3a,29,https://p.scdn.co/mp3-preview/e05491d74f14351bff53ebce262a0940847d98a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,You Don't Understand a Thing I Say,7IQG8ZzFPDJ70TnZoiH0EO,Dios,7GRbesKl2Esr2WjLyrRKIk,Life Between the Tides,3tDXUSEuSVvz7jIIUezgRr,0,not available
29,Murder City Mayhem,5GGTK6AVUq3rPTBfxJy6hC,Timmy's Organism,5TnJUFRyYhQgkKonKAze1i,Survival of the Fiendish,7xOSFkyrw59KorPZpVQ1Db,4,https://p.scdn.co/mp3-preview/4bcb14508890506fe765f70bdbb846d851d43e2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,New Number One,0pKixAjeFtMQwsY5A5kBqb,Jack Drag,5KKmmG4Gv7YltQJ8V9aQsJ,2018,2oyOD3QkisRyqB3XBw4g4a,5,https://p.scdn.co/mp3-preview/0495353a3617e64d3ee516e5cc455c79dc393325?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Manticore,3IoT2uN3mQEydcM4z7Zqwo,Midnight Peacemaker,1by9SI5EOg6Kznso8siB8I,Diary of Dissonance,5J9z1mjk1EuvF3QAhD4GGH,0,not available
32,PCH,60tr2Ww10nSqak7YIsn9dn,Diamond Hands,3qG58JC8aS9b3qHQdmE6dx,II,5z50L8vXRb9vGgXpFwIYFF,0,not available
33,Space Cowboy,4vU4jP2QKJeMoqVBnwjf6t,Mom and the Mailman,6qmpXzNAd1VMIUHqdL5ZBI,Space Cowboy,79DPOPJ1B92EJHX7IoShJk,4,https://p.scdn.co/mp3-preview/ea1c6de4d44b61abaff908e4ddfd6f439a74c37c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,I Can Treat You Better (feat. Ariel Pink),5RKm8AUGMDZ8XTDTzE4BCR,Part Time,5M0HAqHXyOh3q7WQnvce8o,Spell #6,0OFoMFVZT8Xl8zCPp5QYsy,43,https://p.scdn.co/mp3-preview/bc6742f163125d9fd8496378e1542183e3326eb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"Honestly, I Wish That I Knew",6ui1RKcEXO7wDtIdoeLZMj,The Smoking Trees,3ezwxaw7oMvs8MbjzhHkRJ,The Adventure Continues...,6NpPA0CzkBndRlJM5K5jWW,33,https://p.scdn.co/mp3-preview/c9c4b0e239f28533a154366cc3a8e958a3a416d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Don't Try,5KqrtGkuH88LOQsTEj1oqg,Mitchell Adam Johnson,1kxQKkAJwuNQuDLcnRv1sp,Marigold,2gdjnhB2kjHnAPA3f691ws,0,https://p.scdn.co/mp3-preview/f54b09546acd565418637de37dc47930955f7225?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Certain Frantic Quality,3gqfXBPDRtMUymciTXZWvd,Tomorrows Tulips,4mCKYeRm9x5hj3iPX6Sths,Harnessed to Flesh,65fgMqzQyqiVnzuOXyHPZK,13,not available
38,The Wave,1oRa6xoJof5WYc9NZnSUxO,The Froys,3DrFw6l7rWBb8AbZ3B5zlc,Under a Tie Dye Sky,5vxs6e1pEEUG1M1vFr1AQ8,15,https://p.scdn.co/mp3-preview/1f4849dd2236a05e0a4695003ab3047d1da38a72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Lorry Can't Love,0OIkj7rOIPrVW3vbiSPKYz,Goodbye Honolulu,32YbiP7aG6phXVds7z13nf,Lorry Can't Love,19O94dOrvLDYgcbFjpjBpK,3,https://p.scdn.co/mp3-preview/39d1af24ac491b2f25b99f41a6a4a2923a3de28c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Do You Really Have a Heart,6Q3tpC6kaniHwoOBuXoQV4,Paul Williams,3f626JSVauIhTQgatsFcs4,Someday Man (Deluxe Edition),17591i6nEtgHiKBGfgLwfG,5,https://p.scdn.co/mp3-preview/4c934f017b38e30c6bbebb7479f53cba98e1102c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,No Reward,5aV61ZtDVPfY20S0Os6RzO,Teenage Burritos,1F17fY26ppVoHBFLSn7FGW,Something to Cry About,38a2unek51GN0Y4v3RzveL,3,https://p.scdn.co/mp3-preview/5c79c93341844eb87248f651c9db308e6a9d966b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Video Games,0ZEBJBQbezpC7oLNxFNsZf,Distractor,5jZvBSJGDWr6qfcSHDC3ZJ,This Time I Got It Figured Out,0s7mcAWE7DABCNPF6NGooB,6,https://p.scdn.co/mp3-preview/586d80ab08a881f972753648d06155fd653bac8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Part III: RockNRoll Machine,2LxycTBroOIG1lFsRridWP,Turbonegro,191rVxQbbZ05wcICUSvLkz,ROCKNROLL MACHINE,424KFQolDBYGCXPJID48Fm,32,not available
44,N.E.O.,3SgUSZ0LRJfntbvnNTIT5j,CHAI,0NZsNnETGPWLKJj2Y0vpBx,Pink,4s7PEiMCh7QLJkFy1BNR77,27,https://p.scdn.co/mp3-preview/752f63f4a17c728472eaa92a461f592b5565f53c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Two Dollar Baby,6AJo1uVbXCnIsvIVNrG3zt,Telephone Lovers,7LtFyEbicZAN0WA8xqNQuY,Two Dollar Baby / Real Action,4qHH2P5Mr2cbvOGEmiiUmQ,7,https://p.scdn.co/mp3-preview/79066e6094cc011dbb140cd5450c696e4e6f830c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Smoko,5RUlV9IzfDkLWS0laBUqwF,The Chats,1aQ7P3HtKOQFW16ebjiks1,Get This In Ya,020yNOtRi3KHx08nhISaKy,57,https://p.scdn.co/mp3-preview/5c4a089f4c3deb23622d9b27168298c1cd35e561?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Too Dumb to Die,7ufopYg48O7YjEoGTEVE43,Cosmic Psychos,3orc30EUucavid98kNtMEf,Loudmouth Soup,7Dg1IOMIU3DA8cMwAYcAH0,6,https://p.scdn.co/mp3-preview/ae77b42280e1a6e0fa5c1e4990fc9bcaf37fe9d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Ding Dong Ditch,36QfOlxn0fQhWtFHzIvGBP,Gymshorts,7beEZjleJaaPl01bT6S4bz,Knock Knock,58trKDd3PywfB7bg28QeJr,10,https://p.scdn.co/mp3-preview/3cd644d763e4265affe6e5d3bd2ba8465a77b804?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Deuce,2ozKX8PXY5eyChFtaX3PrU,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,Teen Babes From Monsanto,0PrpjZWYXfpwbJdDqtSHYK,14,https://p.scdn.co/mp3-preview/5e68cd3ca2a2feef2a3ee787a1788f13741f435d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Fracasó,1aX83NeztRZZNo01Z3wKDk,Bastidas!,2v8FfW3GGURCINjxNDswR0,Galaxias,2GoJhPUhnzvmljBqFiWJ9D,5,https://p.scdn.co/mp3-preview/bce6d48cec95d5e70747a1d517744a07cf34f245?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Mermaid Parade,73tJxdE4scvmVbc9foPGB9,Pearl & The Oysters,7ovvjgqrTeuMxbzIykUqDs,Canned Music,68xFBhbOVjAwRMgein6myv,15,https://p.scdn.co/mp3-preview/91dacfb64c9d0305736887aa16942e0ce96e521b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,El Futuro,6AwxgbBnmC1H5pwQsroOqh,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,El Futuro,3BM70BJ1HJNP7NPNMqrK5N,9,https://p.scdn.co/mp3-preview/384f9cf8af14ac7a39e8be44f36b81fc85deb790?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,The Room,6PklYrpMp4NbpVKtV4qz5g,Fenster,7ohjR0GfCYEIiKvkOM08w0,The Room,751afniWpp7Bl91FEh5biq,19,https://p.scdn.co/mp3-preview/135904825f38bdd90d938fb7ef869937a7d05b97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Thinking About You,6OMNoNr8uohvhT47jk376X,Frankie and the Witch Fingers,5UdQDFQ3wgUPuL5kiL7KqU,Sidewalk,5piKBC3K2JzscKxGvjqNLo,32,https://p.scdn.co/mp3-preview/bd656a66ca2e310095b7770b0aef24cdeacde7dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Going Out,2rvwXKxIRT02Fi8pLZMGYN,Felines,1z5WxAoUljzpuEAbB5TR5G,Saying It Twice Makes It Real,4qdoEN5FKDYto7ze3VlXwE,3,https://p.scdn.co/mp3-preview/b69c4b1030120956e84548c3457c7d2d752eca85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,No More Vitamins,7z5NT6d7K7AAwlh6wk8hQJ,The Asteroid #4,4jp2FOUJpmfpT79a6rz82x,Introducing...,2TH2DoHfaLaROr522Jx5J2,2,https://p.scdn.co/mp3-preview/f4ce4cdac34357dce379fbc846442fecc08ea454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Visitors,1ZGZZn9thVIxsjm8D31JhN,Triptides,6gCwR8CCL5jkaCNcmw26rI,Visitors,2ijctLr258zIfE40fVYbQB,13,https://p.scdn.co/mp3-preview/8ec660aa74b8de874c264a960534b79077305413?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,It's What You've Got,6N1E0sCk3axoD3U2Mws2cV,Pete Dello and Friends,6OipZMwsfgTrnIheixUgQM,Into Your Ears,2FgigHZyh4uJNWtJw0HU4x,21,https://p.scdn.co/mp3-preview/c85817cbcc742428d647a898c950fc1d583a4286?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Forever,4iYRXp2MgS41KBnZaTxE99,Honey Hahs,4hEKZWeUzWxpneoulrMdib,"Dear Someone, Happy Something",4Uf8gWFDNnQX2GeK1qWsRg,5,https://p.scdn.co/mp3-preview/8347ef34a4554eabbe19dcdfaea661e1cb10e757?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Dead Womb,5i3KfPerKoB2GPH3HfZhNX,Death From Above 1979,18H0sAptzdwid08XGg1Lcj,Heads Up,5G41GaQBdh2MxHUNz9iOHT,34,https://p.scdn.co/mp3-preview/7e0f3948a2bedb2754c680ad240ec68ba953de57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,We Go So Good Together,7FdJQj9hmJ3jUdOgI7GIkK,Groovie Ghoulies,46PqexcuFAphFVDvw3V2BZ,Flying Saucer Rock n' Roll,5KSZOsXe4G7GI6MEoSGt9W,5,https://p.scdn.co/mp3-preview/0b695d948866f0d2a6af4db2ecd0976f21089358?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Bird on a Wire,3YWrHukmVL4kdg1vU4OSfU,Hooveriii,4zmrLVufAWS6bWdSfXfaB7,Hooveriii,5HzsSrat7eROCPka98L4Nv,14,https://p.scdn.co/mp3-preview/ba71b84194f9c209cfb5702c66b1331ca39c8dec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Everybody Knows,2d9A8d05n62SvUVlT6Gs40,Mark Sultan,1GQkBtj9Z4YrXVu6WKy28X,Let Me Out,2RrL01qpuB60ET4rbOr2We,0,https://p.scdn.co/mp3-preview/6c9d36b7679262aaef0e5e99db7a695185e1b6c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Good Good Things,2XTNZs4WqBIO2OQSgBCfnS,Colleen Green,0LHZaUvES8NniRWNuhHNJl,Milo Goes To Compton,3maiMpeCNMkpxxwGngBmdo,6,not available
65,Dreamz,2c9BrQefkJ8vR5eeEgZRts,Sara King,5CRfAxYjJsDBH5wvWF2nja,Heat,5Aq17pAZJojraKWREnrIXw,22,https://p.scdn.co/mp3-preview/b2601a3a0972aaf08525e406dbce30b4239cd179?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Pink Water,2jrdraJsnzkSrRxXqfMnH9,Snacks,5Yl4A42P7NzsSzm6HXrHN2,Snacks,3rcOICQPGjMnELjZY1KbA4,1,https://p.scdn.co/mp3-preview/3f913a6ab124483733cdd3b20797060c09e0a54d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Te Levar,6sgqbkByDgOFawMWBk1xbv,Winter & Triptides,3GyJU0pUiDz4IGH0CNO2oe,Estrela Mágica,3cJYAWasSP0UqKDSAunwk7,15,https://p.scdn.co/mp3-preview/632164f02b160e50f703ba82462f7c443e79f421?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,No One's Gonna Make Me,3SrreuAQtS9SElx1MTht89,Weird Radicals,6LmesTdEkhuxClnQnNCZSg,Bangers Ball,0DHk6LAwHKriox7chZ3uvj,1,https://p.scdn.co/mp3-preview/26a888ba2e03656e0a68c68380b96d54e985e1c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Shoot in the Night,0jE9seCqb4PfBJeDbUT2lc,Wyatt Blair,5YS9VHvuYVRmFhC3T5wZxN,Smoke & Mirrors,6rBwKA80SBIEoQJzbjknzE,1,https://p.scdn.co/mp3-preview/8c7bff59b3d2c49874e0e4ccc68e787f444909e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Onda Negra,3DQYxR1vGilLlKhNnOyvKT,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Lá Vem a Morte,5lPUMbuSbv2wOLYU5BRFB2,32,https://p.scdn.co/mp3-preview/f27440d7b1fe72f680ece93a7e2f17e391d4f769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Morena,6Iv6DSIC5Y1dIQXYfdnqDV,Tropa Magica,3uCmGQUSAkY2BvcrhMLLzE,Tropa Magica,67zRVKCpzKtH3VjsRcLkMK,22,https://p.scdn.co/mp3-preview/e9b01edd6dfc85ede2eb1330c1ae2ddff974f5c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Ghosts in the Walls,4l5cFjBls9q1gZDr87fXYp,Tommy Allen,60UYEMRUf1JZ9LkYmfQlzX,Sea of Same,08DED8d32lfWwo8tuczYJH,29,https://p.scdn.co/mp3-preview/5aba1e8468c53f37289afa1638ad39d66d556eab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Wrote You a Song for Me,4H0N98CSvISmHs5mpLhHYp,Jordan Jones,5jzNsfaWzpV3g1R88zQYhx,Jordan Jones,70RPj9fV8dqxMJh6ioetc6,13,https://p.scdn.co/mp3-preview/734474d7926c49470ea5cf753699b4d8b4b28970?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Plasticine Leather,5kAakMRuonXMsVnpvvJyCI,Veneer,2MOAGKbrH1TFxEZmjADEuo,Yesterday's Freshies,3KbBu0QUHOlV0M74ZRGkgw,1,https://p.scdn.co/mp3-preview/f7003148a6708674984b6d1b9869317ec80d6fc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Which of the Two of Us Is Gonna Burn This House Down?,5tN60xLqkHyWzz5D20O5d6,The Star Spangles,5Df1xdH6LclPodIQ4sByd5,Bazooka!!!,7yBIDpCsca0FNoW0aeb3BS,6,https://p.scdn.co/mp3-preview/30f5ad40b725cad19d16b861d268a168173311f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Ways of Love,10NNgPs4k3F5tKEvhhH8dh,Scott Yoder,7IiH41ymNM437kLg3tUryC,A Fool Aloof,2EspJWCOsAlAn3ddA6c3lD,16,https://p.scdn.co/mp3-preview/eaf2a239218e3a414c6d1e2e14b330851c0fc067?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Sick Of Me,2U8l7a4nmcODoJ6ePO9ait,Table Scraps,2XJCKq9y1PSlw5wHm2ZewW,Autonomy,5hTsQjgqMDFWPO7PQ3yZ5N,3,https://p.scdn.co/mp3-preview/4e790d338b8ec42421c02e58b6f606b44d6c0cb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Problems III,7wmYgsLNRB9EpqpvR3hkvN,The Growlers,2RhgnQNC74QoBlaUvT4MEe,Casual Acquaintances,3mAUwWAQKkBlsMThgz3TMz,55,https://p.scdn.co/mp3-preview/018ad08d2d2011d677592a03c320164318bafbb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Ghost,1FahlECKcXY4dnGs2duiDy,The High Curbs,10vRxHWrGthzWjNMCNvUHy,Tommy,77HiQwWsuY8lE5BhDQpdHQ,32,https://p.scdn.co/mp3-preview/dbe7b38913a6783ff559553fdab14f49dcf81674?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Velour,6ATfgvHe1L2sUfDRQO0emm,Jack Drag,5KKmmG4Gv7YltQJ8V9aQsJ,Jack Drag,4BQk5lD39IATcKBe2bLMmd,1,https://p.scdn.co/mp3-preview/12a7c037c8f38e889f805b3ba59ea7a55bbac50a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Each Side,7K3qNbc2uwu1UvQ0RHnzi3,Bed Rugs,1Yvx5u0Y3u2IiI89WVjuJq,Hard Fun Grand Design,3NXz7DSJ0R0xmpC12XuelQ,5,https://p.scdn.co/mp3-preview/be55051f70cda06280b9089aa955e7363a82fb8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Tax Man,4GYScPWqabv5cjGbCFsznK,Las Rosas,1edka1qcwxFr32wdNIHTFD,Shadow by Your Side,5VaK5hobgzXPJXEPosqIDU,12,https://p.scdn.co/mp3-preview/2eb06821449aa77fc0afa5f2a0eba893945ed623?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Talking to Myself,6u9vqPHw67PWmsiJnpH3Z7,Prude Boys,3JeafQHusfMRzBmPNgSv3A,Talking to Myself,3NOk3rs9HRQ16eYrvN2a5N,5,https://p.scdn.co/mp3-preview/922c192d1e1ac39a42bbba6c9bd33c0d0abbcc10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Mo Haterz,5b04BlqGqIu1mhHXbgoR2W,II Tone,1XcaJZLayue2wv5axNkqJS,2 Hell and Back,6g9Jm8N0qY8KGzjjqHdUF3,0,https://p.scdn.co/mp3-preview/84f97ed9c959885102a47dfdedc99a33f76cf115?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Call The Dogs Out,0VgSrX5gLGo0x0GKZrN4Tv,The Garden,4UVlSeEFDPmlkYKaRMRoOz,Mirror Might Steal Your Charm,5OTx88lV36Cgz4nrLUCbOz,47,https://p.scdn.co/mp3-preview/02d2d3a79da17abf2a137f30cead8adad09fe946?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,I'll Be There,3maJpCvY76rBxsZgELf0GT,Michael Rault,1bcztlEOrJIIfLbUIKQY6O,It's a New Day Tonight,5HlW6IZl2RXhF3rczWOKVH,32,https://p.scdn.co/mp3-preview/90154d87d1e4aaa3c85b7d92181aab78f302b6e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Static Age,6R5muqP3cKWdYsLHzhITo6,BOYTOY,1ffDZMTt0bQ4zADeiJK6n8,Night Leaf,553kf9HPI5Czi1trI2H4R2,11,https://p.scdn.co/mp3-preview/87b392fe16d080016ea7a0b20df7b925158475fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Hello Kitty Knife,2SOlEyIKB2RHJwbbfxrlZ1,Peach Kelli Pop,5xrA0STCpXYDPnfiyU8A3t,Gentle Leader,3GaVjSropGITYReLRnKqJo,28,https://p.scdn.co/mp3-preview/fd241f69a646d5887efb7b1759b97228683b0359?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Addiction,0wwRe1L57PxPpWpIBn0zqq,Denise Le Menice,2cpCCAAk5r4xpQtMscHWZw,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/09d5f16eefa0b1d929305d3aa33df6968ab99a39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Stations of the Cross,6kzTjkbOTY5kUGbZfFOY4C,No Local,3Ymeq4dNa2T31laKB2OA30,Dinosaur City Records Mixtape #3,1fmviXHurqpt3Gzz4jGUIu,0,https://p.scdn.co/mp3-preview/8b83f86544b454a1cd122058a866899ea2dc1e17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
