25 Years of Summer Jam Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
28,Let Nas Down,26RcjBcThMrZ8KvsqApOvN,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,Born Sinner,1NfrmcXk8xNennyxQ57JcW,58,https://p.scdn.co/mp3-preview/bcc37c7e0e8461b065f98f508776743f5fed4b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Pop That,3Jv1XgMPVjdN5xGfnRJ20s,French Montana,6vXTefBL93Dj5IqAWq6OTv,Excuse My French,5Llp1V2yhpdGle13fM1EWh,63,not available
30,Versace,6xhblLundMJAiG9jF7nlxs,Migos,6oMuImdp5ZcFhWP0ESe6mG,Young Rich N*ggas,4YmTZjHk8SmTFTiVMXBN1A,51,https://p.scdn.co/mp3-preview/4af54086c48a93cae4df8cf4f875cabe9369495a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Type of Way,6nu35hLc8zsA9bwBpcuf5L,Rich Homie Quan,5lHRUCqkQZCIWeX7xG4sYT,Still Goin In - Reloaded,7HXAggzDfYkYdZoc7sUjcd,49,https://p.scdn.co/mp3-preview/0a2f2f929405ba7cd386028b69e62f759df33a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Swimming Pools (Drank),2XPrwlaAHHXnJzP9tBcIzH,72,not available
33,Adorn,25cUhiAod71TIQSNicOaW3,Miguel,360IAlyVv4PCEVjgyMZrxK,Kaleidoscope Dream,21XMv0TCsnhWPt7MNVvkzD,65,https://p.scdn.co/mp3-preview/32d8acbc6109d3e3371074cc3385a636b1eb0ed7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,m.A.A.d city,2cDCojn6uIBM6A5xTAbl3H,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"good kid, m.A.A.d city (Deluxe)",3DGQ1iZ9XKUQxAUWjfC34w,66,not available
35,Love Sosa,4IowQDUOzUvNtp72HMDcKO,Chief Keef,15iVAtD3s3FsQR4w1v6M0P,Finally Rich (Deluxe),6VML3yX1WR5pXtg6fmwdzZ,72,not available
36,Diced Pineapples,27mF2eUbhExYWiOT0y9cuc,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,"God Forgives, I Don't (Deluxe Edition)",1YSb516nyR6ALY2ji1eCAV,58,not available
37,Ni**as In Paris,2KpCpk6HjXXLb7nnXoXA5O,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Top Five (Music From And Inspired By The Motion Picture),1RhLcw3zLwYqNRFQZszBOG,73,not available
