Electronic Circus,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Entrudo,5G04a8o6Ta2MzLlrH4QdQN,Worakls,5RPzPJCg4ER1LzQkorZ31p,Orchestra,4js9rdHmcTlhM0BaAeQMKY,52,https://p.scdn.co/mp3-preview/b795ece1a5eb4e624771738429213c2b51c77d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Different Mind,228kjRtCmbB6fLGV3ExrDr,Dayne S,2OWQQKizLqny2GKSvqfV9h,Different Mind,7IDwkEgL1yO5Gxw9d140n6,43,https://p.scdn.co/mp3-preview/ea6b2b0471bbff225c58f880fd9a9b9aff4b6020?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,New Love - Club Mix,6yZC5KpHGx9P7desCuxeI7,Catz 'n Dogz,5tYqFEuFELxnJZgGmmsfSh,New Love,3i9XxJoV63LVyHI9QU9BL4,42,https://p.scdn.co/mp3-preview/9608c8fc21f28ca3295e17cd87a47de72aa88fd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Acid Riot,3qp5F8HWEmcBPqinLU3Psq,Niconé,70s3JhU9Ai0cIowagibjNI,Acid Riot,2SwxDXmxkkAKujgEEdwkS9,39,https://p.scdn.co/mp3-preview/3f6f9afcbe5a165811150b180f6e757f49c01361?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Dirty Love,6fyGWBRQ4qprVrHkPS5PxV,Rich Vom Dorf,1j1jzA1X6Lr19bxTlBS8n9,Dirty Love,2Cwe41kDNwfIHBvmjgXnUU,39,https://p.scdn.co/mp3-preview/09921a7ac90f0b9c667e49bbfbbc9652b8ff6f29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Irreversible,6nSo8mNsaFLr4oMp8t7C1r,Matchy,5BF9eGIdwa9gt4RAXP8w1n,Conjunction Anto EP,1bYml3Sd8fFWmRk05xZxRm,51,https://p.scdn.co/mp3-preview/5c87f704ebd87aa862498584592fe02b25cba06c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,The Unseen,1urNwF91sq26no4phIbJ1t,Booka Shade,2CKaDZ1Yo8YnWega9IeUzB,The Unseen / Banderas,4CzoCLWZ8b8fstvRxH8GKN,45,https://p.scdn.co/mp3-preview/0814242b5f39ec528dc2e329c30f14b1dd5a9e1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Papsak,4iVvNNCNWXvfz5DqC8vHAn,Dirty Doering,4N6XVXvfjBPNFCdS56TCea,Cape Town,72J0egpDnj7wmxVw2hGH7L,40,https://p.scdn.co/mp3-preview/60ef6e256a4c6c6ccde6ca1cefb28e0ee214d7a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Trondheim,0kUn9sPNCe0hnkrsqHwypW,Robin Hirte,0q4jQ2ducUDvYaE5vTZQqz,Trondheim,0CMYVcplx4el6Vjx5m8ocA,39,https://p.scdn.co/mp3-preview/083bd6900a1e4100f8d34eaaff820427c5ae04b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Elements of Trust - Sanchez & Pietkun Remix,0TT6SbrHgkhmWx01S03jah,Gabriel Filip,0RTHaVU7mWqrznMzZ9PwTP,Elements of Trust,7aIdMrakwT0uSvy4CTsMjp,44,https://p.scdn.co/mp3-preview/50557819662121f1949ba1523274f6ced89cad46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Try This Demo,0OfaMLxT6CnFSiH1t9bmRL,Krawall,2V8sY06p4tWk20R2pOzRed,Please Help Me,6HPdbReczXdx8eMglFbd6p,41,https://p.scdn.co/mp3-preview/85d43c7d28bd2f99c9627ad970e9da52772747c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Bepsi,65bJU7LAL1CivwWE8t5HLK,Butch,5kLzaeSHrmS7okc5XNE6lv,Hijacking,4AcuZiQbSNpRNEYe93e1Nd,39,https://p.scdn.co/mp3-preview/d4d5aed3938df7743e85a48aa683c3f98822d7d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Fever,7Mlivo2VBJXGwFHo5IvYGk,Giolì,3nk8RAVtSa3Bw623V8p95q,Fever,4ED4SOPjSI3SK8kdIdNBWi,47,https://p.scdn.co/mp3-preview/17e3aeca37555b19cab617ab6ce0afc795a833be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Customer Is King,3EVG82aojuaXoWyg0djkqU,MEUTE,1z5xbcOeFRQXBVDpvRPh8H,Customer is King,5g6jFkrrPcRKKZ7uQjFpHi,48,https://p.scdn.co/mp3-preview/ca6eef3e5c994ca05ae06101ff1dd3302494987f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,For Joanie,1c06x2SPpcUXkgGtCyObII,Will Saul,3qtVupTIjHwH8BLBZXog53,Lakeside EP,5S40ARNlnHCla0I9WmfRNL,40,https://p.scdn.co/mp3-preview/a6663e1bed612591cfe1367adbeb7fa5f8b17f2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Mumbai,4wwRwTqB4UzeVE5w4AAOvf,German Brigante,2h7fN6KOZVgWQ39sYK0jJm,Cordoba In My Heart EP,6IsW3odFNU496TsOyfRSsV,39,https://p.scdn.co/mp3-preview/6d32580f77600c67ea589ab3109981c56f30371c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Flares,3CjtbmCJMrbOEUWh8S32J2,Daniel Rateuke,27NerKeEGofbhhDMEhagyq,Flares EP,302FxMeg6eREhIiBBbNkd9,30,https://p.scdn.co/mp3-preview/8146fc55e17032dd27638483d35b372fd1e93d20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,N'Golo,0cLHvLm8LtsS9OPABBkNxy,Mòo & Jo,4bU2sBWgXJtViut3q68o5m,Makasi,16pQHgokRh1UAmmqji7VIl,44,https://p.scdn.co/mp3-preview/904261f01fe5db412723bad1f3908dfd008333e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Babayani - Original Mix,60CSfCIS9cRfVWIp9K35eq,Stereo Express,3j2zB13syOvCyrkJIomEA2,Babayani,2XwLiXas3AEoyFqCpwtnRe,36,https://p.scdn.co/mp3-preview/e56081507e2bc21fe2df776d7b1813ac8758d813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Cheekon - Edit,078ncsOGPoX4WqUC8NMBPD,Blond:ish,6zsJjoCtL1WByG0VsuFWzR,Cheekon,36OSYvgoclMI51pLepGR8a,38,https://p.scdn.co/mp3-preview/83c11b77489a3fb62d7abbec2c289554ebd79370?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Come Forward - Original Mix,5mnVlcrTkphbgvVvtYNHWl,VONDA7,0Glk45UpQ9Tz1yp6GvhUBM,Wide Awake EP,6rrtjQXVVhwPbtDYcVm0CT,39,https://p.scdn.co/mp3-preview/03128a79999c5321670e1ee6b5fa6aec37723fce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Can't Think Right Now,5OVW2b2uV2b5xgpFFGi72G,Dalfie,3LfZvsjHCnxUyPFmEJlofo,Can't Think Right Now,5GGt9Mhz9kRyjVcyFn2wTs,38,https://p.scdn.co/mp3-preview/a54f58e2944a40fb08b1cbfbd673ee06527db0b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Airwolf,5hWjIPTtvTwcwExBbyZgm3,HOSH,3qoTlYFOahAlAh9ee3qnbs,Express / Airwolf,4kidfquEVMY8dROCRVIlps,43,https://p.scdn.co/mp3-preview/9e4b5c61c8a1e049849103606d8db4c88d91a48b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Duno,4eDTJNDVuPHxb7QXGIagLr,Andhim,6XJeFzmI6vrWyHcdB7EImP,Duno,0pwaavXjE5GEmjeP0lUO3R,40,https://p.scdn.co/mp3-preview/f53df8660842fa974a85820903631d849bd77b4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,If You Were,2FMPIU8FdP9kCi5kUCSGnE,Danny Howard,14MtanGZe4G1fzC8raLFUK,If You Were,6UVHJej9pSKaESR1iwvBup,52,https://p.scdn.co/mp3-preview/6e9a0ec5d2b2735064568ea433b9a4de1f4b6810?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Inside My Head - Original Mix,4THGsijwlOOjPFhezjIhB0,Audiojack,3Uvzk4iffO4mvchgRNJjbs,Inside My Head,2im2huSGqv8wtypeVcxssM,49,https://p.scdn.co/mp3-preview/178b10d8cdaf746a92f7f734978324e2287b87f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Same Little Thing - Michael Mayer Mix,0RB3AJ670j3qxfe0N8vSfH,Weval,12tZvy2xFpWSkuJ3FsfisZ,The Weight Remixe,3aP4znLRZsWXvP0DqbgMvM,46,https://p.scdn.co/mp3-preview/c5038cdeba424b2331e9319528acd7e25b4d0065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Evolution,18v0KGMLHoHlM4k7gEY0zA,Huxley,6fJvW51nWhRImJyos6O7sT,Evolution,7qi9p0UAWEbvkXkN1gbMYS,40,https://p.scdn.co/mp3-preview/13b74884d22eb8086601c97f76ea30a248d2f7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Inversion,5pI8RoOzSisXWdu1F42sjs,Charly Beck,7tC6LW6toF4vjT314raJ83,Inversion EP,26HgarHEeWHFj8vs4T3OTe,37,https://p.scdn.co/mp3-preview/0d0dec4e2b5fe0e259ce0389667c48a01932024d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,You're Not Alone - Solomun Remix,6YEQHjK7LlMFiUIUKEl3Ey,Agoria,4lu50np3LdTkRL09T7x8UP,You're Not Alone (Remixes),1ENugzdS2brZfuSebfxvGi,7,not available
43,Emerald,6ThgAuS0EhqnHqI4z4YzVm,Markus Kavka,5v35HgVYTMoD2SBonVGZ9K,Emerald,2YDOhjXEz14hq8ZCHPksut,36,https://p.scdn.co/mp3-preview/f7582d19fe1aec03c6c69397e25d1667ce059a2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Blackbirds,5KjzIDngJb6ANncJHicSn9,Neal Porter,7bS2JIZHmEpz0cHlSvXlhr,Blackbirds,2MaMxWKN29oNMypwe2JpvX,38,https://p.scdn.co/mp3-preview/383ee8ba19585430050d779f30806978899787f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,My Love,2MH7nd8Q5eNZVdTMZSmDAc,Rich Vom Dorf,1j1jzA1X6Lr19bxTlBS8n9,My Love,1k4QWLfzTcq0op8tpTX0Dt,38,https://p.scdn.co/mp3-preview/e3e85a6ef6e1d2ae7f55d9b8e9e3568417cae520?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Melodic Lollipop,00X5RHZ1avuylrHJd7wbV2,Dirty Doering,4N6XVXvfjBPNFCdS56TCea,Isko Lollipop,1wXYwNm9jEdio3Ly9CMN3x,36,https://p.scdn.co/mp3-preview/5d204241a668991539a61b2fe04cc3bcd1fa52d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Scrarab - Original Mix,1tT4xtghxdCzhQRbKBe8eB,Martin Waslewski,3qk4AowZhFKoYHocPk6l06,Scrarab,04wpXnwHzhTFOEpnn6NRNA,34,https://p.scdn.co/mp3-preview/f20d2f7d16be9fc0aa9f08cac62f4d57de91e0f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Agatha,5tFwJOG2moHeQoAySvmbxJ,Stereo Express,3j2zB13syOvCyrkJIomEA2,Agatha,3GEe6DYaP3dIsz3wcW3fqS,39,https://p.scdn.co/mp3-preview/349eaca548aac5e46ca0df3e0cbf2811e0bddc1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,002,7CRRhZCgFXSqX2Ef6v2tMh,Ben Remember,4QDXiDOwAxmzwZOaqP2ePc,002,0JAIJQzjjKWs9gCxvu2Uwb,38,https://p.scdn.co/mp3-preview/e90b9e4f749339331796fa9c54f9d412f984f3a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Yassah,0l93m5mQTLg0Xho2NDT87z,Daniel Rateuke,27NerKeEGofbhhDMEhagyq,Palmfood / Daniel Rateuke,6k2fwwZmBY0E3csXOtop6b,33,https://p.scdn.co/mp3-preview/3242d1e89e6e150a00386a1ec5530acd5a85c741?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Gordon,5qhFsYfA45vudFMyLjsm2S,DJ Tennis,6vJvFV1A2CpT8s5B1oUN6t,Gordon,4whx8LR7NJXnQvGq9HbQ2i,43,https://p.scdn.co/mp3-preview/2e03b6ecdd18ae4a46047db8ff5725d92b96fe3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Phaeton,3YBjtUm8Q6cqd5kaKRGEJN,Tim Engelhardt,74HdscE6G74tt01dbVZULE,Phaeton / Silhouettes,4jiIwobxyTYe4oGjheDxQj,47,https://p.scdn.co/mp3-preview/c285627e6b5a6446143b6742bb94569d1d5f64dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Bee,48tnPvIus0PQ561A8oyt1x,Andrew Meller,0kDJVZD3Kwg7YbFXqDI1Gm,Bee,2HAE7YnFGnALPI5gZQjiXH,36,https://p.scdn.co/mp3-preview/5963427897fde61e0ac1ec414e423f468347eada?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Our Love,1a6y76GBdPmYzzBOq1IxPg,Will Clarke,1OmOdgwIzub8DYPxQYbbbi,Our Love,2pCbQCbXUqBshUXjcCYHv0,46,https://p.scdn.co/mp3-preview/ca111d7f2edc8323c74d31cbf5c33c5728287e9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Ritual,0y7HQDEEWcIxSBvGdGRh99,Gabriel Evoke,0EP5pCt1Fzhd8RkNndHy4g,Ritual,3wziTtMKc0vcUNpV2Q6yP7,36,https://p.scdn.co/mp3-preview/3a1ebfb44569df8e7df09a3591824887b1bba793?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,We're from Uptown,6MbCznBWdXutCkDSroVq0D,Westbam/ML,0bIvvfPnM3YeHeORD57sAE,We're from Uptown,68GnyYYF6pRYmgpP47UR8m,41,https://p.scdn.co/mp3-preview/871955bf63b49c30d84951cfcfbe4b3c4ffc8f9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,You Are In Trouble,4UCBOukc7kUnoaLEe4mmMy,Bait & Switch,73dTmD2EJuqqd9QuEtYPLD,Secret Romance,4XrClr2kRuBY1dPrWMK2n2,35,https://p.scdn.co/mp3-preview/4e8e464474139b35c60c8c4bcc5acc34e9cac088?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Faded,0ZG7eiXY8nEt6Gtt2HOH7s,Marius Drescher,4oU99ab1DTNIF3a9RHmnhf,Faded,2AMLv2TC7ltrSr8EZw8aUu,35,https://p.scdn.co/mp3-preview/b2aa995f15c37c40790e388c3933a52d83abe326?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Work It - Edit,3oxkovxOKLaXfbMsa80061,Monki,30C3E9bYfEQPAY9MweeUVe,Work It,5v98WVuQi5piCUGnBBgNpm,41,https://p.scdn.co/mp3-preview/15f98aa189b3252545b178af9b8398ceb1d9020a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Teriyaki,2hEW9u9ZPS5rjWOd7rlOLe,Britta Arnold,7JpBTUqubY86KynSJr28RN,Teriyaki,3dySk8zjZ27pI3BkYFVt3U,37,https://p.scdn.co/mp3-preview/7487bf4db63f280c2a899ae14486b2e3c47292f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Oktoberfest,2bnwIW2drksMVptwWxp7xx,Nico Stojan,1SuKmGtjsRRJcGhTspfUnd,Oktoberfest,3i8STW6m0fl5cnhE6NOhXL,35,https://p.scdn.co/mp3-preview/fe35b39a6b4bd08cfb3450be7f1b75f3fa9e7b51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Montserrat - Artbat Edit,2LVr6WQ6W7B3i8CeWFjcLP,WhoMadeWho,50Lr1puweM1hFsF1LpIZLM,Montserrat (Artbat Edit),0xP3As4wwckI15pJ616PFC,49,https://p.scdn.co/mp3-preview/0234eaea8637a035d21fe872574aec1c28def6c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Closer,1Oajj3OHEg15WQSEEkveKE,Anja Schneider,0f14r70OISSfJoyqYaHbgV,Closer,6U2Yfq5FuP1CESesZbMj73,38,https://p.scdn.co/mp3-preview/9c210e51f22e3915a0c30730d2b6bf78c1f25ceb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Soulmates,4ghhIzwqhaCW4fAwdKVm8N,Florian Kruse,7GhGgxIAhzJxZXvF1bEYZ8,Soulmates,5BVsHCBE69NfA4Et65KAOg,38,https://p.scdn.co/mp3-preview/9f35ff0e16bec50027f93a5605b4dabb1dfe93f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Andromena,4Unod82Z8QrKSEmcluDmMg,Raxon,6gp9WP1OleU89x2gF9w2ID,Andromena EP,38XCp78uVkGBEztcQcWPe9,36,https://p.scdn.co/mp3-preview/5b5098bb05a23607e040b7219b9c228063159cb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Riffles,4RrsuLKV1UI5yCk8QBqNkg,Mila Dietrich,6gFqC88ulyEMiqeVp5b71Q,Riffles,1KFVybM84C8GpE8X1kJnft,35,https://p.scdn.co/mp3-preview/6accaef1e87348e922b6787f6682548e59e996a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,The Pressure,3EuWJ8N6Hw1FTWGBb8fCKN,Wheats,68O83ss9GHwRVDaJhpCQHF,The Pressure EP,2lA4o1JRcygLblkrwVACJh,34,https://p.scdn.co/mp3-preview/9e65ed0011f5c68e9ed66b059eeb3d29570d5938?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,M.G.M.M.,55Vl4eEbSkgtDNTJci1MYj,Tunnelvisions,0IhfJZiFjHqE9mJ9INjp7x,Channel Tropico,4BDLbc3uglncbs9bzUqHPQ,34,https://p.scdn.co/mp3-preview/a1db6357abf90143538c74b2b8cba2208099098e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,The Pipe,6A0Is2OjgK22ANYiuvFL0G,Rebūke,113reBz1jA6rVxbXl55mlj,Jump Ship,5f0oTxXSCY7PlFltoLUssp,51,https://p.scdn.co/mp3-preview/5f8bcc2ebb58c468c432ceff96cd64abe6b16d5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Afterhours,1MTQkWZJjxZigvdZBPX7ui,John Summit,7kNqXtgeIwFtelmRjWv205,Afterhours / Addiction,5yjU1qxpTNE2MICMzk7k4L,34,https://p.scdn.co/mp3-preview/33df5bfe732c6f1687c8191c6a8ff41aa419978e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
