Pop Remix,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,I Don't Care (with Justin Bieber) - Loud Luxury Remix,6f807x0ima9a1j3VPbc7VN,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2oCs0DGTsRO98Gh5ZSl2Cx,69,https://p.scdn.co/mp3-preview/cfb07e043c8d92d1a70f2c3d008ce966eeb2692f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",4fCAOaMs0PYL58OijKp2IS,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i’m lonely (with Anne-Marie) (Ofenbach Remix)",1vtHFX1NTE4awfd2sR1VGP,65,https://p.scdn.co/mp3-preview/1da56c597adfbf2d69c2edad6c844bd19a922f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,One Kiss (with Dua Lipa) - Oliver Heldens Remix,7b4vbqgzMhbFa0wdjfftQJ,Calvin Harris,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa) [Remixes],5vH3ugictBcayQWRWgfvpN,66,https://p.scdn.co/mp3-preview/10f787eae19fd1634bc2381191aed0c03dcc9b99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Born To Be Yours,0WVAQaxrT0wsGEG4BCVSn2,Kygo,23fqKkggKUBHNkbKtXEls4,Born To Be Yours,3Nlbg1BHLXDKqQVQ9ErCmg,67,not available
14,What's Up Danger - Black Caviar Remix,0fOxkxw7FKXuzNs64bsmyb,Blackway,1QvK8bFc2WREH4LDlJcJbi,What's Up Danger (Black Caviar Remix),4zuVeB0Vr3EMzXzB5vy4Qt,53,not available
15,Trampoline - BKAYE Remix,4MuYNxE0Dgw0PFXz9Aquw6,SHAED,3KwmxIhSe9UTSEF37kwngR,Trampoline (BKAYE Remix),2k9YrpHFSQtlBUOZntPUJg,55,not available
16,FRIENDS - Borgeous Remix,1QdG3nKKTrNWlN9x9t1cH6,Marshmello,64KEffDW9EtZ1y2vBYgq8T,FRIENDS (Borgeous Remix),37XMkmgRf7uIPnvYB422Eh,58,https://p.scdn.co/mp3-preview/d97186005e27c3e71d7ae681039151f1a05b9ee0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],6m8SIT10j41SPpPFOknTmP,ILLENIUM,45eNHdiiabvmbp4erw26rg,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],1r4KIEhxQJ7o3b5Fbv2sRe,68,not available
18,Whatcha Gon Do - QUIX Remix,1yVSdy4jqzSgzeWgVaXL4p,Benzi,1dqyvasqrPO2j7VS8TOxDl,"Whatcha Gon Do (feat. Bhad Bhabie, Rich The Kid & 24hrs) [The Remixes]",6kj9q6vdXjUrxcJANtpLmq,58,https://p.scdn.co/mp3-preview/c6f295c1fb68c7c9e326464c4c7ed7d5c85e9483?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Heaven - David Guetta & MORTEN Remix,4QAUGy6k7c3IOAhgWz52r7,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Heaven (David Guetta & MORTEN Remix),37bCTD5iLWMpDcBanNkkXB,72,not available
20,Ocean Eyes - GOLDHOUSE Remix,1JbuC7uZm0P1PyX7N7gDEM,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Ocean Eyes (The Remixes),44OSkEmvHwdTFhPBCewIks,67,not available
21,Old Town Road - Diplo Remix,3kgKVcBpBGuSeaEC0AZGlb,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road (Diplo Remix),66FxETmTBazRMZNbvGtGQl,76,https://p.scdn.co/mp3-preview/ac65893e06083f0c616e1e71fa40ebc2367d0201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,5Shjuje8PRcX7ueEVajrLH,DJ Snake,540vIaP2JwjQb9dm3aArA4,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],4shNfMW19y4WnkuhCHum19,64,not available
23,Side Effects - Fedde Le Grand Remix,7FDaS1k08rwMoAThmzUkOZ,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Side Effects - Remixes,3Yb3f9PL7aBpjuJPyiV0ot,65,https://p.scdn.co/mp3-preview/982cce8afc3f7b4742e60897c536d57e664c5419?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,With You,1xK7enJZVdv37fnnxoZlPq,Kaskade,6TQj5BFPooTa08A7pk8AQ1,With You,03Rd91m56yw4XklwHF9FHq,73,https://p.scdn.co/mp3-preview/fc26c2bf1e69bb7f1602d690f7a60f5c5e6db2cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Way I Am - Eden Prince Remix,6DrjofzZm5s8xpMn4IBMyI,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,The Way I Am (Eden Prince Remix),37mKbVyPaoPAdj0h2rgDEs,57,https://p.scdn.co/mp3-preview/5d7b70603671a1e3965c0f688adf133e75a8087b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Spicy - with Diplo & Charli XCX,7hzjWGFi2HKUGOXp1LiQ3V,Herve Pagez,31JFnMfmvwzZGdEnXaKGek,Spicy (with Diplo & Charli XCX),0PiWf1iYUUTHDEPnPTFxqs,66,https://p.scdn.co/mp3-preview/5a7e56994385472797f687f5380b2de7235c95a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Mi Gente - Hugel Remix,7w1RxkQtEwKYEoyQuaxfXW,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Mi Gente (Hugel Remix),3gkp2XQHutF4tUk98uP6eI,55,not available
28,Love Me - MOTi & Terry McLove Remix,7Cvda4zbeXHvQF69GetRdR,Stanaj,3zrUX1hQrUB9aXcOiyQLmN,Love Me (MOTi & Terry McLove Remix),0Eb4cMzFo5goA0OaUZC57E,52,not available
29,Brave - Don Diablo VIP Mix,01niGNTcFtX1wweTTWQbb2,Don Diablo,1l2ekx5skC4gJH8djERwh1,Brave (Don Diablo VIP Mix),3QL4O5znN5o247TdiInzBL,60,not available
30,Never Really Over - R3HAB Remix,2OAylPUDDfwRGfe0lYqlCQ,Katy Perry,6jJ0s89eD6GaHleKKya26X,Never Really Over (R3HAB Remix),7INHYSeusaFlyrHSNxm8qH,62,not available
31,two nights part ii (Lykke Li x Skrillex x Ty Dolla $ign),47UnzjxpWvJKCverxM1OaS,Lykke Li,6oBm8HB0yfrIc9IHbxs6in,two nights part ii (Lykke Li x Skrillex x Ty Dolla $ign),66k5Ex71uMEy9Wva7rDGQt,62,https://p.scdn.co/mp3-preview/8add7a2c62246f5ee4216b88e10c965f1df8dff3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Look Back at It - Tiësto and SWACQ Remix,3v1srNR64XH3BOjPKT8C70,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Look Back at It (Tiësto and SWACQ Remix),4HJfoj7ThDvNVJpj0X9klT,61,https://p.scdn.co/mp3-preview/ba6525f53b08f8fa05b9c65ced89240596ac8955?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas) - Bassjackers Remix",1r1AGkq5U0pBBcL9WUqkAh,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas) [Bassjackers Remix]",33Upv4mMjMA9E3c7yAOcOe,57,not available
34,The Upside (feat. Elle King),6mPstbtzhyqKmwefY4eVWD,Lindsey Stirling,378dH6EszOLFShpRzAQkVM,The Upside (feat. Elle King) / The Upside / Underground,1B9rsSz0Prc3R2NtDrs5nN,53,not available
35,joy. (R3HAB Remix),1BmdqDrBU5eohtRwHBls6C,for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,joy. (R3HAB Remix),2gGMD56Y8DAvIzpoYfA014,55,https://p.scdn.co/mp3-preview/0738e01bb92b6e21a7443a0c3768b8fe356cb9ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Truth Hurts - CID Remix,3gOLLo0zS2GJPkLRoSaZjA,Lizzo,56oDRnqbIiwx4mymNEv7dS,Truth Hurts (CID Remix),7crLDwbXRNbsWQM9K0YBiW,64,https://p.scdn.co/mp3-preview/ba9b8b2b1227b9b3dfd42a934020474323779cc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Can We Pretend (feat. Cash Cash) - Yves V Remix,38Or8cAURIsnNgT8R6IAzY,P!nk,1KCSPY1glIKqW2TotWuXOR,Can We Pretend (The Remixes) (feat. Cash Cash),0G5SBhGfYhS1n8b6HWNPEB,55,https://p.scdn.co/mp3-preview/5f41a8b7282c2e37550d471e9bcab1f82ee0ad2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,4sLtguRBis05qfsBgJ1IdN,MAX,1bqxdqvUtPWZri43cKHac8,Love Me Less (Remixes),3E3l9Ae226bVoSwoPNuwWv,59,https://p.scdn.co/mp3-preview/3a12404e327bceb401cda7ea0e3e0fd35f14edb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Hold Me While You Wait - Steve Void Remix,5dy3WUywjZcalTno1io8TQ,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Hold Me While You Wait (Steve Void Remix),1LTVUVJQ9wNArrbm02ZOVL,64,not available
40,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,55nMnifaQWKe3f9cbwOXwx,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2vx3BtBMn8Ed3ygEg1OT2t,65,https://p.scdn.co/mp3-preview/50db7d9a294791a3161cbf0b57ed3217ffaaa45f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Call You Mine - Asketa & Natan Chaim Remix,5EdYlCWou17k0N1PADLKfO,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Call You Mine - The Remixes,1nqYsOef1yKKuGOVchbsk6,67,https://p.scdn.co/mp3-preview/3184e1e98e93fab3ef0b5d3505d95f03ddc556c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,God Only Knows (GATTÜSO Remix),0ReSY5XOCFXFRooRS7hPxk,for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,God Only Knows (GATTÜSO Remix),5gdySuafgIrPQvdKzjbmIi,56,https://p.scdn.co/mp3-preview/a286b05ca5cff8e8e1689c271e7e57c5b54aaee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Let It Be Me,69JVxHk5lLPAHdVulVTPi5,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,Let It Be Me,5iQwgvI3wvK5iztUeaWMJt,69,https://p.scdn.co/mp3-preview/a55402035ee286d98b5d00b3ea193286fe1af27c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,6AZ21kPj2a0INgf3uCviVu,Bazzi vs.,0Z0T7qMFlcb0NfmrJ0Vu02,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],6KGnQuHVrsfblNq0ekXp3y,57,https://p.scdn.co/mp3-preview/8021676a01deebe4a94c72f3cad4c775af859b20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bad guy (with Justin Bieber),6lMlX68jJrx67hiCqdiDvW,88,not available
47,All My Friends - Eden Prince Remix,5WaXMQMlQpq8pwIdaFP43L,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,All My Friends (Eden Prince Remix),4lXBBbiEgwTzcfAkqdXJV1,54,https://p.scdn.co/mp3-preview/1eb8ec46501a914f9efa440d73c4aa4fa6ad4217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,All Star - Breathe Carolina Remix,6wKJjrWWP4qpzYbE8oQkc4,Smash Mouth,2iEvnFsWxR0Syqu2JNopAd,All Star (Breathe Carolina Remix),5lsHOl5P5mWLHeslZCLSaQ,63,not available
49,Find U Again - MK Remix,1Yk6VWzkYzpDarxEVmrz7O,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Find U Again (MK Remix),7i1XW7To089jnBRzH8YaNp,59,https://p.scdn.co/mp3-preview/03c45b10871e6dbbb66e603834c835364164a717?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,So Am I - Toby Green Remix,4OFFY6L5ywYM1TwhXX69wQ,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,So Am I (Toby Green Remix),4pl2838fY2YPaqiT2yWuMo,55,https://p.scdn.co/mp3-preview/a6faade4a92cf81cb2e38163e87ffe292652c8c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
