Pop Brandneu,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,Finally Feel Good,1QyxXnQXlGqG28syVg3LyP,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Finally Feel Good,6avkPAfv7cjDlQL4Cotd5S,71,https://p.scdn.co/mp3-preview/95494fbdc79e3b91870d31e26ee7a85cce1e064b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Nur wegen dir,2blXSklTHVQzQeXpyAIXAx,Tim Bendzko,3xDVmZmDpaF1uuez2N7mKl,Nur wegen dir,2SO6RWu1Ri5nGlpkNnhiD6,54,https://p.scdn.co/mp3-preview/dd6fd78ffa116c03c67fe7af8bb2dc97bc51abac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Graveyard,6V9fHiv84WlVTg7CSnIVY2,Halsey,26VFTg2z8YR0cCuwLzESi2,Graveyard,66QwiCFDLtRbrZ5Vs9wlL9,89,not available
45,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,85,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,This is Real,7qXRE8SYTVU74cUdBgFSvt,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Snacks (Supersize),33BFKADndu09rZdtTLl8Vw,49,https://p.scdn.co/mp3-preview/48c509c006f59577c5b45ded28f8e7e22b4274be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Boys Like You,73yR3kAdE531RRYUdFLWad,dodie,21TinSsF5ytwsfdyz5VSVS,Boys Like You,2Bx4wirLMd21SZ3cR1WkBF,66,https://p.scdn.co/mp3-preview/9ce2da39d895aba9cea83d5f81d19db3ccb95081?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Good Thing (with Kehlani),3wpdeV1FZfiEnelZSfAFp4,81,not available
50,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,73,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Wanted,1lGVyEkGHUz7Pg78QGaS4a,NOTD,5jAMCwdNHWr7JThxtMuEyy,Wanted,5sPC6RYCERdNCzHLRf9zHb,70,not available
52,Dip My Heart in Confetti,2zzk4jkVObPc5tl97YEJln,Lxandra,6kveFlWW2CZY1bfiX51UnW,Dip My Heart In Confetti,1YcowXjbJa5kRb0TCuTG0E,43,not available
53,A.N.i.M.A.L,3YSkWJwhWeOGcaO5Sb1c3d,John Newman,34v5MVKeQnIo0CWYMbbrPf,A.N.i.M.A.L,6XCkgkOCWb4YOs2LGKl60z,60,not available
54,Waste,5eV4XhCZT6QaeqK4nVqIEo,Dove Cameron,2W8yFh0Ga6Yf3jiayVxwkE,Bloodshot / Waste,2GkFw24RAab0MJNexdE43z,66,https://p.scdn.co/mp3-preview/be97fdabcac6320611e8408a138afa6b3db95ddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Somebody To Love,0yc37FvbXRwwFaQxzpxbsd,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Somebody To Love,1YjQ5Q5ptRnQcT4P6nSCyt,78,not available
56,EXTRA FR!ES,5JfXI7NmMyak0lAzCTbVUw,ILIRA,6mzs66iVW15C5iLt0JLt41,EXTRA FR!ES,7J9nP67J4hULMaGGrYdOUu,52,https://p.scdn.co/mp3-preview/36e473e03dbfdcea5ac473a4721d63e73bf93f68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Don't Forget,4RCoF6i2UWlG2npNI6u4Q8,LIZOT,12A83CWwFiyXy90ScLWPIe,Don't Forget,4AKbCYO4dfCtua8aGCWWJY,49,https://p.scdn.co/mp3-preview/711bd7ea74e5753e8a0df7bdee536bef98a8dcd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,damage :(,3rSi3sCWsVDzGi79uvOqJV,Naaz,736HGQRGr9rjG4VmmSpkz8,damage :(,7gJDLOU0ywGeSb41diqxyi,52,not available
59,Feelings,0y675KDleCZEudjoeL1sQQ,Lauv,5JZ7CnR6gTvEMKX4g70Amv,Feelings,1MFxXAGWNIuz0X1hS9VRiS,84,https://p.scdn.co/mp3-preview/542f5d521155b6839d135e41e08d232982cfe112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Don't Say,6rHC7eMaQDDpbm29WuuJbe,Robinson,38CvLGTsjtoloDgv3OKQp8,Don't Say,6yYmVFP4TaBffBvA604Ney,60,https://p.scdn.co/mp3-preview/2f5c14b5904434f0bf26cf1fb0bf0a7384d7df5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Black & Blue,1Y59TyltHoDl4YK2R3nCRm,Nina Nesbitt,7AzjETXRUKNRSJHMW9GIqd,Black & Blue,6UEjnGUIcJjL2uBZJGD3tt,46,https://p.scdn.co/mp3-preview/94cf3c13557059cff2bd86191d5ac3c1e795658c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Fado,0XQwebT5iNu5eyoQi98QbT,Milky Chance,1hzfo8twXdOegF3xireCYs,Fado,6g5sp0aWHpa5VzRKeXWb3x,52,not available
63,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,80,not available
64,not available,not available,not available,not available,not available,not available,0,not available
65,Wild West,3UqQUExRt3YlS4PNo5Thtq,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Wild West,3rOY8x33we7f3fUaFXmJig,67,https://p.scdn.co/mp3-preview/c88a633bda8832072188b9043f02d655e68e141c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Treehouse,0Zrxq7AxjJQrVg013MYgU2,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Treehouse,0xDUWlPe0z4xOiBi41dmb9,63,https://p.scdn.co/mp3-preview/c97b891d3863882eaccdfc8d381ddd1b21a25a80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Time For You,5INdME9pj1dzHgHaQDIuwY,Taio Cruz,6MF9fzBmfXghAz953czmBC,Time For You,72J1dmhoEB2IFkRLMP5ZAR,56,https://p.scdn.co/mp3-preview/8c0811ccc07311433a64c467b1127a54818325d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Memories,6KGmJmuN07Y8JWI1Dx9UNo,Run,5i9tDnbaegT3SxDMv2JmVA,Memories,3B9en7Ev495p3qgH8lqMJQ,36,https://p.scdn.co/mp3-preview/4ac5c564af70be7832cc9531390e349a8d4bf8d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,October,736B63TZx939yQZUXl7TMa,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,This Summer,24riCP5KVIEEaXKYvvhshe,68,not available
70,Treehouse (feat. Shotty Horroh),6S1IgeHxxOT9qVWnmsdGxe,James Arthur,4IWBUUAFIplrNtaOHcJPRM,Treehouse (feat. Shotty Horroh),6HX5s1KDSkOQNkt5YkwMi2,76,https://p.scdn.co/mp3-preview/696c28c7801a257e6f0e0f740a9dc8cf0f79fd58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Wild Girl,3IqwOIVNLdBs7av6n8Plrt,Kito,3FLUBwpAnaIlIKeaBfsxFe,Wild Girl,5gjaKIotnXLPTsb9lvp5vT,61,not available
72,Baggage (with AlunaGeorge),214h7kR7uNssAoU5AbcaIS,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,Baggage (with AlunaGeorge),6HkVLOM8m07Du0cz7SsnwR,71,not available
73,If You Need Me,3dqcHUPGMQD5baOC5Ylp7L,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,If You Need Me,4eeHl4rHfVSo0IDTSZ2ECq,71,not available
74,NEVER GONNA LIKE YOU,5lzp3WgXCd94gI7cQaQ9bQ,Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,NEVER GONNA LIKE YOU,0TjCBvNrdzsmj7EhQsEYik,69,not available
75,Glorious,7xPIlYAQvOubFllPkn8XSL,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Glorious,7ioa0F9HHBzTCV5VbFupal,64,https://p.scdn.co/mp3-preview/9a437d0c87ec989113bffb96acc7481efd4514c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Why Do You Love Me,69y8TVgvXlkDX8AhtDK7FM,Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,Why Do You Love Me (Klingande Remix),3dhZ5AcWS6aYapMs3OEVni,47,https://p.scdn.co/mp3-preview/5f3dc616908dc3ae417f37372713452459d5f1d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Haribo,3o8Kh0CpiwxhUTmpM8C1uf,Mathea,3r5Kc95Oz8lDc8BL9ChO7n,M1,4c3Tq187OaBo09SAE2pZxJ,52,https://p.scdn.co/mp3-preview/e1b3d49500aa118e4e993911bc7e04064ed6ae4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Bella Bella,3uB6vSHiFmMzEmXim6zZ8s,Luca Hänni,5JbALDn35ZrLwVAle4xVqZ,Bella Bella,3ElCr4NdIeTO6loF4x4Tfo,50,https://p.scdn.co/mp3-preview/3dd801680023429ae049567f0ef3a2dded98ceca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Rather Be Alone,6L32iYnvUR3JrHjxShOESf,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Rather Be Alone,2hedSL1FfNMZFUJDhyQAwt,66,https://p.scdn.co/mp3-preview/962f05539a25ef628e21f9156a9244f8ac405ad9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Que Calor (feat. J Balvin & El Alfa),1G2CAJeP7rCwOZjlSJ0Zw3,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Que Calor (feat. J Balvin & El Alfa),6RrC644Y4IxLrWXtCO6z90,59,https://p.scdn.co/mp3-preview/bd11e202ed780e29e695c044051789399eca76ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Träum ja nur (Hippies),21waa1WZ3JCbtXLoBwLPLj,Silbermond,3GbUWWI1rMwAIPbUVPvnPA,Träum ja nur (Hippies),5RQXNzk9AvYPHQqpraLN4K,54,https://p.scdn.co/mp3-preview/377540fe82b2377c92655b59becf653c41f98f2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Ain't Together,0EolrgZsjOyjjTuHEhgVuk,King Princess,6beUvFUlKliUYJdLOXNj9C,Ain't Together,3nY7uA5jciz3tNyw8DolUl,65,https://p.scdn.co/mp3-preview/a75ee4295c52f512edb7960b3613704c394d60f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
